Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-02-22,PDUMJEAGRO,EQ,93.0,94.0,94.0,93.0,,93.0,93.5,200,1870000000.0,,,
1996-02-23,PDUMJEAGRO,EQ,93.0,90.0,90.0,84.0,,84.0,87.0,200,1740000000.0,,,
1996-03-18,PDUMJEAGRO,EQ,84.0,84.0,78.0,78.0,,78.0,78.0,100,780000000.0,,,
1996-04-12,PDUMJEAGRO,EQ,78.0,78.0,70.0,70.0,,70.0,70.0,100,700000000.0,,,
1996-04-16,PDUMJEAGRO,EQ,70.0,69.95,69.95,69.95,,69.95,69.95,100,699500000.0,,,
1996-04-17,PDUMJEAGRO,EQ,69.95,70.0,70.0,70.0,,70.0,70.0,100,700000000.0,,,
1996-04-18,PDUMJEAGRO,EQ,70.0,70.0,70.0,70.0,,70.0,70.0,200,1400000000.0,,,
1996-04-19,PDUMJEAGRO,EQ,70.0,70.0,70.0,70.0,,70.0,70.0,1000,7000000000.0,,,
1996-04-23,PDUMJEAGRO,EQ,70.0,67.5,67.5,67.5,,67.5,67.5,500,3375000000.0,,,
1996-04-24,PDUMJEAGRO,EQ,67.5,70.0,70.0,70.0,,70.0,70.0,100,700000000.0,,,
1996-04-25,PDUMJEAGRO,EQ,70.0,70.0,65.1,65.05,,65.05,65.08,200,1301500000.0,,,
1996-04-26,PDUMJEAGRO,EQ,65.05,65.0,65.0,65.0,,65.0,65.0,100,650000000.0,,,
1996-04-29,PDUMJEAGRO,EQ,65.0,65.25,65.25,65.0,,65.0,65.08,300,1952500000.0,,,
1996-04-30,PDUMJEAGRO,EQ,65.0,65.0,65.0,62.15,,63.1,63.8,1600,10208000000.0,,,
1996-05-07,PDUMJEAGRO,EQ,63.1,65.0,65.0,65.0,,65.0,65.0,200,1300000000.0,,,
1996-05-17,PDUMJEAGRO,EQ,65.0,66.0,66.0,66.0,,66.0,66.0,200,1320000000.0,,,
1996-05-21,PDUMJEAGRO,EQ,66.0,60.0,60.0,60.0,,60.0,60.0,100,600000000.0,,,
1996-05-22,PDUMJEAGRO,EQ,60.0,59.0,59.0,59.0,,59.0,59.0,100,590000000.0,,,
1996-05-23,PDUMJEAGRO,EQ,59.0,59.0,59.0,59.0,,59.0,59.0,200,1180000000.0,,,
1996-05-27,PDUMJEAGRO,EQ,59.0,59.0,64.75,55.0,,55.0,61.0,400,2440000000.0,,,
1996-05-28,PDUMJEAGRO,EQ,55.0,52.0,52.0,52.0,,52.0,52.0,100,520000000.0,,,
1996-05-29,PDUMJEAGRO,EQ,52.0,55.0,57.05,52.55,,55.0,55.69,800,4455500000.0,,,
1996-05-30,PDUMJEAGRO,EQ,55.0,55.0,55.0,52.0,,52.0,53.09,1100,5840000000.0,,,
1996-06-03,PDUMJEAGRO,EQ,52.0,53.95,53.95,53.95,,53.95,53.95,100,539500000.0,,,
1996-06-04,PDUMJEAGRO,EQ,53.95,52.05,52.05,52.05,,52.05,52.05,100,520500000.0,,,
1996-06-05,PDUMJEAGRO,EQ,52.05,52.0,52.0,52.0,,52.0,52.0,100,520000000.0,,,
1996-06-07,PDUMJEAGRO,EQ,52.0,55.0,55.0,55.0,,55.0,55.0,200,1100000000.0,,,
1996-06-10,PDUMJEAGRO,EQ,55.0,55.0,55.0,54.95,,55.0,54.99,400,2199500000.0,,,
1996-06-11,PDUMJEAGRO,EQ,55.0,57.0,57.0,57.0,,57.0,57.0,100,570000000.0,,,
1996-06-12,PDUMJEAGRO,EQ,57.0,56.0,56.0,56.0,,56.0,56.0,100,560000000.0,,,
1996-06-14,PDUMJEAGRO,EQ,56.0,55.75,56.0,55.75,,56.0,55.88,200,1117500000.0,,,
1996-06-17,PDUMJEAGRO,EQ,56.0,55.5,55.5,55.5,,55.5,55.5,100,555000000.0,,,
1996-06-18,PDUMJEAGRO,EQ,55.5,59.0,59.0,58.0,,58.0,58.23,600,3493500000.0,,,
1996-06-19,PDUMJEAGRO,EQ,58.0,58.0,58.0,58.0,,58.0,58.0,200,1160000000.0,,,
1996-07-04,PDUMJEAGRO,EQ,58.0,63.0,63.0,53.0,,63.0,59.0,500,2950000000.0,,,
1996-07-05,PDUMJEAGRO,EQ,63.0,57.0,57.0,57.0,,57.0,57.0,100,570000000.0,,,
1996-07-08,PDUMJEAGRO,EQ,0.0,52.0,52.0,52.0,,52.0,52.0,100,520000000.0,,,
1996-07-09,PDUMJEAGRO,EQ,52.0,47.0,47.0,47.0,,47.0,47.0,100,470000000.0,,,
1996-07-10,PDUMJEAGRO,EQ,47.0,51.7,51.7,51.7,,51.7,51.7,100,517000000.0,,,
1996-07-11,PDUMJEAGRO,EQ,51.7,52.0,53.95,52.0,,53.35,53.52,900,4817000000.0,,,
1996-07-12,PDUMJEAGRO,EQ,53.35,53.0,53.5,52.5,,53.5,52.94,800,4235000000.0,,,
1996-07-15,PDUMJEAGRO,EQ,53.5,52.5,52.5,52.0,,52.5,52.33,300,1570000000.0,,,
1996-07-16,PDUMJEAGRO,EQ,52.5,52.5,52.5,52.5,,52.5,52.5,100,525000000.0,,,
1996-07-18,PDUMJEAGRO,EQ,52.5,52.5,52.5,52.5,,52.5,52.5,100,525000000.0,,,
1996-07-22,PDUMJEAGRO,EQ,52.5,54.0,54.0,54.0,,54.0,54.0,100,540000000.0,,,
1996-07-23,PDUMJEAGRO,EQ,54.0,58.0,58.0,54.0,,54.0,56.0,200,1120000000.0,,,
1996-07-25,PDUMJEAGRO,EQ,54.0,52.0,52.0,52.0,,52.0,52.0,100,520000000.0,,,
1996-07-26,PDUMJEAGRO,EQ,52.0,52.0,52.0,51.0,,51.3,51.26,400,2050500000.0,,,
1996-07-29,PDUMJEAGRO,EQ,51.3,52.0,52.0,50.0,,50.0,51.08,300,1532500000.0,,,
1996-07-30,PDUMJEAGRO,EQ,50.0,45.5,45.5,45.0,,45.0,45.31,800,3625000000.0,,,
1996-07-31,PDUMJEAGRO,EQ,45.0,45.0,49.5,45.0,,49.5,46.5,300,1395000000.0,,,
1996-08-05,PDUMJEAGRO,EQ,49.5,45.0,45.0,45.0,,45.0,45.0,100,450000000.0,,,
1996-08-06,PDUMJEAGRO,EQ,45.0,45.0,45.0,41.0,,41.5,42.8,500,2140000000.0,,,
1996-08-07,PDUMJEAGRO,EQ,41.5,43.0,43.0,43.0,,43.0,43.0,100,430000000.0,,,
1996-08-12,PDUMJEAGRO,EQ,43.0,42.5,42.5,42.5,,42.5,42.5,100,425000000.0,,,
1996-08-13,PDUMJEAGRO,EQ,42.5,42.55,43.0,42.5,,43.0,42.68,300,1280500000.0,,,
1996-08-14,PDUMJEAGRO,EQ,43.0,43.0,43.0,40.0,,40.0,41.5,200,830000000.0,,,
1996-08-16,PDUMJEAGRO,EQ,40.0,37.0,37.0,37.0,,37.0,37.0,100,370000000.0,,,
1996-08-19,PDUMJEAGRO,EQ,37.0,37.0,37.0,37.0,,37.0,37.0,100,370000000.0,,,
1996-08-22,PDUMJEAGRO,EQ,37.0,38.0,38.0,38.0,,38.0,38.0,100,380000000.0,,,
1996-08-23,PDUMJEAGRO,EQ,38.0,38.0,38.0,38.0,,38.0,38.0,100,380000000.0,,,
1996-08-26,PDUMJEAGRO,EQ,38.0,35.25,35.25,35.0,,35.0,35.13,400,1405000000.0,,,
1996-08-27,PDUMJEAGRO,EQ,35.0,38.45,38.45,38.45,,38.45,38.45,100,384500000.0,,,
1996-08-28,PDUMJEAGRO,EQ,38.45,36.0,36.0,35.0,,35.0,35.27,2000,7053000000.0,,,
1996-08-29,PDUMJEAGRO,EQ,35.0,36.5,36.5,35.0,,35.45,35.51,1400,4971000000.0,,,
1996-08-30,PDUMJEAGRO,EQ,35.45,35.0,38.0,34.5,,36.0,36.01,1000,3601000000.0,,,
1996-09-02,PDUMJEAGRO,EQ,36.0,37.8,37.8,37.0,,37.0,37.4,200,748000000.0,,,
1996-09-03,PDUMJEAGRO,EQ,37.0,37.0,38.5,37.0,,38.5,38.0,300,1140000000.0,,,
1996-09-04,PDUMJEAGRO,EQ,38.5,38.0,41.0,38.0,,41.0,40.0,400,1600000000.0,,,
1996-09-06,PDUMJEAGRO,EQ,41.0,39.9,39.9,39.9,,39.9,39.9,100,399000000.0,,,
1996-09-13,PDUMJEAGRO,EQ,39.9,39.0,39.0,39.0,,39.0,39.0,100,390000000.0,,,
1996-09-16,PDUMJEAGRO,EQ,39.0,38.5,38.5,38.5,,38.5,38.5,100,385000000.0,,,
1996-09-17,PDUMJEAGRO,EQ,38.5,38.75,38.75,38.0,,38.0,38.25,300,1147500000.0,,,
1996-09-18,PDUMJEAGRO,EQ,38.0,39.0,39.0,39.0,,39.0,39.0,300,1170000000.0,,,
1996-09-19,PDUMJEAGRO,EQ,39.0,39.0,40.0,38.0,,39.0,38.95,1000,3895000000.0,,,
1996-09-20,PDUMJEAGRO,EQ,39.0,38.0,38.0,37.0,,37.0,37.67,300,1130000000.0,,,
1996-09-23,PDUMJEAGRO,EQ,37.0,36.0,36.0,35.0,,35.0,35.28,400,1411000000.0,,,
1996-09-24,PDUMJEAGRO,EQ,35.0,35.1,35.1,33.8,,33.8,34.78,500,1739000000.0,,,
1996-09-25,PDUMJEAGRO,EQ,33.8,35.0,35.0,35.0,,35.0,35.0,100,350000000.0,,,
1996-10-03,PDUMJEAGRO,EQ,35.0,34.0,34.0,34.0,,34.0,34.0,100,340000000.0,,,
1996-10-08,PDUMJEAGRO,EQ,34.0,31.75,33.0,31.75,,33.0,32.42,300,972500000.0,,,
1996-10-14,PDUMJEAGRO,EQ,33.0,35.0,35.0,35.0,,35.0,35.0,900,3150000000.0,,,
1996-10-15,PDUMJEAGRO,EQ,35.0,36.0,36.0,36.0,,36.0,36.0,200,720000000.0,,,
1996-10-16,PDUMJEAGRO,EQ,36.0,38.0,38.0,37.0,,37.0,37.05,5500,20375500000.0,,,
1996-10-17,PDUMJEAGRO,EQ,37.0,36.25,36.25,36.25,,36.25,36.25,100,362500000.0,,,
1996-10-18,PDUMJEAGRO,EQ,36.25,38.0,38.0,38.0,,38.0,38.0,100,380000000.0,,,
1996-10-22,PDUMJEAGRO,EQ,38.0,38.0,38.0,38.0,,38.0,38.0,200,760000000.0,,,
1996-10-25,PDUMJEAGRO,EQ,38.0,38.0,38.0,38.0,,38.0,38.0,100,380000000.0,,,
1996-10-28,PDUMJEAGRO,EQ,38.0,38.0,38.0,38.0,,38.0,38.0,100,380000000.0,,,
1996-11-01,PDUMJEAGRO,EQ,38.0,36.0,36.0,36.0,,36.0,36.0,100,360000000.0,,,
1996-11-06,PDUMJEAGRO,EQ,36.0,35.0,35.0,35.0,,35.0,35.0,100,350000000.0,,,
1996-11-07,PDUMJEAGRO,EQ,35.0,37.25,37.25,37.25,,37.25,37.25,100,372500000.0,,,
1996-11-08,PDUMJEAGRO,EQ,37.25,37.0,37.25,37.0,,37.25,37.13,200,742500000.0,,,
1996-11-18,PDUMJEAGRO,EQ,37.25,37.5,37.5,37.5,,37.5,37.5,100,375000000.0,,,
1996-11-19,PDUMJEAGRO,EQ,37.5,38.6,38.6,38.6,,38.6,38.6,100,386000000.0,,,
1996-11-20,PDUMJEAGRO,EQ,38.6,37.0,37.0,37.0,,37.0,37.0,100,370000000.0,,,
1996-11-26,PDUMJEAGRO,EQ,37.0,37.0,37.0,37.0,,37.0,37.0,100,370000000.0,,,
1996-12-10,PDUMJEAGRO,EQ,37.0,35.0,35.0,35.0,,35.0,35.0,200,700000000.0,,,
1996-12-11,PDUMJEAGRO,EQ,35.0,35.0,35.25,35.0,,35.0,35.06,400,1402500000.0,,,
1996-12-12,PDUMJEAGRO,EQ,35.0,35.0,35.0,35.0,,35.0,35.0,100,350000000.0,,,
1996-12-16,PDUMJEAGRO,EQ,35.0,37.0,37.0,37.0,,37.0,37.0,100,370000000.0,,,
1996-12-17,PDUMJEAGRO,EQ,37.0,37.0,37.0,37.0,,37.0,37.0,1000,3700000000.0,,,
1996-12-18,PDUMJEAGRO,EQ,37.0,37.0,38.0,37.0,,38.0,37.14,700,2600000000.0,,,
1996-12-19,PDUMJEAGRO,EQ,38.0,38.0,38.0,38.0,,38.0,38.0,100,380000000.0,,,
1996-12-20,PDUMJEAGRO,EQ,38.0,39.0,39.0,39.0,,39.0,39.0,100,390000000.0,,,
1996-12-23,PDUMJEAGRO,EQ,39.0,38.0,38.0,38.0,,38.0,38.0,100,380000000.0,,,
1996-12-26,PDUMJEAGRO,EQ,38.0,40.25,40.25,40.25,,40.25,40.25,100,402500000.0,,,
1996-12-31,PDUMJEAGRO,EQ,40.25,42.0,42.0,42.0,,42.0,42.0,100,420000000.0,,,
1997-01-01,PDUMJEAGRO,EQ,42.0,42.85,42.95,42.85,,42.95,42.9,200,858000000.0,,,
1997-01-03,PDUMJEAGRO,EQ,42.95,42.0,42.0,40.5,,40.5,41.0,300,1230000000.0,,,
1997-01-07,PDUMJEAGRO,EQ,40.5,39.8,39.8,37.95,,38.0,38.37,1500,5755000000.0,,,
1997-01-08,PDUMJEAGRO,EQ,38.0,38.0,40.65,37.0,,38.75,39.03,400,1561000000.0,,,
1997-01-09,PDUMJEAGRO,EQ,38.75,40.4,40.4,40.4,,40.4,40.4,100,404000000.0,,,
1997-01-10,PDUMJEAGRO,EQ,40.4,40.0,41.0,40.0,,41.0,40.26,400,1610500000.0,,,
