Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,AARTIIND,EQ,48.0,48.0,47.0,46.05,,46.05,46.31,700,3242000000.0,,,
1996-01-04,AARTIIND,EQ,46.05,46.05,46.0,46.0,,46.0,46.0,100,460000000.0,,,
1996-01-08,AARTIIND,EQ,46.0,46.0,45.0,45.0,,45.0,45.0,100,450000000.0,,,
1996-01-09,AARTIIND,EQ,45.0,45.0,44.85,41.5,,41.55,42.1,600,2526000000.0,,,
1996-01-10,AARTIIND,EQ,41.55,41.55,40.8,40.8,,40.8,40.8,100,408000000.0,,,
1996-01-11,AARTIIND,EQ,40.8,40.8,41.0,41.0,,41.0,41.0,200,820000000.0,,,
1996-01-12,AARTIIND,EQ,41.0,41.0,42.45,42.45,,42.45,42.45,200,849000000.0,,,
1996-01-15,AARTIIND,EQ,42.45,42.45,42.0,40.5,,40.5,41.5,300,1245000000.0,,,
1996-01-18,AARTIIND,EQ,40.5,40.5,38.0,38.0,,38.0,38.0,100,380000000.0,,,
1996-01-30,AARTIIND,EQ,38.0,38.0,38.0,38.0,,38.0,38.0,1000,3800000000.0,,,
1996-01-31,AARTIIND,EQ,38.0,36.5,36.5,36.5,,36.5,36.5,100,365000000.0,,,
1996-02-01,AARTIIND,EQ,36.5,36.5,36.0,36.0,,36.0,36.0,100,360000000.0,,,
1996-02-02,AARTIIND,EQ,36.0,39.55,39.6,38.5,,38.5,39.44,1700,6705000000.0,,,
1996-02-05,AARTIIND,EQ,38.5,41.0,41.0,41.0,,41.0,41.0,200,820000000.0,,,
1996-02-06,AARTIIND,EQ,41.0,41.0,41.0,40.0,,40.6,40.65,400,1626000000.0,,,
1996-02-07,AARTIIND,EQ,40.6,40.6,40.6,40.0,,40.0,40.2,800,3216000000.0,,,
1996-02-08,AARTIIND,EQ,40.0,40.0,41.0,41.0,,41.0,41.0,200,820000000.0,,,
1996-02-09,AARTIIND,EQ,41.0,41.0,42.95,42.0,,42.0,42.63,300,1279000000.0,,,
1996-02-12,AARTIIND,EQ,42.0,42.0,45.0,45.0,,45.0,45.0,100,450000000.0,,,
1996-02-13,AARTIIND,EQ,45.0,45.0,45.0,42.5,,42.5,44.69,800,3575000000.0,,,
1996-02-14,AARTIIND,EQ,42.5,42.5,45.0,42.5,,45.0,43.75,200,875000000.0,,,
1996-02-15,AARTIIND,EQ,45.0,45.0,45.0,44.0,,45.0,44.58,300,1337500000.0,,,
1996-02-16,AARTIIND,EQ,45.0,46.0,46.0,45.0,,45.0,45.5,200,910000000.0,,,
1996-02-19,AARTIIND,EQ,45.0,45.0,45.0,44.95,,44.95,44.97,300,1349000000.0,,,
1996-02-20,AARTIIND,EQ,44.95,44.95,45.0,44.0,,44.0,44.19,1400,6187000000.0,,,
1996-02-22,AARTIIND,EQ,44.0,44.0,44.85,40.45,,43.5,43.06,500,2153000000.0,,,
1996-02-23,AARTIIND,EQ,43.5,43.5,45.5,45.5,,45.5,45.5,100,455000000.0,,,
1996-02-26,AARTIIND,EQ,45.5,45.25,45.25,44.0,,45.0,44.88,800,3590000000.0,,,
1996-02-27,AARTIIND,EQ,45.0,45.0,44.0,44.0,,44.0,44.0,300,1320000000.0,,,
1996-02-28,AARTIIND,EQ,44.0,42.0,42.0,42.0,,42.0,42.0,200,840000000.0,,,
1996-02-29,AARTIIND,EQ,42.0,42.0,41.0,41.0,,41.0,41.0,100,410000000.0,,,
1996-03-04,AARTIIND,EQ,41.0,45.0,45.0,37.0,,41.0,41.0,5200,21320000000.0,,,
1996-03-06,AARTIIND,EQ,41.0,40.0,40.0,40.0,,40.0,40.0,100,400000000.0,,,
1996-03-07,AARTIIND,EQ,40.0,40.0,40.0,38.0,,38.0,39.0,400,1560000000.0,,,
1996-03-08,AARTIIND,EQ,38.0,38.05,38.05,38.0,,38.0,38.03,200,760500000.0,,,
