Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1999-12-01,KALECONSUL,EQ,307.75,358.95,358.95,348.15,358.95,358.95,357.65,120150,4297159500000.0,,,
1999-12-02,KALECONSUL,EQ,358.95,387.65,387.7,364.35,387.7,387.7,377.99,153050,5785113750000.0,,,
1999-12-03,KALECONSUL,EQ,387.7,404.9,418.75,400.2,418.75,418.75,415.93,209750,8724054000000.0,,,
1999-12-06,KALECONSUL,EQ,418.75,448.7,452.25,448.7,452.25,452.25,452.15,15700,709872250000.0,,,
1999-12-07,KALECONSUL,EQ,452.25,488.45,488.45,488.45,488.45,488.45,488.45,58650,2864759250000.0,,,
1999-12-08,KALECONSUL,EQ,488.45,526.9,527.55,449.4,475.0,485.85,503.45,272100,13698782250000.0,,,
1999-12-09,KALECONSUL,EQ,485.85,494.0,524.75,467.0,524.75,524.4,505.13,364700,18422110750000.0,,,
1999-12-10,KALECONSUL,EQ,524.4,545.0,566.35,530.0,566.35,566.35,556.17,150200,8353611500000.0,,,
1999-12-13,KALECONSUL,EQ,566.35,611.7,611.7,578.0,610.0,605.2,600.24,258650,15525116500000.0,,,
1999-12-14,KALECONSUL,EQ,605.2,615.0,626.8,570.0,580.0,580.45,596.08,256250,15274505250000.0,,,
1999-12-15,KALECONSUL,EQ,580.45,587.0,599.0,535.0,560.0,558.9,563.61,312150,17592979750000.0,,,
1999-12-16,KALECONSUL,EQ,558.9,574.4,603.65,562.5,603.65,603.65,589.65,145850,8600009250000.0,,,
1999-12-17,KALECONSUL,EQ,603.65,630.0,651.95,630.0,651.95,651.95,645.77,226500,14626768500000.0,,,
1999-12-20,KALECONSUL,EQ,651.95,704.1,704.15,683.0,704.15,702.9,699.35,201950,14123415250000.0,,,
1999-12-21,KALECONSUL,EQ,702.9,750.0,750.0,649.9,710.0,707.0,708.19,354600,25112357000000.0,,,
1999-12-22,KALECONSUL,EQ,707.0,749.0,763.6,700.0,705.0,706.85,728.24,340900,24825699500000.0,,,
1999-12-23,KALECONSUL,EQ,706.85,704.0,727.0,697.0,718.9,715.75,714.69,96450,6893215750000.0,,,
1999-12-24,KALECONSUL,EQ,715.75,690.0,695.0,658.5,658.5,659.65,671.87,102850,6910232250000.0,,,
1999-12-27,KALECONSUL,EQ,659.65,625.0,657.0,606.9,606.9,606.9,615.1,76000,4674777750000.0,,,
1999-12-28,KALECONSUL,EQ,606.9,561.45,637.0,560.0,605.0,607.55,604.31,259050,15654538500000.0,,,
1999-12-29,KALECONSUL,EQ,607.55,623.0,656.15,617.0,656.15,656.15,645.69,60650,3916090000000.0,,,
1999-12-30,KALECONSUL,EQ,656.15,679.0,708.65,670.0,708.65,708.65,702.16,83550,5866562250000.0,,,
2000-01-03,KALECONSUL,EQ,708.65,760.0,765.35,745.0,765.35,765.35,763.63,108800,8308258750000.0,,,
2000-01-04,KALECONSUL,EQ,765.35,780.0,790.0,727.0,765.0,769.35,762.92,206350,15742956250000.0,,,
2000-01-05,KALECONSUL,EQ,769.35,711.0,729.0,707.8,707.8,707.8,714.45,179600,12831579750000.0,,,
2000-01-06,KALECONSUL,EQ,707.8,700.0,713.0,651.2,651.2,651.2,669.13,75800,5071996750000.0,,,
2000-01-07,KALECONSUL,EQ,651.2,599.1,610.0,599.1,599.1,599.1,600.75,33800,2030544250000.0,,,
2000-01-10,KALECONSUL,EQ,599.1,625.0,643.0,551.2,551.2,551.2,580.89,66050,3836781750000.0,,,
2000-01-11,KALECONSUL,EQ,551.2,580.0,590.0,507.1,507.1,512.3,542.4,105750,5735886750000.0,,,
2000-01-12,KALECONSUL,EQ,512.3,515.0,553.3,505.0,553.3,553.3,548.21,32050,1757005750000.0,,,
2000-01-13,KALECONSUL,EQ,553.3,569.0,597.6,553.3,560.1,563.35,583.98,99650,5819406000000.0,,,
2000-01-14,KALECONSUL,EQ,563.35,561.0,569.0,518.3,518.3,518.7,527.79,61550,3248522250000.0,,,
2000-01-17,KALECONSUL,EQ,518.7,520.0,539.0,477.2,477.2,477.2,492.96,71450,3522194000000.0,,,
2000-01-18,KALECONSUL,EQ,477.2,445.0,475.0,439.05,439.05,439.05,443.14,134750,5971344250000.0,,,
2000-01-19,KALECONSUL,EQ,439.05,440.0,474.2,435.0,474.2,474.2,457.81,157700,7219614250000.0,,,
2000-01-20,KALECONSUL,EQ,474.2,498.0,505.0,470.0,477.8,476.05,490.54,198600,9742189500000.0,,,
2000-01-21,KALECONSUL,EQ,476.05,483.5,483.5,460.05,479.95,474.15,473.97,107950,5116556250000.0,,,
2000-01-24,KALECONSUL,EQ,474.15,475.0,495.0,460.05,465.0,462.45,475.37,87500,4159481000000.0,,,
2000-01-25,KALECONSUL,EQ,462.45,459.2,460.0,441.0,452.3,451.2,451.76,103100,4657659250000.0,,,
2000-01-27,KALECONSUL,EQ,451.2,469.0,487.3,466.15,485.0,478.55,476.87,78200,3729139750000.0,,,
2000-01-28,KALECONSUL,EQ,478.55,480.35,510.9,471.1,494.0,488.15,490.19,215500,10563518250000.0,,,
2000-01-31,KALECONSUL,EQ,488.15,483.0,488.9,449.1,449.1,450.35,467.2,113350,5295695250000.0,,,
2000-02-01,KALECONSUL,EQ,450.35,450.0,473.85,450.0,472.95,468.55,466.27,106250,4954089250000.0,,,
2000-02-02,KALECONSUL,EQ,468.55,490.0,502.0,478.0,485.7,484.75,491.28,101800,5001229000000.0,,,
2000-02-03,KALECONSUL,EQ,484.75,485.0,523.55,485.0,523.55,523.55,504.17,98800,4981179250000.0,,,
2000-02-04,KALECONSUL,EQ,523.55,564.9,565.45,564.9,565.45,565.45,565.44,17450,986693750000.0,,,
2000-02-07,KALECONSUL,EQ,565.45,609.7,610.7,539.0,590.0,591.95,592.43,184450,10927354500000.0,,,
2000-02-08,KALECONSUL,EQ,591.95,581.0,590.0,546.0,554.65,551.7,559.86,94000,5262723750000.0,,,
2000-02-09,KALECONSUL,EQ,551.7,579.0,587.0,520.15,535.0,534.6,557.81,86500,4825073750000.0,,,
2000-02-10,KALECONSUL,EQ,534.6,521.0,533.0,508.0,527.0,528.9,522.57,56000,2926410250000.0,,,
2000-02-11,KALECONSUL,EQ,528.9,540.0,569.0,520.0,556.0,560.6,545.17,118050,6435782000000.0,,,
