Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-09-12,ALKYLAMINE,EQ,51.3,50.0,50.0,50.0,,50.0,50.0,50,250000000.0,,,
1996-09-13,ALKYLAMINE,EQ,50.0,53.0,53.0,53.0,,53.0,53.0,250,1325000000.0,,,
1996-11-19,ALKYLAMINE,EQ,53.0,48.25,48.25,48.25,,48.25,48.25,50,241250000.0,,,
1996-11-26,ALKYLAMINE,EQ,48.25,49.05,49.05,49.0,,49.05,49.02,300,1470500000.0,,,
1996-11-27,ALKYLAMINE,EQ,49.05,53.45,53.5,53.45,,53.5,53.47,150,802000000.0,,,
1996-11-28,ALKYLAMINE,EQ,53.5,52.0,52.0,49.05,,51.0,51.01,700,3570500000.0,,,
1996-11-29,ALKYLAMINE,EQ,51.0,49.05,49.05,48.0,,49.0,48.26,800,3860500000.0,,,
1996-12-02,ALKYLAMINE,EQ,49.0,49.1,49.1,49.0,,49.0,49.03,500,2451500000.0,,,
1996-12-03,ALKYLAMINE,EQ,49.0,48.25,49.0,48.25,,49.0,48.63,200,972500000.0,,,
1996-12-05,ALKYLAMINE,EQ,49.0,49.0,49.9,49.0,,49.45,49.45,300,1483500000.0,,,
1996-12-06,ALKYLAMINE,EQ,49.45,49.5,49.5,49.0,,49.0,49.1,250,1227500000.0,,,
1996-12-10,ALKYLAMINE,EQ,49.0,48.0,48.0,48.0,,48.0,48.0,50,240000000.0,,,
1996-12-11,ALKYLAMINE,EQ,48.0,49.0,50.0,49.0,,50.0,49.5,100,495000000.0,,,
1996-12-13,ALKYLAMINE,EQ,50.0,48.5,48.5,46.3,,47.5,47.65,1850,8815000000.0,,,
1996-12-16,ALKYLAMINE,EQ,47.5,46.5,47.0,46.5,,47.0,46.86,700,3280000000.0,,,
1996-12-17,ALKYLAMINE,EQ,47.0,50.25,50.25,46.5,,46.5,47.45,250,1186250000.0,,,
1996-12-18,ALKYLAMINE,EQ,46.5,45.5,48.0,45.5,,48.0,46.3,500,2315000000.0,,,
1996-12-19,ALKYLAMINE,EQ,48.0,44.0,46.0,44.0,,45.6,45.4,400,1816000000.0,,,
1996-12-20,ALKYLAMINE,EQ,45.6,45.0,45.0,43.75,,44.0,44.09,4650,20502750000.0,,,
1996-12-23,ALKYLAMINE,EQ,44.0,44.0,46.45,44.0,,46.0,45.86,400,1834500000.0,,,
1996-12-24,ALKYLAMINE,EQ,46.0,44.0,44.0,44.0,,44.0,44.0,300,1320000000.0,,,
1996-12-31,ALKYLAMINE,EQ,44.0,48.25,48.25,44.1,,44.1,46.68,450,2100500000.0,,,
1997-01-01,ALKYLAMINE,EQ,44.1,47.5,48.0,47.5,,48.0,47.67,150,715000000.0,,,
1997-01-02,ALKYLAMINE,EQ,48.0,48.0,49.0,48.0,,49.0,48.33,300,1450000000.0,,,
1997-01-03,ALKYLAMINE,EQ,49.0,47.15,47.15,45.15,,45.15,45.75,950,4346500000.0,,,
1997-01-07,ALKYLAMINE,EQ,45.15,46.0,49.65,46.0,,49.65,46.61,600,2796500000.0,,,
1997-01-08,ALKYLAMINE,EQ,49.65,52.0,54.0,52.0,,54.0,52.73,750,3955000000.0,,,
1997-01-09,ALKYLAMINE,EQ,54.0,53.0,58.0,53.0,,58.0,56.15,800,4492000000.0,,,
1997-01-10,ALKYLAMINE,EQ,58.0,62.0,62.0,62.0,,62.0,62.0,450,2790000000.0,,,
1997-01-13,ALKYLAMINE,EQ,62.0,59.0,61.9,59.0,,61.9,61.08,1250,7635500000.0,,,
1997-01-14,ALKYLAMINE,EQ,61.9,61.0,62.0,60.5,,62.0,61.17,450,2752500000.0,,,
1997-01-15,ALKYLAMINE,EQ,62.0,63.9,67.0,63.9,,66.0,65.68,850,5582500000.0,,,
1997-01-16,ALKYLAMINE,EQ,66.0,66.5,66.75,62.0,,62.0,63.88,950,6068250000.0,,,
1997-01-17,ALKYLAMINE,EQ,62.0,60.0,60.0,60.0,,60.0,60.0,450,2700000000.0,,,
1997-01-20,ALKYLAMINE,EQ,60.0,58.0,58.0,55.0,,55.1,56.03,300,1681000000.0,,,
1997-01-21,ALKYLAMINE,EQ,55.1,54.25,54.9,54.0,,54.1,54.21,600,3252500000.0,,,
1997-01-22,ALKYLAMINE,EQ,54.1,55.0,55.0,55.0,,55.0,55.0,100,550000000.0,,,
1997-01-24,ALKYLAMINE,EQ,55.0,55.0,56.95,55.0,,55.0,55.87,450,2514000000.0,,,
1997-01-27,ALKYLAMINE,EQ,55.0,57.0,57.0,55.0,,55.0,55.5,200,1110000000.0,,,
1997-01-28,ALKYLAMINE,EQ,55.0,55.0,55.0,53.95,,54.0,54.27,350,1899500000.0,,,
1997-01-29,ALKYLAMINE,EQ,54.0,54.05,54.95,54.05,,54.95,54.63,300,1639000000.0,,,
1997-01-30,ALKYLAMINE,EQ,54.95,55.0,55.0,54.05,,54.05,54.47,250,1361750000.0,,,
1997-02-04,ALKYLAMINE,EQ,54.05,50.0,50.0,50.0,,50.0,50.0,100,500000000.0,,,
1997-02-11,ALKYLAMINE,EQ,50.0,53.0,53.25,52.95,,53.25,53.01,2300,12192000000.0,,,
1997-02-13,ALKYLAMINE,EQ,53.25,53.0,53.0,53.0,,53.0,53.0,50,265000000.0,,,
1997-02-17,ALKYLAMINE,EQ,53.0,52.0,52.0,52.0,,52.0,52.0,50,260000000.0,,,
1997-02-18,ALKYLAMINE,EQ,52.0,52.0,52.0,52.0,,52.0,52.0,200,1040000000.0,,,
1997-02-19,ALKYLAMINE,EQ,52.0,52.45,52.45,52.45,,52.45,52.45,50,262250000.0,,,
1997-02-20,ALKYLAMINE,EQ,52.45,52.0,52.05,52.0,,52.0,52.01,250,1300250000.0,,,
1997-02-21,ALKYLAMINE,EQ,52.0,52.0,52.1,52.0,,52.1,52.05,450,2342250000.0,,,
1997-02-24,ALKYLAMINE,EQ,52.1,51.5,51.5,49.0,,49.0,49.82,750,3736500000.0,,,
1997-02-25,ALKYLAMINE,EQ,49.0,51.25,51.25,48.5,,49.3,49.57,350,1735000000.0,,,
1997-02-26,ALKYLAMINE,EQ,49.3,48.75,48.75,48.75,,48.75,48.75,100,487500000.0,,,
1997-02-27,ALKYLAMINE,EQ,48.75,49.35,51.0,49.35,,51.0,50.32,250,1258000000.0,,,
1997-03-01,ALKYLAMINE,EQ,49.25,54.0,54.0,53.5,,53.95,53.92,450,2426250000.0,,,
1997-03-03,ALKYLAMINE,EQ,53.95,56.0,58.0,55.0,,57.5,57.38,1450,8320000000.0,,,
1997-03-04,ALKYLAMINE,EQ,57.5,56.5,58.0,56.5,,58.0,57.14,350,2000000000.0,,,
1997-03-05,ALKYLAMINE,EQ,58.0,59.95,60.0,59.95,,60.0,59.98,200,1199500000.0,,,
1997-03-06,ALKYLAMINE,EQ,60.0,56.5,56.5,56.5,,56.5,56.5,200,1130000000.0,,,
1997-03-11,ALKYLAMINE,EQ,56.5,52.55,52.55,52.25,,52.25,52.52,750,3938750000.0,,,
1997-03-17,ALKYLAMINE,EQ,52.25,53.0,53.0,53.0,,53.0,53.0,50,265000000.0,,,
1997-03-18,ALKYLAMINE,EQ,53.0,52.5,53.0,52.0,,52.0,52.32,700,3662500000.0,,,
1997-03-25,ALKYLAMINE,EQ,52.0,52.0,52.0,51.5,,51.75,51.83,300,1555000000.0,,,
1997-03-27,ALKYLAMINE,EQ,51.75,52.0,52.0,52.0,,52.0,52.0,200,1040000000.0,,,
1997-04-02,ALKYLAMINE,EQ,52.0,48.55,48.55,48.55,,48.55,48.55,50,242750000.0,,,
1997-04-03,ALKYLAMINE,EQ,48.55,51.0,51.0,51.0,,51.0,51.0,50,255000000.0,,,
1997-04-04,ALKYLAMINE,EQ,51.0,48.25,48.25,47.15,,47.15,47.73,300,1432000000.0,,,
