Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-03-19,AMDMET,EQ,75.0,73.0,82.65,70.0,78.45,77.9,78.18,15927294,124520509220000.0,,1722108,0.1081
2007-03-20,AMDMET,EQ,77.9,80.5,89.0,80.1,80.75,81.65,85.03,6588989,56024291525000.0,,773153,0.1173
2007-03-21,AMDMET,EQ,81.65,82.8,83.3,78.2,79.35,79.1,80.71,2345510,18931493935000.0,,397941,0.1697
2007-03-22,AMDMET,EQ,79.1,81.25,85.25,79.5,79.7,80.1,82.52,2629984,21701460055000.0,,330642,0.1257
2007-03-23,AMDMET,EQ,80.1,81.4,81.85,75.75,76.7,76.45,78.49,694650,5452341715000.0,,143904,0.2072
2007-03-26,AMDMET,EQ,76.45,77.55,78.7,75.05,76.05,75.75,76.93,586426,4511578060000.0,,126728,0.2161
2007-03-28,AMDMET,EQ,75.75,76.9,76.9,69.1,69.85,69.8,71.89,399480,2871877255000.0,,134590,0.3369
2007-03-29,AMDMET,EQ,69.8,70.0,74.8,68.25,72.0,71.1,72.04,1031589,7431891490000.001,,146892,0.1424
2007-03-30,AMDMET,EQ,71.1,72.9,73.6,70.5,70.6,71.35,72.47,312945,2267981765000.0,,87197,0.2786
2007-04-02,AMDMET,EQ,71.35,68.1,69.95,65.1,65.5,65.6,67.05,163470,1095985160000.0,,71271,0.436
2007-04-03,AMDMET,EQ,65.6,66.5,66.9,63.0,63.85,64.05,65.21,197389,1287120220000.0,,59329,0.3006
2007-04-04,AMDMET,EQ,64.05,65.0,68.25,64.5,65.9,65.9,66.42,381943,2536726780000.0,,106265,0.2782
2007-04-05,AMDMET,EQ,65.9,70.0,70.0,65.1,67.0,66.7,67.38,358600,2416095515000.0,,42141,0.11750000000000001
2007-04-09,AMDMET,EQ,66.7,67.0,72.5,67.0,68.85,68.95,69.73,407581,2842053550000.0,,63536,0.1559
2007-04-10,AMDMET,EQ,68.95,70.0,72.9,69.05,71.75,71.3,71.4,323299,2308425670000.0,,87369,0.2702
2007-04-11,AMDMET,EQ,71.3,72.0,73.0,68.55,68.85,69.05,71.28,109846,783016390000.0,,38848,0.35369999999999996
2007-04-12,AMDMET,EQ,69.05,68.7,68.7,65.25,65.45,65.65,66.64,122861,818790980000.0,,77303,0.6292
2007-04-13,AMDMET,EQ,65.65,66.0,66.85,63.55,65.0,64.85,65.79,86558,569500385000.0,,32831,0.3793
2007-04-16,AMDMET,EQ,64.85,68.4,68.95,66.0,67.15,67.3,67.36,218238,1469961580000.0,,94495,0.433
2007-04-17,AMDMET,EQ,67.3,68.0,72.5,66.6,68.75,68.5,69.9,295440,2065218095000.0,,67632,0.22890000000000002
2007-04-18,AMDMET,EQ,68.5,70.0,70.9,68.2,68.75,68.65,69.4,108758,754772245000.0,,28285,0.2601
2007-04-19,AMDMET,EQ,68.65,67.5,68.5,65.6,68.0,67.55,67.13,118735,797032090000.0,,40885,0.3443
2007-04-20,AMDMET,EQ,67.55,69.5,70.9,67.8,68.4,68.25,69.29,113421,785919530000.0,,41295,0.3641
2007-04-23,AMDMET,EQ,68.25,69.5,70.9,67.0,67.05,67.25,68.16,134488,916667530000.0001,,61910,0.46030000000000004
2007-04-24,AMDMET,EQ,67.25,67.4,68.0,66.55,66.8,66.9,67.04,77851,521881800000.0,,63901,0.8208
2007-04-25,AMDMET,EQ,66.9,67.45,67.9,66.5,66.8,66.8,67.09,45150,302930955000.0,,16352,0.3622
2007-04-26,AMDMET,EQ,66.8,67.8,68.75,66.3,66.75,66.7,67.51,58175,392748855000.0,,28672,0.4929
2007-04-27,AMDMET,EQ,66.7,68.0,68.0,63.15,64.0,63.8,65.42,39951,261371320000.00003,,22104,0.5533
2007-04-30,AMDMET,EQ,63.8,63.1,66.9,63.1,66.0,65.35,64.5,36746,237029754999.99997,,22015,0.5991
2007-05-03,AMDMET,EQ,65.35,64.55,66.9,64.55,65.7,65.6,65.98,34196,225629775000.0,,20693,0.6051
2007-05-04,AMDMET,EQ,65.6,67.0,69.85,64.15,64.6,64.5,65.25,138927,906448100000.0,,97992,0.7053
2007-05-07,AMDMET,EQ,64.5,65.1,65.7,62.5,63.0,62.75,63.85,87618,559458760000.0,,31863,0.36369999999999997
2007-05-08,AMDMET,EQ,62.75,64.0,66.25,62.0,63.0,62.75,64.42,169954,1094796955000.0001,,42455,0.24980000000000002
2007-05-09,AMDMET,EQ,62.75,64.0,64.0,60.5,60.65,60.85,62.06,76816,476709400000.0,,38523,0.5015
2007-05-10,AMDMET,EQ,60.85,63.0,63.0,59.0,59.1,59.4,60.61,39454,239135075000.0,,23055,0.5844
2007-05-11,AMDMET,EQ,59.4,57.55,58.9,56.55,57.45,57.3,57.62,42059,242364985000.0,,19897,0.4731
2007-05-14,AMDMET,EQ,57.3,58.5,58.5,56.7,57.1,57.2,57.67,38078,219581475000.0,,17617,0.46270000000000006
2007-05-15,AMDMET,EQ,57.2,57.3,68.65,57.1,68.65,68.65,66.7,684336,4564252450000.0,,157021,0.2295
2007-05-16,AMDMET,EQ,68.65,70.05,72.85,65.35,66.8,66.75,69.46,924286,6420383235000.0,,222185,0.2404
2007-05-17,AMDMET,EQ,66.75,67.6,69.0,65.7,65.8,66.25,66.87,159765,1068388410000.0,,57377,0.3591
2007-05-18,AMDMET,EQ,66.25,65.5,72.1,64.95,68.0,67.7,69.19,647016,4476609925000.0,,107760,0.16649999999999998
2007-05-21,AMDMET,EQ,67.7,68.85,72.5,68.0,68.85,69.35,70.5,328868,2318370790000.0,,89319,0.2716
2007-05-22,AMDMET,EQ,69.35,69.85,71.0,68.4,68.4,69.1,69.68,251716,1753864935000.0002,,103862,0.41259999999999997
2007-05-23,AMDMET,EQ,69.1,69.6,70.25,66.55,67.0,66.95,68.65,136210,935069950000.0,,55463,0.4072
2007-05-24,AMDMET,EQ,66.95,67.0,67.95,65.0,65.1,65.3,66.03,77272,510224259999.99994,,32867,0.4253
2007-05-25,AMDMET,EQ,65.3,64.8,67.5,63.55,65.35,65.5,65.29,113985,744191775000.0,,31037,0.2723
2007-05-28,AMDMET,EQ,65.5,66.8,68.0,62.6,63.4,63.15,64.5,163579,1055143365000.0,,83840,0.5125
2007-05-29,AMDMET,EQ,63.15,63.45,65.5,57.0,62.25,63.25,63.88,105428,673473420000.0,,32787,0.311
2007-05-30,AMDMET,EQ,63.25,62.4,65.3,56.75,58.7,59.15,58.48,3182436,18609950505000.0,,1271944,0.3997
2007-05-31,AMDMET,EQ,59.15,61.15,64.7,60.05,60.45,60.75,62.45,526880,3290120505000.0,,157670,0.2993
2007-06-01,AMDMET,EQ,60.75,61.9,63.3,59.5,60.25,60.05,61.29,392505,2405517980000.0,,172678,0.4399
2007-06-04,AMDMET,EQ,60.05,62.0,62.8,60.0,60.05,60.25,61.1,168514,1029587060000.0,,45050,0.26730000000000004
2007-06-05,AMDMET,EQ,60.25,60.35,61.9,59.0,59.5,59.55,60.32,125772,758712130000.0,,29277,0.2328
2007-06-06,AMDMET,EQ,59.55,60.25,60.5,56.6,57.0,57.2,58.64,104381,612083820000.0,,53787,0.5153
2007-06-07,AMDMET,EQ,57.2,57.25,58.5,56.0,57.0,57.35,57.29,126437,724306840000.0,,45850,0.3626
2007-06-08,AMDMET,EQ,57.35,56.5,57.0,55.0,55.5,55.2,55.9,88321,493747430000.0,,42673,0.4832
2007-06-11,AMDMET,EQ,55.2,56.0,57.5,55.4,55.6,55.6,56.57,181483,1026587719999.9999,,118427,0.6526000000000001
2007-06-12,AMDMET,EQ,55.6,56.2,56.25,52.55,53.15,53.4,53.54,253164,1355512945000.0,,127621,0.5041
2007-06-13,AMDMET,EQ,53.4,55.45,57.5,52.5,55.05,55.5,55.84,1013374,5658837135000.0,,442088,0.4363
2007-06-14,AMDMET,EQ,55.5,56.6,56.75,53.5,54.6,53.8,54.74,104868,574081635000.0,,55250,0.5269
