Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-03-28,ARIHANTSUP,EQ,105.55,114.95,114.95,103.95,104.3,105.25,106.01,201010,2130976805000.0,1005,62772,0.3123
2017-03-29,ARIHANTSUP,EQ,105.25,105.0,108.0,100.0,100.0,104.3,105.02,241882,2540251620000.0,984,107294,0.4436
2017-03-30,ARIHANTSUP,EQ,104.3,103.7,113.0,101.65,113.0,109.15,106.73,878640,9377499745000.0,1247,538650,0.613
2017-03-31,ARIHANTSUP,EQ,109.15,114.25,123.0,113.1,118.9,120.4,118.73,733527,8709098159999.999,2648,223861,0.3052
2017-04-03,ARIHANTSUP,EQ,120.4,122.5,131.75,118.0,128.0,128.45,122.23,737644,9016100710000.0,5818,169517,0.2298
2017-04-05,ARIHANTSUP,EQ,128.45,130.3,133.9,124.9,129.5,130.0,126.7,1355933,17179194000000.0,5336,437230,0.3225
2017-04-06,ARIHANTSUP,EQ,130.0,130.1,130.1,124.95,125.5,125.35,126.04,905768,11415916540000.0,4774,210301,0.2322
2017-04-07,ARIHANTSUP,EQ,125.35,127.0,131.5,126.5,128.05,128.05,128.78,820123,10561420165000.0,8203,219483,0.2676
2017-04-10,ARIHANTSUP,EQ,128.05,129.05,134.1,126.3,126.75,126.9,130.23,718482,9357119615000.0,12960,109858,0.1529
2017-04-11,ARIHANTSUP,EQ,126.9,127.0,129.4,126.15,127.4,127.4,126.78,621038,7873743055000.0,9993,72357,0.1165
2017-04-12,ARIHANTSUP,EQ,127.4,129.05,130.35,126.1,130.0,129.9,127.83,621068,7938862765000.001,4583,114279,0.184
2017-04-13,ARIHANTSUP,EQ,129.9,130.85,133.35,129.35,130.15,130.1,131.0,592124,7756809950000.0,4026,129687,0.219
2017-04-17,ARIHANTSUP,EQ,130.1,129.65,131.35,128.15,128.3,128.25,129.12,615537,7947958105000.0,5992,110946,0.1802
2017-04-18,ARIHANTSUP,EQ,128.25,130.05,132.9,130.0,132.9,131.75,131.86,669069,8822139365000.0,4069,170007,0.2541
