Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-04-24,AROGRANITE,EQ,101.85,116.0,116.0,101.0,102.05,104.85,108.64,56941,618630815000.0,,5811,0.10210000000000001
2007-04-25,AROGRANITE,EQ,104.85,103.5,105.95,95.5,102.35,102.25,100.2,16371,164038625000.0,,3483,0.21280000000000002
2007-04-26,AROGRANITE,EQ,102.25,104.95,105.0,99.0,99.15,100.85,103.36,717,7410800000.0,,451,0.629
2007-04-27,AROGRANITE,EQ,100.85,103.5,104.95,93.05,96.0,95.8,98.53,3169,31223800000.0,,1900,0.5996
2007-04-30,AROGRANITE,EQ,95.8,98.45,102.75,97.75,101.1,101.1,99.77,1134,11313505000.0,,990,0.873
2007-05-03,AROGRANITE,EQ,101.1,103.9,106.7,102.7,105.0,104.9,104.43,2383,24885595000.0,,1782,0.7478
2007-05-04,AROGRANITE,EQ,104.9,102.0,112.0,100.0,105.5,106.7,107.74,2416,26030900000.0,,1934,0.8005
2007-05-07,AROGRANITE,EQ,106.7,102.0,108.0,102.0,106.65,105.05,106.15,1207,12811955000.0,,1154,0.9561000000000001
2007-05-08,AROGRANITE,EQ,105.05,101.0,105.8,100.4,105.65,105.15,102.78,167,1716370000.0,,139,0.8323
2007-05-09,AROGRANITE,EQ,105.15,109.0,110.0,98.35,99.2,99.85,101.95,701,7146775000.0,,468,0.6676000000000001
2007-05-10,AROGRANITE,EQ,99.85,95.1,104.0,95.1,104.0,103.55,103.09,562,5793720000.0,,560,0.9964000000000001
2007-05-11,AROGRANITE,EQ,103.55,105.0,105.0,97.0,98.4,98.4,98.94,674,6668714999.999999,,600,0.8902
2007-05-14,AROGRANITE,EQ,98.4,101.0,105.6,101.0,105.0,105.0,101.02,502,5071060000.0,,501,0.998
2007-05-15,AROGRANITE,EQ,105.0,109.95,109.95,96.5,97.6,97.7,98.63,1812,17871320000.0,,1130,0.6236
2007-05-16,AROGRANITE,EQ,97.7,100.0,104.9,100.0,103.0,103.05,101.9,1051,10710210000.0,,993,0.9448000000000001
2007-05-17,AROGRANITE,EQ,103.05,100.55,102.15,100.55,102.15,102.15,102.02,1128,11507485000.0,,1127,0.9991
