Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-11-02,ADANIGAS,EQ,220.5,221.4,226.6,216.1,219.95,219.35,220.42,4461172,98332696470000.0,42232,1889830,0.4236
2020-11-03,ADANIGAS,EQ,219.35,221.0,228.45,220.05,223.5,222.95,223.36,3414339,76261806055000.0,31141,1457255,0.4268
2020-11-04,ADANIGAS,EQ,222.95,226.95,233.0,212.0,230.05,231.35,225.74,7919096,178766211135000.0,68506,1982651,0.2504
2020-11-05,ADANIGAS,EQ,231.35,234.0,236.65,227.6,235.5,235.45,233.41,2425581,56614516190000.0,24493,967345,0.39880000000000004
2020-11-06,ADANIGAS,EQ,235.45,235.1,242.7,233.05,239.05,239.85,238.59,2417397,57677682915000.0,29433,872313,0.3608
2020-11-09,ADANIGAS,EQ,239.85,243.0,247.3,237.0,238.3,238.8,241.75,2145913,51877695475000.0,27056,706192,0.32909999999999995
2020-11-10,ADANIGAS,EQ,238.8,240.0,240.4,231.25,237.0,236.7,235.04,2520564,59243537165000.0,20746,1305704,0.518
2020-11-11,ADANIGAS,EQ,236.7,234.1,238.7,231.4,233.2,234.15,234.68,1172270,27511314495000.0,19377,409703,0.34950000000000003
2020-11-12,ADANIGAS,EQ,234.15,235.0,242.65,233.25,241.45,240.55,239.03,2035182,48647361610000.0,18424,878798,0.4318
2020-11-13,ADANIGAS,EQ,240.55,241.45,245.0,238.05,242.5,243.1,242.23,1379152,33407075495000.0,15327,458286,0.3323
2020-11-14,ADANIGAS,EQ,243.1,245.7,247.0,243.6,244.1,244.7,245.11,349600,8569114775000.0,5708,180444,0.5161
2020-11-17,ADANIGAS,EQ,244.7,246.25,293.6,242.55,293.6,292.3,277.03,15144641,419551259685000.0,155633,2703540,0.17850000000000002
2020-11-18,ADANIGAS,EQ,292.3,302.45,350.75,301.0,339.9,345.1,333.47,26647168,888592685035000.0,331972,4049020,0.1519
2020-11-19,ADANIGAS,EQ,345.1,340.35,346.8,312.15,331.4,331.7,333.8,9487325,316691384540000.0,125398,2549938,0.2688
2020-11-20,ADANIGAS,EQ,331.7,333.9,361.5,325.2,343.6,345.25,348.06,11803783,410847769465000.0,131308,3290303,0.2787
2020-11-23,ADANIGAS,EQ,345.25,358.0,365.75,340.95,342.0,344.65,349.07,4884218,170492346220000.0,64166,1649758,0.33780000000000004
2020-11-24,ADANIGAS,EQ,344.65,348.8,350.95,337.5,338.5,338.75,342.26,2207876,75565718915000.0,34721,792907,0.3591
2020-11-25,ADANIGAS,EQ,338.75,341.6,341.6,320.0,325.15,324.9,326.31,3548873,115802345580000.0,53879,1027091,0.28940000000000005
2020-11-26,ADANIGAS,EQ,324.9,323.5,324.25,311.95,315.8,316.35,316.37,2636543,83413256540000.0,40577,762728,0.2893
2020-11-27,ADANIGAS,EQ,316.35,318.7,347.95,317.95,347.95,347.9,341.62,14902282,509087343405000.0,99208,5807896,0.3897
2020-12-01,ADANIGAS,EQ,347.9,358.9,371.8,350.0,359.8,360.95,362.28,8799937,318807610865000.0,89863,2725071,0.3097
2020-12-02,ADANIGAS,EQ,360.95,361.0,377.95,354.0,372.05,374.05,367.59,8405469,308979302465000.0,90577,2315625,0.2755
2020-12-03,ADANIGAS,EQ,374.05,376.0,382.65,361.5,364.0,364.05,371.62,7066691,262614481540000.0,59187,2667653,0.3775
2020-12-04,ADANIGAS,EQ,364.05,364.0,367.5,355.5,359.0,358.55,360.86,3219970,116195859595000.0,37477,1479231,0.4594
2020-12-07,ADANIGAS,EQ,358.55,362.1,374.3,358.05,361.0,360.6,364.03,3199944,116485984580000.0,31572,1378805,0.43090000000000006
2020-12-08,ADANIGAS,EQ,360.6,362.65,364.35,353.0,355.2,355.2,356.52,2373827,84630875425000.0,24650,1256881,0.5295000000000001
2020-12-09,ADANIGAS,EQ,355.2,355.95,368.95,350.1,362.4,362.85,356.88,2324761,82966046880000.0,28194,1058501,0.45530000000000004
2020-12-10,ADANIGAS,EQ,362.85,364.7,364.7,352.0,353.8,355.2,355.49,1892985,67293934329999.99,20537,994156,0.5252
2020-12-11,ADANIGAS,EQ,355.2,355.2,363.4,351.25,358.0,358.7,356.26,2054647,73198324585000.0,24921,797766,0.3883
2020-12-14,ADANIGAS,EQ,358.7,360.0,362.3,354.5,358.5,358.95,358.58,1274108,45686527120000.0,13846,660731,0.5186
2020-12-15,ADANIGAS,EQ,358.95,359.0,363.9,352.0,356.8,358.7,356.89,1570530,56049934250000.0,17912,723218,0.46049999999999996
2020-12-16,ADANIGAS,EQ,358.7,356.5,361.25,355.15,357.5,358.85,357.96,1303648,46665399395000.0,16515,724076,0.5554
2020-12-17,ADANIGAS,EQ,358.85,360.65,373.2,360.05,362.05,362.2,366.61,3656611,134055493930000.0,42132,1366288,0.3736
2020-12-18,ADANIGAS,EQ,362.2,363.7,364.05,353.0,361.5,361.85,359.28,1170853,42066279170000.0,15423,508794,0.43450000000000005
2020-12-21,ADANIGAS,EQ,361.85,359.75,365.75,322.3,338.05,336.15,353.93,2324951,82286261290000.0,27920,1117303,0.4806
2020-12-22,ADANIGAS,EQ,336.15,327.0,361.8,315.0,359.95,358.55,339.38,2554746,86704205865000.0,38114,871307,0.3411
2020-12-23,ADANIGAS,EQ,358.55,361.7,371.95,359.0,369.65,369.85,366.39,2550675,93455368255000.0,29266,1269455,0.49770000000000003
2020-12-24,ADANIGAS,EQ,369.85,371.25,373.0,364.0,368.5,368.55,367.19,2634135,96722978040000.0,18813,1291973,0.4905
2020-12-28,ADANIGAS,EQ,368.55,370.1,377.65,365.0,368.5,368.9,371.42,2615574,97147138440000.0,25205,1007949,0.3854
2020-12-29,ADANIGAS,EQ,368.9,371.8,378.3,364.15,373.4,374.6,373.43,1669951,62361358329999.99,23360,541498,0.3243
2020-12-30,ADANIGAS,EQ,374.6,377.0,389.65,369.5,380.25,380.4,382.64,3641617,139343142520000.0,45240,1032438,0.28350000000000003
2020-12-31,ADANIGAS,EQ,380.4,380.1,384.4,373.55,376.7,375.6,378.7,1078667,40848679725000.0,17493,482446,0.4473
2021-01-01,ADANIGAS,EQ,375.6,377.4,379.8,374.1,376.0,376.8,376.44,785857,29583185414999.996,11633,392408,0.4993
2021-01-04,ADANIGAS,EQ,376.8,380.05,381.8,371.0,375.5,375.6,376.54,1278975,48158088415000.0,15167,822090,0.6428
2021-01-05,ADANIGAS,EQ,375.6,375.4,376.8,371.0,373.6,373.65,373.66,1271457,47508738720000.0,21598,799526,0.6288
2021-01-06,ADANIGAS,EQ,373.65,375.4,377.0,365.6,368.0,369.4,371.73,1210896,45012473910000.0,18561,749401,0.6189
2021-01-07,ADANIGAS,EQ,369.4,371.5,375.0,366.0,368.5,368.2,369.72,1274628,47125630950000.0,16018,872535,0.6845
2021-01-08,ADANIGAS,EQ,368.2,371.45,374.5,367.0,369.4,369.35,372.15,1133002,42164217520000.0,15793,774372,0.6835
2021-01-11,ADANIGAS,EQ,369.35,372.0,373.5,361.5,364.0,365.25,367.59,1289499,47400138795000.0,14282,997449,0.7735
2021-01-12,ADANIGAS,EQ,365.25,365.3,370.0,364.0,365.0,365.9,366.79,1166871,42799315840000.0,11466,885541,0.7589
2021-01-13,ATGL,EQ,365.9,367.3,369.9,355.1,362.9,363.8,364.89,1171644,42752687985000.0,10711,803045,0.6854000000000001
2021-01-14,ATGL,EQ,363.8,364.6,364.6,353.0,361.05,361.1,360.17,949106,34183865950000.0,9433,778467,0.8201999999999999
2021-01-15,ATGL,EQ,361.1,360.5,368.0,357.35,359.3,359.95,362.19,1026453,37176697430000.0,10294,805132,0.7844
2021-01-18,ATGL,EQ,359.95,362.0,362.1,341.0,346.8,352.25,349.98,956310,33468566310000.004,14198,612127,0.6401000000000001
2021-01-19,ATGL,EQ,352.25,349.95,360.85,349.3,358.0,358.7,357.71,903527,32319960230000.0,11493,669837,0.7414000000000001
2021-01-20,ATGL,EQ,358.7,358.25,364.4,356.45,362.1,362.4,361.56,791203,28606960760000.004,9593,537801,0.6797
2021-01-21,ATGL,EQ,362.4,365.0,365.6,354.0,358.0,356.75,360.78,1014163,36588663980000.0,7635,801006,0.7898000000000001
2021-01-22,ATGL,EQ,356.75,356.75,365.0,348.5,363.5,363.6,359.33,929784,33409633520000.0,13909,588930,0.6334000000000001
2021-01-25,ATGL,EQ,363.6,369.45,389.0,368.0,376.4,377.65,379.5,2678649,101654205880000.0,27114,1539736,0.5748
2021-01-27,ATGL,EQ,377.65,375.0,385.0,371.75,379.3,380.1,380.78,1432418,54543246215000.0,11690,916807,0.64
2021-01-28,ATGL,EQ,380.1,377.95,382.2,363.4,380.0,379.3,379.05,1133260,42956552800000.0,9864,741179,0.654
2021-01-29,ATGL,EQ,379.3,382.3,389.4,377.75,380.1,381.05,382.48,1112580,42554349835000.0,11598,760326,0.6834
2021-02-01,ATGL,EQ,381.05,385.25,391.2,381.05,386.35,389.1,386.88,2008106,77688695630000.0,16941,1075548,0.5356000000000001
2021-02-02,ATGL,EQ,389.1,392.0,406.95,387.2,401.1,401.1,399.29,1676396,66936378240000.0,23631,726958,0.4336
2021-02-03,ATGL,EQ,401.1,405.8,413.15,382.15,395.8,389.65,399.4,1325312,52933390615000.0,19086,606563,0.45770000000000005
2021-02-04,ATGL,EQ,389.65,395.8,400.0,386.0,390.2,388.05,393.02,652627,25649639810000.0,11492,379519,0.5815
2021-02-05,ATGL,EQ,388.05,391.0,395.35,379.0,381.0,382.05,385.4,441742,17024940894999.998,9175,250982,0.5682
2021-02-08,ATGL,EQ,382.05,385.75,388.65,380.55,381.95,382.7,383.76,968925,37183003990000.0,9766,767389,0.792
2021-02-09,ATGL,EQ,382.7,384.0,385.45,380.15,382.8,382.85,382.86,825573,31607598345000.0,11263,617937,0.7484999999999999
2021-02-10,ATGL,EQ,382.85,384.9,384.9,376.2,381.0,382.3,382.38,786555,30076180710000.004,10128,599103,0.7617
2021-02-11,ATGL,EQ,382.3,384.25,390.0,377.15,379.1,379.2,382.97,909606,34835318339999.996,7679,698940,0.7684000000000001
2021-02-12,ATGL,EQ,379.2,381.5,383.4,378.25,381.0,382.55,382.13,1219553,46602865910000.0,11604,907013,0.7437
2021-02-15,ATGL,EQ,382.55,387.0,435.0,386.1,434.8,426.95,418.87,4704910,197074717405000.0,56817,1834791,0.39
2021-02-16,ATGL,EQ,426.95,441.0,508.9,437.0,503.0,497.0,481.39,9004169,433455061795000.0,134094,2553130,0.28350000000000003
2021-02-17,ATGL,EQ,497.0,521.0,542.8,497.2,500.0,509.95,528.11,5856367,309277872215000.0,84416,1884990,0.32189999999999996
