Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-07-10,AUBANK,EQ,525.0,530.0,547.0,523.7,536.75,541.65,536.18,10585689,567582126265000.0,99367,2662019,0.2515
2017-07-11,AUBANK,EQ,541.65,537.0,574.65,532.4,571.0,567.25,563.07,14286312,804417537765000.0,217405,2849214,0.19940000000000002
2017-07-12,AUBANK,EQ,567.25,576.45,642.7,575.0,639.0,629.55,609.1,17774578,1082642606254999.9,264493,3114132,0.1752
2017-07-13,AUBANK,EQ,629.55,652.0,698.95,630.1,690.35,691.15,671.36,21875197,1468610448350000.0,316633,2779166,0.127
2017-07-14,AUBANK,EQ,691.15,697.8,725.5,561.1,597.0,598.8,641.53,33648384,2158633854045000.0,563696,4358690,0.1295
2017-07-17,AUBANK,EQ,598.8,590.0,613.7,562.35,595.0,596.1,591.92,11510790,681351885535000.0,203465,828334,0.07200000000000001
2017-07-18,AUBANK,EQ,596.1,590.0,603.0,581.1,585.5,588.9,591.78,3549898,210076281310000.0,64378,413271,0.1164
2017-07-19,AUBANK,EQ,588.9,591.95,601.5,584.1,585.1,586.95,592.22,1791992,106124727710000.0,33680,314210,0.1753
2017-07-20,AUBANK,EQ,586.95,588.0,598.95,577.1,582.5,582.6,586.32,3055040,179121947600000.0,49613,547121,0.1791
2017-07-21,AUBANK,EQ,582.6,584.0,595.0,580.2,582.95,583.45,586.44,1438938,84384609940000.0,27315,413833,0.2876
2017-07-24,AUBANK,EQ,583.45,586.5,590.95,576.0,590.95,586.4,585.64,1489789,87248006960000.0,21600,491492,0.3299
2017-07-25,AUBANK,EQ,586.4,589.95,612.0,588.95,599.65,602.05,604.12,3090370,186694969730000.0,54822,638705,0.20670000000000002
2017-07-26,AUBANK,EQ,602.05,602.3,607.0,592.0,596.0,595.0,598.52,1063010,63623124845000.01,19900,219992,0.207
2017-07-27,AUBANK,EQ,595.0,597.9,598.45,580.0,581.65,581.85,586.8,849208,49831751185000.0,15000,271114,0.31930000000000003
2017-07-28,AUBANK,EQ,581.85,578.0,598.75,570.0,587.25,588.5,586.9,2331948,136861350230000.0,39710,371690,0.1594
2017-07-31,AUBANK,EQ,588.5,590.0,595.0,578.15,590.0,590.6,588.06,1050079,61750699754999.99,18460,318870,0.3037
2017-08-01,AUBANK,EQ,590.6,592.0,592.5,583.0,585.4,585.9,586.73,422157,24769269610000.0,7496,129053,0.3057
2017-08-02,AUBANK,EQ,585.9,582.2,589.9,580.0,580.0,582.0,585.21,465458,27239206225000.0,8381,126867,0.2726
2017-08-03,AUBANK,EQ,582.0,582.0,585.5,548.1,561.0,558.5,569.16,740392,42140308375000.0,14106,330570,0.4465
2017-08-04,AUBANK,EQ,558.5,560.4,560.4,541.75,555.6,554.3,552.38,701556,38752867980000.0,14206,214380,0.3056
2017-08-07,AUBANK,EQ,554.3,550.0,581.45,496.25,551.0,551.4,547.23,7352471,402346119405000.0,116052,1648683,0.2242
2017-08-08,AUBANK,EQ,551.4,553.45,578.3,548.55,570.4,568.35,565.64,2371678,134151836870000.0,51437,647756,0.2731
2017-08-09,AUBANK,EQ,568.35,565.0,565.0,541.0,546.1,549.9,551.64,1387103,76518692165000.0,29030,650924,0.4693
2017-08-10,AUBANK,EQ,549.9,515.0,550.7,502.0,548.55,542.8,533.97,3199711,170853532970000.0,60262,1169067,0.3654
2017-08-11,AUBANK,EQ,542.8,532.0,547.85,525.15,540.5,541.5,538.75,839237,45214037575000.0,17305,312141,0.3719
2017-08-14,AUBANK,EQ,541.5,545.2,555.0,537.0,540.0,540.4,544.65,588097,32030517064999.996,17021,175213,0.2979
2017-08-16,AUBANK,EQ,540.4,545.1,551.8,540.3,543.9,544.1,546.46,487988,26666640520000.0,15151,181620,0.3722
2017-08-17,AUBANK,EQ,544.1,546.4,552.5,542.1,543.4,543.5,546.41,325873,17806099270000.0,7307,114830,0.35240000000000005
2017-08-18,AUBANK,EQ,543.5,541.4,549.0,535.0,536.0,537.75,539.7,286880,15483021230000.002,8239,84092,0.29309999999999997
2017-08-21,AUBANK,EQ,537.75,540.75,546.5,537.35,541.0,540.2,541.37,537489,29098028780000.0,9097,253988,0.47250000000000003
2017-08-22,AUBANK,EQ,540.2,542.8,544.25,527.7,528.25,529.5,532.47,471540,25108287115000.0,7460,319243,0.677
2017-08-23,AUBANK,EQ,529.5,531.8,533.0,522.0,525.0,525.25,527.13,255288,13456921550000.0,5895,105821,0.41450000000000004
2017-08-24,AUBANK,EQ,525.25,526.75,535.0,524.05,530.9,532.85,529.42,486024,25731159555000.0,14312,245961,0.5061
2017-08-28,AUBANK,EQ,532.85,533.25,541.25,528.0,535.5,537.95,536.66,500688,26869975080000.0,10747,211805,0.423
2017-08-29,AUBANK,EQ,537.95,531.0,558.8,531.0,548.0,544.8,547.17,824901,45136030250000.0,19342,217248,0.2634
2017-08-30,AUBANK,EQ,544.8,550.0,557.75,548.45,550.0,550.85,552.28,356147,19669357390000.0,9729,126750,0.35590000000000005
2017-08-31,AUBANK,EQ,550.85,549.8,556.45,546.0,547.0,549.45,550.63,290104,15974077519999.998,6638,152460,0.5255
2017-09-01,AUBANK,EQ,549.45,551.0,570.0,547.55,551.0,552.3,557.83,882994,49255886295000.0,24844,304989,0.3454
2017-09-04,AUBANK,EQ,552.3,555.75,564.3,542.05,555.6,557.0,556.97,591385,32938083814999.996,11750,219548,0.3712
2017-09-05,AUBANK,EQ,557.0,560.1,576.5,553.15,572.0,573.15,568.33,994612,56526657625000.0,14892,340510,0.34240000000000004
2017-09-06,AUBANK,EQ,573.15,568.0,578.0,563.6,566.9,567.85,571.0,578677,33042369739999.996,12355,159602,0.2758
2017-09-07,AUBANK,EQ,567.85,571.25,576.0,555.0,557.0,558.7,567.3,407726,23130359990000.0,8875,154933,0.38
2017-09-08,AUBANK,EQ,558.7,561.0,565.5,550.0,554.0,554.35,556.83,415958,23161661370000.0,8850,117002,0.2813
2017-09-11,AUBANK,EQ,554.35,558.75,564.9,551.0,557.3,558.6,557.95,348502,19444751340000.0,8786,123882,0.3555
2017-09-12,AUBANK,EQ,558.6,560.0,560.45,551.05,554.15,555.65,555.48,234107,13004274990000.0,6092,93848,0.40090000000000003
2017-09-13,AUBANK,EQ,555.65,556.9,560.0,551.05,557.25,557.5,555.55,238299,13238793380000.0,5030,121956,0.5118
2017-09-14,AUBANK,EQ,557.5,559.0,564.3,552.7,553.9,554.1,557.58,179895,10030639865000.0,5041,58182,0.3234
2017-09-15,AUBANK,EQ,554.1,551.8,572.0,550.45,564.9,567.25,562.45,504402,28370214725000.0,11468,268526,0.5324
2017-09-18,AUBANK,EQ,567.25,569.0,576.0,559.0,559.6,562.7,568.94,411976,23438942655000.0,9898,107211,0.2602
2017-09-19,AUBANK,EQ,562.7,562.8,562.8,551.0,552.5,553.05,555.68,465633,25874300645000.0,13252,277254,0.5954
2017-09-20,AUBANK,EQ,553.05,556.8,558.0,546.35,547.5,549.9,551.4,607148,33478116014999.996,7462,360754,0.5942000000000001
2017-09-21,AUBANK,EQ,549.9,551.2,560.8,546.0,553.75,553.7,551.37,493229,27195012264999.996,5077,328621,0.6663
2017-09-22,AUBANK,EQ,553.7,551.9,551.9,541.0,546.35,545.95,545.92,284570,15535273944999.998,5750,174479,0.6131000000000001
2017-09-25,AUBANK,EQ,545.95,549.6,557.5,528.5,557.2,553.5,546.48,448008,24482813065000.0,6736,306812,0.6848000000000001
2017-09-26,AUBANK,EQ,553.5,556.1,563.6,544.65,560.0,560.1,550.9,562972,31014108960000.004,7902,392975,0.698
2017-09-27,AUBANK,EQ,560.1,560.9,563.4,551.65,557.8,558.65,557.14,419121,23350851745000.0,8292,280241,0.6686
2017-09-28,AUBANK,EQ,558.65,556.0,559.8,550.1,555.0,557.15,553.04,379248,20973912730000.0,6764,267133,0.7044
2017-09-29,AUBANK,EQ,557.15,558.95,577.9,550.1,567.0,568.6,564.89,396142,22377599475000.0,8775,168728,0.42590000000000006
2017-10-03,AUBANK,EQ,568.6,569.2,573.35,557.55,566.0,562.55,564.38,535457,30219911435000.004,5374,417164,0.7791
2017-10-04,AUBANK,EQ,562.55,567.9,572.85,560.1,563.0,563.3,565.85,166260,9407846230000.0,4448,54340,0.3268
2017-10-05,AUBANK,EQ,563.3,562.0,590.0,562.0,588.0,585.75,578.77,867437,50204769575000.0,14301,410922,0.4737
2017-10-06,AUBANK,EQ,585.75,590.4,623.0,586.2,612.0,615.05,606.02,1921968,116474208575000.0,28718,835921,0.4349
2017-10-09,AUBANK,EQ,615.05,610.9,611.5,587.1,591.0,591.4,597.96,623692,37294050200000.0,10243,263201,0.42200000000000004
2017-10-10,AUBANK,EQ,591.4,594.8,594.95,576.0,580.5,580.8,583.08,339224,19779340945000.0,5963,147336,0.4343
2017-10-11,AUBANK,EQ,580.8,582.1,587.3,577.65,583.65,581.6,582.32,564042,32845267255000.0,6040,378089,0.6703
