Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-02,BANARISUG,EQ,54.1,54.1,54.55,54.55,,54.55,54.55,400,2182000000.0,,,
1996-01-03,BANARISUG,EQ,54.55,54.55,58.0,54.5,,55.1,57.49,7850,45129500000.0,,,
1996-01-04,BANARISUG,EQ,55.1,55.1,58.0,55.0,,58.0,56.0,150,840000000.0,,,
1996-01-05,BANARISUG,EQ,58.0,55.1,55.1,55.1,,55.1,55.1,100,551000000.0,,,
1996-01-15,BANARISUG,EQ,55.1,54.0,54.0,54.0,,54.0,54.0,200,1080000000.0,,,
1996-01-16,BANARISUG,EQ,54.0,55.0,55.0,55.0,,55.0,55.0,200,1100000000.0,,,
1996-01-17,BANARISUG,EQ,55.0,55.0,57.0,55.0,,55.0,55.57,350,1945000000.0,,,
1996-01-18,BANARISUG,EQ,55.0,53.0,53.0,53.0,,53.0,53.0,150,795000000.0,,,
1996-01-19,BANARISUG,EQ,53.0,53.0,53.0,53.0,,53.0,53.0,200,1060000000.0,,,
1996-01-22,BANARISUG,EQ,53.0,53.0,54.0,53.0,,53.0,53.33,300,1600000000.0,,,
1996-01-23,BANARISUG,EQ,53.0,53.0,54.0,51.0,,54.0,53.6,750,4020000000.0,,,
1996-01-24,BANARISUG,EQ,54.0,53.0,53.0,53.0,,53.0,53.0,200,1060000000.0,,,
1996-01-25,BANARISUG,EQ,53.0,52.0,52.0,51.25,,52.0,51.87,1650,8558250000.0,,,
1996-01-29,BANARISUG,EQ,52.0,52.0,53.0,51.75,,52.0,52.25,1700,8882000000.0,,,
1996-01-30,BANARISUG,EQ,52.0,52.0,54.0,53.05,,53.05,53.86,350,1885250000.0,,,
1996-01-31,BANARISUG,EQ,53.05,53.05,53.0,53.0,,53.0,53.0,100,530000000.0,,,
1996-02-01,BANARISUG,EQ,53.0,53.0,55.0,53.5,,54.0,54.0,250,1350000000.0,,,
1996-02-05,BANARISUG,EQ,54.0,54.0,54.0,54.0,,54.0,54.0,100,540000000.0,,,
1996-02-08,BANARISUG,EQ,54.0,54.0,54.0,52.05,,54.0,53.35,150,800250000.0,,,
1996-02-12,BANARISUG,EQ,54.0,54.0,56.0,53.95,,56.0,55.19,250,1379750000.0,,,
1996-02-13,BANARISUG,EQ,56.0,58.0,58.0,58.0,,58.0,58.0,100,580000000.0,,,
1996-02-14,BANARISUG,EQ,58.0,58.0,63.0,61.0,,63.0,62.0,250,1550000000.0,,,
1996-02-15,BANARISUG,EQ,63.0,63.0,69.55,69.55,,69.55,69.55,50,347750000.0,,,
1996-02-16,BANARISUG,EQ,69.55,69.55,73.0,72.05,,73.0,72.88,1200,8745750000.0,,,
1996-02-19,BANARISUG,EQ,73.0,73.0,73.15,73.0,,73.15,73.09,450,3289000000.0,,,
1996-02-20,BANARISUG,EQ,73.15,73.35,73.35,73.35,,73.35,73.35,400,2934000000.0,,,
1996-02-22,BANARISUG,EQ,73.35,73.35,79.5,76.0,,79.05,78.85,1300,10250500000.0,,,
1996-02-23,BANARISUG,EQ,79.05,79.0,82.0,78.0,,78.25,80.48,2200,17706000000.0,,,
1996-02-26,BANARISUG,EQ,78.25,78.0,78.0,76.0,,76.1,77.42,700,5419500000.0,,,
1996-02-27,BANARISUG,EQ,76.1,73.0,74.0,73.0,,73.05,73.35,300,2200500000.0,,,
1996-02-28,BANARISUG,EQ,73.05,73.05,75.5,74.0,,75.3,75.12,1050,7887500000.0,,,
1996-02-29,BANARISUG,EQ,75.3,75.3,74.6,69.25,,70.0,73.29,800,5863500000.0,,,
1996-03-01,BANARISUG,EQ,70.0,70.0,73.0,70.0,,73.0,71.32,1100,7845000000.0,,,
1996-03-04,BANARISUG,EQ,73.0,73.0,74.0,68.5,,69.0,70.3,650,4569500000.0,,,
1996-03-06,BANARISUG,EQ,69.0,71.5,72.0,70.0,,70.0,71.21,350,2492500000.0,,,
1996-03-07,BANARISUG,EQ,70.0,70.0,71.0,70.0,,70.7,70.34,1050,7385250000.0,,,
1996-03-08,BANARISUG,EQ,70.7,70.7,71.75,70.0,,71.2,70.88,1800,12758500000.0,,,
1996-03-11,BANARISUG,EQ,71.2,71.2,77.0,71.5,,74.55,73.1,2350,17177750000.0,,,
1996-03-12,BANARISUG,EQ,74.55,74.55,74.5,70.0,,71.2,72.45,1400,10142750000.0,,,
1996-03-13,BANARISUG,EQ,71.2,71.2,73.0,72.0,,73.0,72.38,200,1447500000.0,,,
1996-03-14,BANARISUG,EQ,73.0,73.0,71.2,70.0,,70.2,70.63,350,2472000000.0,,,
1996-03-15,BANARISUG,EQ,70.2,69.1,70.0,68.0,,69.0,68.81,1000,6881000000.0,,,
1996-03-19,BANARISUG,EQ,69.0,69.0,68.5,66.55,,66.55,67.04,1800,12068000000.0,,,
1996-03-21,BANARISUG,EQ,66.55,66.55,69.0,66.0,,66.75,67.21,700,4705000000.0,,,
1996-03-22,BANARISUG,EQ,66.75,66.0,67.5,66.0,,67.5,66.27,550,3645000000.0,,,
1996-03-25,BANARISUG,EQ,67.5,66.75,69.0,66.75,,69.0,67.58,300,2027500000.0,,,
1996-03-26,BANARISUG,EQ,69.0,69.0,68.5,65.8,,68.5,67.96,350,2378750000.0,,,
1996-03-27,BANARISUG,EQ,68.5,68.5,69.5,68.75,,69.1,69.2,1250,8650250000.0,,,
1996-03-28,BANARISUG,EQ,69.1,69.0,69.25,69.0,,69.25,69.2,250,1730000000.0,,,
1996-03-29,BANARISUG,EQ,69.25,69.25,70.0,70.0,,70.0,70.0,50,350000000.0,,,
1996-04-02,BANARISUG,EQ,70.0,70.0,72.0,70.0,,70.0,71.1,250,1777500000.0,,,
1996-04-03,BANARISUG,EQ,70.0,70.0,71.0,71.0,,71.0,71.0,700,4970000000.0,,,
1996-04-04,BANARISUG,EQ,71.0,71.0,70.05,69.0,,69.0,69.69,700,4878000000.0,,,
1996-04-08,BANARISUG,EQ,69.0,69.0,70.05,70.0,,70.05,70.03,200,1400500000.0,,,
1996-04-09,BANARISUG,EQ,70.05,70.05,70.0,69.0,,69.05,69.62,1300,9050000000.0,,,
1996-04-10,BANARISUG,EQ,69.05,69.05,69.5,68.5,,69.5,69.35,800,5548000000.0,,,
