Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2008-02-07,APOLLOSIND,EQ,591.75,434.7,434.7,398.0,398.0,398.0,413.45,14906,616288190000.0,,7129.0,0.4783
2008-02-08,APOLLOSIND,EQ,398.0,380.05,398.95,378.1,378.1,378.1,378.37,6546,247683195000.00003,,3423.0,0.5229
2008-02-11,APOLLOSIND,EQ,378.1,359.2,365.0,359.2,359.2,359.2,359.62,2066,74297820000.0,,2029.0,0.9821
2008-02-12,APOLLOSIND,EQ,359.2,342.0,375.0,341.25,341.25,341.25,342.3,877,30019880000.0,,813.0,0.927
2008-02-13,APOLLOSIND,EQ,341.25,324.2,344.95,324.2,324.2,324.2,327.2,294,9619600000.0,,250.0,0.8503000000000001
2008-02-14,APOLLOSIND,EQ,324.2,338.85,340.45,314.0,340.45,334.95,333.48,9353,311900640000.0,,2707.0,0.28940000000000005
2008-02-15,APOLLOSIND,EQ,334.95,340.0,350.0,320.05,350.0,340.15,336.11,10666,358494460000.0,,4544.0,0.42600000000000005
2008-02-18,APOLLOSIND,EQ,340.15,357.2,357.2,357.2,357.2,357.2,357.2,255,9108600000.0,,255.0,1.0
2008-02-19,APOLLOSIND,EQ,357.2,375.1,375.1,375.1,375.1,375.1,375.1,450,16879500000.0,,450.0,1.0
2008-02-20,APOLLOSIND,EQ,375.1,393.9,393.9,356.4,359.0,358.0,366.26,4686,171627510000.0,,3051.0,0.6511
2008-02-21,APOLLOSIND,EQ,358.0,357.0,368.9,341.0,345.1,348.9,355.13,7742,274939315000.0,,3336.0,0.43090000000000006
2008-02-22,APOLLOSIND,EQ,348.9,350.0,366.35,340.05,366.0,363.5,357.47,5249,187637595000.0,,3391.0,0.6459999999999999
2008-02-25,APOLLOSIND,EQ,363.5,365.0,374.9,345.35,350.0,353.15,350.23,1928,67524715000.0,,1521.0,0.7889
2008-02-26,APOLLOSIND,EQ,353.15,364.9,368.0,340.0,345.0,349.25,350.57,4521,158490915000.0,,1245.0,0.2754
2008-02-27,APOLLOSIND,EQ,349.25,359.7,364.5,335.0,348.0,340.7,356.04,6067,216009385000.0,,3000.0,0.49450000000000005
2008-02-28,APOLLOSIND,EQ,340.7,332.0,350.0,323.7,323.7,323.75,335.87,3488,117152230000.0,,1751.0,0.502
2008-02-29,APOLLOSIND,EQ,323.75,312.0,322.0,311.0,319.0,318.3,315.58,954,30106250000.0,,657.0,0.6887000000000001
2008-03-03,APOLLOSIND,EQ,318.3,306.0,306.4,302.4,302.4,302.4,302.65,639,19339420000.0,,614.0,0.9609000000000001
2008-03-04,APOLLOSIND,EQ,302.4,296.0,302.0,287.3,287.35,291.7,293.92,1956,57490235000.0,,1502.0,0.7679
