Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-11-24,BOROLTD,EQ,158.15,158.5,160.5,154.2,156.9,156.1,159.23,148351,2362204425000.0,1224,117225,0.7902
2020-11-25,BOROLTD,EQ,156.1,159.0,160.15,152.1,153.4,152.8,154.02,70855,1091330150000.0,1222,40771,0.5754
2020-11-26,BOROLTD,EQ,152.8,155.9,158.9,152.5,157.15,158.35,156.13,90047,1405940280000.0,1291,63320,0.7031999999999999
2020-11-27,BOROLTD,EQ,158.35,158.95,161.7,156.25,158.0,158.4,158.83,123709,1964882510000.0002,2519,68292,0.552
2020-12-01,BOROLTD,EQ,158.4,159.3,166.3,158.0,166.3,166.3,164.37,89998,1479259020000.0,1070,78389,0.871
2020-12-02,BOROLTD,EQ,166.3,174.6,174.6,168.4,170.0,171.05,173.77,488579,8489914695000.0,3309,280298,0.5737
2020-12-03,BOROLTD,EQ,171.05,172.55,175.8,167.0,168.95,168.05,170.26,176103,2998341595000.0,2530,112908,0.6411
2020-12-04,BOROLTD,EQ,168.05,169.05,170.65,162.0,166.9,165.8,167.58,118504,1985870080000.0,1977,78087,0.6589
2020-12-07,BOROLTD,EQ,165.8,168.0,181.0,166.45,173.5,173.15,176.26,302269,5327873725000.0,6837,196406,0.6498
2020-12-08,BOROLTD,EQ,173.15,176.7,180.05,167.0,170.15,169.9,172.31,172492,2972203500000.0,3289,118061,0.6844
2020-12-09,BOROLTD,EQ,169.9,170.15,175.3,167.35,168.5,168.9,170.15,129705,2206925955000.0,1968,93664,0.7221
2020-12-10,BOROLTD,EQ,168.9,167.9,169.95,163.0,163.0,163.7,165.16,87677,1448054705000.0,1904,57498,0.6558
2020-12-11,BOROLTD,EQ,163.7,165.0,173.0,162.0,169.8,168.95,168.56,144625,2437806650000.0,2353,102445,0.7083
2020-12-14,BOROLTD,EQ,168.95,172.7,185.8,171.5,185.8,185.8,180.21,278148,5012640935000.0,2912,239112,0.8597
2020-12-15,BOROLTD,EQ,185.8,199.35,204.35,188.8,191.65,195.2,201.02,1343829,27012986289999.996,15176,574434,0.4275
2020-12-16,BOROLTD,EQ,195.2,193.85,198.6,188.3,193.0,191.85,193.57,296750,5744207275000.0,5688,138832,0.4678
2020-12-17,BOROLTD,EQ,191.85,194.1,197.9,172.7,174.5,177.0,185.65,459630,8532816880000.0,5833,292615,0.6365999999999999
2020-12-18,BOROLTD,EQ,177.0,176.0,178.7,171.0,173.05,173.6,174.16,263912,4596182955000.0,4312,172638,0.6541
2020-12-21,BOROLTD,EQ,173.6,175.8,187.3,164.0,169.05,170.15,179.38,469567,8423222475000.0,9292,191261,0.4073
2020-12-22,BOROLTD,EQ,170.15,173.5,185.0,165.0,184.8,183.65,176.14,453300,7984203670000.0,6753,189164,0.4173
2020-12-23,BOROLTD,EQ,183.65,185.4,202.0,184.0,200.95,201.25,196.87,967295,19042766595000.0,15768,396353,0.4098
2020-12-24,BOROLTD,EQ,201.25,205.0,214.65,199.0,200.6,202.25,206.0,785144,16174087915000.0,13888,329480,0.41960000000000003
2020-12-28,BOROLTD,EQ,202.25,204.25,214.95,196.45,211.6,210.35,209.19,810704,16958986415000.0,13860,355835,0.4389
2020-12-29,BOROLTD,EQ,210.35,212.4,231.35,212.4,231.35,231.35,225.3,871028,19624581495000.0,14435,427413,0.4907
2020-12-30,BOROLTD,EQ,231.35,236.5,242.9,225.7,242.9,242.9,239.72,1458773,34969065470000.0,24365,467806,0.3207
2020-12-31,BOROLTD,EQ,242.9,245.0,254.0,230.8,230.8,231.4,242.61,1227680,29785162310000.004,22738,534015,0.435
2021-01-01,BOROLTD,EQ,231.4,226.0,226.0,219.85,219.85,219.85,220.44,296318,6532121875000.0,4463,201749,0.6809000000000001
2021-01-04,BOROLTD,EQ,219.85,221.1,230.8,221.1,230.8,230.8,229.45,406680,9331136580000.0,4417,205773,0.506
2021-01-05,BOROLTD,EQ,230.8,239.95,241.8,225.55,233.0,233.05,234.72,567039,13309558830000.0,9394,252714,0.4457
2021-01-06,BOROLTD,EQ,233.05,235.45,239.75,223.95,226.95,226.5,230.41,314230,7240030680000.0,6365,157801,0.5022
2021-01-07,BOROLTD,EQ,226.5,234.0,234.0,225.0,227.95,227.2,227.76,186842,4255489720000.0005,3717,85142,0.4557
2021-01-08,BOROLTD,EQ,227.2,229.0,233.95,226.0,227.0,227.45,230.58,285380,6580204495000.0,4907,149753,0.5246999999999999
2021-01-11,BOROLTD,EQ,227.45,229.5,229.5,216.5,217.0,216.9,220.12,237714,5232625820000.0,6685,151809,0.6386000000000001
2021-01-12,BOROLTD,EQ,216.9,219.0,219.4,210.4,211.5,211.35,213.56,145376,3104589700000.0,4300,88390,0.608
2021-01-13,BOROLTD,EQ,211.35,211.5,220.75,207.5,210.45,209.85,214.1,266784,5711740845000.0,5395,138562,0.5194
2021-01-14,BOROLTD,EQ,209.85,208.5,213.8,204.0,205.0,205.1,206.51,196605,4060179760000.0,4496,111253,0.5659000000000001
2021-01-15,BOROLTD,EQ,205.1,203.05,211.0,203.05,206.7,206.05,206.95,147564,3053805855000.0,2903,83535,0.5661
2021-01-18,BOROLTD,EQ,206.05,208.8,208.8,195.75,195.75,196.2,198.24,175408,3477359240000.0,4244,108257,0.6172
2021-01-19,BOROLTD,EQ,196.2,197.5,202.9,197.0,198.4,198.15,199.54,136152,2716827490000.0,2661,68495,0.5031
2021-01-20,BOROLTD,EQ,198.15,200.0,208.05,198.05,208.05,208.05,204.66,230865,4724983605000.0,4891,102876,0.44560000000000005
2021-01-21,BOROLTD,EQ,208.05,211.0,214.35,200.05,203.5,201.55,207.66,205301,4263219029999.9995,4845,88286,0.43
2021-01-22,BOROLTD,EQ,201.55,206.0,206.0,193.85,196.6,195.85,199.62,183174,3656523835000.0,4082,78964,0.4311
2021-01-25,BOROLTD,EQ,195.85,198.0,201.0,190.0,193.0,191.15,194.28,86350,1677572795000.0,2565,43127,0.4994
2021-01-27,BOROLTD,EQ,191.15,192.0,196.05,185.05,188.0,190.45,191.94,113730,2182956535000.0002,2724,45913,0.4037
2021-01-28,BOROLTD,EQ,190.45,189.0,192.95,184.0,188.0,186.25,187.72,135398,2541643100000.0,3363,68450,0.5055
2021-01-29,BOROLTD,EQ,186.25,186.85,190.95,181.55,181.55,183.0,187.2,121752,2279200040000.0,2757,55747,0.4579
2021-02-01,BOROLTD,EQ,183.0,187.9,192.15,180.15,192.15,190.35,186.21,130209,2424643905000.0,3237,67629,0.5194
2021-02-02,BOROLTD,EQ,190.35,194.25,196.15,190.0,190.5,191.35,193.07,80906,1562077520000.0,1700,47197,0.5834
2021-02-03,BOROLTD,EQ,191.35,191.35,196.65,189.45,191.5,191.15,192.0,133066,2554914715000.0,2927,55884,0.42
2021-02-04,BOROLTD,EQ,191.15,193.0,197.6,191.1,194.4,194.7,194.76,110722,2156434139999.9998,2421,53424,0.4825
2021-02-05,BOROLTD,EQ,194.7,196.25,212.0,193.55,209.0,208.25,203.78,276286,5630128410000.0,5702,144790,0.5241
2021-02-08,BOROLTD,EQ,208.25,214.15,215.05,203.0,204.5,204.25,208.65,156014,3255257625000.0,3533,75348,0.483
2021-02-09,BOROLTD,EQ,204.25,203.2,219.0,200.1,213.0,212.65,213.5,519261,11086379960000.0,10040,162919,0.3138
2021-02-10,BOROLTD,EQ,212.65,214.9,217.95,210.6,212.7,212.5,214.08,247148,5290900810000.0,4218,103972,0.4207
2021-02-11,BOROLTD,EQ,212.5,212.0,217.5,205.3,213.0,214.5,213.05,252967,5389385130000.0,3944,130823,0.5172
2021-02-12,BOROLTD,EQ,214.5,217.7,217.7,203.0,204.6,204.15,208.14,197297,4106536985000.0,4077,125655,0.6369
2021-02-15,BOROLTD,EQ,204.15,209.0,209.95,202.0,203.3,203.45,205.16,155612,3192499185000.0,2981,84568,0.5435
2021-02-16,BOROLTD,EQ,203.45,202.2,207.0,195.55,197.5,197.7,199.6,178620,3565285020000.0005,3578,110207,0.617
2021-02-17,BOROLTD,EQ,197.7,197.35,204.0,195.2,201.9,201.2,199.5,191192,3814242179999.9995,3290,76989,0.40270000000000006
