Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,CARBORUNIV,EQ,140.0,140.9,140.9,140.9,,140.9,140.9,100,1409000000.0,,,
1996-01-02,CARBORUNIV,EQ,140.9,140.9,140.0,132.0,,134.0,134.92,650,8770000000.0,,,
1996-01-03,CARBORUNIV,EQ,134.0,134.0,140.0,140.0,,140.0,140.0,200,2800000000.0,,,
1996-01-04,CARBORUNIV,EQ,140.0,141.0,141.0,141.0,,141.0,141.0,50,705000000.0,,,
1996-01-08,CARBORUNIV,EQ,141.0,139.9,140.0,132.0,,132.0,137.3,150,2059500000.0,,,
1996-01-09,CARBORUNIV,EQ,132.0,125.1,125.1,123.0,,124.05,124.03,200,2480500000.0,,,
1996-01-11,CARBORUNIV,EQ,124.05,131.0,131.0,130.0,,130.0,130.5,200,2610000000.0,,,
1996-01-12,CARBORUNIV,EQ,130.0,133.25,133.25,133.25,,133.25,133.25,150,1998750000.0,,,
1996-01-15,CARBORUNIV,EQ,133.25,133.25,133.25,133.25,,133.25,133.25,50,666250000.0,,,
1996-01-17,CARBORUNIV,EQ,133.25,133.25,133.25,133.25,,133.25,133.25,100,1332500000.0,,,
1996-01-18,CARBORUNIV,EQ,133.25,130.0,130.0,130.0,,130.0,130.0,100,1300000000.0,,,
1996-01-22,CARBORUNIV,EQ,130.0,125.0,132.45,125.0,,132.45,128.58,800,10286250000.0,,,
1996-01-23,CARBORUNIV,EQ,132.45,132.45,135.0,131.0,,135.0,132.31,800,10584500000.0,,,
1996-01-24,CARBORUNIV,EQ,135.0,135.0,132.5,130.0,,131.15,131.31,1250,16413500000.0,,,
1996-01-25,CARBORUNIV,EQ,131.15,130.0,131.0,130.0,,130.95,130.76,250,3269000000.0,,,
1996-01-29,CARBORUNIV,EQ,130.95,130.95,131.0,125.0,,130.25,129.34,950,12287500000.0,,,
1996-01-30,CARBORUNIV,EQ,130.25,130.25,130.0,126.0,,126.0,127.5,300,3825000000.0,,,
1996-02-01,CARBORUNIV,EQ,126.0,130.0,130.0,126.0,,126.0,127.33,300,3820000000.0,,,
1996-02-02,CARBORUNIV,EQ,126.0,126.0,128.9,126.0,,128.9,128.32,250,3208000000.0,,,
1996-02-05,CARBORUNIV,EQ,128.9,130.0,130.0,128.0,,128.0,129.55,550,7125000000.0,,,
1996-02-06,CARBORUNIV,EQ,128.0,128.0,134.0,125.0,,125.0,128.63,400,5145250000.0,,,
1996-02-07,CARBORUNIV,EQ,125.0,127.0,127.0,124.0,,125.5,124.6,650,8099000000.0,,,
1996-02-08,CARBORUNIV,EQ,125.5,125.0,126.0,122.1,,125.0,124.71,2000,24942000000.0,,,
1996-02-09,CARBORUNIV,EQ,125.0,129.9,135.0,129.9,,135.0,130.99,500,6549500000.0,,,
1996-02-12,CARBORUNIV,EQ,135.0,136.0,140.0,136.0,,140.0,137.89,450,6205000000.0,,,
1996-02-13,CARBORUNIV,EQ,140.0,140.0,150.0,139.0,,144.0,143.57,1400,20100000000.0,,,
1996-02-14,CARBORUNIV,EQ,144.0,150.0,155.0,150.0,,153.0,152.47,450,6861000000.0,,,
1996-02-15,CARBORUNIV,EQ,153.0,160.0,165.0,154.95,,155.0,161.66,1500,24249500000.0,,,
1996-02-16,CARBORUNIV,EQ,155.0,155.5,157.0,150.0,,154.5,155.06,900,13955000000.0,,,
1996-02-19,CARBORUNIV,EQ,154.5,154.5,149.0,145.0,,145.0,146.64,800,11731000000.0,,,
1996-02-20,CARBORUNIV,EQ,145.0,145.0,155.0,146.0,,151.25,149.26,1400,20897000000.0,,,
1996-02-22,CARBORUNIV,EQ,151.25,151.25,153.0,151.3,,153.0,152.45,1850,28203500000.0,,,
1996-02-23,CARBORUNIV,EQ,153.0,153.0,156.0,153.0,,155.0,154.83,1150,17805000000.0,,,
1996-02-26,CARBORUNIV,EQ,155.0,152.25,153.15,152.25,,153.15,152.81,350,5348250000.0,,,
1996-02-27,CARBORUNIV,EQ,153.15,149.5,154.7,149.5,,154.7,151.88,750,11391000000.0,,,
1996-02-28,CARBORUNIV,EQ,154.7,154.75,161.0,154.75,,160.0,160.56,11300,181432500000.0,,,
1996-02-29,CARBORUNIV,EQ,160.0,162.0,162.0,157.0,,157.0,161.98,10050,162785000000.0,,,
1996-03-01,CARBORUNIV,EQ,157.0,155.0,159.5,154.1,,157.0,156.19,550,8590500000.0,,,
1996-03-04,CARBORUNIV,EQ,157.0,157.0,162.0,157.0,,162.0,161.72,10650,172236750000.0,,,
1996-03-06,CARBORUNIV,EQ,162.0,157.0,160.0,157.0,,160.0,159.47,300,4784000000.0,,,
1996-03-07,CARBORUNIV,EQ,160.0,156.0,160.0,156.0,,157.2,158.8,700,11116000000.0,,,
1996-03-08,CARBORUNIV,EQ,157.2,159.0,162.5,157.0,,162.5,160.94,5050,81272750000.0,,,
1996-03-11,CARBORUNIV,EQ,162.5,162.5,159.0,157.65,,159.0,158.55,150,2378250000.0,,,
1996-03-12,CARBORUNIV,EQ,159.0,159.0,161.0,158.05,,158.9,159.49,1650,26315250000.0,,,
1996-03-13,CARBORUNIV,EQ,158.9,158.9,160.9,157.5,,158.0,158.98,1000,15897500000.0,,,
1996-03-14,CARBORUNIV,EQ,158.0,158.0,160.0,160.0,,160.0,160.0,250,4000000000.0,,,
1996-03-15,CARBORUNIV,EQ,160.0,160.0,160.0,159.95,,160.0,159.98,300,4799500000.0,,,
1996-03-18,CARBORUNIV,EQ,160.0,159.0,159.0,158.05,,158.05,158.53,100,1585250000.0,,,
1996-03-19,CARBORUNIV,EQ,158.05,158.0,160.0,158.0,,160.0,158.95,600,9537000000.0,,,
1996-03-21,CARBORUNIV,EQ,160.0,160.0,160.0,158.0,,160.0,159.48,300,4784500000.0,,,
1996-03-22,CARBORUNIV,EQ,160.0,160.0,160.0,159.75,,159.75,159.92,150,2398750000.0,,,
1996-03-25,CARBORUNIV,EQ,159.75,159.75,158.0,155.0,,155.0,155.25,600,9315000000.0,,,
1996-03-26,CARBORUNIV,EQ,155.0,153.75,153.75,153.0,,153.0,153.46,200,3069250000.0,,,
1996-03-27,CARBORUNIV,EQ,153.0,154.75,155.0,152.25,,153.1,153.4,3350,51388750000.0,,,
1996-03-28,CARBORUNIV,EQ,153.1,153.0,156.0,153.0,,155.95,155.38,800,12430000000.0,,,
1996-04-01,CARBORUNIV,EQ,155.95,156.0,157.5,154.5,,157.5,155.76,950,14797500000.0,,,
1996-04-02,CARBORUNIV,EQ,157.5,157.5,156.5,154.05,,154.5,156.26,1200,18751500000.0,,,
1996-04-03,CARBORUNIV,EQ,154.5,156.0,161.0,156.0,,161.0,158.5,100,1585000000.0,,,
1996-04-04,CARBORUNIV,EQ,161.0,160.0,160.05,160.0,,160.0,160.01,550,8800500000.0,,,
1996-04-08,CARBORUNIV,EQ,160.0,159.95,161.0,159.0,,161.0,160.23,600,9614000000.0,,,
1996-04-09,CARBORUNIV,EQ,161.0,160.45,160.5,159.05,,159.05,160.11,200,3202250000.0,,,
1996-04-10,CARBORUNIV,EQ,159.05,159.95,159.95,158.0,,159.7,158.52,850,13474000000.0,,,
1996-04-11,CARBORUNIV,EQ,159.7,159.9,160.0,156.1,,158.0,159.06,650,10338750000.0,,,
1996-04-12,CARBORUNIV,EQ,158.0,158.0,170.0,158.0,,169.0,163.79,900,14741250000.0,,,
1996-04-15,CARBORUNIV,EQ,169.0,169.0,171.7,165.0,,171.7,171.07,3450,59017500000.0,,,
1996-04-16,CARBORUNIV,EQ,171.7,171.7,170.0,167.5,,168.85,168.81,1050,17725000000.0,,,
1996-04-17,CARBORUNIV,EQ,168.85,170.0,174.0,170.0,,173.95,171.47,1000,17146500000.0,,,
1996-04-18,CARBORUNIV,EQ,173.95,173.95,180.0,174.0,,179.45,177.23,2700,47852500000.0,,,
1996-04-19,CARBORUNIV,EQ,179.45,179.45,178.5,175.0,,175.15,176.3,1000,17629500000.0,,,
1996-04-22,CARBORUNIV,EQ,175.15,175.15,174.75,170.55,,173.75,173.47,1800,31225250000.0,,,
1996-04-23,CARBORUNIV,EQ,173.75,173.75,171.0,170.0,,170.0,170.05,1100,18705500000.0,,,
1996-04-24,CARBORUNIV,EQ,170.0,171.95,175.0,170.0,,175.0,173.43,1350,23413500000.0,,,
1996-04-25,CARBORUNIV,EQ,175.0,175.0,182.0,170.25,,175.5,177.15,3800,67315500000.0,,,
1996-04-26,CARBORUNIV,EQ,175.5,175.5,180.0,171.5,,176.0,175.72,800,14057500000.0,,,
1996-04-29,CARBORUNIV,EQ,176.0,176.0,180.75,178.0,,180.4,179.77,800,14381250000.0,,,
1996-04-30,CARBORUNIV,EQ,180.4,180.4,190.0,175.45,,188.3,186.06,14950,278156000000.0,,,
1996-05-01,CARBORUNIV,EQ,188.3,190.0,193.0,187.0,,190.0,190.45,1600,30472750000.0,,,
1996-05-02,CARBORUNIV,EQ,190.0,190.0,190.0,185.5,,190.0,188.27,650,12237500000.0,,,
1996-05-03,CARBORUNIV,EQ,190.0,190.0,193.0,187.5,,190.0,190.13,3100,58941750000.0,,,
1996-05-06,CARBORUNIV,EQ,190.0,188.0,191.0,188.0,,191.0,189.91,11150,211749000000.0,,,
1996-05-07,CARBORUNIV,EQ,191.0,190.0,192.0,189.3,,191.95,190.66,2100,40037750000.0,,,
1996-05-08,CARBORUNIV,EQ,191.95,191.95,192.0,191.0,,191.5,191.14,1400,26759500000.0,,,
1996-05-09,CARBORUNIV,EQ,191.5,191.5,192.0,190.0,,191.0,191.27,350,6694500000.0,,,
1996-05-10,CARBORUNIV,EQ,191.0,184.6,190.0,184.6,,188.6,187.72,850,15956000000.0,,,
1996-05-14,CARBORUNIV,EQ,188.6,188.6,192.0,186.0,,190.0,191.19,3750,71695500000.0,,,
1996-05-15,CARBORUNIV,EQ,190.0,188.25,194.0,188.25,,190.1,191.05,950,18149500000.0,,,
1996-05-16,CARBORUNIV,EQ,190.1,200.0,209.0,200.0,,207.2,206.06,3100,63878250000.0,,,
1996-05-17,CARBORUNIV,EQ,207.2,206.0,227.5,206.0,,218.0,219.9,6350,139634000000.0,,,
1996-05-20,CARBORUNIV,EQ,218.0,218.0,213.0,200.0,,201.3,206.66,800,16532750000.0,,,
1996-05-21,CARBORUNIV,EQ,201.3,201.3,197.0,189.0,,189.95,194.36,3350,65112250000.0,,,
1996-05-22,CARBORUNIV,EQ,189.95,189.95,200.0,196.0,,198.0,198.87,750,14915000000.0,,,
1996-05-23,CARBORUNIV,EQ,198.0,198.0,200.1,198.0,,200.0,199.81,3950,78924000000.0,,,
1996-05-24,CARBORUNIV,EQ,200.0,200.0,200.0,197.05,,200.0,199.38,1300,25918750000.0,,,
1996-05-27,CARBORUNIV,EQ,200.0,200.0,198.0,196.1,,196.1,197.35,5050,99661250000.0,,,
1996-05-28,CARBORUNIV,EQ,196.1,196.1,196.0,179.0,,180.05,183.15,2050,37545500000.0,,,
1996-05-29,CARBORUNIV,EQ,180.05,180.05,190.0,185.0,,189.75,188.08,300,5642500000.0,,,
