Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2004-06-07,CCL,EQ,61.6,66.5,66.5,63.3,65.75,65.5,64.35,5177,33315355000.0,,2101,0.4058
2004-06-08,CCL,EQ,65.5,67.25,69.75,65.0,69.7,67.6,66.46,7777,51684580000.0,,3223,0.4144
2004-06-09,CCL,EQ,67.6,69.9,73.0,67.3,72.5,70.4,71.07,3051,21684930000.0,,1000,0.32780000000000004
2004-06-10,CCL,EQ,70.4,73.0,73.5,67.1,70.25,68.5,69.6,3884,27031375000.0,,1240,0.31930000000000003
2004-06-11,CCL,EQ,68.5,73.5,73.5,66.0,67.8,66.9,69.3,2967,20560845000.0,,1985,0.669
2004-06-14,CCL,EQ,66.9,65.7,65.9,63.1,64.45,64.45,64.34,3110,20008300000.0,,865,0.2781
2004-06-15,CCL,EQ,64.45,63.15,66.45,62.25,65.9,65.9,63.62,3949,25123565000.0,,900,0.2279
2004-06-16,CCL,EQ,65.9,63.15,66.0,63.15,63.55,63.9,63.71,4048,25790785000.0,,770,0.1902
2004-06-17,CCL,EQ,63.9,64.0,65.0,63.0,63.0,63.15,63.85,3400,21708250000.0,,150,0.0441
2004-06-18,CCL,EQ,63.15,64.0,64.0,62.7,63.9,63.05,63.84,4220,26941000000.0,,200,0.047400000000000005
2004-06-21,CCL,EQ,63.05,61.6,65.8,60.6,60.6,60.6,62.66,5922,37108895000.0,,1800,0.304
2004-06-22,CCL,EQ,60.6,62.0,63.45,58.5,62.0,62.0,60.76,3335,20262830000.0,,2820,0.8456
2004-06-23,CCL,EQ,62.0,62.0,62.15,60.0,61.4,61.35,61.56,3825,23547150000.0,,1025,0.268
2004-06-24,CCL,EQ,61.35,64.8,64.9,60.5,62.85,61.35,61.21,4905,30024705000.0,,1932,0.39390000000000003
2004-06-25,CCL,EQ,61.35,64.3,65.2,62.8,64.6,63.5,63.55,6968,44281575000.0,,2374,0.3407
2004-06-28,CCL,EQ,63.5,66.9,66.9,63.0,65.5,64.55,64.1,4524,28996945000.0,,1943,0.42950000000000005
2004-06-29,CCL,EQ,64.55,68.0,68.0,63.0,66.0,65.7,65.38,4022,26296884999.999996,,1252,0.3113
2004-06-30,CCL,EQ,65.7,69.0,69.0,61.0,61.5,61.7,64.07,3945,25274145000.0,,1102,0.2793
2004-07-01,CCL,EQ,61.7,66.0,66.0,61.0,61.0,61.5,61.92,4987,30881795000.0,,1731,0.3471
2004-07-02,CCL,EQ,61.5,63.0,63.0,61.0,61.9,61.15,61.67,1097,6765064999.999999,,910,0.8295
2004-07-05,CCL,EQ,61.15,64.9,64.9,61.25,61.6,61.6,61.84,3867,23912575000.0,,1072,0.2772
2004-07-06,CCL,EQ,61.6,63.25,63.25,61.2,61.2,61.85,62.26,3052,19000715000.0,,600,0.1966
2004-07-07,CCL,EQ,61.85,66.5,66.5,61.2,62.55,62.4,61.36,267,1638330000.0,,265,0.9925
2004-07-08,CCL,EQ,62.4,63.0,63.0,58.1,61.0,60.5,61.34,6268,38447605000.0,,3412,0.5444
2004-07-09,CCL,EQ,60.5,62.5,63.75,60.0,62.9,62.9,61.65,3062,18877600000.0,,1242,0.4056
2004-07-12,CCL,EQ,62.9,65.9,65.9,60.4,61.0,61.2,61.16,366,2238385000.0,,361,0.9863
2004-07-13,CCL,EQ,61.2,65.0,65.0,60.0,61.0,61.0,60.09,3752,22546975000.0,,3651,0.9731000000000001
