Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,CESC,EQ,110.5,110.5,110.9,108.55,,109.0,109.31,9700,106032250000.0,,,
1996-01-02,CESC,EQ,109.0,109.0,109.5,107.5,,108.25,108.8,6500,70718500000.0,,,
1996-01-03,CESC,EQ,108.25,107.0,109.85,107.0,,107.85,108.48,1100,11933250000.0,,,
1996-01-04,CESC,EQ,107.85,107.0,107.0,105.0,,106.8,105.9,3500,37064500000.0,,,
1996-01-05,CESC,EQ,106.8,106.8,106.0,105.3,,106.0,105.66,900,9509250000.0,,,
1996-01-08,CESC,EQ,106.0,106.0,105.75,104.2,,104.2,104.83,2300,24111500000.0,,,
1996-01-09,CESC,EQ,104.2,103.0,103.95,102.0,,102.5,102.64,2850,29253500000.0,,,
1996-01-10,CESC,EQ,102.5,102.5,106.5,102.5,,103.75,105.19,1500,15778000000.0,,,
1996-01-11,CESC,EQ,103.75,103.75,105.0,103.75,,104.25,104.41,1900,19837000000.0,,,
1996-01-12,CESC,EQ,104.25,106.0,107.0,105.95,,106.1,106.38,2250,23935000000.0,,,
1996-01-15,CESC,EQ,106.1,106.0,106.0,104.1,,105.0,104.92,1200,12590000000.0,,,
1996-01-16,CESC,EQ,105.0,105.0,105.0,103.0,,104.6,104.0,3900,40558500000.0,,,
1996-01-17,CESC,EQ,104.6,103.0,103.5,102.0,,102.25,102.67,2250,23100500000.0,,,
1996-01-18,CESC,EQ,102.25,97.0,100.75,97.0,,99.75,99.65,2000,19929000000.0,,,
1996-01-19,CESC,EQ,99.75,98.25,99.0,96.0,,96.0,97.81,2250,22007500000.0,,,
1996-01-22,CESC,EQ,96.0,96.0,98.0,95.1,,98.0,96.79,1200,11614250000.0,,,
1996-01-23,CESC,EQ,98.0,100.0,103.05,94.0,,95.05,101.66,7350,74719500000.0,,,
1996-01-24,CESC,EQ,95.05,95.05,94.0,90.0,,92.0,91.28,1950,17799000000.0,,,
1996-01-25,CESC,EQ,92.0,89.0,92.25,88.0,,92.25,90.79,2350,21335750000.0,,,
1996-01-29,CESC,EQ,92.25,92.0,98.0,92.0,,97.75,95.23,1400,13331500000.0,,,
1996-01-30,CESC,EQ,97.75,98.0,102.0,96.0,,98.75,99.01,3450,34159250000.0,,,
1996-01-31,CESC,EQ,98.75,98.75,101.0,99.0,,100.0,100.16,3200,32049750000.0,,,
1996-02-01,CESC,EQ,100.0,103.5,106.0,100.0,,105.0,103.93,9400,97696750000.0,,,
1996-02-02,CESC,EQ,105.0,104.0,113.0,104.0,,109.35,110.1,6700,73765250000.0,,,
1996-02-05,CESC,EQ,109.35,109.35,120.5,111.0,,111.9,115.63,14200,164193250000.0,,,
1996-02-06,CESC,EQ,111.9,111.9,113.0,105.5,,108.1,110.11,6150,67715250000.0,,,
1996-02-07,CESC,EQ,108.1,108.1,108.5,104.0,,105.85,105.8,4350,46021250000.0,,,
1996-02-08,CESC,EQ,105.85,105.85,116.0,108.0,,115.0,112.28,12950,145400000000.0,,,
1996-02-09,CESC,EQ,115.0,115.0,120.0,115.5,,118.95,118.1,9700,114559000000.0,,,
1996-02-12,CESC,EQ,118.95,119.0,122.0,116.1,,118.0,118.66,10750,127562500000.0,,,
1996-02-13,CESC,EQ,118.0,118.0,119.0,114.05,,118.45,117.74,7900,93012750000.0,,,
1996-02-14,CESC,EQ,118.45,118.45,130.0,122.1,,126.0,126.95,16900,214553500000.0,,,
1996-02-15,CESC,EQ,126.0,126.0,139.25,125.0,,136.2,134.01,36300,486456500000.0,,,
1996-02-16,CESC,EQ,136.2,136.2,140.0,129.0,,131.95,133.87,25400,340018750000.0,,,
1996-02-19,CESC,EQ,131.95,131.95,137.0,132.0,,133.6,134.92,11700,157853500000.0,,,
1996-02-20,CESC,EQ,133.6,133.6,134.85,129.0,,130.35,132.48,19650,260328750000.0,,,
1996-02-22,CESC,EQ,130.35,130.35,137.6,130.0,,134.5,135.11,7550,102004750000.0,,,
1996-02-23,CESC,EQ,134.5,134.5,134.0,130.0,,132.25,131.78,5100,67206000000.0,,,
1996-02-26,CESC,EQ,132.25,132.25,136.0,133.0,,134.4,134.99,11500,155236750000.0,,,
1996-02-27,CESC,EQ,134.4,134.4,135.0,132.75,,133.7,133.85,7350,98379500000.0,,,
1996-02-28,CESC,EQ,133.7,134.0,135.0,132.05,,132.05,133.69,2100,28074500000.0,,,
1996-02-29,CESC,EQ,132.05,128.0,128.0,118.5,,119.8,123.15,6450,79428750000.0,,,
