Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-11-20,CHEMBOND,EQ,207.05,209.5,213.95,202.45,213.95,205.25,206.91,1716,35504925000.0,81,1244,0.7249
2019-11-21,CHEMBOND,EQ,205.25,218.0,218.0,200.95,209.6,204.8,206.62,963,19897985000.0,48,658,0.6833
2019-11-22,CHEMBOND,EQ,204.8,209.9,218.0,205.0,205.0,205.95,207.37,862,17875005000.0,87,393,0.4559
2019-11-25,CHEMBOND,EQ,205.95,208.0,227.85,208.0,225.0,224.0,219.82,2083,45788880000.0,136,1151,0.5526
2019-11-26,CHEMBOND,EQ,224.0,210.4,232.0,210.4,226.0,226.2,226.24,3160,71490830000.0,570,2657,0.8408
2019-11-27,CHEMBOND,EQ,226.2,238.5,238.5,220.95,226.0,226.85,228.69,779,17815260000.0,328,545,0.6996
2019-11-28,CHEMBOND,EQ,226.85,225.0,233.0,222.0,228.0,226.85,225.79,1416,31972559999.999996,266,665,0.4696
2019-11-29,CHEMBOND,EQ,226.85,240.4,240.4,221.15,229.6,229.15,224.17,3381,75791085000.0,567,2861,0.8462000000000001
2019-12-02,CHEMBOND,EQ,229.15,224.0,240.6,219.1,227.95,221.4,223.64,498,11137460000.0,256,140,0.2811
2019-12-03,CHEMBOND,EQ,221.4,235.0,235.0,219.0,224.0,225.5,226.05,1497,33839940000.000004,239,257,0.17170000000000002
2019-12-04,CHEMBOND,EQ,225.5,229.4,233.0,215.05,233.0,229.55,227.19,1341,30466770000.0,379,512,0.38180000000000003
2019-12-05,CHEMBOND,EQ,229.55,233.85,233.85,220.0,229.0,229.0,226.76,1088,24671065000.0,195,541,0.4972
2019-12-06,CHEMBOND,EQ,229.0,221.05,227.95,218.0,218.0,218.25,222.28,1026,22805850000.0,282,647,0.6306
2019-12-09,CHEMBOND,EQ,218.25,202.0,238.2,202.0,223.0,221.3,215.97,2430,52480994999.99999,392,1971,0.8111
2019-12-10,CHEMBOND,EQ,221.3,210.0,224.35,205.0,222.95,217.6,212.72,3494,74323895000.0,447,2211,0.6328
2019-12-11,CHEMBOND,EQ,217.6,209.0,226.0,205.05,212.7,211.55,209.25,3018,63150225000.0,169,1751,0.5802
2019-12-12,CHEMBOND,EQ,211.55,206.0,213.5,200.05,211.45,211.4,206.02,4057,83582525000.0,787,2128,0.5245000000000001
2019-12-13,CHEMBOND,EQ,211.4,207.0,209.95,204.0,204.0,204.15,205.18,4960,101769900000.0,230,3797,0.7655
2019-12-16,CHEMBOND,EQ,204.15,210.95,212.0,196.1,199.5,200.05,200.78,4428,88904350000.0,535,3504,0.7913
2019-12-17,CHEMBOND,EQ,200.05,209.95,209.95,196.0,202.0,202.0,202.8,1052,21334780000.0,321,464,0.4411
2019-12-18,CHEMBOND,EQ,202.0,209.45,209.45,197.05,207.5,207.25,203.98,1130,23050005000.0,110,610,0.5398
2019-12-19,CHEMBOND,EQ,207.25,206.9,211.0,202.15,211.0,210.35,207.3,1161,24067060000.0,135,651,0.5607
2019-12-20,CHEMBOND,EQ,210.35,216.85,217.0,206.95,217.0,215.25,210.03,759,15940904999.999998,279,190,0.2503
2019-12-23,CHEMBOND,EQ,215.25,220.95,220.95,204.05,204.2,204.2,209.97,154,3233565000.0,41,66,0.4286
2019-12-24,CHEMBOND,EQ,204.2,215.85,219.35,208.95,210.0,211.7,210.72,868,18290230000.0,145,516,0.5945
2019-12-26,CHEMBOND,EQ,211.7,206.0,222.0,206.0,215.0,212.75,213.52,884,18875350000.0,283,118,0.1335
2019-12-27,CHEMBOND,EQ,212.75,215.95,222.0,208.0,210.0,214.95,215.61,559,12052395000.0,132,241,0.4311
2019-12-30,CHEMBOND,EQ,214.95,222.2,222.2,210.0,219.5,219.5,214.13,1527,32697950000.0,98,795,0.5206000000000001
2019-12-31,CHEMBOND,EQ,219.5,221.0,221.0,205.0,208.85,208.7,210.86,5837,123077360000.00002,538,3548,0.6078
2020-01-01,CHEMBOND,EQ,208.7,208.75,212.9,203.1,203.5,205.75,206.73,3664,75745405000.0,649,1321,0.3605
2020-01-02,CHEMBOND,EQ,205.75,208.0,214.95,206.95,212.0,209.3,210.07,2736,57476194999.99999,297,1841,0.6729
2020-01-03,CHEMBOND,EQ,209.3,215.95,215.95,207.3,209.9,209.95,210.36,2840,59742469999.99999,100,2487,0.8756999999999999
