Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-10-10,TIFIN,EQ,564.6,595.0,649.95,565.0,569.95,569.35,575.19,16103,926225980000.0001,703,8824,0.5479999999999999
2017-10-11,TIFIN,EQ,569.35,575.0,632.0,565.0,587.0,581.3,578.77,103828,6009205760000.0,1811,95351,0.9184000000000001
2017-10-12,TIFIN,EQ,581.3,576.0,619.7,576.0,595.15,600.8,604.45,77247,4669229545000.0,2549,45634,0.5908
2017-10-13,TIFIN,EQ,600.8,594.2,613.45,580.7,590.0,586.3,601.67,50753,3053647705000.0,1941,40501,0.798
2017-10-16,TIFIN,EQ,586.3,586.0,602.0,574.25,585.0,584.65,588.88,35069,2065134980000.0,1121,28897,0.8240000000000001
2017-10-17,TIFIN,EQ,584.65,575.0,603.0,575.0,599.0,600.0,598.9,236107,14140478855000.002,3433,228775,0.9689
2017-10-18,TIFIN,EQ,600.0,604.95,604.95,587.0,600.0,599.85,598.97,89987,5389974695000.0,1111,78561,0.873
2017-10-19,TIFIN,EQ,599.85,604.0,609.5,600.0,602.0,602.25,603.05,3227,194603730000.0,105,2579,0.7992
2017-10-23,TIFIN,EQ,602.25,617.85,617.85,590.5,599.95,598.2,597.89,24100,1440903590000.0,1132,20083,0.8333
2017-10-24,TIFIN,EQ,598.2,590.0,601.0,590.0,591.0,593.05,598.52,56003,3351899000000.0,1256,48800,0.8714000000000001
2017-10-25,TIFIN,EQ,593.05,595.05,598.3,581.1,590.0,589.8,594.83,598054,35573969200000.0,1611,584304,0.9770000000000001
2017-10-26,TIFIN,EQ,589.8,587.0,597.0,569.4,579.95,577.35,581.69,15786,918251365000.0,822,10158,0.6435
2017-10-27,TIFIN,EQ,577.35,580.0,584.0,571.1,581.75,578.25,579.83,6643,385178405000.0,307,4019,0.605
2017-10-30,TIFIN,EQ,578.25,580.0,589.95,578.05,585.1,586.3,585.38,17855,1045193560000.0,1673,13075,0.7323000000000001
2017-10-31,TIFIN,EQ,586.3,578.0,591.95,577.0,588.0,588.2,586.97,370461,21744946930000.0,558,365514,0.9866
2017-11-01,TIFIN,EQ,588.2,585.05,609.95,585.05,600.0,603.05,605.24,49907,3020553955000.0,854,40280,0.8070999999999999
2017-11-02,TIFIN,EQ,603.05,593.05,608.95,583.75,596.0,591.25,595.64,22507,1340611590000.0,832,17104,0.7599
2017-11-03,TIFIN,EQ,591.25,600.0,601.8,588.2,594.0,598.2,595.66,82337,4904497825000.0,1236,53199,0.6461
2017-11-06,TIFIN,EQ,598.2,600.0,602.15,581.6,601.0,601.8,599.28,29144,1746537520000.0,1374,24862,0.8531000000000001
2017-11-07,TIFIN,EQ,601.8,599.0,605.0,591.1,591.15,601.8,601.13,92869,5582623880000.0,1650,89002,0.9584
2017-11-08,TIFIN,EQ,601.8,607.95,607.95,591.0,597.5,595.05,602.54,183633,11064640420000.0,544,173916,0.9470999999999999
2017-11-09,TIFIN,EQ,595.05,600.0,601.0,585.0,589.95,590.1,591.78,7508,444310390000.00006,320,5542,0.7381000000000001
2017-11-10,TIFIN,EQ,590.1,570.65,590.15,570.65,576.4,572.65,579.7,79179,4590021315000.0,1226,70950,0.8961
2017-11-13,TIFIN,EQ,572.65,575.0,580.0,561.55,565.85,563.3,570.12,12246,698167205000.0,520,10058,0.8212999999999999
2017-11-14,TIFIN,EQ,563.3,559.9,567.95,550.55,551.15,551.95,563.02,130383,7340833459999.999,418,126431,0.9697
2017-11-15,TIFIN,EQ,551.95,560.2,564.8,547.0,550.0,550.15,554.09,14690,813963865000.0,373,10853,0.7388
2017-11-16,TIFIN,EQ,550.15,563.0,566.0,548.0,560.0,561.35,555.66,36752,2042147114999.9998,1210,17291,0.4705
2017-11-17,TIFIN,EQ,561.35,556.0,569.45,556.0,561.0,561.65,562.79,44936,2528949045000.0,972,38350,0.8534
2017-11-20,TIFIN,EQ,561.65,561.65,579.0,558.55,572.0,568.75,569.96,278050,15847704560000.0,844,273497,0.9836
2017-11-21,TIFIN,EQ,568.75,576.0,585.5,575.1,584.9,577.4,577.55,41028,2369559105000.0,701,38019,0.9267000000000001
2017-11-22,TIFIN,EQ,577.4,579.1,589.0,577.0,580.2,584.6,584.27,12177,711462105000.0,929,9986,0.8201
2017-11-23,TIFIN,EQ,584.6,584.6,594.55,572.3,572.7,581.9,586.77,48836,2865529010000.0,1052,46080,0.9436
2017-11-24,TIFIN,EQ,581.9,586.5,592.0,570.05,574.15,576.0,580.94,13274,771143030000.0,634,9796,0.738
2017-11-27,TIFIN,EQ,576.0,580.0,585.0,573.1,576.1,576.45,578.16,332256,19209702375000.0,1134,311427,0.9373
2017-11-28,TIFIN,EQ,576.45,577.0,580.0,560.2,561.0,564.1,573.45,319341,18312622495000.0,607,312710,0.9792000000000001
2017-11-29,TIFIN,EQ,564.1,566.0,577.8,549.25,557.05,554.75,560.09,35369,1980981050000.0,817,30537,0.8634000000000001
2017-11-30,TIFIN,EQ,554.75,554.75,579.55,545.85,570.05,565.15,571.05,650862,37167584920000.0,2791,619691,0.9521
2017-12-01,TIFIN,EQ,565.15,577.0,590.45,567.05,580.0,585.65,583.36,37930,2212671685000.0,782,27950,0.7369
2017-12-04,TIFIN,EQ,585.65,590.0,603.9,582.15,593.95,589.3,597.61,44657,2668750100000.0,1044,30893,0.6918000000000001
2017-12-05,TIFIN,EQ,589.3,594.0,602.95,584.05,600.0,599.7,599.35,147826,8859981900000.0,6159,133959,0.9062000000000001
2017-12-06,TIFIN,EQ,599.7,595.0,604.9,586.8,599.95,596.7,597.64,86998,5199325260000.0,3305,72667,0.8353
2017-12-07,TIFIN,EQ,596.7,592.1,601.9,592.1,598.9,598.8,599.9,164810,9886929000000.0,2986,154661,0.9384
2017-12-08,TIFIN,EQ,598.8,600.85,600.9,595.0,598.3,598.5,599.65,44289,2655792385000.0,1075,39090,0.8826
2017-12-11,TIFIN,EQ,598.5,599.0,603.0,596.0,600.0,602.0,601.97,532792,32072332330000.0,482,530140,0.995
2017-12-12,TIFIN,EQ,602.0,609.9,609.9,584.05,598.25,600.35,595.92,49991,2979078690000.0,3315,39913,0.7984
2017-12-13,TIFIN,EQ,600.35,585.0,602.95,585.0,595.0,596.3,595.09,41156,2449164395000.0,477,38236,0.9291
2017-12-14,TIFIN,EQ,596.3,583.2,600.0,583.2,587.05,591.25,594.83,16083,956670055000.0001,967,11932,0.7419
2017-12-15,TIFIN,EQ,591.25,599.6,602.0,592.2,595.0,599.35,599.27,57140,3424205435000.0,3212,47702,0.8348000000000001
2017-12-18,TIFIN,EQ,599.35,604.25,604.95,581.0,594.0,595.2,597.08,15612,932162980000.0001,645,9193,0.5888
2017-12-19,TIFIN,EQ,595.2,590.75,605.95,590.75,600.0,599.6,600.02,30507,1830477975000.0,1021,22438,0.7354999999999999
2017-12-20,TIFIN,EQ,599.6,599.05,616.0,599.05,615.0,612.9,611.0,143048,8740166565000.001,1589,104122,0.7279000000000001
2017-12-21,TIFIN,EQ,612.9,634.0,634.0,603.05,608.55,606.65,612.58,32926,2016993839999.9998,853,23578,0.7161
2017-12-22,TIFIN,EQ,606.65,615.0,617.45,601.55,615.3,616.25,614.35,21161,1300018160000.0,540,16520,0.7807
2017-12-26,TIFIN,EQ,616.25,615.0,689.5,612.65,688.0,677.6,647.53,462759,29965200795000.0,5214,290774,0.6283
2017-12-27,TIFIN,EQ,677.6,689.9,724.8,665.25,688.1,686.75,699.46,149213,10436856045000.0,5001,61019,0.40890000000000004
2017-12-28,TIFIN,EQ,686.75,701.0,701.9,671.8,685.0,682.8,684.25,34771,2379202050000.0,1518,23150,0.6658
2017-12-29,TIFIN,EQ,682.8,700.0,700.0,677.9,690.0,687.3,685.15,48854,3347213665000.0,991,40290,0.8247
2018-01-01,TIFIN,EQ,687.3,691.0,709.95,681.05,690.0,690.15,691.88,43681,3022203055000.0,1154,34696,0.7943000000000001
2018-01-02,TIFIN,EQ,690.15,685.0,706.5,680.95,700.0,700.9,695.64,54641,3801034100000.0,1253,47289,0.8654000000000001
2018-01-03,TIFIN,EQ,700.9,708.0,709.0,686.0,697.95,695.9,699.17,87791,6138068020000.0,574,81046,0.9231999999999999
2018-01-04,TIFIN,EQ,695.9,695.9,707.95,680.05,690.0,696.0,691.93,28705,1986171710000.0002,1283,22876,0.7968999999999999
2018-01-05,TIFIN,EQ,696.0,698.55,699.85,682.05,682.1,687.4,688.42,21697,1493671115000.0,884,15930,0.7342000000000001
2018-01-08,TIFIN,EQ,687.4,687.4,702.1,684.0,693.05,697.5,692.94,48416,3354925585000.0,2287,40336,0.8331000000000001
2018-01-09,TIFIN,EQ,697.5,699.35,702.0,690.0,696.75,698.1,697.57,39236,2736981185000.0,730,31401,0.8003
2018-01-10,TIFIN,EQ,698.1,702.3,704.0,692.0,700.0,700.3,698.81,44877,3136039055000.0,950,39419,0.8784000000000001
2018-01-11,TIFIN,EQ,700.3,702.25,704.7,692.95,703.0,700.55,699.53,27950,1955176030000.0,643,22462,0.8036
2018-01-12,TIFIN,EQ,700.55,698.25,707.95,691.0,697.0,700.1,700.2,142090,9949137795000.0,959,134269,0.9450000000000001
2018-01-15,TIFIN,EQ,700.1,704.3,707.95,691.85,700.0,698.15,699.77,36484,2553026695000.0,1146,30585,0.8383
2018-01-16,TIFIN,EQ,698.15,691.0,701.0,691.0,695.0,697.3,696.23,112773,7851575705000.0,3667,104197,0.924
2018-01-17,TIFIN,EQ,697.3,700.35,704.0,682.65,700.0,701.35,699.43,39416,2756877065000.0,1129,35420,0.8986000000000001
2018-01-18,TIFIN,EQ,701.35,703.0,722.1,698.0,704.25,700.55,702.36,44385,3117422780000.0,1819,37288,0.8401000000000001
2018-01-19,TIFIN,EQ,700.55,697.95,719.95,697.45,708.75,709.45,710.49,12650,898765005000.0001,877,8610,0.6806
2018-01-22,TIFIN,EQ,709.45,708.25,739.0,696.0,725.0,724.1,714.13,30126,2151374835000.0002,1222,21482,0.7131000000000001
2018-01-23,TIFIN,EQ,724.1,740.0,740.0,700.15,704.0,706.05,710.83,13047,927416950000.0,855,7362,0.5643
2018-01-24,TIFIN,EQ,706.05,700.0,718.95,699.0,709.0,709.6,700.81,94107,6595108610000.0,2834,78175,0.8307
2018-01-25,TIFIN,EQ,709.6,710.75,719.25,682.85,690.0,689.8,696.21,19789,1377734720000.0,890,14327,0.7240000000000001
2018-01-29,TIFIN,EQ,689.8,690.0,707.9,682.25,687.7,684.15,693.14,146188,10132846375000.0,1309,138311,0.9461
2018-01-30,TIFIN,EQ,684.15,696.35,699.9,673.0,695.0,696.7,679.33,144575,9821415875000.0,1638,131578,0.9101
2018-01-31,TIFIN,EQ,696.7,699.25,699.25,683.25,690.0,689.15,689.57,23349,1610077785000.0,679,20442,0.8755
2018-02-01,TIFIN,EQ,689.15,681.05,700.1,665.0,690.0,697.95,683.29,351397,24010594295000.0,3210,316119,0.8996
2018-02-02,TIFIN,EQ,697.95,690.0,694.45,670.0,679.8,677.55,679.84,21746,1478371835000.0,1479,11368,0.5228
2018-02-05,TIFIN,EQ,677.55,660.0,680.0,657.0,675.0,675.45,672.36,16631,1118204790000.0,536,9013,0.5418999999999999
2018-02-06,TIFIN,EQ,675.45,665.0,668.95,645.0,668.95,660.25,650.3,24807,1613193090000.0,1509,18831,0.7591
2018-02-07,TIFIN,EQ,660.25,653.0,706.15,653.0,680.0,683.65,687.27,21714,1492328585000.0,999,13013,0.5993
2018-02-08,TIFIN,EQ,683.65,694.0,694.0,665.0,670.55,671.95,676.79,13562,917858069999.9999,1184,9191,0.6777
2018-02-09,TIFIN,EQ,671.95,653.0,670.0,653.0,660.4,661.1,661.79,17009,1125636405000.0,1250,13207,0.7765000000000001
2018-02-12,TIFIN,EQ,661.1,668.85,678.0,660.0,672.0,673.0,673.88,12655,852795725000.0,739,10669,0.8431000000000001
2018-02-14,TIFIN,EQ,673.0,676.75,683.4,665.0,667.95,666.9,669.91,39755,2663223845000.0,3133,26845,0.6753
2018-02-15,TIFIN,EQ,666.9,669.05,669.1,655.95,661.15,664.4,663.55,45602,3025935310000.0,4208,35240,0.7728
2018-02-16,TIFIN,EQ,664.4,660.85,687.8,660.85,685.0,675.8,670.07,27282,1828084770000.0,2618,21833,0.8003
2018-02-19,TIFIN,EQ,675.8,676.0,684.8,659.05,683.95,676.4,669.21,27763,1857932860000.0002,1893,20592,0.7417
2018-02-20,TIFIN,EQ,676.4,670.05,680.0,663.45,669.0,667.0,670.73,8417,564555565000.0,756,6093,0.7239
2018-02-21,TIFIN,EQ,667.0,667.0,672.3,660.0,667.05,669.2,666.37,19488,1298614190000.0,1973,13953,0.716
2018-02-22,TIFIN,EQ,669.2,666.05,667.85,657.0,665.0,664.8,662.3,27946,1850859220000.0,2242,20744,0.7423000000000001
2018-02-23,TIFIN,EQ,664.8,665.9,677.7,660.1,675.0,674.3,668.4,31990,2138225060000.0002,2378,24917,0.7789
2018-02-26,TIFIN,EQ,674.3,676.3,682.8,659.05,675.3,679.75,667.65,91996,6142068540000.0,3348,52624,0.5720000000000001
