Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-02-08,COSMOFILMS,EQ,144.0,105.0,105.0,105.0,,105.0,105.0,100,1050000000.0,,,
1996-02-09,COSMOFILMS,EQ,105.0,105.0,105.0,105.0,,105.0,105.0,200,2100000000.0,,,
1996-02-12,COSMOFILMS,EQ,105.0,105.0,107.5,105.0,,107.5,105.71,350,3700000000.0,,,
1996-02-13,COSMOFILMS,EQ,107.5,107.5,108.0,107.5,,108.0,107.75,100,1077500000.0,,,
1996-02-14,COSMOFILMS,EQ,108.0,108.0,108.0,107.0,,107.0,107.43,350,3760000000.0,,,
1996-02-15,COSMOFILMS,EQ,107.0,110.0,110.0,109.5,,109.5,109.65,400,4386000000.0,,,
1996-02-16,COSMOFILMS,EQ,109.5,110.0,113.5,110.0,,113.5,110.58,300,3317500000.0,,,
1996-02-19,COSMOFILMS,EQ,113.5,115.0,115.0,115.0,,115.0,115.0,50,575000000.0,,,
1996-02-20,COSMOFILMS,EQ,115.0,115.0,115.0,115.0,,115.0,115.0,400,4600000000.0,,,
1996-02-23,COSMOFILMS,EQ,115.0,115.0,115.0,115.0,,115.0,115.0,50,575000000.0,,,
1996-02-26,COSMOFILMS,EQ,115.0,120.0,121.0,120.0,,120.0,120.17,600,7210000000.0,,,
1996-02-27,COSMOFILMS,EQ,120.0,120.0,120.0,120.0,,120.0,120.0,200,2400000000.0,,,
1996-02-28,COSMOFILMS,EQ,120.0,121.0,130.0,121.0,,129.0,126.86,350,4440000000.0,,,
1996-02-29,COSMOFILMS,EQ,129.0,130.0,130.0,130.0,,130.0,130.0,100,1300000000.0,,,
1996-03-01,COSMOFILMS,EQ,130.0,125.0,128.0,125.0,,128.0,127.25,400,5090000000.0,,,
1996-03-04,COSMOFILMS,EQ,128.0,128.0,128.0,128.0,,128.0,128.0,250,3200000000.0,,,
1996-03-08,COSMOFILMS,EQ,128.0,125.0,125.0,125.0,,125.0,125.0,50,625000000.0,,,
1996-03-11,COSMOFILMS,EQ,125.0,125.0,125.0,125.0,,125.0,125.0,200,2500000000.0,,,
1996-03-12,COSMOFILMS,EQ,125.0,124.5,124.5,124.5,,124.5,124.5,50,622500000.0,,,
1996-03-14,COSMOFILMS,EQ,124.5,123.75,123.75,123.75,,123.75,123.75,50,618750000.0,,,
1996-03-15,COSMOFILMS,EQ,123.75,115.0,115.0,115.0,,115.0,115.0,50,575000000.0,,,
1996-03-18,COSMOFILMS,EQ,115.0,124.0,124.0,118.0,,122.0,122.0,200,2440000000.0,,,
1996-03-19,COSMOFILMS,EQ,122.0,122.05,122.05,122.05,,122.05,122.05,50,610250000.0,,,
1996-03-22,COSMOFILMS,EQ,122.05,124.0,124.0,124.0,,124.0,124.0,150,1860000000.0,,,
1996-03-25,COSMOFILMS,EQ,124.0,122.5,122.5,122.5,,122.5,122.5,50,612500000.0,,,
1996-04-02,COSMOFILMS,EQ,122.5,122.5,125.0,125.0,,125.0,125.0,200,2500000000.0,,,
1996-04-03,COSMOFILMS,EQ,125.0,123.0,124.0,123.0,,124.0,123.4,250,3085000000.0,,,
1996-04-04,COSMOFILMS,EQ,124.0,124.0,124.0,124.0,,124.0,124.0,200,2480000000.0,,,
1996-04-08,COSMOFILMS,EQ,124.0,124.0,124.0,123.25,,123.65,123.63,200,2472500000.0,,,
1996-04-09,COSMOFILMS,EQ,123.65,123.0,123.0,123.0,,123.0,123.0,200,2460000000.0,,,
1996-04-11,COSMOFILMS,EQ,123.0,123.0,123.0,123.0,,123.0,123.0,100,1230000000.0,,,
1996-04-18,COSMOFILMS,EQ,123.0,124.0,124.0,124.0,,124.0,124.0,100,1240000000.0,,,
1996-04-19,COSMOFILMS,EQ,124.0,124.0,125.0,124.0,,125.0,124.57,350,4360000000.0,,,
1996-04-22,COSMOFILMS,EQ,125.0,124.0,127.6,124.0,,127.6,125.7,300,3771000000.0,,,
1996-04-26,COSMOFILMS,EQ,127.6,125.0,125.0,125.0,,125.0,125.0,100,1250000000.0,,,
1996-04-30,COSMOFILMS,EQ,125.0,120.0,120.0,120.0,,120.0,120.0,200,2400000000.0,,,
1996-05-01,COSMOFILMS,EQ,120.0,123.0,123.0,123.0,,123.0,123.0,100,1230000000.0,,,
1996-05-02,COSMOFILMS,EQ,123.0,118.25,118.25,118.25,,118.25,118.25,100,1182500000.0,,,
1996-05-03,COSMOFILMS,EQ,118.25,119.0,119.0,119.0,,119.0,119.0,50,595000000.0,,,
1996-05-06,COSMOFILMS,EQ,119.0,125.0,125.0,124.0,,124.0,124.48,400,4979000000.0,,,
1996-05-07,COSMOFILMS,EQ,124.0,124.0,124.0,124.0,,124.0,124.0,100,1240000000.0,,,
1996-05-08,COSMOFILMS,EQ,124.0,124.0,124.0,124.0,,124.0,124.0,50,620000000.0,,,
1996-05-09,COSMOFILMS,EQ,124.0,124.0,124.0,124.0,,124.0,124.0,100,1240000000.0,,,
1996-05-10,COSMOFILMS,EQ,124.0,120.0,120.0,120.0,,120.0,120.0,50,600000000.0,,,
1996-05-14,COSMOFILMS,EQ,120.0,120.0,120.0,120.0,,120.0,120.0,50,600000000.0,,,
1996-05-17,COSMOFILMS,EQ,120.0,121.0,122.5,121.0,,122.5,121.83,300,3655000000.0,,,
1996-05-22,COSMOFILMS,EQ,122.5,121.0,121.0,121.0,,121.0,121.0,200,2420000000.0,,,
1996-05-23,COSMOFILMS,EQ,121.0,119.9,120.0,115.0,,115.0,119.21,350,4172500000.0,,,
1996-05-27,COSMOFILMS,EQ,115.0,105.0,105.0,103.5,,103.5,104.25,100,1042500000.0,,,
1996-05-31,COSMOFILMS,EQ,103.5,96.5,97.0,96.5,,97.0,96.67,300,2900000000.0,,,
1996-06-04,COSMOFILMS,EQ,97.0,106.0,106.0,106.0,,106.0,106.0,50,530000000.0,,,
1996-06-05,COSMOFILMS,EQ,106.0,114.0,116.5,114.0,,115.25,115.25,100,1152500000.0,,,
1996-06-11,COSMOFILMS,EQ,115.25,120.0,122.0,120.0,,120.0,120.5,400,4820000000.0,,,
1996-06-12,COSMOFILMS,EQ,120.0,110.0,110.0,110.0,,110.0,110.0,50,550000000.0,,,
1996-06-13,COSMOFILMS,EQ,110.0,115.0,115.0,115.0,,115.0,115.0,50,575000000.0,,,
1996-06-14,COSMOFILMS,EQ,115.0,115.0,118.0,115.0,,118.0,116.5,300,3495000000.0,,,
1996-06-17,COSMOFILMS,EQ,118.0,118.5,118.5,118.5,,118.5,118.5,50,592500000.0,,,
1996-06-18,COSMOFILMS,EQ,118.5,118.0,118.0,118.0,,118.0,118.0,100,1180000000.0,,,
1996-06-19,COSMOFILMS,EQ,118.0,130.0,130.0,125.05,,125.75,126.84,700,8878750000.0,,,
1996-06-20,COSMOFILMS,EQ,125.75,124.25,125.0,124.0,,125.0,124.5,250,3112500000.0,,,
1996-06-21,COSMOFILMS,EQ,125.0,124.5,124.5,123.0,,123.0,123.83,300,3715000000.0,,,
1996-06-24,COSMOFILMS,EQ,123.0,120.0,120.5,120.0,,120.5,120.33,300,3610000000.0,,,
1996-06-25,COSMOFILMS,EQ,120.5,120.0,120.0,115.0,,115.25,116.84,600,7010250000.0,,,
1996-06-26,COSMOFILMS,EQ,115.25,115.0,118.0,114.85,,118.0,116.12,500,5806000000.0,,,
1996-07-02,COSMOFILMS,EQ,118.0,115.5,118.0,115.5,,116.5,116.5,150,1747500000.0,,,
1996-07-03,COSMOFILMS,EQ,116.5,128.0,128.0,116.0,,116.0,120.0,150,1800000000.0,,,
1996-07-08,COSMOFILMS,EQ,0.0,115.0,115.0,115.0,,115.0,115.0,150,1725000000.0,,,
1996-07-09,COSMOFILMS,EQ,115.0,113.0,113.0,112.0,,112.0,112.5,550,6187500000.0,,,
1996-07-10,COSMOFILMS,EQ,112.0,123.0,123.0,123.0,,123.0,123.0,50,615000000.0,,,
1996-07-11,COSMOFILMS,EQ,123.0,135.0,135.0,135.0,,135.0,135.0,50,675000000.0,,,
1996-07-15,COSMOFILMS,EQ,135.0,120.85,120.85,120.85,,120.85,120.85,50,604250000.0,,,
1996-07-16,COSMOFILMS,EQ,120.85,114.0,115.75,114.0,,115.75,114.58,150,1718750000.0,,,
1996-07-17,COSMOFILMS,EQ,115.75,105.0,105.0,105.0,,105.0,105.0,200,2100000000.0,,,
1996-07-18,COSMOFILMS,EQ,105.0,109.5,109.5,109.5,,109.5,109.5,50,547500000.0,,,
1996-07-25,COSMOFILMS,EQ,109.5,98.0,98.0,98.0,,98.0,98.0,50,490000000.0,,,
1996-07-26,COSMOFILMS,EQ,98.0,90.0,90.0,90.0,,90.0,90.0,100,900000000.0,,,
1996-07-29,COSMOFILMS,EQ,90.0,82.0,82.0,82.0,,82.0,82.0,50,410000000.0,,,
1996-07-30,COSMOFILMS,EQ,82.0,80.0,82.0,76.1,,79.5,80.22,700,5615500000.0,,,
1996-07-31,COSMOFILMS,EQ,79.5,79.0,79.0,79.0,,79.0,79.0,300,2370000000.0,,,
1996-08-01,COSMOFILMS,EQ,79.0,80.0,80.0,80.0,,80.0,80.0,250,2000000000.0,,,
1996-08-02,COSMOFILMS,EQ,80.0,79.0,79.0,79.0,,79.0,79.0,100,790000000.0,,,
1996-08-05,COSMOFILMS,EQ,79.0,75.05,75.05,75.0,,75.0,75.01,250,1875250000.0,,,
1996-08-06,COSMOFILMS,EQ,75.0,70.15,75.0,70.0,,75.0,73.52,400,2940750000.0,,,
1996-08-07,COSMOFILMS,EQ,75.0,69.0,72.0,68.0,,72.0,69.5,400,2780000000.0,,,
1996-08-08,COSMOFILMS,EQ,72.0,66.0,66.0,65.0,,65.75,65.83,600,3950000000.0,,,
1996-08-09,COSMOFILMS,EQ,65.75,59.4,60.0,59.4,,59.55,59.54,350,2083750000.0,,,
1996-08-13,COSMOFILMS,EQ,59.55,57.0,59.75,57.0,,59.75,57.92,150,868750000.0,,,
1996-08-14,COSMOFILMS,EQ,59.75,56.0,56.0,55.0,,55.0,55.86,350,1955000000.0,,,
1996-08-16,COSMOFILMS,EQ,55.0,55.0,55.0,55.0,,55.0,55.0,100,550000000.0,,,
1996-08-19,COSMOFILMS,EQ,55.0,55.5,55.5,55.5,,55.5,55.5,50,277500000.0,,,
1996-08-20,COSMOFILMS,EQ,55.5,54.5,56.95,54.0,,54.5,54.96,1200,6595000000.0,,,
1996-08-21,COSMOFILMS,EQ,54.5,51.0,53.95,51.0,,53.95,52.39,750,3929500000.0,,,
1996-08-22,COSMOFILMS,EQ,53.95,54.0,55.0,54.0,,55.0,54.8,250,1370000000.0,,,
1996-08-26,COSMOFILMS,EQ,55.0,52.75,52.75,52.75,,52.75,52.75,2100,11077500000.0,,,
1996-08-27,COSMOFILMS,EQ,52.75,52.75,54.0,52.75,,54.0,53.58,150,803750000.0,,,
1996-08-29,COSMOFILMS,EQ,54.0,54.0,54.0,54.0,,54.0,54.0,100,540000000.0,,,
1996-08-30,COSMOFILMS,EQ,54.0,58.0,58.0,48.6,,54.55,54.18,6850,37110000000.0,,,
