Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1998-09-30,INFOTECENT,EQ,124.3,147.1,153.4,142.0,153.4,153.4,150.61,10300,155128500000.0,,,
1998-10-05,INFOTECENT,EQ,153.4,152.0,165.7,152.0,165.7,165.7,164.04,9900,162403500000.0,,,
1998-10-06,INFOTECENT,EQ,165.7,174.0,179.0,165.0,179.0,179.0,175.14,17600,308255000000.0,,,
1998-10-07,INFOTECENT,EQ,179.0,190.0,193.35,190.0,193.35,193.35,193.3,35600,688146500000.0,,,
1998-10-08,INFOTECENT,EQ,193.35,208.0,208.85,195.0,208.85,208.85,206.88,34000,703389500000.0,,,
1998-10-09,INFOTECENT,EQ,208.85,219.95,224.9,212.5,219.9,218.25,220.77,47400,1046444500000.0,,,
1998-10-12,INFOTECENT,EQ,218.25,224.35,225.0,200.8,200.8,200.8,208.57,15200,317020500000.0,,,
1998-10-13,INFOTECENT,EQ,200.8,185.2,185.2,184.75,184.75,184.75,184.79,5800,107177000000.0,,,
1998-10-14,INFOTECENT,EQ,184.75,171.0,171.0,170.0,170.5,170.1,170.1,31700,539224500000.0,,,
1998-10-15,INFOTECENT,EQ,170.1,170.1,170.1,156.5,156.5,156.5,161.97,19400,314230000000.0,,,
1998-10-16,INFOTECENT,EQ,156.5,156.5,156.5,144.0,144.9,144.3,145.53,26200,381287000000.0,,,
1998-10-19,INFOTECENT,EQ,144.3,146.85,146.85,133.1,135.5,134.25,137.59,17600,242161500000.0,,,
1998-10-20,INFOTECENT,EQ,134.25,134.0,134.0,123.55,125.7,123.65,125.2,30100,376839000000.0,,,
1998-10-22,INFOTECENT,EQ,123.65,128.75,133.55,120.0,132.25,130.7,130.42,56700,739493500000.0,,,
1998-10-23,INFOTECENT,EQ,130.7,130.0,139.9,125.0,138.0,136.55,134.83,76400,1030128000000.0,,,
1998-10-26,INFOTECENT,EQ,136.55,142.0,147.5,142.0,147.5,147.5,145.87,30100,439067500000.0,,,
1998-10-27,INFOTECENT,EQ,147.5,152.0,152.0,140.05,147.5,144.65,146.87,55300,812197000000.0,,,
1998-10-28,INFOTECENT,EQ,144.65,153.0,156.25,151.0,154.4,155.75,155.49,33300,517796000000.0,,,
1998-10-29,INFOTECENT,EQ,155.75,154.0,157.45,151.25,154.0,154.25,153.41,20400,312948500000.0,,,
1998-10-30,INFOTECENT,EQ,154.25,155.0,156.25,144.1,148.0,147.55,151.08,29300,442667500000.0,,,
1998-10-31,INFOTECENT,EQ,147.55,145.4,151.7,143.1,149.5,148.9,148.22,11400,168969000000.0,,,
1998-11-02,INFOTECENT,EQ,148.9,151.9,155.0,147.1,151.0,151.15,151.6,36300,550308000000.0,,,
1998-11-03,INFOTECENT,EQ,151.15,152.25,152.25,144.0,147.0,145.1,146.8,32500,477084000000.0,,,
1998-11-05,INFOTECENT,EQ,145.1,149.0,151.0,146.0,147.05,147.4,148.28,22300,330656500000.0,,,
1998-11-06,INFOTECENT,EQ,147.4,145.3,145.55,137.0,138.8,137.6,139.89,27500,384703500000.0,,,
1998-11-09,INFOTECENT,EQ,137.6,140.0,142.9,131.05,138.75,138.25,137.95,22200,306240000000.0,,,
1998-11-10,INFOTECENT,EQ,138.25,137.5,138.25,133.7,137.45,137.15,136.42,24500,334239000000.0,,,
1998-11-11,INFOTECENT,EQ,137.15,142.5,143.25,139.0,140.0,140.45,140.97,23400,329875500000.0,,,
1998-11-12,INFOTECENT,EQ,140.45,138.9,139.0,134.0,138.0,137.75,136.57,10400,142032500000.0,,,
1998-11-13,INFOTECENT,EQ,137.75,136.0,136.5,131.5,132.2,132.25,133.55,13400,178954500000.0,,,
1998-11-16,INFOTECENT,EQ,132.25,129.5,130.0,123.0,123.0,123.5,125.96,18600,234285500000.0,,,
1998-11-17,INFOTECENT,EQ,123.5,122.0,125.5,120.1,124.85,123.95,122.93,22200,272900000000.0,,,
1998-11-18,INFOTECENT,EQ,123.95,126.1,133.9,125.1,133.9,133.9,131.43,12600,165598000000.0,,,
1998-11-19,INFOTECENT,EQ,133.9,142.2,144.0,136.0,136.5,136.5,140.14,27900,390999500000.0,,,
1998-11-20,INFOTECENT,EQ,136.5,134.1,139.0,134.05,136.45,136.45,136.29,11900,162180000000.0,,,
1998-11-21,INFOTECENT,EQ,136.45,135.25,137.85,134.25,137.85,137.85,136.19,3000,40857000000.0,,,
1998-11-23,INFOTECENT,EQ,137.85,135.1,135.5,127.0,127.75,127.75,131.01,15800,207002500000.0,,,
1998-11-24,INFOTECENT,EQ,127.75,128.25,131.75,126.0,127.9,127.9,128.29,22100,283517000000.0,,,
1998-11-26,INFOTECENT,EQ,127.9,124.0,128.0,124.0,125.0,125.0,125.76,9500,119472000000.0,,,
1998-11-27,INFOTECENT,EQ,125.0,126.0,126.75,123.2,124.85,124.85,124.72,8000,99773500000.0,,,
1998-11-28,INFOTECENT,EQ,124.85,125.0,129.35,124.0,127.3,127.3,126.79,8600,109036000000.0,,,
1998-11-30,INFOTECENT,EQ,127.3,124.2,129.4,123.1,129.4,129.4,126.3,13200,166711500000.0,,,
1998-12-01,INFOTECENT,EQ,129.4,129.0,129.0,123.95,124.0,124.0,125.2,20400,255403000000.0,,,
1998-12-02,INFOTECENT,EQ,124.0,127.9,129.75,124.6,125.2,125.2,126.68,31100,393977500000.0,,,
1998-12-03,INFOTECENT,EQ,125.2,124.4,126.45,124.4,125.5,125.5,125.67,5100,64090500000.0,,,
1998-12-04,INFOTECENT,EQ,125.5,124.95,125.8,124.5,125.65,125.65,125.41,5000,62703000000.0,,,
1998-12-07,INFOTECENT,EQ,125.65,126.0,135.7,125.3,135.7,135.7,131.87,27800,366596000000.0,,,
1998-12-08,INFOTECENT,EQ,135.7,137.05,146.6,137.0,146.6,146.6,143.65,64000,919335500000.0,,,
1998-12-09,INFOTECENT,EQ,146.6,149.25,156.85,147.0,152.2,152.2,152.79,80700,1233010500000.0,,,
1998-12-10,INFOTECENT,EQ,152.2,151.75,153.6,143.5,144.35,144.35,147.93,38600,571001500000.0,,,
1998-12-11,INFOTECENT,EQ,144.35,142.75,146.9,141.0,145.0,145.0,143.36,25000,358401500000.0,,,
1998-12-14,INFOTECENT,EQ,145.0,144.25,149.6,144.1,145.95,145.95,146.96,26000,382102000000.0,,,
1998-12-15,INFOTECENT,EQ,145.95,144.0,157.65,141.2,157.65,157.65,153.23,130400,1998133000000.0,,,
1998-12-16,INFOTECENT,EQ,157.65,163.0,170.3,155.55,170.3,170.3,165.44,130500,2158929000000.0,,,
1998-12-17,INFOTECENT,EQ,170.3,161.2,182.0,161.0,171.0,171.0,172.11,186800,3214980500000.0,,,
1998-12-18,INFOTECENT,EQ,171.0,174.0,181.0,170.1,178.95,178.95,176.57,142700,2519649000000.0,,,
1998-12-21,INFOTECENT,EQ,178.95,189.55,193.3,186.25,193.3,193.3,190.67,137000,2612133500000.0,,,
1998-12-22,INFOTECENT,EQ,193.3,195.6,206.0,194.05,205.0,205.0,199.29,150600,3001382000000.0,,,
1998-12-23,INFOTECENT,EQ,205.0,214.9,219.5,205.9,205.9,205.9,214.08,202300,4330905500000.0,,,
1998-12-24,INFOTECENT,EQ,205.9,204.1,212.0,194.0,209.25,209.25,205.01,148500,3044462500000.0,,,
1998-12-28,INFOTECENT,EQ,209.25,211.0,219.0,209.0,213.5,213.5,214.01,134500,2878404000000.0,,,
1998-12-29,INFOTECENT,EQ,213.5,212.0,213.8,197.0,202.1,202.1,205.3,125700,2580574500000.0,,,
1998-12-30,INFOTECENT,EQ,202.1,204.0,214.0,204.0,208.05,208.05,208.48,83500,1740835500000.0,,,
1998-12-31,INFOTECENT,EQ,208.05,208.0,208.95,201.25,203.05,203.05,205.65,32100,660120500000.0,,,
1999-01-01,INFOTECENT,EQ,203.05,205.0,206.75,200.0,201.1,201.1,201.4,44800,902264500000.0,,,
1999-01-04,INFOTECENT,EQ,201.1,204.8,214.0,204.8,206.0,206.0,208.69,97700,2038899000000.0,,,
1999-01-05,INFOTECENT,EQ,206.0,206.0,207.2,199.0,205.55,205.55,202.97,63600,1290918500000.0,,,
1999-01-06,INFOTECENT,EQ,205.55,212.9,214.0,208.15,211.5,211.5,210.92,75800,1598774500000.0,,,
1999-01-07,INFOTECENT,EQ,211.5,214.0,228.45,214.0,228.45,228.45,224.96,167800,3774883500000.0,,,
1999-01-08,INFOTECENT,EQ,228.45,233.0,246.75,232.15,246.75,246.75,239.07,164500,3932775000000.0,,,
1999-01-11,INFOTECENT,EQ,246.75,260.0,266.5,252.2,257.0,257.0,260.99,199200,5198909000000.0,,,
1999-01-12,INFOTECENT,EQ,257.0,256.9,263.7,242.0,250.0,250.0,252.5,139700,3527417000000.0,,,
1999-01-13,INFOTECENT,EQ,250.0,263.0,270.0,257.0,270.0,270.0,267.33,73100,1954155000000.0,,,
1999-01-14,INFOTECENT,EQ,270.0,280.0,291.6,275.5,291.6,291.6,289.26,82600,2389265000000.0,,,
1999-01-15,INFOTECENT,EQ,291.6,313.95,313.95,292.0,308.0,308.0,306.06,158800,4860167500000.0,,,
1999-01-18,INFOTECENT,EQ,308.0,312.8,329.0,300.0,329.0,329.0,314.13,167700,5267933000000.0,,,
1999-01-19,INFOTECENT,EQ,329.0,334.65,347.95,322.7,345.0,345.0,338.06,130400,4408290500000.0,,,
1999-01-21,INFOTECENT,EQ,345.0,365.0,372.6,358.0,372.6,372.6,369.23,62400,2303984000000.0,,,
1999-01-22,INFOTECENT,EQ,372.6,388.5,402.45,383.95,402.45,402.45,395.1,135100,5337777500000.0,,,
1999-01-25,INFOTECENT,EQ,402.45,399.9,400.0,381.5,387.5,387.5,391.23,133500,5222887000000.0,,,
1999-01-27,INFOTECENT,EQ,387.5,400.0,418.5,400.0,418.5,418.5,414.91,85000,3526693000000.0,,,
1999-01-28,INFOTECENT,EQ,418.5,414.5,426.95,385.05,385.05,385.05,400.97,85600,3432327500000.0,,,
1999-01-29,INFOTECENT,EQ,385.05,373.1,376.0,354.25,366.0,366.0,359.37,96100,3453534000000.0,,,
1999-02-01,INFOTECENT,EQ,366.0,359.25,359.25,336.75,336.75,336.75,339.99,23500,798981500000.0,,,
1999-02-02,INFOTECENT,EQ,336.75,309.85,309.85,309.85,309.85,309.85,309.85,5300,164220500000.0,,,
1999-02-03,INFOTECENT,EQ,309.85,285.25,333.0,285.1,327.5,327.5,314.09,143500,4507240000000.0,,,
1999-02-04,INFOTECENT,EQ,327.5,326.25,330.0,301.3,301.3,301.3,314.31,63900,2008441500000.0,,,
1999-02-05,INFOTECENT,EQ,301.3,295.1,306.0,277.35,289.0,289.0,287.27,64200,1844249000000.0,,,
1999-02-08,INFOTECENT,EQ,289.0,282.1,294.7,265.9,265.9,265.9,279.01,48100,1342045500000.0,,,
1999-02-09,INFOTECENT,EQ,265.9,250.0,285.0,244.65,285.0,285.0,260.96,116300,3034935500000.0,,,
1999-02-10,INFOTECENT,EQ,285.0,307.8,307.8,304.0,307.8,307.8,307.14,42500,1305327500000.0,,,
1999-02-11,INFOTECENT,EQ,307.8,332.45,332.45,285.1,332.45,332.45,327.35,114500,3748126000000.0,,,
1999-02-12,INFOTECENT,EQ,332.45,312.0,340.0,312.0,337.5,337.5,330.62,63300,2092827000000.0,,,
1999-02-15,INFOTECENT,EQ,337.5,334.0,359.0,332.0,354.0,354.0,347.98,92300,3211871500000.0,,,
1999-02-16,INFOTECENT,EQ,354.0,350.0,382.35,347.0,382.35,382.35,372.42,50700,1888173500000.0,,,
1999-02-17,INFOTECENT,EQ,382.35,408.0,409.0,360.1,400.0,400.0,396.67,109900,4359372500000.0,,,
1999-02-18,INFOTECENT,EQ,400.0,400.05,409.7,368.85,368.85,368.85,386.49,50000,1932440000000.0,,,
1999-02-19,INFOTECENT,EQ,368.85,362.0,372.0,342.0,359.5,359.5,358.88,42900,1539608500000.0,,,
1999-02-22,INFOTECENT,EQ,359.5,345.25,355.0,330.75,330.75,330.75,338.67,70200,2377480500000.0,,,
1999-02-23,INFOTECENT,EQ,330.75,318.0,329.85,307.0,317.25,317.25,315.08,67700,2133104000000.0,,,
1999-02-24,INFOTECENT,EQ,317.25,329.9,329.9,322.0,326.0,326.0,326.33,28500,930039000000.0,,,
1999-02-25,INFOTECENT,EQ,326.0,327.95,338.0,316.1,317.95,317.95,328.23,29700,974839000000.0,,,
1999-02-26,INFOTECENT,EQ,317.95,315.5,317.95,295.0,305.5,305.5,305.97,30700,939332000000.0,,,
1999-02-27,INFOTECENT,EQ,305.5,320.0,329.95,311.0,329.95,329.95,322.93,34700,1120582000000.0,,,
1999-03-01,INFOTECENT,EQ,329.95,354.85,356.35,354.85,356.35,356.35,356.03,16100,573211000000.0,,,
1999-03-03,INFOTECENT,EQ,356.35,380.0,384.9,380.0,384.9,384.9,384.75,6700,257785000000.0,,,
1999-03-04,INFOTECENT,EQ,384.9,404.7,404.7,358.0,366.05,366.05,370.46,41800,1548533000000.0,,,
1999-03-05,INFOTECENT,EQ,366.05,361.0,389.0,360.0,386.3,386.3,379.64,33000,1252810000000.0,,,
1999-03-08,INFOTECENT,EQ,386.3,376.0,390.0,355.4,355.4,355.4,369.69,34200,1264327000000.0,,,
1999-03-09,INFOTECENT,EQ,355.4,361.7,363.0,345.0,354.0,354.0,354.86,44900,1593327500000.0,,,
1999-03-10,INFOTECENT,EQ,354.0,369.0,382.0,359.15,364.0,364.0,368.5,30000,1105504500000.0,,,
1999-03-11,INFOTECENT,EQ,364.0,365.25,370.0,355.75,355.75,355.75,359.33,12100,434791000000.0,,,
1999-03-12,INFOTECENT,EQ,355.75,357.7,374.0,353.0,372.0,372.0,367.77,25700,945163500000.0,,,
1999-03-15,INFOTECENT,EQ,372.0,372.0,387.25,367.0,370.3,370.3,380.13,47900,1820826000000.0,,,
1999-03-16,INFOTECENT,EQ,370.3,376.7,382.7,365.0,365.0,365.0,373.55,34100,1273804500000.0,,,
1999-03-17,INFOTECENT,EQ,365.0,392.9,394.2,383.0,392.0,392.0,392.4,63600,2495636000000.0,,,
1999-03-18,INFOTECENT,EQ,392.0,400.0,423.4,395.75,423.4,423.4,409.43,59600,2440185500000.0,,,
1999-03-19,INFOTECENT,EQ,423.4,444.9,444.9,415.0,428.0,428.0,422.51,66000,2788550000000.0,,,
1999-03-20,INFOTECENT,EQ,428.0,429.9,438.0,417.55,438.0,438.0,429.43,21800,936154500000.0,,,
1999-03-22,INFOTECENT,EQ,438.0,405.0,447.0,405.0,405.0,405.0,417.74,37100,1549809500000.0,,,
1999-03-23,INFOTECENT,EQ,405.0,414.0,420.75,390.1,416.0,416.0,409.98,63100,2586999000000.0,,,
1999-03-24,INFOTECENT,EQ,416.0,437.0,437.0,382.8,397.0,397.0,411.51,28200,1160458500000.0,,,
1999-03-25,INFOTECENT,EQ,397.0,389.0,407.0,380.0,398.0,398.0,395.34,18600,735338500000.0,,,
1999-03-26,INFOTECENT,EQ,398.0,391.65,400.0,366.2,367.0,367.0,382.0,28100,1073412500000.0,,,
1999-03-30,INFOTECENT,EQ,367.0,352.55,370.5,351.15,370.5,370.5,360.68,30500,1100071000000.0,,,
1999-03-31,INFOTECENT,EQ,370.5,400.0,400.15,391.5,400.15,400.15,398.96,13200,526631500000.0,,,
1999-04-01,INFOTECENT,EQ,400.15,416.0,430.0,403.0,430.0,430.0,417.19,43600,1818930500000.0,,,
1999-04-05,INFOTECENT,EQ,430.0,401.3,403.0,395.6,395.6,395.6,396.79,9200,365043000000.0,,,
1999-04-06,INFOTECENT,EQ,395.6,363.95,376.9,363.95,371.25,371.25,366.67,23200,850664000000.0,,,
1999-04-07,INFOTECENT,EQ,371.25,370.0,390.5,370.0,378.0,378.0,383.52,20800,797724500000.0,,,
1999-04-08,INFOTECENT,EQ,378.0,372.1,380.0,360.05,367.0,367.0,367.33,12300,451810500000.0,,,
1999-04-09,INFOTECENT,EQ,367.0,358.5,359.0,337.65,337.65,337.65,341.54,11000,375696000000.0,,,
1999-04-12,INFOTECENT,EQ,337.65,314.0,338.0,310.65,318.0,318.0,317.33,17700,561671000000.0,,,
1999-04-13,INFOTECENT,EQ,318.0,310.15,320.0,307.0,316.0,316.0,313.53,21800,683496000000.0,,,
1999-04-15,INFOTECENT,EQ,316.0,292.05,308.95,290.75,290.75,290.75,298.84,20800,621594500000.0,,,
1999-04-16,INFOTECENT,EQ,290.75,297.8,314.05,285.0,314.05,314.05,295.44,10000,295440500000.0,,,
1999-04-17,INFOTECENT,EQ,314.05,337.5,339.2,288.95,288.95,288.95,322.33,35100,1131384500000.0,,,
1999-04-19,INFOTECENT,EQ,288.95,280.0,312.1,267.3,311.7,311.7,293.76,29500,866581000000.0,,,
1999-04-20,INFOTECENT,EQ,311.7,302.0,326.0,294.0,315.0,315.0,307.46,37300,1146831500000.0,,,
1999-04-21,INFOTECENT,EQ,315.0,326.0,330.0,310.1,317.25,317.25,320.7,19900,638197500000.0,,,
1999-04-22,INFOTECENT,EQ,317.25,318.4,325.0,291.9,294.0,294.0,305.6,19500,595914500000.0,,,
1999-04-23,INFOTECENT,EQ,294.0,291.0,298.0,271.5,274.0,274.0,282.38,19800,559117500000.0,,,
1999-04-26,INFOTECENT,EQ,274.0,252.1,253.0,252.1,252.1,252.1,252.13,2900,73118000000.0,,,
1999-04-28,INFOTECENT,EQ,252.1,235.1,247.9,231.95,242.0,242.0,236.01,14600,344580000000.0,,,
1999-04-29,INFOTECENT,EQ,242.0,246.7,246.7,235.0,245.0,245.0,240.91,11000,265005500000.0,,,
1999-04-30,INFOTECENT,EQ,245.0,252.65,262.0,247.2,254.0,254.0,252.02,14000,352827000000.0,,,
1999-05-03,INFOTECENT,EQ,254.0,246.1,247.0,233.7,233.7,233.7,238.78,6800,162369000000.0,,,
1999-05-04,INFOTECENT,EQ,233.7,229.05,252.4,229.05,250.25,250.25,243.58,14000,341009000000.0,,,
1999-05-05,INFOTECENT,EQ,250.25,266.5,270.3,255.1,270.3,270.3,264.79,23600,624901000000.0,,,
1999-05-06,INFOTECENT,EQ,270.3,273.25,284.0,270.0,282.0,282.0,277.89,17400,483533500000.0,,,
1999-05-07,INFOTECENT,EQ,282.0,282.95,284.9,260.0,270.0,270.0,275.04,15800,434567500000.0,,,
1999-05-10,INFOTECENT,EQ,270.0,276.0,276.0,263.65,264.5,264.5,269.19,9400,253039000000.0,,,
1999-05-11,INFOTECENT,EQ,264.5,264.0,274.5,255.0,274.5,274.5,261.59,15800,413311000000.0,,,
1999-05-12,INFOTECENT,EQ,274.5,282.0,286.0,255.0,263.95,263.95,274.55,15300,420061500000.0,,,
1999-05-13,INFOTECENT,EQ,263.95,270.0,278.0,266.05,275.55,275.55,271.85,8300,225636500000.0,,,
