Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-12-18,DAAWAT,EQ,56.0,60.0,61.95,51.25,52.3,53.2,54.84,5173941,28376472700000.0,,1142081,0.2207
2006-12-19,DAAWAT,EQ,53.2,53.0,57.85,50.15,53.4,53.9,55.61,6344360,35282704005000.0,,524337,0.08259999999999999
2006-12-20,DAAWAT,EQ,53.9,53.65,55.3,51.75,51.8,52.05,53.53,1266385,6778646059999.999,,248275,0.1961
2006-12-21,DAAWAT,EQ,52.05,52.25,52.55,50.0,50.0,50.3,51.25,540837,2771964920000.0,,118019,0.2182
2006-12-22,DAAWAT,EQ,50.3,50.75,50.9,48.3,48.9,48.85,49.86,363765,1813607020000.0,,115261,0.3169
2006-12-26,DAAWAT,EQ,48.85,48.0,49.55,45.9,46.2,46.45,47.6,516831,2460371445000.0,,223542,0.4325
2006-12-27,DAAWAT,EQ,46.45,47.05,49.25,46.0,47.55,47.25,47.73,727022,3470167004999.9995,,158729,0.2183
2006-12-28,DAAWAT,EQ,47.25,48.0,48.15,45.75,46.0,45.95,46.5,214915,999348669999.9999,,85296,0.3969
2006-12-29,DAAWAT,EQ,45.95,46.5,48.0,45.25,47.1,47.3,46.74,382470,1787499605000.0,,131539,0.34390000000000004
2007-01-02,DAAWAT,EQ,47.3,47.5,52.4,46.8,50.4,50.25,50.4,949830,4787089740000.0,,197122,0.20750000000000002
2007-01-03,DAAWAT,EQ,50.25,50.5,51.5,48.85,50.5,50.35,50.36,456458,2298618325000.0,,122542,0.2685
2007-01-04,DAAWAT,EQ,50.35,50.35,51.4,49.45,49.5,49.65,50.14,270205,1354817205000.0,,59338,0.21960000000000002
2007-01-05,DAAWAT,EQ,49.65,48.55,50.45,48.25,48.6,48.65,49.33,145493,717654800000.0,,53911,0.3705
2007-01-08,DAAWAT,EQ,48.65,49.2,49.5,47.1,47.5,47.55,48.01,190618,915171819999.9999,,85798,0.4501
2007-01-09,DAAWAT,EQ,47.55,48.25,48.45,46.8,47.45,47.2,47.51,85147,404563465000.0,,27880,0.3274
2007-01-10,DAAWAT,EQ,47.2,47.45,48.5,46.7,47.0,46.95,47.35,105425,499174715000.00006,,38237,0.3627
2007-01-11,DAAWAT,EQ,46.95,46.8,49.2,46.8,47.1,47.6,47.99,192249,922604350000.0,,54980,0.28600000000000003
2007-01-12,DAAWAT,EQ,47.6,48.0,50.6,47.6,49.9,49.8,49.29,361526,1781920645000.0,,124016,0.34299999999999997
2007-01-15,DAAWAT,EQ,49.8,49.85,57.4,49.5,55.0,55.45,54.48,1510151,8227468200000.0,,511335,0.3386
2007-01-16,DAAWAT,EQ,55.45,55.7,56.45,52.5,52.75,52.85,54.29,535961,2909778140000.0,,216705,0.4043
2007-01-17,DAAWAT,EQ,52.85,53.7,56.3,53.2,55.45,54.85,55.28,453200,2505236980000.0,,215355,0.47520000000000007
2007-01-18,DAAWAT,EQ,54.85,55.8,56.5,53.3,53.75,53.65,55.02,213827,1176379230000.0,,113947,0.5329
2007-01-19,DAAWAT,EQ,53.65,54.5,54.55,52.15,52.6,52.7,52.99,96629,512006870000.0,,47151,0.488
2007-01-22,DAAWAT,EQ,52.7,53.8,55.0,52.7,53.0,53.1,53.48,82417,440806175000.0,,39835,0.4833
2007-01-23,DAAWAT,EQ,53.1,53.25,53.25,50.9,51.4,51.25,51.96,92840,482376870000.0,,59964,0.6459
2007-01-24,DAAWAT,EQ,51.25,52.35,52.6,50.25,50.25,50.5,51.39,112494,578128510000.0,,76567,0.6806
2007-01-25,DAAWAT,EQ,50.5,51.0,53.0,50.75,51.8,51.85,51.86,92967,482141400000.0,,31108,0.3346
2007-01-29,DAAWAT,EQ,51.85,52.05,53.0,51.25,51.95,51.85,52.19,70479,367854585000.0,,29159,0.41369999999999996
2007-01-31,DAAWAT,EQ,51.85,51.4,52.5,51.0,51.35,51.4,51.72,50292,260088750000.0,,27198,0.5408
2007-02-01,DAAWAT,EQ,51.4,52.0,52.0,50.25,50.65,50.6,50.99,44197,225370270000.00003,,26049,0.5894
2007-02-02,DAAWAT,EQ,50.6,50.25,51.9,50.25,50.3,50.45,50.98,56072,285853065000.0,,20849,0.3718
2007-02-05,DAAWAT,EQ,50.45,51.2,54.3,50.45,53.8,53.2,52.78,227446,1200395600000.0,,90814,0.3993
2007-02-06,DAAWAT,EQ,53.2,53.75,57.85,53.7,55.6,55.45,56.42,1302068,7346511834999.999,,543728,0.41759999999999997
2007-02-07,DAAWAT,EQ,55.45,55.95,56.9,53.25,53.4,53.6,55.58,342771,1905255389999.9998,,129185,0.3769
2007-02-08,DAAWAT,EQ,53.6,54.0,54.6,51.75,52.75,52.4,52.84,113000,597109060000.0,,54558,0.4828
2007-02-09,DAAWAT,EQ,52.4,52.4,52.5,50.1,50.1,50.35,50.95,107164,546008765000.00006,,60055,0.5604
2007-02-12,DAAWAT,EQ,50.35,49.25,49.8,46.0,46.25,46.5,47.53,127210,604600485000.0,,80701,0.6344
2007-02-13,DAAWAT,EQ,46.5,46.5,48.0,46.1,47.0,46.9,47.36,89897,425737965000.00006,,49498,0.5506000000000001
2007-02-14,DAAWAT,EQ,46.9,47.0,47.0,44.7,46.25,46.05,45.77,101066,462529820000.0,,36015,0.3564
2007-02-15,DAAWAT,EQ,46.05,47.6,49.4,46.75,48.5,48.35,48.47,117613,570032005000.0,,58307,0.4958
2007-02-19,DAAWAT,EQ,48.35,49.0,51.3,48.9,48.9,49.55,50.05,103995,520534305000.0,,49678,0.4777
2007-02-20,DAAWAT,EQ,49.55,51.0,52.5,48.2,48.3,48.4,49.4,95868,473562405000.0,,26157,0.27280000000000004
2007-02-21,DAAWAT,EQ,48.4,48.55,49.95,47.0,47.4,47.3,47.98,39026,187250255000.0,,21326,0.5465
2007-02-22,DAAWAT,EQ,47.3,48.0,48.4,46.7,47.25,47.0,47.54,30001,142627065000.0,,16570,0.5523
