Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-02-05,DALBHARAT,EQ,1044.55,1030.0,1050.0,1030.0,1046.4,1047.2,1040.64,67809,7056491305000.0,619,66080,0.9745
2019-02-06,DALBHARAT,EQ,1047.2,1060.0,1060.0,1041.05,1052.0,1050.0,1050.42,83415,8762045000000.0,324,83184,0.9972
2019-02-07,DALBHARAT,EQ,1050.0,1044.0,1124.95,1042.05,1124.8,1119.6,1075.6,26427,2842495770000.0,1301,21453,0.8118000000000001
2019-02-08,DALBHARAT,EQ,1119.6,1100.05,1107.55,1077.7,1105.0,1098.25,1095.09,129076,14134957269999.998,1648,124936,0.9679000000000001
2019-02-11,DALBHARAT,EQ,1098.25,1095.05,1100.45,1085.0,1090.0,1087.4,1087.27,215403,23420021180000.0,3113,196881,0.914
2019-02-12,DALBHARAT,EQ,1087.4,1084.05,1094.5,1050.0,1087.0,1079.55,1059.94,112186,11891053605000.0,6520,106447,0.9488
2019-02-13,DALBHARAT,EQ,1079.55,1089.9,1089.9,1065.05,1081.75,1077.5,1077.27,73764,7946399784999.999,271,72453,0.9822
2019-02-14,DALBHARAT,EQ,1077.5,1062.05,1097.7,1062.0,1068.0,1068.0,1069.01,93988,10047419970000.0,876,93064,0.9902
2019-02-15,DALBHARAT,EQ,1068.0,1066.05,1075.7,1059.35,1072.0,1067.25,1064.01,22648,2409779935000.0,829,20419,0.9016
2019-02-18,DALBHARAT,EQ,1067.25,1048.0,1063.65,1042.0,1054.95,1050.45,1049.22,64585,6776377095000.0,3362,61850,0.9577
2019-02-19,DALBHARAT,EQ,1050.45,1039.9,1089.9,1039.9,1075.0,1076.9,1061.44,57268,6078680580000.0,6171,51501,0.8993000000000001
2019-02-20,DALBHARAT,EQ,1076.9,1089.95,1096.0,1053.75,1090.0,1077.55,1069.3,27235,2912238655000.0,5750,23002,0.8445999999999999
2019-02-21,DALBHARAT,EQ,1077.55,1070.7,1135.95,1056.45,1135.0,1129.1,1081.0,95542,10328121100000.0,2054,79361,0.8306
2019-02-22,DALBHARAT,EQ,1129.1,1106.9,1159.8,1094.95,1150.0,1143.5,1137.08,22781,2590379015000.0,2277,19040,0.8358
2019-02-25,DALBHARAT,EQ,1143.5,1142.5,1169.0,1137.2,1165.0,1165.8,1161.22,26081,3028580025000.0,1241,23669,0.9075
2019-02-26,DALBHARAT,EQ,1165.8,1140.1,1179.7,1075.0,1179.7,1175.6,1157.11,49756,5757333635000.0,2410,43507,0.8744
2019-02-27,DALBHARAT,EQ,1175.6,1179.95,1219.7,1159.35,1215.0,1214.4,1194.31,114195,13638446810000.0,4677,105557,0.9244
2019-02-28,DALBHARAT,EQ,1214.4,1151.0,1205.0,1088.0,1155.0,1153.2,1171.57,1285790,150639435050000.0,14280,1203536,0.9359999999999999
2019-03-01,DALBHARAT,EQ,1153.2,1150.0,1197.0,1145.1,1160.0,1171.8,1161.84,472576,54905713779999.99,4603,464462,0.9828
2019-03-05,DALBHARAT,EQ,1171.8,1150.0,1192.0,1148.15,1178.0,1185.85,1176.97,79044,9303278870000.0,2373,73977,0.9359000000000001
2019-03-06,DALBHARAT,EQ,1185.85,1186.9,1204.8,1156.55,1185.0,1178.15,1181.25,49599,5858882030000.0,3489,42274,0.8523000000000001
2019-03-07,DALBHARAT,EQ,1178.15,1179.05,1186.0,1105.0,1140.0,1138.2,1159.05,555854,64426042335000.0,2950,543129,0.9771
2019-03-08,DALBHARAT,EQ,1138.2,1133.9,1153.0,1126.0,1126.0,1132.7,1137.93,6826,776748080000.0,1470,4582,0.6713
