Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-06,DBCORP,EQ,212.0,254.0,274.7,250.55,268.7,265.9,264.51,32223215,852325677220000.0,,5384833,0.1671
2010-01-07,DBCORP,EQ,265.9,240.0,271.8,240.0,255.4,256.5,258.49,5172864,133714441955000.0,,657742,0.1272
2010-01-08,DBCORP,EQ,256.5,256.0,259.0,250.2,253.4,253.2,253.77,1969640,49983146850000.0,,469826,0.23850000000000002
2010-01-11,DBCORP,EQ,253.2,254.7,262.0,252.25,254.45,254.7,256.98,1365490,35089871310000.004,,339403,0.2486
2010-01-12,DBCORP,EQ,254.7,254.7,258.7,252.6,254.7,255.05,255.47,1056757,26997404535000.004,,442883,0.4191
2010-01-13,DBCORP,EQ,255.05,250.1,269.0,250.1,268.95,266.25,260.95,2039768,53227765005000.0,,653434,0.32030000000000003
2010-01-14,DBCORP,EQ,266.25,269.2,270.0,256.2,257.5,257.5,261.45,601916,15736815669999.998,,217617,0.3615
2010-01-15,DBCORP,EQ,257.5,257.5,261.0,251.95,252.75,252.9,256.0,448127,11472267890000.0,,188791,0.4213
2010-01-18,DBCORP,EQ,252.9,256.0,258.5,252.2,253.25,253.35,255.44,339566,8673909390000.001,,156449,0.4607
2010-01-19,DBCORP,EQ,253.35,254.45,259.3,253.0,255.5,255.1,256.15,323768,8293297920000.0,,164589,0.5084000000000001
2010-01-20,DBCORP,EQ,255.1,256.0,257.95,252.3,254.0,253.9,254.72,145320,3701523475000.0,,78072,0.5372
2010-01-21,DBCORP,EQ,253.9,254.0,254.95,251.0,253.0,252.35,252.85,224458,5675324270000.0,,149416,0.6657
2010-01-22,DBCORP,EQ,252.35,248.9,263.85,242.5,255.75,256.0,255.73,581285,14864936955000.002,,268413,0.4618
2010-01-25,DBCORP,EQ,256.0,255.5,259.8,253.0,254.25,254.7,255.31,280798,7168977075000.0,,180394,0.6424
2010-01-27,DBCORP,EQ,254.7,254.0,256.0,241.55,243.0,245.15,249.25,401477,10006840565000.0,,277788,0.6919
2010-01-28,DBCORP,EQ,245.15,249.0,250.0,240.0,240.2,241.0,244.42,175743,4295596390000.0,,92437,0.526
2010-01-29,DBCORP,EQ,241.0,240.0,248.5,235.05,245.95,245.8,242.49,166484,4037121254999.9995,,82272,0.49420000000000003
2010-02-01,DBCORP,EQ,245.8,246.0,248.0,235.6,241.55,240.45,243.04,142169,3455326550000.0,,91921,0.6466
2010-02-02,DBCORP,EQ,240.45,244.85,245.85,241.5,243.65,243.55,243.48,125886,3065123425000.0,,69604,0.5529000000000001
2010-02-03,DBCORP,EQ,243.55,245.4,245.95,241.35,245.0,244.85,244.36,84278,2059375170000.0,,55682,0.6607
2010-02-04,DBCORP,EQ,244.85,241.2,246.4,240.0,242.6,241.4,243.77,69947,1705105914999.9998,,44390,0.6346
2010-02-05,DBCORP,EQ,241.4,235.0,241.0,201.1,235.3,236.15,236.31,119325,2819762420000.0,,67218,0.5633
2010-02-06,DBCORP,EQ,236.15,237.85,241.0,236.6,240.0,240.35,239.88,12034,288674535000.0,,6845,0.5688000000000001
2010-02-08,DBCORP,EQ,240.35,240.8,245.0,238.25,244.5,242.2,242.06,79757,1930561030000.0,,46866,0.5876
2010-02-09,DBCORP,EQ,242.2,242.0,249.8,241.0,246.1,247.05,246.81,130966,3232321390000.0,,59587,0.455
2010-02-10,DBCORP,EQ,247.05,249.0,249.0,241.5,244.0,243.95,244.45,110703,2706178775000.0,,70096,0.6332
2010-02-11,DBCORP,EQ,243.95,244.9,245.8,242.6,244.0,244.05,243.95,44104,1075918794999.9999,,31434,0.7127
2010-02-15,DBCORP,EQ,244.05,247.5,248.9,241.0,242.55,242.65,243.0,21399,520000009999.99994,,15002,0.7011000000000001
2010-02-16,DBCORP,EQ,242.65,245.0,245.0,220.8,241.0,241.65,240.47,41448,996710630000.0001,,32068,0.7737
2010-02-17,DBCORP,EQ,241.65,243.85,244.9,239.0,240.0,240.05,240.6,26917,647622555000.0,,16628,0.6178
2010-02-18,DBCORP,EQ,240.05,240.05,244.0,234.0,236.0,236.0,237.63,97264,2311283295000.0,,61408,0.6314000000000001
2010-02-19,DBCORP,EQ,236.0,234.1,237.85,229.15,230.1,230.9,232.53,40088,932160794999.9999,,27389,0.6831999999999999
2010-02-22,DBCORP,EQ,230.9,233.0,234.0,226.15,227.8,229.3,230.42,58938,1358036030000.0,,45138,0.7659
2010-02-23,DBCORP,EQ,229.3,230.4,233.0,223.3,229.0,229.25,227.11,129189,2933952770000.0,,80985,0.6269
2010-02-24,DBCORP,EQ,229.25,228.0,237.0,227.65,231.8,231.65,231.85,83046,1925402189999.9998,,43896,0.5286
2010-02-25,DBCORP,EQ,231.65,235.9,235.9,225.5,226.0,225.8,229.48,28615,656658170000.0,,15778,0.5514
2010-02-26,DBCORP,EQ,225.8,229.8,233.0,224.0,229.0,229.35,229.0,47232,1081610930000.0001,,29722,0.6293
2010-03-02,DBCORP,EQ,229.35,234.0,237.0,229.5,236.0,235.1,234.81,143998,3381235270000.0005,,92552,0.6426999999999999
2010-03-03,DBCORP,EQ,235.1,233.15,239.8,232.05,236.3,236.55,237.73,46867,1114190045000.0,,28669,0.6117
2010-03-04,DBCORP,EQ,236.55,235.0,236.0,230.55,234.0,233.3,232.1,39257,911154569999.9999,,27790,0.7079000000000001
2010-03-05,DBCORP,EQ,233.3,232.55,242.0,232.25,236.05,236.05,238.71,98708,2356254385000.0,,33592,0.3403
2010-03-08,DBCORP,EQ,236.05,239.95,240.9,233.0,233.95,233.9,235.94,28960,683287750000.0,,14405,0.4974
2010-03-09,DBCORP,EQ,233.9,238.0,238.0,231.0,235.45,235.15,234.64,82162,1927861180000.0,,61853,0.7528
2010-03-10,DBCORP,EQ,235.15,236.5,236.9,230.1,230.3,231.25,232.86,9575,222961635000.0,,5017,0.524
2010-03-11,DBCORP,EQ,231.25,235.0,242.5,235.0,242.0,240.5,238.7,217848,5200018580000.0,,178677,0.8201999999999999
2010-03-12,DBCORP,EQ,240.5,246.9,247.4,236.0,237.0,238.55,242.15,151177,3660689600000.0,,45337,0.2999
2010-03-15,DBCORP,EQ,238.55,238.1,269.85,238.1,248.35,249.8,257.49,1474218,37959106705000.0,,276384,0.1875
2010-03-16,DBCORP,EQ,249.8,250.5,256.9,241.15,252.0,249.35,248.18,375601,9321691695000.0,,34054,0.0907
2010-03-17,DBCORP,EQ,249.35,250.0,260.0,247.0,257.0,258.6,254.87,216290,5512510670000.0,,89862,0.4155
2010-03-18,DBCORP,EQ,258.6,258.0,261.8,251.75,255.0,255.45,257.4,120527,3102363345000.0,,47364,0.39299999999999996
2010-03-19,DBCORP,EQ,255.45,257.8,259.95,246.2,249.6,249.2,252.67,83516,2110214200000.0,,39659,0.47490000000000004
2010-03-22,DBCORP,EQ,249.2,245.0,259.0,243.0,254.95,254.05,254.36,135409,3444308475000.0,,52479,0.3876
2010-03-23,DBCORP,EQ,254.05,257.8,264.4,254.5,262.8,262.55,260.11,178064,4631629050000.0,,98759,0.5546
2010-03-25,DBCORP,EQ,262.55,261.0,271.95,258.1,263.1,264.65,267.34,368020,9838658515000.0,,109378,0.2972
2010-03-26,DBCORP,EQ,264.65,267.0,268.55,250.0,254.0,254.05,261.06,59780,1560637875000.0,,22309,0.37320000000000003
2010-03-29,DBCORP,EQ,254.05,257.3,258.6,247.0,247.45,248.15,252.08,38197,962861694999.9999,,21429,0.561
2010-03-30,DBCORP,EQ,248.15,253.4,258.9,244.1,244.3,245.25,251.59,82665,2079760639999.9998,,26372,0.319
