Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-08-11,DBL,EQ,219.0,240.0,254.8,240.0,254.1,251.75,247.26,26935252,665996493325000.0,234728,9680587,0.3594
2016-08-12,DBL,EQ,251.75,255.95,259.0,243.9,244.0,244.2,249.88,3385632,84601411290000.0,37631,1412786,0.4173
2016-08-16,DBL,EQ,244.2,242.0,248.9,241.95,244.0,244.6,245.34,902390,22139405535000.0,13557,565475,0.6265999999999999
2016-08-17,DBL,EQ,244.6,242.6,244.8,226.05,240.1,241.75,237.25,1120174,26576314730000.0,16841,414331,0.3699
2016-08-18,DBL,EQ,241.75,240.0,245.4,236.0,242.7,242.05,241.02,551423,13290460190000.0,6250,167188,0.3032
2016-08-19,DBL,EQ,242.05,248.0,249.9,243.5,245.25,245.85,246.9,794496,19616250590000.0,11802,267843,0.3371
2016-08-22,DBL,EQ,245.85,246.0,247.95,237.0,237.55,238.65,241.2,230819,5567325615000.0,3500,139772,0.6055
2016-08-23,DBL,EQ,238.65,238.0,244.95,237.55,238.65,238.7,240.89,255761,6161145970000.0,2863,126701,0.4954
2016-08-24,DBL,EQ,238.7,238.0,241.0,235.5,236.0,236.65,237.65,152347,3620566340000.0,1731,93402,0.6131000000000001
2016-08-25,DBL,EQ,236.65,237.2,237.75,230.55,232.2,233.3,234.21,160553,3760337425000.0,1760,113230,0.7053
2016-08-26,DBL,EQ,233.3,233.5,233.95,224.3,227.8,227.5,228.08,301535,6877399555000.0,3954,180956,0.6001
2016-08-29,DBL,EQ,227.5,227.0,228.0,215.55,218.5,219.65,219.54,381764,8381214825000.0,5736,227620,0.5962
2016-08-30,DBL,EQ,219.65,221.7,229.85,218.0,226.0,225.9,226.07,415866,9401484165000.0,6214,197103,0.474
2016-08-31,DBL,EQ,225.9,226.0,248.75,224.0,237.4,237.2,238.83,1116804,26673061955000.0,18267,551956,0.49420000000000003
2016-09-01,DBL,EQ,237.2,235.2,244.9,235.2,239.5,239.1,240.71,514044,12373318715000.0,5836,299127,0.5819
2016-09-02,DBL,EQ,239.1,240.45,244.95,237.3,239.0,238.85,240.73,230597,5551146870000.0,2983,119437,0.5179
2016-09-06,DBL,EQ,238.85,239.55,241.4,234.65,235.5,235.85,237.99,128058,3047713285000.0,1895,88226,0.6890000000000001
2016-09-07,DBL,EQ,235.85,239.25,240.95,234.0,236.0,235.2,238.58,219100,5227333525000.0,2660,134746,0.615
2016-09-08,DBL,EQ,235.2,236.0,238.9,235.1,235.95,236.55,237.05,96129,2278707755000.0,1429,70941,0.738
2016-09-09,DBL,EQ,236.55,235.3,236.6,229.45,230.0,230.2,233.49,756323,17659079385000.0,6654,599647,0.7928000000000001
2016-09-12,DBL,EQ,230.2,227.0,233.0,220.55,231.5,228.95,227.52,465561,10592551725000.0,7025,307658,0.6607999999999999
2016-09-14,DBL,EQ,228.95,227.0,234.0,227.0,230.0,230.05,230.06,151175,3477903450000.0,1444,112967,0.7473000000000001
2016-09-15,DBL,EQ,230.05,230.4,241.0,227.95,234.55,235.05,233.74,308932,7221078134999.999,3259,209770,0.679
2016-09-16,DBL,EQ,235.05,238.0,254.4,236.8,245.85,245.15,246.66,872551,21522083275000.0,12216,462627,0.5302
2016-09-19,DBL,EQ,245.15,245.0,247.7,237.5,240.0,239.75,241.79,139999,3384974190000.0,2310,93686,0.6692
2016-09-20,DBL,EQ,239.75,237.5,239.7,235.1,235.4,237.05,237.53,123567,2935117670000.0,1164,98097,0.7939
2016-09-21,DBL,EQ,237.05,235.95,241.25,233.15,234.0,234.2,236.87,64882,1536858825000.0,1674,37397,0.5764
2016-09-22,DBL,EQ,234.2,236.3,239.9,236.0,238.0,238.5,237.63,83962,1995224200000.0,1635,55122,0.6565000000000001
2016-09-23,DBL,EQ,238.5,236.0,240.0,233.55,236.15,235.5,237.36,64838,1539015335000.0,1147,40836,0.6298
2016-09-26,DBL,EQ,235.5,246.0,248.7,235.1,235.9,236.5,241.14,549698,13255177625000.0,8272,182274,0.33159999999999995
2016-09-27,DBL,EQ,236.5,237.8,239.75,232.1,233.45,233.25,235.98,100337,2367786345000.0,1633,50691,0.5052000000000001
2016-09-28,DBL,EQ,233.25,239.5,241.9,235.4,238.0,238.75,238.38,285738,6811511725000.0,2626,190324,0.6661
2016-09-29,DBL,EQ,238.75,240.0,245.5,221.55,227.0,226.3,228.42,867573,19817343705000.0,5328,722338,0.8326000000000001
2016-09-30,DBL,EQ,226.3,226.0,236.45,223.05,235.8,234.1,230.58,264296,6094243700000.0,3614,187178,0.7081999999999999
2016-10-03,DBL,EQ,234.1,234.4,246.0,234.4,240.7,240.1,241.21,211708,5106545400000.0,2609,133822,0.6321
