Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1997-05-21,DCMFINSERV,EQ,0.0,10.0,10.0,10.0,,10.0,10.0,100,100000000.0,,,
1997-05-22,DCMFINSERV,EQ,10.0,11.0,11.0,10.65,,11.0,10.95,800,876000000.0,,,
1997-05-23,DCMFINSERV,EQ,11.0,12.0,12.0,11.1,,11.1,11.64,1500,1745500000.0,,,
1997-05-26,DCMFINSERV,EQ,11.1,10.55,10.95,10.35,,10.35,10.54,2400,2530500000.0,,,
1997-05-27,DCMFINSERV,EQ,10.35,10.3,10.5,10.2,,10.5,10.28,1200,1234000000.0,,,
1997-05-28,DCMFINSERV,EQ,10.5,10.7,10.7,10.7,,10.7,10.7,100,107000000.0,,,
1997-05-29,DCMFINSERV,EQ,10.7,10.65,11.05,10.65,,11.0,10.95,1100,1204500000.0,,,
1997-05-30,DCMFINSERV,EQ,11.0,11.35,11.55,10.9,,11.05,11.13,4900,5455000000.0,,,
1997-06-02,DCMFINSERV,EQ,11.05,11.1,11.1,10.8,,10.9,10.93,700,765000000.0,,,
1997-06-03,DCMFINSERV,EQ,10.9,10.8,11.2,10.8,,10.9,10.98,2000,2195000000.0,,,
1997-06-04,DCMFINSERV,EQ,10.9,10.9,11.0,10.5,,10.5,10.72,1800,1929500000.0,,,
1997-06-05,DCMFINSERV,EQ,10.5,10.5,10.5,10.15,,10.45,10.29,1900,1955000000.0,,,
1997-06-06,DCMFINSERV,EQ,10.45,11.45,11.45,10.5,,10.5,10.6,1200,1272000000.0,,,
1997-06-09,DCMFINSERV,EQ,10.5,11.45,11.45,10.5,,10.65,10.7,1200,1283500000.0,,,
1997-06-10,DCMFINSERV,EQ,10.65,10.55,10.6,10.5,,10.5,10.54,2000,2107500000.0,,,
1997-06-11,DCMFINSERV,EQ,10.5,10.3,10.5,10.3,,10.3,10.33,1000,1033000000.0,,,
1997-06-12,DCMFINSERV,EQ,10.3,11.0,11.0,10.3,,10.7,10.76,1400,1506500000.0,,,
1997-06-13,DCMFINSERV,EQ,10.7,10.35,10.75,10.3,,10.75,10.48,500,524000000.0,,,
1997-06-16,DCMFINSERV,EQ,10.75,10.5,10.8,10.45,,10.75,10.63,600,638000000.0,,,
1997-06-17,DCMFINSERV,EQ,10.75,10.75,11.75,10.65,,10.95,10.96,2400,2629500000.0,,,
1997-06-18,DCMFINSERV,EQ,10.95,11.1,11.25,11.1,,11.15,11.19,2100,2350000000.0,,,
1997-06-19,DCMFINSERV,EQ,11.15,11.5,12.0,11.2,,11.85,11.59,3700,4289500000.0,,,
1997-06-20,DCMFINSERV,EQ,11.85,10.8,11.4,10.8,,11.25,11.25,1000,1124500000.0,,,
1997-06-23,DCMFINSERV,EQ,11.25,11.75,12.25,11.5,,12.2,11.86,5700,6763000000.0,,,
1997-06-24,DCMFINSERV,EQ,12.2,12.5,12.75,12.05,,12.35,12.35,5500,6794500000.0,,,
1997-06-25,DCMFINSERV,EQ,12.35,12.5,12.5,12.05,,12.25,12.24,2100,2570000000.0,,,
1997-06-26,DCMFINSERV,EQ,12.25,11.9,12.25,11.85,,12.2,12.04,2300,2768500000.0,,,
1997-06-27,DCMFINSERV,EQ,12.2,12.5,13.0,12.1,,12.5,12.25,5600,6859000000.0,,,
1997-06-30,DCMFINSERV,EQ,12.5,12.5,12.5,12.0,,12.25,12.26,3000,3677000000.0,,,
1997-07-01,DCMFINSERV,EQ,12.25,12.4,12.4,11.4,,11.5,11.72,2600,3048000000.0,,,
1997-07-02,DCMFINSERV,EQ,11.5,12.0,12.2,11.6,,11.6,11.82,2400,2837500000.0,,,
1997-07-03,DCMFINSERV,EQ,11.6,11.5,11.95,11.1,,11.35,11.48,2200,2526500000.0,,,
1997-07-04,DCMFINSERV,EQ,11.35,11.15,11.6,11.15,,11.5,11.48,800,918500000.0,,,
1997-07-07,DCMFINSERV,EQ,11.5,11.5,11.65,11.5,,11.55,11.58,1800,2084500000.0,,,
