Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-11-02,ARROWGROUP,EQ,351.9,400.0,400.0,380.1,390.0,392.8,395.47,3497,138294435000.0,,863.0,0.2468
2007-11-05,ARROWGROUP,EQ,392.8,393.0,420.0,327.5,362.0,363.1,391.87,2808,110036775000.0,,325.0,0.11570000000000001
2007-11-06,ARROWGROUP,EQ,363.1,366.15,366.15,344.0,344.0,355.1,357.34,370,13221554999.999998,,305.0,0.8243
2007-11-07,ARROWGROUP,EQ,355.1,338.0,380.0,338.0,352.0,352.0,372.14,65,2418900000.0,,59.0,0.9077
2007-11-08,ARROWGROUP,EQ,352.0,317.0,369.0,316.05,333.0,331.7,326.91,218,7126670000.0,,122.0,0.5596
2007-11-09,ARROWGROUP,EQ,331.7,364.0,364.0,345.0,364.0,361.35,361.35,55,1987440000.0000002,,55.0,1.0
2007-11-12,ARROWGROUP,EQ,361.35,362.0,362.0,343.0,361.75,361.75,349.76,262,9163790000.0,,218.0,0.8321
2007-11-13,ARROWGROUP,EQ,361.75,348.25,365.0,332.0,342.0,333.4,348.52,2785,97062060000.0,,774.0,0.2779
2007-11-14,ARROWGROUP,EQ,333.4,341.25,363.0,341.25,346.0,346.6,348.11,323,11244080000.0,,313.0,0.9690000000000001
2007-11-15,ARROWGROUP,EQ,346.6,359.5,360.0,327.1,327.1,340.0,346.89,782,27127045000.0,,614.0,0.7852
2007-11-16,ARROWGROUP,EQ,340.0,351.0,368.0,350.0,368.0,368.0,363.66,146,5309385000.0,,144.0,0.9863
2007-11-19,ARROWGROUP,EQ,368.0,360.15,370.0,360.15,369.65,369.65,365.49,470,17178065000.0,,469.0,0.9979000000000001
2007-11-20,ARROWGROUP,EQ,369.65,362.0,398.0,362.0,376.0,376.0,380.08,609,23146815000.0,,543.0,0.8916
2007-11-21,ARROWGROUP,EQ,376.0,430.0,430.0,367.0,379.2,379.2,399.1,57,2274860000.0,,37.0,0.6491
2007-11-22,ARROWGROUP,EQ,379.2,347.75,365.0,332.05,344.4,355.0,356.31,2296,81807770000.0,,2076.0,0.9042
2007-11-23,ARROWGROUP,EQ,355.0,375.0,375.0,350.0,365.0,361.9,359.37,237,8516970000.0,,237.0,1.0
2007-11-26,ARROWGROUP,EQ,361.9,380.0,385.0,360.1,374.0,365.8,373.28,120,4479405000.0,,72.0,0.6
2007-11-27,ARROWGROUP,EQ,365.8,352.0,378.0,352.0,355.0,355.0,360.0,20,720000000.0,,10.0,0.5
2007-11-28,ARROWGROUP,EQ,355.0,352.1,396.0,340.25,356.0,355.6,359.93,371,13353400000.0,,192.0,0.5175
2007-11-29,ARROWGROUP,EQ,355.6,344.2,357.9,342.25,355.0,355.0,351.45,105,3690225000.0,,45.0,0.4286
2007-11-30,ARROWGROUP,EQ,355.0,352.5,364.0,352.0,364.0,364.0,355.2,169,6002940000.0,,165.0,0.9763
2007-12-03,ARROWGROUP,EQ,364.0,398.0,398.0,375.0,380.0,379.65,379.12,2416,91594725000.0,,916.0,0.3791
2007-12-04,ARROWGROUP,EQ,379.65,380.0,394.0,375.1,375.1,375.1,379.03,1666,63145700000.0,,716.0,0.42979999999999996
2007-12-05,ARROWGROUP,EQ,375.1,375.0,385.0,366.0,372.9,375.15,375.42,3390,127267250000.0,,760.0,0.2242
