Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-12-29,DFMFOODS,EQ,1788.85,1845.0,1845.0,1753.95,1794.0,1794.2,1798.76,203,36514775000.0,52,121,0.5961
2016-12-30,DFMFOODS,EQ,1794.2,1799.95,1800.05,1732.0,1779.0,1777.25,1799.69,462,83145895000.0,15,457,0.9892000000000001
2017-01-02,DFMFOODS,EQ,1777.25,1725.0,1820.0,1725.0,1819.0,1819.55,1780.21,72,12817495000.0,11,63,0.875
2017-01-03,DFMFOODS,EQ,1819.55,1802.0,1802.0,1787.0,1790.0,1790.0,1789.32,436,78014325000.0,33,409,0.9381
2017-01-04,DFMFOODS,EQ,1790.0,1830.0,1830.0,1760.0,1763.0,1777.05,1776.16,266,47245935000.0,40,215,0.8083
2017-01-05,DFMFOODS,EQ,1777.05,1777.05,1796.0,1770.0,1789.95,1777.5,1775.76,238,42263200000.0,18,226,0.9496
2017-01-06,DFMFOODS,EQ,1777.5,1775.05,1855.0,1775.0,1842.0,1833.15,1826.24,651,118888350000.0,73,393,0.6037
2017-01-09,DFMFOODS,EQ,1833.15,2050.0,2050.0,1840.0,1940.0,1924.7,1917.26,295,56559115000.0,82,174,0.5898
2017-01-10,DFMFOODS,EQ,1924.7,1974.85,1985.1,1927.6,1949.9,1946.6,1967.55,766,150714260000.0,70,631,0.8238
2017-01-11,DFMFOODS,EQ,1946.6,1959.95,1959.95,1925.0,1949.8,1949.8,1944.14,248,48214740000.0,17,244,0.9839
2017-01-12,DFMFOODS,EQ,1949.8,1949.9,1980.0,1914.1,1927.05,1933.45,1949.99,808,157559585000.0,65,396,0.4901
2017-01-13,DFMFOODS,EQ,1933.45,1933.0,1959.0,1892.4,1900.0,1901.3,1907.4,133,25368420000.0,21,120,0.9023000000000001
2017-01-16,DFMFOODS,EQ,1901.3,1925.0,1939.95,1888.0,1939.95,1939.7,1912.7,222,42461980000.0,16,148,0.6667000000000001
2017-01-17,DFMFOODS,EQ,1939.7,1970.0,2049.0,1970.0,2015.0,2012.45,2005.61,415,83232620000.0,57,322,0.7759
2017-01-18,DFMFOODS,EQ,2012.45,2015.0,2099.0,2012.0,2059.0,2059.75,2068.46,1731,358050405000.0,164,933,0.539
2017-01-19,DFMFOODS,EQ,2059.75,2020.0,2125.0,2020.0,2065.0,2067.45,2088.74,1081,225793240000.0,149,893,0.8261000000000001
2017-01-20,DFMFOODS,EQ,2067.45,2010.05,2110.0,2010.05,2094.0,2091.1,2092.54,583,121994935000.00002,68,540,0.9262
2017-01-23,DFMFOODS,EQ,2091.1,2100.0,2144.95,2054.0,2060.0,2085.9,2091.93,152,31797270000.0,26,123,0.8092
2017-01-24,DFMFOODS,EQ,2085.9,2065.1,2100.0,2000.0,2032.0,2045.95,2039.77,220,44874925000.0,45,166,0.7545000000000001
2017-01-25,DFMFOODS,EQ,2045.95,2099.9,2100.0,2015.0,2065.0,2062.2,2072.37,118,24453970000.0,46,91,0.7712000000000001
2017-01-27,DFMFOODS,EQ,2062.2,2005.2,2088.0,1979.7,1979.7,1993.75,2010.28,223,44829175000.0,47,150,0.6726000000000001
2017-01-30,DFMFOODS,EQ,1993.75,1982.0,2020.0,1956.0,1975.0,1977.95,1988.25,260,51694375000.0,43,156,0.6
2017-01-31,DFMFOODS,EQ,1977.95,1958.0,2025.0,1950.0,2005.0,1973.75,1992.97,457,91078780000.0,59,351,0.7681
2017-02-01,DFMFOODS,EQ,1973.75,1954.4,2009.9,1935.05,1940.0,1960.7,1963.92,202,39671235000.0,31,169,0.8366
2017-02-02,DFMFOODS,EQ,1960.7,2000.0,2000.0,1904.0,1940.0,1958.5,1958.78,1130,221341590000.0,71,764,0.6761
2017-02-03,DFMFOODS,EQ,1958.5,1815.55,1994.95,1815.55,1903.0,1893.8,1909.64,1540,294084790000.0,365,647,0.4201
2017-02-06,DFMFOODS,EQ,1893.8,1855.9,1938.7,1855.9,1860.0,1869.05,1888.69,1018,192268380000.0,75,611,0.6002000000000001
2017-02-07,DFMFOODS,EQ,1869.05,1898.95,1899.0,1798.0,1800.0,1801.3,1833.36,245,44917255000.0,55,222,0.9061
2017-02-08,DFMFOODS,EQ,1801.3,1791.0,1846.0,1791.0,1815.0,1815.0,1827.88,139,25407485000.0,41,83,0.5971000000000001
2017-02-09,DFMFOODS,EQ,1815.0,1840.0,1853.0,1745.0,1815.0,1815.45,1817.94,144,26178315000.0,43,105,0.7292000000000001
2017-02-10,DFMFOODS,EQ,1815.45,1825.0,1968.0,1825.0,1930.0,1899.55,1920.01,758,145536400000.0,224,442,0.5831000000000001
2017-02-13,DFMFOODS,EQ,1899.55,1956.5,2013.5,1889.95,1890.0,1890.0,1922.63,176,33838345000.0,45,110,0.625
2017-02-14,DFMFOODS,EQ,1890.0,1865.0,1942.0,1865.0,1942.0,1902.65,1889.78,64,12094600000.0,16,13,0.2031
2017-02-15,DFMFOODS,EQ,1902.65,1918.75,1918.75,1889.5,1900.0,1892.9,1893.18,183,34645250000.0,14,180,0.9836
2017-02-16,DFMFOODS,EQ,1892.9,1855.15,1912.0,1855.15,1905.0,1902.75,1896.5,218,41343790000.0,34,193,0.8853
2017-02-17,DFMFOODS,EQ,1902.75,1895.0,1910.0,1860.0,1860.0,1883.9,1889.4,25,4723500000.0,5,25,1.0
2017-02-20,DFMFOODS,EQ,1883.9,1871.05,1963.0,1825.0,1868.0,1843.35,1861.86,756,140756610000.0,142,491,0.6495000000000001
2017-02-21,DFMFOODS,EQ,1843.35,1879.95,1880.0,1821.25,1839.0,1831.45,1854.72,212,39320115000.0,66,92,0.434
2017-02-22,DFMFOODS,EQ,1831.45,1867.0,1898.0,1825.8,1897.0,1870.9,1867.28,376,70209570000.0,122,187,0.49729999999999996
2017-02-23,DFMFOODS,EQ,1870.9,1895.0,1983.2,1850.1,1890.0,1890.0,1907.32,343,65421125000.0,53,204,0.5948
2017-02-27,DFMFOODS,EQ,1890.0,1889.95,1954.9,1875.0,1900.0,1921.75,1921.77,139,26712650000.0,21,101,0.7266
2017-02-28,DFMFOODS,EQ,1921.75,1865.0,1888.75,1748.8,1830.0,1841.25,1833.01,280,51324295000.0,60,152,0.5429
2017-03-01,DFMFOODS,EQ,1841.25,1882.75,1888.0,1835.1,1873.0,1872.3,1874.19,67,12557060000.0,39,36,0.5373
