Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-10-05,DIAMONDYD,EQ,938.0,1270.0,1318.8,1133.7,1190.0,1180.65,1236.14,9144860,1130436726105000.0,333573,2282236,0.24960000000000002
2017-10-06,DIAMONDYD,EQ,1180.65,1192.0,1293.9,1142.1,1291.5,1277.55,1219.32,2437707,297234700580000.0,104676,400956,0.1645
2017-10-09,DIAMONDYD,EQ,1277.55,1290.0,1308.0,1226.4,1268.0,1276.85,1268.16,971464,123196843150000.0,43119,139967,0.1441
2017-10-10,DIAMONDYD,EQ,1276.85,1273.0,1296.75,1253.2,1291.0,1287.1,1273.36,415379,52892511315000.0,18747,77086,0.1856
2017-10-11,DIAMONDYD,EQ,1287.1,1285.0,1298.0,1250.0,1256.9,1261.35,1276.65,229092,29247050025000.0,11991,55658,0.24300000000000002
2017-10-12,DIAMONDYD,EQ,1261.35,1269.9,1273.95,1236.35,1240.05,1246.35,1255.92,112399,14116373569999.998,5967,29786,0.265
2017-10-13,DIAMONDYD,EQ,1246.35,1246.0,1266.9,1205.05,1220.0,1216.7,1239.19,105570,13082082655000.0,6788,36486,0.3456
2017-10-16,DIAMONDYD,EQ,1216.7,1262.0,1275.0,1195.0,1195.5,1201.85,1223.74,108825,13317298385000.0,5793,30812,0.2831
2017-10-17,DIAMONDYD,EQ,1201.85,1213.0,1227.0,1186.0,1190.2,1192.0,1201.78,76864,9237337840000.0,4539,17230,0.2242
2017-10-18,DIAMONDYD,EQ,1192.0,1181.1,1196.95,1178.0,1182.0,1182.85,1184.87,41419,4907620705000.0,2328,17133,0.41369999999999996
2017-10-19,DIAMONDYD,EQ,1182.85,1190.0,1190.0,1160.0,1162.95,1167.55,1172.53,8683,1018107525000.0,790,3889,0.4479
2017-10-23,DIAMONDYD,EQ,1167.55,1165.0,1174.4,1155.0,1165.0,1165.45,1165.16,43712,5093127630000.0,4273,26479,0.6058
