Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2004-01-15,DREDGECORP,EQ,524.95,551.0,551.0,550.0,550.0,550.0,550.98,51,2810000000.0,,51,1.0
2004-01-16,DREDGECORP,EQ,550.0,542.0,569.0,530.2,530.2,530.2,555.78,229,12727450000.0,,157,0.6856
2004-01-19,DREDGECORP,EQ,530.2,531.0,544.8,525.1,525.1,525.1,532.56,246,13101010000.0,,236,0.9593
2004-01-20,DREDGECORP,EQ,525.1,521.0,579.2,481.0,536.9,535.4,538.07,649,34920650000.0,,539,0.8305
2004-01-21,DREDGECORP,EQ,535.4,555.55,564.0,495.1,495.1,499.35,536.95,654,35116445000.0,,471,0.7202
2004-01-22,DREDGECORP,EQ,499.35,490.0,492.7,466.25,466.25,466.25,481.01,114,5483540000.0,,113,0.9912000000000001
2004-01-23,DREDGECORP,EQ,466.25,460.55,494.0,460.0,486.0,491.25,469.56,148,6949520000.0,,112,0.7568000000000001
2004-01-27,DREDGECORP,EQ,491.25,489.0,499.0,488.75,491.2,491.2,493.36,185,9127250000.0,,135,0.7297
2004-01-28,DREDGECORP,EQ,491.2,485.0,518.0,480.0,480.0,480.0,493.31,579,28562520000.0,,520,0.8981
2004-01-29,DREDGECORP,EQ,480.0,476.0,509.3,472.5,490.0,490.35,481.43,1097,52812630000.00001,,963,0.8778
2004-01-30,DREDGECORP,EQ,490.35,485.0,529.0,475.0,490.0,481.15,488.9,182,8897960000.0,,92,0.5055
2004-02-03,DREDGECORP,EQ,481.15,484.9,484.9,448.0,464.0,452.75,470.28,435,20457080000.0,,426,0.9793000000000001
2004-02-04,DREDGECORP,EQ,452.75,475.0,481.0,462.0,470.0,470.0,472.02,166,7835525000.0,,122,0.7349
2004-02-05,DREDGECORP,EQ,470.0,550.0,550.0,470.5,481.45,479.0,491.1,1505,73911300000.0,,310,0.20600000000000002
2004-02-06,DREDGECORP,EQ,479.0,508.95,509.0,478.0,478.0,480.6,489.78,644,31541909999.999996,,402,0.6242
2004-02-09,DREDGECORP,EQ,480.6,500.0,500.0,485.3,490.0,490.0,493.5,331,16334720000.000002,,284,0.858
2004-02-10,DREDGECORP,EQ,490.0,490.0,495.0,477.0,480.0,480.9,481.89,466,22456055000.0,,376,0.8069
2004-02-11,DREDGECORP,EQ,480.9,487.9,489.0,470.0,473.9,470.75,474.97,717,34055540000.000004,,590,0.8229000000000001
2004-02-12,DREDGECORP,EQ,470.75,510.0,510.0,465.5,477.0,474.45,478.05,1233,58943505000.00001,,736,0.5969
2004-02-13,DREDGECORP,EQ,474.45,494.85,498.0,480.4,493.4,490.6,490.95,1315,64559469999.99999,,805,0.6122
2004-02-16,DREDGECORP,EQ,490.6,509.0,529.8,496.0,500.0,504.1,512.38,2358,120819800000.0,,1196,0.5072
2004-02-17,DREDGECORP,EQ,504.1,500.1,521.95,482.05,493.6,487.85,501.28,1490,74690480000.0,,943,0.6329
2004-02-18,DREDGECORP,EQ,487.85,455.0,517.5,455.0,517.5,516.05,505.53,2820,142559265000.0,,1485,0.5266
2004-02-19,DREDGECORP,EQ,516.05,520.0,540.0,511.1,520.0,520.7,525.21,4492,235922095000.00003,,2129,0.474
2004-02-20,DREDGECORP,EQ,520.7,525.0,534.95,513.25,527.95,524.95,525.22,1081,56776590000.0,,839,0.7761
2004-02-23,DREDGECORP,EQ,524.95,602.0,602.0,507.65,522.0,521.95,522.37,3121,163032965000.0,,1327,0.4252
2004-02-24,DREDGECORP,EQ,521.95,525.0,536.35,510.0,536.35,532.9,521.95,3679,192024180000.0,,2588,0.7034999999999999
2004-02-25,DREDGECORP,EQ,532.9,485.0,486.0,432.0,454.0,455.25,455.92,21838,995632794999.9999,,5290,0.2422
2004-02-26,DREDGECORP,EQ,455.25,494.9,494.9,462.0,470.0,468.7,479.95,13673,656233060000.0,,4346,0.3179
2004-02-27,DREDGECORP,EQ,468.7,470.0,479.4,462.0,479.4,473.15,471.16,5122,241326535000.0,,1105,0.2157
2004-03-01,DREDGECORP,EQ,473.15,488.8,500.0,480.0,500.0,491.85,489.09,5963,291647335000.0,,3555,0.5962
2004-03-03,DREDGECORP,EQ,491.85,528.8,545.5,476.1,476.1,480.95,488.71,2324,113576800000.0,,1613,0.6940999999999999
2004-03-04,DREDGECORP,EQ,480.95,490.0,508.0,484.0,484.0,489.55,496.36,6793,337176395000.0,,3265,0.4806
2004-03-05,DREDGECORP,EQ,489.55,492.8,587.5,492.8,587.5,587.5,566.84,39735,2252358145000.0,,11698,0.2944
2004-03-08,DREDGECORP,EQ,587.5,605.0,648.0,583.0,583.0,606.05,626.89,67531,4233462204999.9995,,13091,0.19390000000000002
2004-03-09,DREDGECORP,EQ,606.05,598.7,644.9,560.0,582.0,596.55,612.7,101023,6189698290000.0,,11579,0.11460000000000001
2004-03-10,DREDGECORP,EQ,596.55,597.8,619.0,580.0,592.0,594.0,606.33,48912,2965689440000.0,,4029,0.0824
2004-03-11,DREDGECORP,EQ,594.0,597.0,612.9,566.0,570.0,575.15,592.03,29540,1748850510000.0002,,3716,0.1258
2004-03-12,DREDGECORP,EQ,575.15,573.0,573.8,550.0,554.0,563.05,565.01,18391,1039118755000.0001,,3321,0.18059999999999998
2004-03-15,DREDGECORP,EQ,563.05,565.0,585.0,532.05,536.05,545.1,565.64,13651,772149960000.0,,3056,0.22390000000000002
2004-03-16,DREDGECORP,EQ,545.1,547.0,568.8,511.25,511.25,521.7,533.2,17397,927613265000.0,,2920,0.1678
2004-03-17,DREDGECORP,EQ,521.7,522.0,529.5,505.0,508.7,509.85,515.66,12709,655348770000.0,,4158,0.3272
2004-03-18,DREDGECORP,EQ,509.85,517.7,517.7,465.0,499.1,499.9,496.72,60162,2988390175000.0,,18293,0.3041
2004-03-19,DREDGECORP,EQ,499.9,462.0,522.85,456.0,505.0,503.1,487.09,298386,14534192544999.998,,100506,0.3368
2004-03-22,DREDGECORP,EQ,503.1,502.0,502.0,438.0,460.0,460.25,461.57,556638,25692834230000.0,,285844,0.5135000000000001
2004-03-23,DREDGECORP,EQ,460.25,460.0,474.4,460.0,467.5,467.95,465.61,191646,8923244410000.0,,124229,0.6482
2004-03-24,DREDGECORP,EQ,467.95,466.0,500.0,445.0,475.0,474.6,474.16,97251,4611232975000.0,,42161,0.4335
2004-03-25,DREDGECORP,EQ,474.6,480.0,483.8,472.0,478.0,479.65,479.49,59341,2845351535000.0,,42277,0.7123999999999999
2004-03-26,DREDGECORP,EQ,479.65,481.0,486.0,472.5,480.0,480.2,480.28,68276,3279171545000.0,,42190,0.6179
2004-03-29,DREDGECORP,EQ,480.2,452.0,485.0,452.0,480.0,480.55,480.37,48282,2319315800000.0,,33210,0.6878000000000001
2004-03-30,DREDGECORP,EQ,480.55,480.0,503.1,480.0,498.0,498.2,497.02,71357,3546567329999.9995,,35262,0.49420000000000003
2004-03-31,DREDGECORP,EQ,498.2,508.95,514.0,500.0,512.0,510.15,509.21,111505,5677919085000.0,,52918,0.4746
2004-04-01,DREDGECORP,EQ,510.15,519.0,521.4,500.3,504.6,509.15,513.41,167474,8598255465000.001,,96641,0.5771000000000001
2004-04-02,DREDGECORP,EQ,509.15,506.2,515.0,503.9,514.0,511.65,508.76,63279,3219392835000.0,,36308,0.5738000000000001
2004-04-05,DREDGECORP,EQ,511.65,518.0,528.0,510.0,518.05,516.65,517.17,65600,3392625370000.0005,,41838,0.6378
2004-04-06,DREDGECORP,EQ,516.65,520.0,525.0,511.6,519.0,519.45,517.7,80821,4184078310000.0,,59896,0.7411
2004-04-07,DREDGECORP,EQ,519.45,515.0,524.0,512.6,517.5,516.35,518.38,35252,1827379889999.9998,,18855,0.5349
2004-04-08,DREDGECORP,EQ,516.35,510.0,515.0,502.0,510.0,510.05,509.74,48748,2484881345000.0,,34658,0.711
2004-04-12,DREDGECORP,EQ,510.05,505.5,558.0,505.5,536.0,531.5,537.34,169471,9106327540000.0,,81122,0.47869999999999996
2004-04-13,DREDGECORP,EQ,531.5,535.0,550.0,524.1,542.0,540.8,537.85,78360,4214576220000.0005,,43122,0.5503
2004-04-15,DREDGECORP,EQ,540.8,544.35,573.0,537.0,568.0,564.25,562.12,128928,7247363784999.999,,75262,0.5838
2004-04-16,DREDGECORP,EQ,564.25,569.0,575.0,550.0,562.0,562.05,562.21,106689,5998132205000.0,,79227,0.7426
2004-04-17,DREDGECORP,EQ,562.05,569.8,570.0,550.1,553.3,552.45,556.01,14502,806322770000.0,,10237,0.7059000000000001
2004-04-19,DREDGECORP,EQ,552.45,552.45,584.0,550.5,566.0,568.5,566.55,114184,6469146800000.0,,80451,0.7046
2004-04-20,DREDGECORP,EQ,568.5,569.9,569.9,561.85,563.0,562.2,562.78,60023,3377993170000.0005,,42858,0.7140000000000001
2004-04-21,DREDGECORP,EQ,562.2,557.0,572.0,550.0,555.0,560.65,565.31,85116,4811711295000.0,,59592,0.7001000000000001
2004-04-22,DREDGECORP,EQ,560.65,558.0,568.5,556.0,564.0,562.2,563.27,43857,2470353055000.0,,38188,0.8706999999999999
2004-04-23,DREDGECORP,EQ,562.2,560.0,567.0,557.0,562.3,562.1,562.25,53360,3000168540000.0,,43443,0.8140999999999999
2004-04-27,DREDGECORP,EQ,562.1,511.5,564.0,510.0,527.1,536.9,547.98,95530,5234894045000.0,,70130,0.7341
2004-04-28,DREDGECORP,EQ,536.9,521.0,540.0,521.0,540.0,536.55,533.27,31537,1681771385000.0002,,25836,0.8192
2004-04-29,DREDGECORP,EQ,536.55,545.0,546.0,526.1,539.0,537.65,534.89,21635,1157234855000.0,,16945,0.7831999999999999
2004-04-30,DREDGECORP,EQ,537.65,520.0,549.0,520.0,546.2,543.1,542.37,18707,1014612115000.0,,14328,0.7659
2004-05-03,DREDGECORP,EQ,543.1,525.0,530.0,500.0,509.0,508.1,507.39,42528,2157813155000.0,,30694,0.7217
2004-05-04,DREDGECORP,EQ,508.1,510.0,534.5,508.5,522.0,522.2,520.38,34423,1791295950000.0,,19725,0.573
2004-05-05,DREDGECORP,EQ,522.2,526.0,529.95,524.0,526.5,525.15,525.7,16518,868349250000.0,,13215,0.8
2004-05-06,DREDGECORP,EQ,525.15,555.0,625.0,526.8,526.8,527.05,531.09,20295,1077856155000.0001,,14090,0.6943
