Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,EIDPARRY,EQ,103.95,102.3,102.3,102.0,,102.0,102.07,350,3572500000.0,,,
1996-01-02,EIDPARRY,EQ,102.0,101.0,101.0,100.0,,101.0,100.67,300,3020000000.0,,,
1996-01-03,EIDPARRY,EQ,101.0,101.0,101.0,99.95,,99.95,100.32,750,7523750000.0,,,
1996-01-04,EIDPARRY,EQ,99.95,99.0,99.0,98.0,,98.0,98.07,700,6865000000.0,,,
1996-01-05,EIDPARRY,EQ,98.0,98.0,98.0,98.0,,98.0,98.0,50,490000000.0,,,
1996-01-08,EIDPARRY,EQ,98.0,90.2,90.2,90.2,,90.2,90.2,50,451000000.0,,,
1996-01-09,EIDPARRY,EQ,90.2,90.2,97.0,95.5,,95.5,96.25,100,962500000.0,,,
1996-01-10,EIDPARRY,EQ,95.5,96.45,97.5,96.45,,97.0,97.0,9300,90212250000.0,,,
1996-01-11,EIDPARRY,EQ,97.0,94.0,96.0,94.0,,96.0,95.43,2350,22426500000.0,,,
1996-01-12,EIDPARRY,EQ,96.0,97.0,97.0,95.5,,97.0,96.73,650,6287500000.0,,,
1996-01-15,EIDPARRY,EQ,97.0,98.9,98.9,98.9,,98.9,98.9,50,494500000.0,,,
1996-01-16,EIDPARRY,EQ,98.9,98.9,99.0,98.0,,99.0,98.97,1500,14845000000.0,,,
1996-01-17,EIDPARRY,EQ,99.0,99.9,100.0,99.5,,100.0,99.8,150,1497000000.0,,,
1996-01-18,EIDPARRY,EQ,100.0,97.0,98.95,97.0,,98.95,98.3,150,1474500000.0,,,
1996-01-19,EIDPARRY,EQ,98.95,98.95,97.5,97.0,,97.5,97.17,150,1457500000.0,,,
1996-01-22,EIDPARRY,EQ,97.5,98.5,98.95,98.5,,98.5,98.71,350,3454750000.0,,,
1996-01-24,EIDPARRY,EQ,98.5,98.4,98.4,97.05,,97.05,97.95,150,1469250000.0,,,
1996-01-25,EIDPARRY,EQ,97.05,97.0,97.0,97.0,,97.0,97.0,100,970000000.0,,,
1996-01-29,EIDPARRY,EQ,97.0,98.0,100.0,98.0,,99.9,99.5,250,2487500000.0,,,
1996-01-30,EIDPARRY,EQ,99.9,100.0,100.0,95.05,,95.05,96.29,200,1925750000.0,,,
1996-01-31,EIDPARRY,EQ,95.05,96.0,96.25,96.0,,96.0,96.04,300,2881250000.0,,,
1996-02-01,EIDPARRY,EQ,96.0,98.5,98.5,98.5,,98.5,98.5,200,1970000000.0,,,
1996-02-02,EIDPARRY,EQ,98.5,98.5,99.0,99.0,,99.0,99.0,200,1980000000.0,,,
1996-02-05,EIDPARRY,EQ,99.0,100.0,100.0,100.0,,100.0,100.0,150,1500000000.0,,,
1996-02-06,EIDPARRY,EQ,100.0,100.0,104.0,101.05,,101.05,102.26,800,8180500000.0,,,
1996-02-07,EIDPARRY,EQ,101.05,101.05,101.9,100.0,,100.0,101.27,300,3038000000.0,,,
1996-02-08,EIDPARRY,EQ,100.0,102.0,103.0,102.0,,103.0,102.33,150,1535000000.0,,,
1996-02-09,EIDPARRY,EQ,103.0,105.0,110.0,105.0,,109.75,107.36,400,4294500000.0,,,
1996-02-12,EIDPARRY,EQ,109.75,107.5,107.5,107.0,,107.5,107.31,800,8585000000.0,,,
1996-02-13,EIDPARRY,EQ,107.5,107.5,107.5,106.0,,107.0,106.98,800,8558000000.0,,,
1996-02-14,EIDPARRY,EQ,107.0,116.0,117.0,113.15,,113.15,114.52,1100,12597500000.0,,,
1996-02-15,EIDPARRY,EQ,113.15,110.0,114.0,110.0,,112.3,112.9,800,9032000000.0,,,
1996-02-16,EIDPARRY,EQ,112.3,112.5,113.8,112.0,,112.85,112.98,700,7908500000.0,,,
1996-02-19,EIDPARRY,EQ,112.85,112.85,117.3,112.0,,115.6,115.4,1600,18464000000.0,,,
1996-02-20,EIDPARRY,EQ,115.6,117.0,118.0,117.0,,117.25,117.5,500,5875000000.0,,,
1996-02-22,EIDPARRY,EQ,117.25,117.25,114.0,114.0,,114.0,114.0,50,570000000.0,,,
1996-02-23,EIDPARRY,EQ,114.0,114.0,114.0,114.0,,114.0,114.0,200,2280000000.0,,,
1996-02-26,EIDPARRY,EQ,114.0,115.25,115.5,115.0,,115.0,115.13,750,8634750000.0,,,
1996-02-27,EIDPARRY,EQ,115.0,115.0,116.0,114.0,,116.0,114.69,2300,26378500000.0,,,
1996-02-28,EIDPARRY,EQ,116.0,116.4,117.0,116.0,,117.0,116.47,300,3494000000.0,,,
1996-02-29,EIDPARRY,EQ,117.0,115.5,116.0,115.0,,115.0,115.06,3150,36245000000.0,,,
1996-03-01,EIDPARRY,EQ,115.0,114.0,118.0,114.0,,114.0,116.65,750,8748750000.0,,,
1996-03-04,EIDPARRY,EQ,114.0,114.0,114.0,113.05,,113.5,113.51,200,2270250000.0,,,
1996-03-06,EIDPARRY,EQ,113.5,113.0,114.0,112.5,,114.0,113.17,300,3395000000.0,,,
1996-03-07,EIDPARRY,EQ,114.0,114.0,117.75,114.0,,114.1,115.04,1000,11504250000.0,,,
1996-03-08,EIDPARRY,EQ,114.1,112.0,112.0,112.0,,112.0,112.0,100,1120000000.0,,,
1996-03-11,EIDPARRY,EQ,112.0,113.4,115.0,112.0,,114.9,114.17,3050,34821750000.0,,,
1996-03-12,EIDPARRY,EQ,114.9,115.0,115.0,115.0,,115.0,115.0,4600,52900000000.0,,,
1996-03-13,EIDPARRY,EQ,115.0,115.0,115.0,114.0,,114.75,114.12,750,8558750000.0,,,
1996-03-14,EIDPARRY,EQ,114.75,114.75,114.0,113.0,,113.0,113.22,450,5095000000.0,,,
1996-03-15,EIDPARRY,EQ,113.0,113.0,112.0,109.0,,109.0,110.84,2000,22167500000.0,,,
1996-03-18,EIDPARRY,EQ,109.0,108.5,113.6,108.5,,113.6,109.44,4900,53624000000.0,,,
1996-03-19,EIDPARRY,EQ,113.6,113.6,112.5,107.0,,107.9,112.01,5500,61604500000.0,,,
1996-03-21,EIDPARRY,EQ,107.9,110.0,116.75,110.0,,114.5,114.5,3550,40646500000.0,,,
1996-03-22,EIDPARRY,EQ,114.5,109.5,114.95,109.5,,114.65,112.38,350,3933250000.0,,,
1996-03-25,EIDPARRY,EQ,114.65,114.65,112.0,111.9,,112.0,111.98,450,5039000000.0,,,
1996-03-26,EIDPARRY,EQ,112.0,110.0,114.5,110.0,,112.85,112.09,500,5604500000.0,,,
1996-03-27,EIDPARRY,EQ,112.85,112.85,113.5,110.0,,113.5,112.52,400,4500750000.0,,,
1996-03-28,EIDPARRY,EQ,113.5,113.5,113.0,112.1,,112.1,112.55,600,6753000000.0,,,
1996-03-29,EIDPARRY,EQ,112.1,112.1,113.55,112.2,,113.5,113.08,450,5088750000.0,,,
1996-04-01,EIDPARRY,EQ,113.5,113.5,112.1,112.1,,112.1,112.1,100,1121000000.0,,,
1996-04-02,EIDPARRY,EQ,112.1,112.1,113.0,113.0,,113.0,113.0,200,2260000000.0,,,
1996-04-03,EIDPARRY,EQ,113.0,113.0,113.95,112.0,,113.1,113.09,1100,12439500000.0,,,
1996-04-04,EIDPARRY,EQ,113.1,113.1,113.25,113.25,,113.25,113.25,50,566250000.0,,,
1996-04-08,EIDPARRY,EQ,113.25,112.0,112.0,112.0,,112.0,112.0,50,560000000.0,,,
1996-04-09,EIDPARRY,EQ,112.0,112.0,112.0,109.0,,109.7,110.02,350,3850750000.0,,,
1996-04-10,EIDPARRY,EQ,109.7,109.7,109.5,109.0,,109.0,109.17,150,1637500000.0,,,
1996-04-11,EIDPARRY,EQ,109.0,109.0,110.0,98.0,,104.9,105.09,10100,106143500000.0,,,
1996-04-12,EIDPARRY,EQ,104.9,104.9,115.0,106.35,,112.75,112.17,6550,73474250000.0,,,
1996-04-15,EIDPARRY,EQ,112.75,112.75,115.95,111.5,,111.5,113.39,1400,15874500000.0,,,
1996-04-16,EIDPARRY,EQ,111.5,111.5,119.95,111.0,,116.25,113.64,3800,43182500000.0,,,
1996-04-17,EIDPARRY,EQ,116.25,116.25,116.0,113.0,,113.0,115.16,550,6334000000.0,,,
1996-04-18,EIDPARRY,EQ,113.0,113.0,116.5,114.25,,114.3,114.83,600,6889750000.0,,,
1996-04-19,EIDPARRY,EQ,114.3,114.3,119.0,115.0,,116.35,117.22,1150,13479750000.0,,,
1996-04-22,EIDPARRY,EQ,116.35,116.35,117.0,114.0,,114.0,114.46,700,8012000000.0,,,
1996-04-23,EIDPARRY,EQ,114.0,113.9,113.9,110.3,,110.5,112.15,200,2243000000.0,,,
1996-04-24,EIDPARRY,EQ,110.5,112.0,113.5,112.0,,112.0,112.25,600,6735000000.0,,,
1996-04-25,EIDPARRY,EQ,112.0,112.0,116.0,115.0,,116.0,115.8,250,2895000000.0,,,
1996-04-26,EIDPARRY,EQ,116.0,113.0,116.0,111.1,,114.9,113.77,2050,23323000000.0,,,
1996-04-29,EIDPARRY,EQ,114.9,114.9,115.95,114.0,,115.95,114.83,300,3444750000.0,,,
