Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-02-24,EMMBI,EQ,45.0,46.0,48.3,26.65,28.2,28.75,38.14,61482682,234512607269999.97,,4953537,0.0806
2010-02-25,EMMBI,EQ,28.75,28.95,31.75,27.6,29.25,29.35,30.06,12745026,38305313535000.0,,1068889,0.0839
2010-02-26,EMMBI,EQ,29.35,29.5,30.3,27.6,27.75,27.85,28.79,3024944,8707744005000.0,,569064,0.1881
2010-03-02,EMMBI,EQ,27.85,28.0,28.7,26.1,26.2,26.25,26.79,1975827,5294033985000.0,,463429,0.2345
2010-03-03,EMMBI,EQ,26.25,26.3,27.55,25.4,25.95,26.0,26.56,3071247,8156242715000.001,,544121,0.1772
2010-03-04,EMMBI,EQ,26.0,25.6,26.85,25.6,25.95,25.95,26.31,1019764,2683025045000.0,,324567,0.31829999999999997
2010-03-05,EMMBI,EQ,25.95,26.55,26.55,25.45,25.6,25.6,26.0,815261,2119280660000.0002,,233490,0.2864
2010-03-08,EMMBI,EQ,25.6,25.8,26.7,25.3,25.35,25.55,25.86,1481122,3830118085000.0,,293065,0.1979
2010-03-09,EMMBI,EQ,25.55,25.5,26.5,25.5,25.65,25.65,26.07,1278004,3331173260000.0,,300132,0.2348
2010-03-10,EMMBI,EQ,25.65,25.7,26.2,25.2,25.35,25.35,25.68,663949,1705124039999.9998,,196104,0.2954
2010-03-11,EMMBI,EQ,25.35,25.4,25.6,24.55,24.7,24.65,25.03,598719,1498555595000.0,,210682,0.3519
2010-03-12,EMMBI,EQ,24.65,24.75,24.9,23.25,23.25,23.45,23.98,663968,1592503610000.0,,226030,0.3404
2010-03-15,EMMBI,EQ,23.45,23.25,23.95,22.4,22.85,22.8,23.17,870550,2016827064999.9998,,235254,0.2702
2010-03-16,EMMBI,EQ,22.8,23.0,23.4,22.75,22.85,22.85,22.98,341380,784331105000.0,,119130,0.349
2010-03-17,EMMBI,EQ,22.85,22.9,23.45,22.4,22.55,22.6,22.97,574765,1320277700000.0,,188005,0.3271
2010-03-18,EMMBI,EQ,22.6,22.4,23.0,21.8,21.9,22.0,22.38,475166,1063632080000.0001,,191583,0.4032
2010-03-19,EMMBI,EQ,22.0,22.05,24.4,21.65,23.15,23.15,23.45,2164611,5076813910000.0,,441093,0.20379999999999998
2010-03-22,EMMBI,EQ,23.15,23.1,23.1,22.25,22.35,22.3,22.6,343750,776964970000.0,,142065,0.4133
2010-03-23,EMMBI,EQ,22.3,22.55,23.95,22.3,23.3,23.2,23.33,1334340,3113158960000.0,,315666,0.2366
2010-03-25,EMMBI,EQ,23.2,22.75,23.75,22.4,22.6,22.6,23.03,318281,733043640000.0,,114351,0.3593
2010-03-26,EMMBI,EQ,22.6,22.85,23.45,21.85,22.05,22.0,22.69,604388,1371070975000.0,,199017,0.3293
2010-03-29,EMMBI,EQ,22.0,21.85,22.45,20.45,20.7,20.7,21.38,517403,1106075490000.0,,230263,0.445
2010-03-30,EMMBI,EQ,20.7,20.8,21.65,20.5,21.0,20.9,21.1,644670,1360489315000.0,,156869,0.2433
2010-03-31,EMMBI,EQ,20.9,20.65,21.3,20.55,20.65,20.65,20.87,230534,481120450000.0,,105691,0.4585
2010-04-01,EMMBI,EQ,20.65,20.5,23.25,20.5,22.15,22.2,22.15,1277071,2829066820000.0,,336979,0.2639
2010-04-05,EMMBI,EQ,22.2,22.55,23.05,21.9,22.25,22.2,22.43,418326,938315490000.0,,123019,0.29410000000000003
2010-04-06,EMMBI,EQ,22.2,22.3,22.6,22.0,22.2,22.15,22.28,169563,377826755000.0,,81953,0.4833
2010-04-07,EMMBI,EQ,22.15,22.25,22.65,21.65,21.8,21.9,22.11,206557,456764284999.99994,,96492,0.4671
2010-04-08,EMMBI,EQ,21.9,21.9,22.55,21.75,21.8,21.85,22.15,226151,500894065000.00006,,63031,0.2787
2010-04-09,EMMBI,EQ,21.85,22.0,22.25,21.7,21.8,21.75,21.91,152265,333665975000.0,,78731,0.5171
