Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-02,ESABINDIA,EQ,56.95,56.95,57.95,56.5,,56.5,57.23,400,2289000000.0,,,
1996-01-03,ESABINDIA,EQ,56.5,51.0,57.0,51.0,,57.0,54.0,200,1080000000.0,,,
1996-01-04,ESABINDIA,EQ,57.0,57.0,56.0,55.95,,55.95,55.99,400,2239500000.0,,,
1996-01-05,ESABINDIA,EQ,55.95,55.95,55.0,55.0,,55.0,55.0,1500,8250000000.0,,,
1996-01-08,ESABINDIA,EQ,55.0,55.0,55.0,55.0,,55.0,55.0,200,1100000000.0,,,
1996-01-09,ESABINDIA,EQ,55.0,55.0,55.5,55.5,,55.5,55.5,300,1665000000.0,,,
1996-01-10,ESABINDIA,EQ,55.5,55.5,56.0,56.0,,56.0,56.0,200,1120000000.0,,,
1996-01-12,ESABINDIA,EQ,56.0,56.0,55.9,55.0,,55.0,55.6,300,1668000000.0,,,
1996-01-15,ESABINDIA,EQ,55.0,55.0,54.25,54.1,,54.2,54.2,300,1626000000.0,,,
1996-01-16,ESABINDIA,EQ,54.2,54.2,56.75,56.75,,56.75,56.75,100,567500000.0,,,
1996-01-18,ESABINDIA,EQ,56.75,56.75,60.0,56.0,,60.0,57.75,400,2310000000.0,,,
1996-01-19,ESABINDIA,EQ,60.0,57.5,57.5,56.0,,56.0,56.96,600,3417500000.0,,,
1996-01-22,ESABINDIA,EQ,56.0,56.0,57.0,57.0,,57.0,57.0,100,570000000.0,,,
1996-01-23,ESABINDIA,EQ,57.0,57.0,55.0,55.0,,55.0,55.0,200,1100000000.0,,,
1996-01-24,ESABINDIA,EQ,55.0,55.0,55.0,54.5,,55.0,54.63,400,2185000000.0,,,
1996-01-25,ESABINDIA,EQ,55.0,55.0,53.75,52.0,,53.05,52.47,1200,6296000000.0,,,
1996-01-29,ESABINDIA,EQ,53.05,53.05,55.0,55.0,,55.0,55.0,700,3850000000.0,,,
1996-01-30,ESABINDIA,EQ,55.0,55.0,55.25,55.0,,55.25,55.08,300,1652500000.0,,,
1996-02-05,ESABINDIA,EQ,55.25,55.25,60.0,55.05,,60.0,57.81,500,2890500000.0,,,
1996-02-06,ESABINDIA,EQ,60.0,60.0,62.5,58.5,,62.5,61.0,300,1830000000.0,,,
1996-02-07,ESABINDIA,EQ,62.5,60.0,60.0,60.0,,60.0,60.0,1400,8400000000.0,,,
1996-02-08,ESABINDIA,EQ,60.0,61.0,61.0,60.05,,60.05,60.53,200,1210500000.0,,,
1996-02-09,ESABINDIA,EQ,60.05,60.05,66.0,60.1,,63.15,65.89,25800,170001000000.0,,,
1996-02-12,ESABINDIA,EQ,63.15,63.15,64.5,64.45,,64.5,64.49,800,5159500000.0,,,
1996-02-13,ESABINDIA,EQ,64.5,64.5,64.45,63.0,,63.5,63.56,700,4449500000.0,,,
1996-02-14,ESABINDIA,EQ,63.5,63.5,68.0,66.0,,66.6,66.83,800,5346500000.0,,,
1996-02-15,ESABINDIA,EQ,66.6,66.5,67.0,66.0,,67.0,66.2,1000,6620000000.0,,,
1996-02-16,ESABINDIA,EQ,67.0,67.0,67.0,66.0,,67.0,66.57,1800,11982500000.0,,,
1996-02-19,ESABINDIA,EQ,67.0,67.0,68.0,66.0,,68.0,66.78,900,6010000000.0,,,
1996-02-20,ESABINDIA,EQ,68.0,68.0,69.0,68.0,,69.0,68.75,400,2750000000.0,,,
1996-02-22,ESABINDIA,EQ,69.0,67.0,70.0,67.0,,70.0,69.1,2100,14510500000.0,,,
1996-02-23,ESABINDIA,EQ,70.0,74.0,74.0,72.5,,72.5,73.25,200,1465000000.0,,,
1996-02-26,ESABINDIA,EQ,72.5,69.95,74.0,69.95,,74.0,71.51,700,5005500000.0,,,
1996-02-27,ESABINDIA,EQ,74.0,73.0,73.0,70.1,,70.1,71.66,500,3583000000.0,,,
1996-02-28,ESABINDIA,EQ,70.1,70.0,70.0,70.0,,70.0,70.0,600,4200000000.0,,,
