Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,FINCABLES,EQ,232.5,232.0,232.0,230.0,,230.0,230.42,1200,27650000000.0,,,
1996-01-02,FINCABLES,EQ,230.0,230.0,229.0,226.0,,229.0,226.94,1000,22693750000.0,,,
1996-01-03,FINCABLES,EQ,229.0,229.0,226.0,220.0,,222.0,222.59,900,20032750000.0,,,
1996-01-04,FINCABLES,EQ,222.0,222.0,224.0,222.0,,223.9,223.32,550,12282500000.0,,,
1996-01-05,FINCABLES,EQ,223.9,223.9,224.0,221.05,,222.5,222.57,600,13354000000.0,,,
1996-01-08,FINCABLES,EQ,222.5,222.5,221.0,218.75,,220.0,219.12,1900,41633500000.0,,,
1996-01-09,FINCABLES,EQ,220.0,214.95,217.5,214.5,,216.0,215.14,800,17211000000.0,,,
1996-01-10,FINCABLES,EQ,216.0,220.0,220.0,215.0,,218.5,217.52,650,14138750000.0,,,
1996-01-11,FINCABLES,EQ,218.5,218.5,225.0,218.0,,225.0,220.65,300,6619500000.0,,,
1996-01-12,FINCABLES,EQ,225.0,225.0,222.5,220.0,,222.2,221.42,1350,29891500000.0,,,
1996-01-15,FINCABLES,EQ,222.2,222.0,224.75,219.5,,221.5,220.53,3000,66158250000.0,,,
1996-01-16,FINCABLES,EQ,221.5,221.0,226.0,221.0,,224.15,224.1,2050,45940000000.0,,,
1996-01-17,FINCABLES,EQ,224.15,222.5,224.0,222.0,,222.0,222.59,700,15581500000.0,,,
1996-01-18,FINCABLES,EQ,222.0,213.0,225.0,213.0,,224.8,221.52,24200,536080250000.0,,,
1996-01-19,FINCABLES,EQ,224.8,224.8,222.0,216.5,,221.0,220.31,4550,100241250000.0,,,
1996-01-22,FINCABLES,EQ,221.0,221.0,223.0,220.0,,222.0,221.95,1850,41060000000.0,,,
1996-01-23,FINCABLES,EQ,222.0,222.0,222.5,218.0,,220.5,220.02,1550,34102500000.0,,,
1996-01-24,FINCABLES,EQ,220.5,220.5,221.0,215.1,,220.25,219.28,1300,28506250000.0,,,
1996-01-25,FINCABLES,EQ,220.25,220.25,218.0,216.05,,218.0,217.37,1050,22823500000.0,,,
1996-01-29,FINCABLES,EQ,218.0,202.65,217.0,202.65,,217.0,205.8,600,12348250000.0,,,
1996-01-30,FINCABLES,EQ,217.0,217.0,220.05,217.0,,219.85,219.15,650,14244750000.0,,,
1996-01-31,FINCABLES,EQ,219.85,219.85,222.0,217.0,,219.05,219.52,1050,23049750000.0,,,
1996-02-01,FINCABLES,EQ,219.05,220.0,224.0,220.0,,220.0,220.51,1200,26461250000.0,,,
1996-02-02,FINCABLES,EQ,220.0,232.0,236.0,228.5,,234.0,232.36,3350,77842250000.0,,,
1996-02-05,FINCABLES,EQ,234.0,234.0,255.0,244.0,,245.0,246.81,1600,39489750000.0,,,
1996-02-06,FINCABLES,EQ,245.0,245.0,255.0,240.0,,243.1,244.9,1300,31836500000.0,,,
1996-02-07,FINCABLES,EQ,243.1,243.1,236.0,229.0,,235.0,234.0,600,14040250000.0,,,
1996-02-08,FINCABLES,EQ,235.0,235.0,242.0,235.0,,241.6,239.93,2650,63581000000.0,,,
1996-02-09,FINCABLES,EQ,241.6,241.6,260.0,242.0,,259.75,252.32,1500,37848000000.0,,,
1996-02-12,FINCABLES,EQ,259.75,259.75,275.0,262.6,,265.05,266.54,3050,81293750000.0,,,
1996-02-13,FINCABLES,EQ,265.05,265.05,267.5,250.0,,260.6,260.18,2950,76751750000.0,,,
1996-02-14,FINCABLES,EQ,260.6,260.6,285.0,274.0,,281.0,279.27,5100,142429000000.0,,,
1996-02-15,FINCABLES,EQ,281.0,279.0,281.0,275.05,,277.85,279.02,3550,99052750000.0,,,
1996-02-16,FINCABLES,EQ,277.85,277.85,275.0,263.5,,264.25,267.71,2500,66927500000.0,,,
1996-02-19,FINCABLES,EQ,264.25,264.25,270.0,265.05,,268.5,268.05,550,14743000000.0,,,
1996-02-20,FINCABLES,EQ,268.5,268.5,275.0,260.0,,262.7,266.11,3350,89147000000.0,,,
