Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,FINPIPE,EQ,30.9,30.9,31.2,30.0,,30.75,30.63,8800,26951500000.0,,,
1996-01-02,FINPIPE,EQ,30.75,30.75,31.0,30.1,,30.4,30.46,23200,70669000000.0,,,
1996-01-03,FINPIPE,EQ,30.4,30.4,31.25,30.5,,30.8,30.91,23800,73563000000.0,,,
1996-01-04,FINPIPE,EQ,30.8,30.8,30.8,30.1,,30.4,30.4,12900,39219000000.0,,,
1996-01-05,FINPIPE,EQ,30.4,30.4,30.5,29.85,,30.0,30.15,10500,31661000000.0,,,
1996-01-08,FINPIPE,EQ,30.0,30.0,30.0,29.0,,29.05,29.41,13500,39699000000.0,,,
1996-01-09,FINPIPE,EQ,29.05,29.05,29.25,28.1,,28.5,28.73,14800,42521000000.0,,,
1996-01-10,FINPIPE,EQ,28.5,29.0,29.45,28.75,,28.8,29.02,10600,30764500000.0,,,
1996-01-11,FINPIPE,EQ,28.8,28.8,29.0,28.5,,29.0,28.76,8300,23871000000.0,,,
1996-01-12,FINPIPE,EQ,29.0,29.0,29.0,28.65,,28.8,28.95,14800,42845500000.0,,,
1996-01-15,FINPIPE,EQ,28.8,28.45,28.95,28.3,,28.75,28.66,9600,27512500000.0,,,
1996-01-16,FINPIPE,EQ,28.75,28.05,28.75,27.55,,28.05,28.11,26900,75614500000.0,,,
1996-01-17,FINPIPE,EQ,28.05,28.05,28.25,27.5,,27.6,27.86,17400,48482500000.0,,,
1996-01-18,FINPIPE,EQ,27.6,27.6,27.45,26.7,,27.1,26.95,11600,31260500000.0,,,
1996-01-19,FINPIPE,EQ,27.1,27.25,27.25,26.1,,26.5,26.51,12200,32339500000.0,,,
1996-01-22,FINPIPE,EQ,26.5,26.5,26.95,26.5,,26.9,26.66,12200,32524500000.0,,,
1996-01-23,FINPIPE,EQ,26.9,26.9,26.85,26.35,,26.5,26.58,12700,33759000000.0,,,
1996-01-24,FINPIPE,EQ,26.5,26.5,26.5,25.15,,26.0,25.97,17500,45452500000.0,,,
1996-01-25,FINPIPE,EQ,26.0,26.0,26.1,24.6,,24.95,25.4,21200,53854000000.0,,,
1996-01-29,FINPIPE,EQ,24.95,24.95,25.0,24.0,,24.75,24.5,19400,47539000000.0,,,
1996-01-30,FINPIPE,EQ,24.75,24.75,26.2,24.85,,25.5,25.42,35800,91017500000.0,,,
1996-01-31,FINPIPE,EQ,25.5,25.5,26.65,25.75,,26.1,26.22,18900,49558000000.0,,,
1996-02-01,FINPIPE,EQ,26.1,26.1,27.4,26.25,,27.1,26.75,16300,43597500000.0,,,
1996-02-02,FINPIPE,EQ,27.1,27.1,29.75,27.5,,29.05,29.12,46400,135114000000.0,,,
1996-02-05,FINPIPE,EQ,29.05,29.05,31.45,29.0,,29.7,30.19,44200,133419500000.0,,,
1996-02-06,FINPIPE,EQ,29.7,29.7,30.0,28.05,,28.75,29.32,26000,76242000000.0,,,
1996-02-07,FINPIPE,EQ,28.75,28.75,28.4,27.0,,27.55,27.56,34300,94538000000.0,,,
1996-02-08,FINPIPE,EQ,27.55,27.55,28.25,27.35,,28.25,27.76,42900,119072500000.0,,,
1996-02-09,FINPIPE,EQ,28.25,28.25,29.9,28.05,,29.2,29.06,82900,240936500000.0,,,
1996-02-12,FINPIPE,EQ,29.2,29.2,32.1,29.25,,30.6,30.64,101700,311616500000.0,,,
1996-02-13,FINPIPE,EQ,30.6,30.6,31.75,30.0,,30.3,30.45,47000,143102000000.0,,,
1996-02-14,FINPIPE,EQ,30.3,30.3,33.5,32.0,,32.65,32.95,55800,183861000000.0,,,
1996-02-15,FINPIPE,EQ,32.65,32.65,33.45,32.1,,32.7,32.86,50200,164972500000.0,,,
1996-02-16,FINPIPE,EQ,32.7,32.7,32.0,30.6,,30.8,31.17,29500,91958500000.0,,,
1996-02-19,FINPIPE,EQ,30.8,30.8,31.2,30.25,,30.45,30.69,22800,69981500000.0,,,
1996-02-20,FINPIPE,EQ,30.45,30.45,30.5,29.05,,29.45,29.64,48300,143150500000.0,,,
1996-02-22,FINPIPE,EQ,29.45,29.45,30.55,29.8,,30.05,30.12,23900,71976500000.0,,,
1996-02-23,FINPIPE,EQ,30.05,30.05,29.95,29.0,,29.2,29.52,24900,73494000000.0,,,
1996-02-26,FINPIPE,EQ,29.2,29.5,30.0,29.0,,29.3,29.58,23300,68916000000.0,,,
1996-02-27,FINPIPE,EQ,29.3,29.3,29.9,28.5,,28.9,29.01,26800,77758500000.0,,,
1996-02-28,FINPIPE,EQ,28.9,28.9,29.45,28.6,,29.0,29.08,16900,49140500000.0,,,
1996-02-29,FINPIPE,EQ,29.0,29.0,28.95,26.6,,26.75,27.49,21700,59645500000.0,,,
1996-03-01,FINPIPE,EQ,26.75,27.0,28.0,26.6,,27.75,27.31,22600,61717000000.0,,,
1996-03-04,FINPIPE,EQ,27.75,27.75,27.75,26.75,,26.8,27.15,33800,91773000000.0,,,
1996-03-06,FINPIPE,EQ,26.8,26.8,27.45,26.75,,27.15,26.98,21500,58004000000.0,,,
1996-03-07,FINPIPE,EQ,27.15,27.15,27.7,26.8,,27.05,27.19,27700,75321500000.0,,,
1996-03-08,FINPIPE,EQ,27.05,27.05,26.95,26.05,,26.6,26.51,19800,52498500000.0,,,
1996-03-11,FINPIPE,EQ,26.6,26.6,26.45,25.85,,26.15,26.06,20000,52129500000.0,,,
1996-03-12,FINPIPE,EQ,26.15,26.15,26.1,25.1,,25.8,25.82,23500,60683500000.0,,,
1996-03-13,FINPIPE,EQ,25.8,25.8,27.0,26.1,,27.0,26.66,14000,37317000000.0,,,
1996-03-14,FINPIPE,EQ,27.0,27.0,27.35,26.5,,26.8,27.02,11900,32157500000.0,,,
1996-03-15,FINPIPE,EQ,26.8,26.8,26.75,25.85,,26.45,26.58,24200,64314500000.0,,,
1996-03-18,FINPIPE,EQ,26.45,26.45,26.5,25.65,,25.8,25.9,20100,52069000000.0,,,
1996-03-19,FINPIPE,EQ,25.8,25.8,26.0,25.1,,25.15,25.48,25200,64221500000.0,,,
1996-03-21,FINPIPE,EQ,25.15,25.15,27.0,25.7,,26.0,26.11,12300,32119000000.0,,,
1996-03-22,FINPIPE,EQ,26.0,26.0,26.35,25.1,,25.95,25.63,15200,38958500000.0,,,
1996-03-25,FINPIPE,EQ,25.95,25.95,25.8,24.6,,25.35,25.07,26500,66442500000.0,,,
1996-03-26,FINPIPE,EQ,25.35,25.35,24.85,24.1,,24.65,24.62,20000,49231000000.0,,,
1996-03-27,FINPIPE,EQ,24.65,24.65,25.3,24.65,,24.75,24.99,20500,51231000000.0,,,
1996-03-28,FINPIPE,EQ,24.75,24.75,25.55,25.05,,25.55,25.41,6200,15755000000.0,,,
1996-03-29,FINPIPE,EQ,25.55,25.55,26.0,25.25,,25.3,25.48,14900,37965000000.0,,,
