Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,GOETZEIND,EQ,110.05,110.0,110.0,108.0,,108.0,109.33,300,3280000000.0,,,
1996-01-02,GOETZEIND,EQ,108.0,106.0,109.0,106.0,,107.0,107.4,1000,10740000000.0,,,
1996-01-03,GOETZEIND,EQ,107.0,107.0,108.0,106.0,,106.0,106.77,1100,11745000000.0,,,
1996-01-04,GOETZEIND,EQ,106.0,106.0,106.0,103.25,,103.25,104.96,650,6822500000.0,,,
1996-01-05,GOETZEIND,EQ,103.25,103.25,104.0,100.0,,100.0,101.67,600,6100250000.0,,,
1996-01-08,GOETZEIND,EQ,100.0,102.0,102.0,99.0,,100.0,100.4,250,2510000000.0,,,
1996-01-09,GOETZEIND,EQ,100.0,100.0,103.5,100.0,,103.5,100.6,1000,10060000000.0,,,
1996-01-10,GOETZEIND,EQ,103.5,67.0,68.0,67.0,,68.0,67.85,1000,6785000000.0,,,
1996-01-11,GOETZEIND,EQ,68.0,69.0,71.0,68.0,,71.0,69.2,950,6574250000.0,,,
1996-01-12,GOETZEIND,EQ,71.0,71.0,71.0,68.25,,70.75,70.36,700,4925250000.0,,,
1996-01-15,GOETZEIND,EQ,70.75,69.0,69.0,69.0,,69.0,69.0,100,690000000.0,,,
1996-01-16,GOETZEIND,EQ,69.0,69.9,69.9,68.5,,68.5,69.08,300,2072500000.0,,,
1996-01-17,GOETZEIND,EQ,68.5,68.25,68.25,68.0,,68.1,68.13,600,4087500000.0,,,
1996-01-18,GOETZEIND,EQ,68.1,67.0,67.0,67.0,,67.0,67.0,100,670000000.0,,,
1996-01-19,GOETZEIND,EQ,67.0,67.3,67.3,67.0,,67.0,67.15,550,3693250000.0,,,
1996-01-22,GOETZEIND,EQ,67.0,62.05,65.0,62.05,,65.0,62.64,250,1566000000.0,,,
1996-01-23,GOETZEIND,EQ,65.0,65.0,69.85,62.5,,65.0,65.33,800,5226000000.0,,,
1996-01-24,GOETZEIND,EQ,65.0,65.0,65.0,63.0,,63.0,63.83,300,1915000000.0,,,
1996-01-25,GOETZEIND,EQ,63.0,60.0,60.0,59.95,,59.95,59.97,300,1799000000.0,,,
1996-01-29,GOETZEIND,EQ,59.95,61.0,61.0,55.05,,58.7,59.21,800,4736750000.0,,,
1996-01-30,GOETZEIND,EQ,58.7,55.05,60.5,55.0,,55.6,57.7,1250,7213000000.0,,,
1996-01-31,GOETZEIND,EQ,55.6,59.0,60.0,59.0,,60.0,59.5,200,1190000000.0,,,
1996-02-01,GOETZEIND,EQ,60.0,60.0,63.5,60.0,,63.5,61.92,350,2167250000.0,,,
1996-02-02,GOETZEIND,EQ,63.5,63.4,63.4,62.2,,62.5,62.67,300,1880000000.0,,,
1996-02-05,GOETZEIND,EQ,62.5,65.0,65.0,65.0,,65.0,65.0,100,650000000.0,,,
1996-02-06,GOETZEIND,EQ,65.0,62.0,62.0,62.0,,62.0,62.0,250,1550000000.0,,,
1996-02-07,GOETZEIND,EQ,62.0,62.0,62.0,61.95,,62.0,61.97,1200,7436000000.0,,,
1996-02-08,GOETZEIND,EQ,62.0,64.95,65.0,62.5,,63.0,63.99,350,2239500000.0,,,
1996-02-09,GOETZEIND,EQ,63.0,63.0,65.0,63.0,,65.0,63.29,350,2215000000.0,,,
1996-02-12,GOETZEIND,EQ,65.0,68.0,68.0,68.0,,68.0,68.0,50,340000000.0,,,
1996-02-13,GOETZEIND,EQ,68.0,69.0,69.0,69.0,,69.0,69.0,100,690000000.0,,,
1996-02-14,GOETZEIND,EQ,69.0,66.0,68.0,66.0,,68.0,66.67,150,1000000000.0,,,
1996-02-15,GOETZEIND,EQ,68.0,68.0,71.0,69.0,,71.0,69.98,800,5598000000.0,,,
1996-02-16,GOETZEIND,EQ,71.0,71.0,72.0,70.0,,71.35,70.79,1450,10265000000.0,,,
