Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2011-01-14,AGRE,EQ,65.75,59.2,59.2,59.2,59.2,59.2,59.2,16323,96632160000.0,,16322,0.9999
2011-01-17,AGRE,EQ,59.2,53.3,53.3,53.3,53.3,53.3,53.3,4844,25818520000.0,,4841,0.9994
2011-01-18,AGRE,EQ,53.3,48.0,53.0,48.0,48.0,48.0,49.09,780154,3829956315000.0,,353144,0.45270000000000005
2011-01-19,AGRE,EQ,48.0,45.6,47.5,45.6,46.5,45.65,45.67,312247,1425969740000.0,,245363,0.7858
2011-01-20,AGRE,EQ,45.65,43.4,47.95,43.4,47.95,47.9,47.52,151932,722021765000.0,,95465,0.6283
2011-01-21,AGRE,EQ,47.9,47.5,48.65,45.6,46.5,46.55,46.85,58134,272337104999.99997,,49308,0.8482
2011-01-24,AGRE,EQ,46.55,45.5,48.9,45.5,48.9,48.9,48.69,64652,314809975000.0,,47980,0.7421
2011-01-25,AGRE,EQ,48.9,51.35,51.35,50.9,51.35,51.35,51.24,11328,58047780000.00001,,11328,1.0
2011-01-27,AGRE,EQ,51.35,53.95,53.95,53.95,53.95,53.95,53.95,12350,66628250000.0,,12350,1.0
2011-01-28,AGRE,EQ,53.95,56.65,56.65,53.0,56.65,56.65,56.53,395110,2233512615000.0,,104089,0.2634
2011-01-31,AGRE,EQ,56.65,57.15,59.5,56.1,59.5,59.5,58.22,55720,324410775000.0,,43748,0.7851
2011-02-01,AGRE,EQ,59.5,62.5,62.5,62.5,62.5,62.5,62.5,19559,122243750000.0,,19556,0.9998
2011-02-02,AGRE,EQ,62.5,65.65,65.65,61.0,65.65,65.65,65.22,160874,1049201269999.9999,,93885,0.5836
2011-02-03,AGRE,EQ,65.65,68.95,68.95,62.4,62.4,62.4,64.29,123212,792084230000.0,,81075,0.658
2011-02-04,AGRE,EQ,62.4,59.3,62.95,59.3,59.3,59.3,59.73,127766,763085675000.0,,95354,0.7463
2011-02-07,AGRE,EQ,59.3,57.2,59.0,56.35,56.4,56.45,56.72,40471,229532095000.00003,,26980,0.6667000000000001
2011-02-08,AGRE,EQ,56.45,56.5,56.5,53.65,53.65,53.65,54.11,21559,116652770000.0,,18636,0.8644
2011-02-09,AGRE,EQ,53.65,51.6,52.5,51.0,51.0,51.0,51.08,35336,180510490000.0,,26454,0.7486
2011-02-10,AGRE,EQ,51.0,48.5,50.8,48.45,48.45,48.45,48.52,14870,72145380000.0,,11797,0.7933
2011-02-11,AGRE,EQ,48.45,46.05,50.9,46.05,50.9,50.25,47.54,38775,184324435000.0,,23754,0.6126
2011-02-14,AGRE,EQ,50.25,52.0,52.8,49.5,50.7,50.35,51.13,50853,259999079999.99997,,45451,0.8937999999999999
2011-02-15,AGRE,EQ,50.35,51.0,52.9,48.3,52.9,52.25,51.87,84710,439374884999.99994,,64782,0.7648
2011-02-16,AGRE,EQ,52.25,53.9,53.9,50.2,52.0,51.85,51.88,113530,588943690000.0,,91442,0.8054000000000001
2011-02-17,AGRE,EQ,51.85,51.8,53.0,50.1,50.1,50.85,52.43,32640,171122750000.0,,29081,0.891
2011-02-18,AGRE,EQ,50.85,50.85,51.8,49.15,49.15,49.85,50.26,12488,62759794999.99999,,10312,0.8258
2011-02-21,AGRE,EQ,49.85,49.2,50.9,48.6,49.35,48.75,49.27,3237,15949735000.0,,2419,0.7473000000000001
2011-02-22,AGRE,EQ,48.75,47.55,51.2,47.05,48.5,48.5,49.18,5301,26071745000.0,,3891,0.7340000000000001
2011-02-23,AGRE,EQ,48.5,47.55,49.7,47.05,49.0,49.0,48.86,6213,30359425000.0,,5135,0.8265000000000001
2011-02-24,AGRE,EQ,49.0,48.05,49.5,47.8,48.0,48.05,48.17,26448,127409895000.0,,25753,0.9737000000000001
2011-02-25,AGRE,EQ,48.05,46.6,49.7,46.6,47.95,47.6,47.96,4277,20512600000.0,,3867,0.9041
2011-02-28,AGRE,EQ,47.6,47.25,48.8,45.3,45.5,46.25,47.11,27717,130568475000.0,,24943,0.8998999999999999
2011-03-01,AGRE,EQ,46.25,46.0,47.25,44.25,45.95,45.35,45.64,14508,66217044999.99999,,9341,0.6439
2011-03-03,AGRE,EQ,45.35,45.25,47.3,43.25,47.0,46.95,43.31,374161,1620575035000.0,,371355,0.9925
2011-03-04,AGRE,EQ,46.95,47.8,49.3,46.2,48.4,47.9,48.74,148211,722425240000.0,,130622,0.8813
2011-03-07,AGRE,EQ,47.9,46.0,48.85,45.5,46.0,45.7,45.91,17056,78308330000.0,,8328,0.4883
