Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-05-09,FORTIS,EQ,108.0,110.0,110.0,98.05,100.0,100.15,102.92,22950815,236210159850000.0,,5322209,0.23190000000000002
2007-05-10,FORTIS,EQ,100.15,101.6,105.9,100.1,101.55,101.65,103.54,6763044,70026291050000.0,,963917,0.14250000000000002
2007-05-11,FORTIS,EQ,101.65,99.0,102.4,98.0,101.0,100.5,100.76,2991496,30142774750000.0,,490962,0.1641
2007-05-14,FORTIS,EQ,100.5,103.0,103.3,100.5,100.85,100.9,101.74,1118231,11377420825000.0,,329364,0.2945
2007-05-15,FORTIS,EQ,100.9,102.0,102.0,97.1,97.4,97.7,98.83,1479512,14621636155000.002,,642386,0.43420000000000003
2007-05-16,FORTIS,EQ,97.7,99.0,99.0,96.6,96.95,97.15,97.73,674369,6590399490000.0,,284804,0.42229999999999995
2007-05-17,FORTIS,EQ,97.15,97.75,101.2,96.65,96.65,97.2,98.62,1439051,14192288615000.0,,406503,0.28250000000000003
2007-05-18,FORTIS,EQ,97.2,97.5,97.5,94.55,94.6,95.0,95.98,706310,6779228295000.0,,402876,0.5704
2007-05-21,FORTIS,EQ,95.0,94.0,95.15,89.55,90.15,90.35,91.45,2486929,22743998400000.0,,1088871,0.4378
2007-05-22,FORTIS,EQ,90.35,90.5,95.4,90.0,92.4,92.3,93.5,2758594,25791517425000.0,,807335,0.2927
2007-05-23,FORTIS,EQ,92.3,92.9,94.45,91.0,91.4,91.3,92.7,1081075,10021854710000.0,,315744,0.2921
2007-05-24,FORTIS,EQ,91.3,91.9,93.15,90.6,91.9,91.9,91.83,1054225,9681085705000.0,,294509,0.27940000000000004
2007-05-25,FORTIS,EQ,91.9,91.1,93.0,90.5,92.0,91.85,92.24,740830,6833243090000.001,,257237,0.3472
2007-05-28,FORTIS,EQ,91.85,93.95,96.7,92.85,93.3,93.1,94.22,874379,8238815195000.0,,372271,0.4258
2007-05-29,FORTIS,EQ,93.1,92.6,93.9,92.05,92.3,92.25,92.6,426051,3945361829999.9995,,182412,0.42810000000000004
2007-05-30,FORTIS,EQ,92.25,91.2,93.4,87.7,88.0,88.45,90.48,852585,7714568720000.0,,508569,0.5965
2007-05-31,FORTIS,EQ,88.45,88.0,91.0,85.75,87.75,87.65,88.49,1036438,9171920315000.0,,474073,0.45740000000000003
2007-06-01,FORTIS,EQ,87.65,88.1,88.95,87.5,87.7,87.8,88.1,499479,4400181535000.0,,195333,0.3911
2007-06-04,FORTIS,EQ,87.8,88.25,98.45,88.0,92.8,93.0,94.19,3039862,28631360614999.996,,824702,0.2713
2007-06-05,FORTIS,EQ,93.0,93.8,93.8,91.8,92.2,92.1,92.3,620458,5727117060000.0,,265180,0.4274
2007-06-06,FORTIS,EQ,92.1,92.95,93.05,90.0,90.5,90.25,91.36,447408,4087442320000.0005,,200035,0.4471
2007-06-07,FORTIS,EQ,90.25,90.95,90.95,89.1,89.8,89.7,89.86,350570,3150171885000.0,,142086,0.4053
2007-06-08,FORTIS,EQ,89.7,86.0,89.25,86.0,88.95,88.65,88.74,268780,2385135960000.0,,140971,0.5245000000000001
2007-06-11,FORTIS,EQ,88.65,90.0,90.0,88.2,88.7,88.65,89.24,220018,1963351230000.0,,118699,0.5395000000000001
2007-06-12,FORTIS,EQ,88.65,88.65,89.9,86.55,89.8,89.1,87.95,334058,2938206505000.0,,177650,0.5318
2007-06-13,FORTIS,EQ,89.1,89.0,89.0,87.5,88.0,87.95,88.15,148456,1308646340000.0,,78641,0.5297
2007-06-14,FORTIS,EQ,87.95,89.1,89.85,88.05,88.5,88.55,88.8,243004,2157819880000.0,,81809,0.3367
2007-06-15,FORTIS,EQ,88.55,88.7,88.95,86.75,86.95,87.2,88.04,233522,2055873855000.0,,130245,0.5577000000000001
2007-06-18,FORTIS,EQ,87.2,87.55,88.2,86.05,86.05,86.45,87.08,254222,2213792790000.0,,120795,0.47520000000000007
2007-06-19,FORTIS,EQ,86.45,86.3,86.95,85.65,85.8,86.0,86.25,139526,1203452145000.0,,75996,0.5447
2007-06-20,FORTIS,EQ,86.0,86.85,86.85,85.75,86.2,85.9,86.14,196862,1695708795000.0,,112131,0.5696
2007-06-21,FORTIS,EQ,85.9,85.55,88.0,85.3,86.05,86.25,86.33,343938,2969233380000.0,,128139,0.3726
2007-06-22,FORTIS,EQ,86.25,88.0,88.0,85.4,85.55,85.55,85.79,167747,1439170005000.0,,87830,0.5236
2007-06-25,FORTIS,EQ,85.55,85.55,85.95,84.9,85.0,85.2,85.37,169507,1447001315000.0,,112275,0.6624
2007-06-26,FORTIS,EQ,85.2,85.95,86.5,84.5,84.5,84.7,85.06,129819,1104182890000.0,,70832,0.5456000000000001
2007-06-27,FORTIS,EQ,84.7,84.1,85.15,84.0,84.0,84.1,84.33,113028,953115735000.0,,68912,0.6097
2007-06-28,FORTIS,EQ,84.1,83.5,84.0,82.05,82.15,82.25,82.75,265083,2193550835000.0002,,175406,0.6617000000000001
2007-06-29,FORTIS,EQ,82.25,83.5,84.9,81.25,82.1,82.65,82.78,539825,4468453455000.0,,242646,0.4495
2007-07-02,FORTIS,EQ,82.65,83.0,83.7,82.4,82.6,82.65,83.06,224774,1867041580000.0,,127575,0.5676
2007-07-03,FORTIS,EQ,82.65,82.65,83.4,81.6,81.85,82.3,82.6,228022,1883477414999.9998,,131009,0.5745
2007-07-04,FORTIS,EQ,82.3,82.1,83.9,81.8,82.0,82.2,82.74,592256,4900336335000.0,,262855,0.44380000000000003
2007-07-05,FORTIS,EQ,82.2,83.0,83.3,81.5,81.7,81.75,82.15,272273,2236705580000.0,,149454,0.5489
2007-07-06,FORTIS,EQ,81.75,84.0,84.0,81.45,81.65,81.6,81.95,218334,1789159389999.9998,,143710,0.6581999999999999
2007-07-09,FORTIS,EQ,81.6,82.9,82.9,81.5,81.65,81.8,82.03,191660,1572230555000.0,,106762,0.557
2007-07-10,FORTIS,EQ,81.8,82.0,82.4,81.1,81.15,81.25,81.55,132643,1081769569999.9999,,80865,0.6096
2007-07-11,FORTIS,EQ,81.25,80.1,85.9,80.1,84.4,84.35,84.6,2156833,18246957345000.0,,879242,0.40770000000000006
2007-07-12,FORTIS,EQ,84.35,85.5,91.9,84.95,91.25,91.1,89.66,3237370,29027588735000.004,,1128452,0.3486
2007-07-13,FORTIS,EQ,91.1,92.0,94.0,91.5,92.3,92.1,92.65,2012458,18644526445000.0,,874357,0.43450000000000005
2007-07-16,FORTIS,EQ,92.1,92.9,93.5,88.25,92.85,92.95,91.51,1136958,10403807470000.0,,477516,0.42
2007-07-17,FORTIS,EQ,92.95,93.7,93.8,92.25,92.6,92.65,92.95,803759,7471181630000.0,,575630,0.7162000000000001
2007-07-18,FORTIS,EQ,92.65,93.0,93.0,89.35,90.0,90.0,90.89,451645,4104948025000.0,,263167,0.5827
2007-07-19,FORTIS,EQ,90.0,104.0,104.0,89.55,91.8,91.6,91.8,595387,5465794135000.0,,478441,0.8036
2007-07-20,FORTIS,EQ,91.6,92.3,92.7,88.25,88.5,88.9,90.23,353106,3186155995000.0,,238206,0.6746
2007-07-23,FORTIS,EQ,88.9,88.9,89.5,88.05,89.15,88.9,88.78,237480,2108257150000.0,,148959,0.6272
2007-07-24,FORTIS,EQ,88.9,89.15,89.45,87.1,87.5,88.05,88.48,172211,1523757680000.0,,115235,0.6692
2007-07-25,FORTIS,EQ,88.05,87.1,87.9,86.0,86.7,86.5,86.75,178287,1546611015000.0,,125047,0.7014
2007-07-26,FORTIS,EQ,86.5,87.0,98.0,86.35,94.05,94.05,94.35,2216882,20915865315000.0,,857741,0.38689999999999997
