Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2001-02-12,GAEL,EQ,10.75,9.05,9.05,9.05,9.05,9.05,9.05,125,113125000.0,,,
2001-02-13,GAEL,EQ,9.05,8.55,8.55,8.1,8.1,8.1,8.46,180,152280000.0,,,
2001-02-14,GAEL,EQ,8.1,9.0,9.0,9.0,9.0,9.0,9.0,451,405900000.0,,,
2001-02-15,GAEL,EQ,9.0,8.5,9.0,8.5,9.0,9.0,8.71,290,252500000.0,,,
2001-02-16,GAEL,EQ,9.0,8.9,8.9,7.0,7.0,7.35,7.73,553,427600000.0,,,
2001-02-19,GAEL,EQ,7.35,9.85,10.0,9.85,10.0,10.0,9.97,500,498650000.0,,,
2001-02-20,GAEL,EQ,10.0,9.25,9.35,9.0,9.0,9.05,9.06,686,621810000.0,,,
2001-02-21,GAEL,EQ,9.05,8.1,8.15,8.1,8.15,8.15,8.12,75,60875000.0,,,
2001-02-23,GAEL,EQ,8.15,8.75,8.75,8.6,8.6,8.6,8.62,150,129300000.0,,,
2001-02-26,GAEL,EQ,8.6,5.05,5.05,5.05,5.05,5.05,5.05,125,63125000.0,,,
2001-02-27,GAEL,EQ,5.05,7.5,7.5,7.5,7.5,7.5,7.5,225,168750000.0,,,
2001-03-05,GAEL,EQ,7.5,4.55,4.55,4.55,4.55,4.55,4.55,200,91000000.0,,,
2001-03-07,GAEL,EQ,4.55,5.05,6.85,5.05,6.85,6.85,5.73,4847,2779180000.0,,,
2001-03-08,GAEL,EQ,6.85,4.7,9.0,4.7,9.0,9.0,8.72,1011,881665000.0,,,
2001-03-09,GAEL,EQ,9.0,5.7,5.7,5.7,5.7,5.7,5.7,1,570000.0,,,
2001-03-12,GAEL,EQ,5.7,5.7,7.05,5.7,7.05,7.05,6.21,105,65250000.0,,,
2001-03-13,GAEL,EQ,7.05,8.85,8.85,7.0,7.0,7.0,7.81,401,313260000.0,,,
2001-03-14,GAEL,EQ,7.0,3.55,8.8,3.55,8.5,8.5,7.41,1415,1049000000.0,,,
2001-03-15,GAEL,EQ,8.5,7.05,8.5,4.35,6.4,6.4,7.29,6226,4538515000.0,,,
2001-03-16,GAEL,EQ,6.4,6.7,8.5,6.7,8.5,8.5,8.3,900,747000000.0,,,
2001-03-19,GAEL,EQ,8.5,5.7,6.2,5.7,6.2,6.2,6.0,250,150000000.0,,,
2001-03-20,GAEL,EQ,6.2,9.15,9.2,6.1,6.1,6.1,7.58,375,284375000.0,,,
2001-03-21,GAEL,EQ,6.1,5.05,5.05,5.05,5.05,5.05,5.05,100,50500000.0,,,
2001-03-22,GAEL,EQ,5.05,7.0,7.0,7.0,7.0,7.0,7.0,25,17500000.0,,,
2001-03-23,GAEL,EQ,7.0,4.0,4.0,4.0,4.0,4.0,4.0,100,40000000.0,,,
