Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2011-08-22,GAYAPROJ,EQ,140.5,152.9,152.9,131.25,151.0,148.55,144.76,8305,120224935000.00002,349,1960,0.23600000000000002
2011-08-23,GAYAPROJ,EQ,148.55,152.0,155.0,145.1,154.9,153.9,151.69,3239,49131635000.0,169,1369,0.4227
2011-08-24,GAYAPROJ,EQ,153.9,156.0,169.95,156.0,160.25,163.4,165.11,31811,525220020000.0,669,6900,0.2169
2011-08-25,GAYAPROJ,EQ,163.4,168.0,170.95,163.05,168.0,165.45,167.38,22526,377035555000.0,350,2922,0.1297
2011-08-26,GAYAPROJ,EQ,165.45,165.2,166.0,150.6,152.9,152.8,160.47,13711,220024445000.00003,110,3129,0.22820000000000001
2011-08-29,GAYAPROJ,EQ,152.8,153.0,161.1,153.0,159.0,158.3,157.52,30312,477475680000.0,156,2397,0.0791
2011-08-30,GAYAPROJ,EQ,158.3,158.0,163.9,151.05,153.95,153.55,157.52,24662,388465480000.0,152,3473,0.1408
2011-09-02,GAYAPROJ,EQ,153.55,153.0,155.0,149.55,152.75,151.5,152.06,24262,368932390000.0,89,2634,0.1086
2011-09-05,GAYAPROJ,EQ,151.5,153.25,156.85,150.5,154.0,153.5,152.63,21883,333990700000.0,248,2723,0.1244
2011-09-06,GAYAPROJ,EQ,153.5,155.0,164.9,155.0,156.5,156.85,156.25,23198,362461620000.0,227,5388,0.2323
2011-09-07,GAYAPROJ,EQ,156.85,158.25,159.0,154.0,155.0,154.95,156.57,28730,449835220000.0,140,5086,0.177
2011-09-08,GAYAPROJ,EQ,154.95,153.0,158.95,153.0,153.7,154.35,156.23,25534,398913310000.0,175,9643,0.37770000000000004
2011-09-09,GAYAPROJ,EQ,154.35,157.0,158.65,153.3,154.35,154.6,156.44,16270,254528179999.99997,101,1416,0.087
2011-09-12,GAYAPROJ,EQ,154.6,154.6,156.8,146.05,148.0,150.15,151.77,17355,263388650000.0,191,4167,0.2401
2011-09-13,GAYAPROJ,EQ,150.15,150.0,158.55,149.1,155.0,154.3,154.61,20275,313479480000.0,171,3706,0.18280000000000002
2011-09-14,GAYAPROJ,EQ,154.3,155.5,157.65,152.5,156.7,154.95,155.24,18097,280933445000.0,92,1279,0.0707
2011-09-15,GAYAPROJ,EQ,154.95,154.45,155.9,152.0,153.0,152.55,153.84,15396,236854429999.99997,72,2372,0.15410000000000001
2011-09-16,GAYAPROJ,EQ,152.55,150.0,152.0,148.95,150.0,150.05,151.02,17095,258170790000.0,146,3689,0.2158
2011-09-19,GAYAPROJ,EQ,150.05,150.05,154.75,148.0,149.0,148.85,150.28,14721,221227435000.0,89,2583,0.17550000000000002
2011-09-20,GAYAPROJ,EQ,148.85,151.0,153.95,148.1,150.0,149.9,150.05,14625,219445190000.0,109,1692,0.11570000000000001
2011-09-21,GAYAPROJ,EQ,149.9,150.0,150.0,146.4,147.0,147.9,149.31,6491,96915225000.0,58,2064,0.318
2011-09-22,GAYAPROJ,EQ,147.9,155.0,155.0,142.0,145.5,144.8,149.41,14477,216297579999.99997,106,2329,0.16090000000000002
2011-09-23,GAYAPROJ,EQ,144.8,142.0,144.0,137.5,141.0,140.2,141.02,11073,156153930000.0,132,2736,0.24710000000000001
2011-09-26,GAYAPROJ,EQ,140.2,144.8,145.95,139.4,139.4,139.9,141.14,20369,287482230000.0,109,10355,0.5084000000000001
2011-09-27,GAYAPROJ,EQ,139.9,139.5,144.95,139.5,142.9,141.9,142.3,12481,177605780000.0,58,2169,0.17379999999999998
2011-09-28,GAYAPROJ,EQ,141.9,143.5,145.45,140.0,140.0,141.15,142.25,12626,179604345000.0,114,3593,0.2846
2011-09-29,GAYAPROJ,EQ,141.15,140.05,142.8,139.1,139.3,139.5,140.62,13944,196084570000.0,63,1524,0.1093
2011-09-30,GAYAPROJ,EQ,139.5,141.8,144.9,138.35,140.9,139.4,141.11,12677,178883290000.0,77,2585,0.2039
2011-10-03,GAYAPROJ,EQ,139.4,167.3,167.3,138.5,138.55,139.25,141.55,10686,151260470000.0,48,1538,0.1439
2011-10-04,GAYAPROJ,EQ,139.25,154.0,154.0,138.0,139.0,139.1,141.44,12822,181351515000.0,88,1443,0.1125
2011-10-05,GAYAPROJ,EQ,139.1,142.0,142.8,137.35,138.0,138.3,140.07,8599,120450320000.0,53,1255,0.1459
2011-10-07,GAYAPROJ,EQ,138.3,135.0,144.8,130.0,140.0,139.3,141.7,13406,189960270000.0,60,1739,0.1297
2011-10-10,GAYAPROJ,EQ,139.3,141.5,141.95,138.0,140.0,139.3,140.68,7827,110110514999.99998,83,1808,0.231
2011-10-11,GAYAPROJ,EQ,139.3,141.4,143.5,139.5,139.7,139.8,141.02,7134,100603375000.0,94,4471,0.6267
2011-10-12,GAYAPROJ,EQ,139.8,142.0,143.75,138.0,138.5,138.35,139.99,8109,113516985000.00002,66,4407,0.5435
2011-10-13,GAYAPROJ,EQ,138.35,140.0,141.4,138.05,138.05,138.95,140.34,5869,82362645000.0,55,4894,0.8339
2011-10-14,GAYAPROJ,EQ,138.95,140.0,141.0,138.9,140.0,140.25,140.16,10587,148386165000.0,112,2734,0.2582
2011-10-17,GAYAPROJ,EQ,140.25,142.5,142.5,137.15,140.5,140.35,140.26,14519,203639780000.0,102,9818,0.6762
2011-10-18,GAYAPROJ,EQ,140.35,141.5,153.9,140.0,144.5,143.25,142.66,16309,232658154999.99997,128,7207,0.44189999999999996
2011-10-19,GAYAPROJ,EQ,143.25,145.1,148.8,142.0,147.45,146.0,145.04,10662,154636970000.0,96,1513,0.1419
2011-10-20,GAYAPROJ,EQ,146.0,147.0,148.8,143.0,148.0,147.75,145.89,15374,224291100000.0,133,5804,0.3775
2011-10-21,GAYAPROJ,EQ,147.75,147.0,148.9,145.0,145.0,145.0,146.42,15487,226756495000.00003,159,1520,0.0981
2011-10-24,GAYAPROJ,EQ,145.0,146.8,149.9,145.0,146.75,147.05,146.49,15084,220958685000.0,74,1757,0.1165
2011-10-24,GAYAPROJ,EQ,145.0,146.8,149.9,145.0,146.75,147.05,146.49,15084,220958685000.0,74,1757,0.1165
2011-10-25,GAYAPROJ,EQ,147.05,148.9,149.7,146.1,149.0,148.9,147.81,16492,243773435000.0,67,2957,0.1793
2011-10-26,GAYAPROJ,EQ,148.9,151.25,152.8,147.6,150.1,150.25,150.27,13508,202986295000.0,80,783,0.057999999999999996
2011-10-28,GAYAPROJ,EQ,150.25,153.0,153.8,147.45,147.7,148.75,150.22,16729,251300695000.00003,202,2415,0.1444
2011-10-31,GAYAPROJ,EQ,148.75,150.25,164.0,149.6,160.0,157.25,152.71,27813,424719820000.0,251,8408,0.3023
2011-11-01,GAYAPROJ,EQ,157.25,159.8,188.0,154.05,157.0,155.3,159.53,18023,287514080000.0,283,4131,0.22920000000000001
