Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-16,GENCON,EQ,54.65,55.0,60.0,55.0,56.2,56.45,57.28,10764,61652160000.0,135,6372,0.5920000000000001
2021-02-17,GENCON,EQ,56.45,57.0,57.25,53.0,56.5,55.8,56.16,53698,301560740000.0,158,42023,0.7826000000000001
2021-02-18,GENCON,EQ,55.8,56.5,64.7,54.05,58.1,57.5,58.25,16385,95435445000.0,152,8519,0.5199
2021-02-19,GENCON,EQ,57.5,57.5,58.4,56.05,56.55,56.7,57.54,4032,23201565000.0,61,2114,0.5243
2021-02-22,GENCON,EQ,56.7,56.35,57.95,50.4,54.7,53.85,54.92,12378,67980344999.99999,131,8620,0.6964
2021-02-23,GENCON,EQ,53.85,53.0,62.0,52.85,56.5,57.2,58.56,68013,398269320000.0,555,47922,0.7046
2021-02-24,GENCON,EQ,57.2,57.2,58.55,51.25,56.05,56.85,56.27,8271,46537795000.0,219,4995,0.6039
2021-02-25,GENCON,EQ,56.85,56.95,58.0,55.4,56.35,56.65,56.41,12690,71585090000.0,115,7870,0.6202000000000001
2021-02-26,GENCON,EQ,56.65,57.0,58.9,54.2,54.3,54.6,55.33,6492,35917585000.0,118,3923,0.6043000000000001
2021-03-01,GENCON,EQ,54.6,55.5,57.4,54.35,57.4,56.5,55.52,10219,56730969999.99999,84,4614,0.4515
2021-03-02,GENCON,EQ,56.5,58.0,60.9,54.5,58.8,59.15,57.46,14274,82019890000.0,116,11648,0.816
2021-03-03,GENCON,EQ,59.15,59.15,62.75,54.2,57.25,56.7,58.29,16437,95804870000.0,376,9238,0.562
2021-03-04,GENCON,EQ,56.7,59.9,68.0,59.9,61.25,62.45,65.87,196300,1293087325000.0,2254,71944,0.3665
2021-03-05,GENCON,EQ,62.45,62.0,62.95,55.45,56.6,56.8,57.72,56351,325279835000.0,930,35990,0.6386999999999999
2021-03-08,GENCON,EQ,56.8,56.85,59.15,55.5,56.5,56.4,56.79,15105,85781460000.0,181,9967,0.6598
2021-03-09,GENCON,EQ,56.4,56.45,57.5,53.3,53.9,54.3,54.69,29014,158677355000.0,260,23151,0.7979
2021-03-10,GENCON,EQ,54.3,54.5,54.7,53.7,54.25,54.25,54.37,20767,112901830000.0,98,19322,0.9304000000000001
2021-03-12,GENCON,EQ,54.25,55.55,55.6,53.1,53.1,53.55,53.98,27055,146044740000.0,182,23656,0.8744
2021-03-15,GENCON,EQ,53.55,54.2,54.4,51.55,52.5,52.65,52.82,26171,138244260000.0,157,17600,0.6725
