Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-03-02,GENUSPAPER,EQ,3.2,2.95,3.05,2.9,2.9,2.9,2.96,76518,22652290000.0,79,76516,1.0
2015-03-03,GENUSPAPER,EQ,2.9,2.9,2.9,2.65,2.75,2.75,2.67,35922,9593295000.0,81,35920,0.9999
2015-03-04,GENUSPAPER,EQ,2.75,2.5,3.0,2.5,2.85,2.9,2.83,33933,9600580000.0,83,33305,0.9815
2015-03-05,GENUSPAPER,EQ,2.9,2.8,2.95,2.8,2.95,2.9,2.83,15647,4431460000.0,35,12021,0.7683
2015-03-09,GENUSPAPER,EQ,2.9,3.0,3.0,2.8,2.8,2.8,2.81,6556,1842405000.0,18,6526,0.9954000000000001
2015-03-10,GENUSPAPER,EQ,2.8,2.9,2.9,2.7,2.7,2.7,2.76,12746,3523515000.0,34,9305,0.73
2015-03-11,GENUSPAPER,EQ,2.7,2.7,2.75,2.6,2.75,2.7,2.64,10371,2739660000.0,33,9161,0.8833
2015-03-12,GENUSPAPER,EQ,2.7,2.8,2.8,2.65,2.75,2.75,2.7,7282,1965190000.0000002,17,6070,0.8336
2015-03-13,GENUSPAPER,EQ,2.75,2.65,2.85,2.65,2.65,2.7,2.7,42478,11484505000.0,53,39368,0.9268000000000001
2015-03-16,GENUSPAPER,EQ,2.7,2.8,2.8,2.6,2.8,2.8,2.76,23606,6516030000.0,26,19606,0.8306
2015-03-17,GENUSPAPER,EQ,2.8,2.75,2.9,2.7,2.7,2.7,2.78,47455,13174950000.0,67,41325,0.8708
2015-03-18,GENUSPAPER,EQ,2.7,2.6,2.75,2.6,2.6,2.6,2.6,1742552,453087640000.00006,142,1659415,0.9523
2015-03-19,GENUSPAPER,EQ,2.6,2.55,2.7,2.5,2.6,2.6,2.62,23445,6134425000.0,40,17381,0.7414000000000001
2015-03-20,GENUSPAPER,EQ,2.6,2.7,2.7,2.5,2.55,2.55,2.55,19926,5078580000.0,18,19336,0.9704
2015-03-23,GENUSPAPER,EQ,2.55,2.45,2.5,2.45,2.45,2.45,2.46,14549,3577640000.0,33,14446,0.9929000000000001
2015-03-24,GENUSPAPER,EQ,2.45,2.45,2.5,2.45,2.45,2.45,2.48,16059,3975955000.0000005,12,16059,1.0
2015-03-25,GENUSPAPER,EQ,2.45,2.5,2.5,2.35,2.35,2.35,2.39,4001,957760000.0,9,3001,0.7501000000000001
2015-03-26,GENUSPAPER,EQ,2.35,2.35,2.35,2.25,2.25,2.25,2.26,2793,631125000.0,12,2543,0.9105
2015-03-27,GENUSPAPER,EQ,2.25,2.15,2.15,2.15,2.15,2.15,2.15,1616744,347599960000.0,72,1554502,0.9615000000000001
2015-03-30,GENUSPAPER,EQ,2.15,2.05,2.05,2.05,2.05,2.05,2.05,21942,4498110000.0,18,21942,1.0
2015-03-31,GENUSPAPER,EQ,2.05,1.95,2.05,1.95,1.95,1.95,1.96,41205,8062475000.0,35,41205,1.0
2015-04-01,GENUSPAPER,EQ,1.95,1.9,2.0,1.9,2.0,2.0,1.99,118367,23528250000.0,37,117817,0.9954000000000001
2015-04-06,GENUSPAPER,EQ,2.0,2.1,2.1,1.9,1.9,1.9,2.06,19791,4073865000.0,31,17679,0.8933
2015-04-07,GENUSPAPER,EQ,1.9,1.95,1.95,1.85,1.85,1.85,1.86,46214,8595090000.0,33,44211,0.9567
2015-04-08,GENUSPAPER,EQ,1.85,1.9,1.9,1.8,1.85,1.85,1.81,55435,10058215000.0,50,53433,0.9639
2015-04-09,GENUSPAPER,EQ,1.85,1.85,1.85,1.8,1.8,1.8,1.8,27551,4964180000.0,13,27551,1.0
2015-04-10,GENUSPAPER,EQ,1.8,1.8,1.8,1.75,1.75,1.75,1.75,215293,37681275000.0,51,214282,0.9953000000000001
2015-04-13,GENUSPAPER,EQ,1.75,1.75,1.8,1.7,1.8,1.8,1.79,142579,25583115000.0,74,139046,0.9752
2015-04-15,GENUSPAPER,EQ,1.8,1.8,1.8,1.75,1.75,1.75,1.78,119407,21288260000.0,35,119405,1.0
2015-04-16,GENUSPAPER,EQ,1.75,1.75,1.8,1.7,1.75,1.75,1.76,95859,16910040000.0,47,88358,0.9217000000000001
2015-04-17,GENUSPAPER,EQ,1.75,1.7,1.75,1.7,1.75,1.75,1.73,55303,9571605000.0,25,55301,1.0
2015-04-20,GENUSPAPER,EQ,1.75,1.75,1.75,1.7,1.75,1.75,1.75,56604,9905100000.0,19,52226,0.9227
2015-04-21,GENUSPAPER,EQ,1.75,1.8,1.8,1.7,1.7,1.7,1.72,86162,14845050000.0,26,84161,0.9768000000000001
2015-04-22,GENUSPAPER,EQ,1.7,1.65,1.65,1.65,1.65,1.65,1.65,35575,5869875000.0,25,35575,1.0
2015-04-23,GENUSPAPER,EQ,1.65,1.65,1.7,1.65,1.7,1.7,1.69,7132,1204290000.0,22,7132,1.0
2015-04-24,GENUSPAPER,EQ,1.7,1.75,1.75,1.65,1.75,1.7,1.73,31410,5433990000.0,42,25215,0.8028000000000001
2015-04-27,GENUSPAPER,EQ,1.7,1.75,1.75,1.65,1.7,1.7,1.71,34050,5807250000.0,22,34050,1.0
2015-04-28,GENUSPAPER,EQ,1.7,1.65,1.75,1.65,1.65,1.65,1.71,11875,2026500000.0,19,11375,0.9579000000000001
2015-04-29,GENUSPAPER,EQ,1.65,1.7,1.7,1.7,1.7,1.7,1.7,49102,8347339999.999999,41,47102,0.9593
2015-04-30,GENUSPAPER,EQ,1.7,1.75,1.75,1.7,1.7,1.7,1.74,11606,2023025000.0,9,11606,1.0
2015-05-04,GENUSPAPER,EQ,1.7,1.7,1.85,1.7,1.85,1.85,1.81,43401,7856185000.000001,28,41400,0.9539
2015-05-05,GENUSPAPER,EQ,1.85,1.75,2.0,1.75,1.9,2.0,1.92,55824,10724065000.0,36,55824,1.0
2015-05-06,GENUSPAPER,EQ,2.0,2.1,2.2,1.85,2.0,2.0,1.99,63850,12683300000.0,56,58070,0.9095000000000001
2015-05-07,GENUSPAPER,EQ,2.0,2.0,2.0,1.9,2.0,2.0,1.96,41346,8112060000.000001,44,40345,0.9758
2015-05-08,GENUSPAPER,EQ,2.0,2.0,2.0,1.95,2.0,2.0,1.98,46296,9179950000.0,35,46294,1.0
2015-05-11,GENUSPAPER,EQ,2.0,1.95,2.0,1.9,2.0,2.0,1.99,17250,3440125000.0,15,16900,0.9797
2015-05-12,GENUSPAPER,EQ,2.0,1.95,2.05,1.95,2.05,2.05,1.99,50489,10070600000.0,38,50487,1.0
2015-05-13,GENUSPAPER,EQ,2.05,2.0,2.0,1.95,1.95,1.95,2.0,6063,1212510000.0,7,6063,1.0
2015-05-14,GENUSPAPER,EQ,1.95,2.05,2.1,1.95,1.95,2.0,2.02,47653,9618250000.0,34,42442,0.8906000000000001
2015-05-15,GENUSPAPER,EQ,2.0,1.95,2.0,1.95,1.95,1.95,2.0,6942,1385035000.0,7,6942,1.0
2015-05-18,GENUSPAPER,EQ,1.95,2.1,2.1,1.9,2.0,2.0,2.01,12040,2417200000.0,19,10040,0.8339
2015-05-19,GENUSPAPER,EQ,2.0,1.95,2.1,1.9,2.0,2.0,1.93,8733,1688659999.9999998,17,8232,0.9426000000000001
2015-05-20,GENUSPAPER,EQ,2.0,2.0,2.2,2.0,2.2,2.2,2.16,39439,8529785000.000001,51,36427,0.9236
2015-05-21,GENUSPAPER,EQ,2.2,2.05,2.4,2.0,2.1,2.0,2.06,149358,30790595000.0,100,134605,0.9012000000000001
2015-05-22,GENUSPAPER,EQ,2.0,2.0,2.15,1.95,2.0,2.0,2.01,7266,1461105000.0,17,6665,0.9173
2015-05-25,GENUSPAPER,EQ,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10000,2000000000.0,13,10000,1.0
2015-05-26,GENUSPAPER,EQ,2.0,2.0,2.15,2.0,2.1,2.1,2.05,7051,1444970000.0,39,6100,0.8651000000000001
2015-05-27,GENUSPAPER,EQ,2.1,2.2,2.2,1.9,1.9,1.9,1.94,43895,8537075000.0,35,40894,0.9316
2015-05-28,GENUSPAPER,EQ,1.9,1.9,2.0,1.85,1.9,1.9,1.89,66475,12577045000.0,64,66075,0.9940000000000001
2015-05-29,GENUSPAPER,EQ,1.9,1.95,2.05,1.95,2.0,2.0,2.0,6812,1363195000.0,9,4159,0.6104999999999999
2015-06-01,GENUSPAPER,EQ,2.0,1.85,1.9,1.85,1.9,1.9,1.9,1356,257635000.0,6,1356,1.0
2015-06-02,GENUSPAPER,EQ,1.9,2.0,2.0,1.9,1.9,1.9,1.95,6208,1212015000.0,13,4207,0.6777
2015-06-03,GENUSPAPER,EQ,1.9,1.85,1.85,1.75,1.75,1.75,1.78,65376,11617940000.0,70,65374,1.0
2015-06-04,GENUSPAPER,EQ,1.75,1.8,1.8,1.8,1.8,1.8,1.8,100,18000000.0,1,100,1.0
2015-06-05,GENUSPAPER,EQ,1.8,1.8,2.15,1.7,2.1,2.05,1.99,20546,4085890000.0,46,17546,0.8540000000000001
2015-06-08,GENUSPAPER,EQ,2.05,1.8,2.1,1.8,2.1,2.1,2.08,5436,1128350000.0,15,5435,0.9998
2015-06-09,GENUSPAPER,EQ,2.1,1.9,2.1,1.85,1.85,1.9,1.92,64303,12331830000.0,91,60517,0.9411
2015-06-10,GENUSPAPER,EQ,1.9,1.7,2.0,1.7,1.85,1.85,1.97,20538,4039600000.0,20,19688,0.9586
2015-06-11,GENUSPAPER,EQ,1.85,2.0,2.0,1.8,1.8,1.85,1.87,10329,1929380000.0,32,10316,0.9987
2015-06-12,GENUSPAPER,EQ,1.85,1.9,2.2,1.85,2.1,2.0,2.04,96590,19669480000.0,117,50706,0.525
2015-06-15,GENUSPAPER,EQ,2.0,2.0,2.05,1.9,1.9,1.9,2.0,1493,298675000.0,19,1468,0.9833
2015-06-16,GENUSPAPER,EQ,1.9,1.95,2.1,1.65,1.95,1.95,1.94,18002,3496165000.0,39,16308,0.9059
2015-06-17,GENUSPAPER,EQ,1.95,1.95,2.05,1.7,1.95,1.95,1.88,22421,4209090000.0,27,17419,0.7769
2015-06-18,GENUSPAPER,EQ,1.95,1.9,2.2,1.85,1.9,1.9,1.92,10662,2050025000.0,15,10127,0.9498000000000001
2015-06-19,GENUSPAPER,EQ,1.9,1.85,2.2,1.8,2.15,2.15,2.09,35914,7501645000.0,42,20712,0.5767
2015-06-22,GENUSPAPER,EQ,2.15,2.45,2.45,2.15,2.35,2.35,2.35,20869,4895470000.0,44,19412,0.9302
2015-06-23,GENUSPAPER,EQ,2.35,2.35,2.6,2.3,2.5,2.5,2.39,7032,1682955000.0,25,5731,0.8150000000000001
2015-06-24,GENUSPAPER,EQ,2.5,2.4,2.45,2.15,2.3,2.35,2.38,25847,6150895000.0,20,24846,0.9612999999999999
2015-06-25,GENUSPAPER,EQ,2.35,2.2,2.5,2.2,2.45,2.45,2.28,12650,2880200000.0,36,11845,0.9364
2015-06-26,GENUSPAPER,EQ,2.45,2.45,2.55,2.3,2.35,2.35,2.47,5488,1354925000.0,13,5468,0.9964000000000001
2015-06-29,GENUSPAPER,EQ,2.35,2.5,2.8,2.35,2.75,2.7,2.62,48358,12672220000.0,85,38952,0.8055
2015-06-30,GENUSPAPER,EQ,2.7,2.75,3.2,2.75,3.2,3.2,3.11,282946,87952280000.0,168,197336,0.6973999999999999
2015-07-01,GENUSPAPER,EQ,3.2,3.45,3.5,3.45,3.5,3.5,3.49,45315,15830200000.0,30,31507,0.6953
2015-07-02,GENUSPAPER,EQ,3.5,3.85,3.85,3.7,3.75,3.75,3.82,402405,153806835000.0,344,328249,0.8157
2015-07-03,GENUSPAPER,EQ,3.75,3.9,4.0,3.4,3.95,3.85,3.78,254246,96199880000.0,305,181536,0.7140000000000001
2015-07-06,GENUSPAPER,EQ,3.85,3.9,4.0,3.65,4.0,4.0,3.88,81701,31663334999.999996,148,67120,0.8215000000000001
2015-07-07,GENUSPAPER,EQ,4.0,4.1,4.4,3.9,4.4,4.4,4.34,253732,110028589999.99998,253,217544,0.8573999999999999
2015-07-08,GENUSPAPER,EQ,4.4,4.5,4.6,4.35,4.6,4.6,4.58,248935,113888000000.0,234,222871,0.8953
2015-07-09,GENUSPAPER,EQ,4.6,4.8,4.8,4.75,4.8,4.8,4.8,82896,39785580000.0,45,82046,0.9897
2015-07-10,GENUSPAPER,EQ,4.8,5.0,5.0,5.0,5.0,5.0,5.0,181888,90944000000.0,91,106884,0.5876
2015-07-13,GENUSPAPER,EQ,5.0,5.25,5.25,5.0,5.25,5.25,5.22,137568,71855370000.0,113,126991,0.9231
2015-07-14,GENUSPAPER,EQ,5.25,5.5,5.5,5.5,5.5,5.5,5.5,73284,40306200000.0,68,58276,0.7952
2015-07-15,GENUSPAPER,EQ,5.5,5.75,5.75,5.75,5.75,5.75,5.75,115305,66300375000.0,43,100299,0.8699
2015-07-16,GENUSPAPER,EQ,5.75,6.0,6.0,5.5,5.5,5.5,5.85,723383,423129950000.0,454,563461,0.7789
2015-07-17,GENUSPAPER,EQ,5.5,5.25,5.25,5.25,5.25,5.25,5.25,17545,9211125000.0,23,17544,0.9999
