Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-04-20,ABBALPO,EQ,76.0,57.0,57.0,57.0,57.0,57.0,57.0,15,85500000.0,,,
2000-04-24,ABBALPO,EQ,57.0,55.0,55.0,55.0,55.0,55.0,55.0,100,550000000.0,,,
2000-04-26,ABBALPO,EQ,55.0,52.05,52.05,52.0,52.0,52.0,52.0,1790,9308250000.0,,,
2000-04-27,ABBALPO,EQ,52.0,51.25,51.3,51.2,51.25,51.25,51.26,500,2563000000.0,,,
2000-04-28,ABBALPO,EQ,51.25,50.0,50.0,50.0,50.0,50.0,50.0,10,50000000.0,,,
2000-05-03,ABBALPO,EQ,50.0,53.1,53.1,53.1,53.1,53.1,53.1,67,355770000.0,,,
2000-05-04,ABBALPO,EQ,53.1,48.9,53.0,48.9,48.9,48.9,49.01,1104,5410600000.0,,,
2000-05-05,ABBALPO,EQ,48.9,47.0,50.0,45.15,45.15,45.15,47.73,456,2176500000.0,,,
2000-05-08,ABBALPO,EQ,45.15,42.55,44.75,42.0,42.0,42.0,42.52,652,2772500000.0,,,
2000-05-09,ABBALPO,EQ,42.0,39.3,42.0,39.25,42.0,42.0,40.72,215,875525000.0,,,
2000-05-10,ABBALPO,EQ,42.0,39.0,40.0,39.0,40.0,40.0,39.2,25,98000000.0,,,
2000-05-11,ABBALPO,EQ,40.0,39.1,40.1,39.0,39.0,39.0,39.51,643,2540750000.0,,,
2000-05-12,ABBALPO,EQ,39.0,39.5,39.5,39.0,39.0,39.0,39.2,593,2324850000.0,,,
2000-05-15,ABBALPO,EQ,39.0,37.0,39.0,37.0,39.0,38.75,38.68,182,704000000.0,,,
2000-05-16,ABBALPO,EQ,38.75,39.0,39.0,38.95,39.0,38.95,38.99,381,1485400000.0,,,
2000-05-17,ABBALPO,EQ,38.95,38.25,38.25,36.0,36.0,36.0,36.6,284,1039400000.0,,,
