Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,GUJFLUORO,EQ,68.35,68.0,68.0,67.0,,67.0,67.33,300,2020000000.0,,,
1996-01-02,GUJFLUORO,EQ,67.0,67.0,67.0,65.05,,65.05,65.95,4200,27701000000.0,,,
1996-01-03,GUJFLUORO,EQ,65.05,63.05,64.0,62.05,,62.05,63.06,1800,11351000000.0,,,
1996-01-04,GUJFLUORO,EQ,62.05,62.05,62.0,60.2,,61.95,61.27,2100,12867500000.0,,,
1996-01-05,GUJFLUORO,EQ,61.95,60.0,61.75,60.0,,61.75,61.45,1200,7373500000.0,,,
1996-01-08,GUJFLUORO,EQ,61.75,61.75,61.0,60.0,,60.0,60.25,400,2410000000.0,,,
1996-01-09,GUJFLUORO,EQ,60.0,60.1,60.1,57.0,,57.5,58.59,2000,11717500000.0,,,
1996-01-10,GUJFLUORO,EQ,57.5,61.0,61.0,57.6,,57.6,59.43,1100,6537000000.0,,,
1996-01-11,GUJFLUORO,EQ,57.6,59.5,59.5,59.5,,59.5,59.5,100,595000000.0,,,
1996-01-12,GUJFLUORO,EQ,59.5,59.5,58.05,58.05,,58.05,58.05,100,580500000.0,,,
1996-01-15,GUJFLUORO,EQ,58.05,59.5,60.0,59.5,,60.0,59.67,300,1790000000.0,,,
1996-01-16,GUJFLUORO,EQ,60.0,59.6,60.0,58.0,,58.05,59.36,1900,11279000000.0,,,
1996-01-17,GUJFLUORO,EQ,58.05,58.0,58.0,58.0,,58.0,58.0,100,580000000.0,,,
1996-01-18,GUJFLUORO,EQ,58.0,56.25,58.0,56.25,,58.0,57.34,400,2293500000.0,,,
1996-01-19,GUJFLUORO,EQ,58.0,56.05,56.05,52.2,,55.0,54.09,1500,8114000000.0,,,
1996-01-22,GUJFLUORO,EQ,55.0,55.0,56.0,54.25,,54.3,54.78,2100,11503000000.0,,,
1996-01-23,GUJFLUORO,EQ,54.3,54.25,56.0,54.0,,54.0,55.27,1900,10502000000.0,,,
1996-01-24,GUJFLUORO,EQ,54.0,54.0,50.1,50.1,,50.1,50.1,100,501000000.0,,,
1996-01-25,GUJFLUORO,EQ,50.1,50.1,54.0,50.75,,53.7,52.43,1200,6291500000.0,,,
1996-01-29,GUJFLUORO,EQ,53.7,53.7,53.5,53.0,,53.5,53.42,600,3205000000.0,,,
1996-01-30,GUJFLUORO,EQ,53.5,53.5,57.75,53.75,,53.75,56.95,500,2847500000.0,,,
1996-01-31,GUJFLUORO,EQ,53.75,57.0,57.0,56.0,,56.0,56.71,700,3970000000.0,,,
1996-02-01,GUJFLUORO,EQ,56.0,56.0,58.25,56.1,,56.15,57.08,700,3995500000.0,,,
1996-02-02,GUJFLUORO,EQ,56.15,60.0,60.0,59.0,,59.0,59.19,1600,9470000000.0,,,
1996-02-05,GUJFLUORO,EQ,59.0,61.1,65.0,60.1,,65.0,62.1,5200,32292000000.0,,,
1996-02-06,GUJFLUORO,EQ,65.0,65.0,67.75,65.0,,66.5,66.66,3900,25995500000.0,,,
1996-02-07,GUJFLUORO,EQ,66.5,66.5,65.0,63.0,,65.0,64.63,1500,9695000000.0,,,
1996-02-08,GUJFLUORO,EQ,65.0,65.0,70.0,65.0,,68.5,67.11,500,3355500000.0,,,
1996-02-09,GUJFLUORO,EQ,68.5,67.0,72.0,67.0,,70.0,69.88,2600,18169000000.0,,,
1996-02-12,GUJFLUORO,EQ,70.0,72.0,75.0,70.0,,74.0,73.65,2600,19149000000.0,,,
1996-02-13,GUJFLUORO,EQ,74.0,74.0,73.75,71.0,,71.6,72.57,1300,9434500000.0,,,
1996-02-14,GUJFLUORO,EQ,71.6,71.6,79.0,76.0,,77.6,78.01,1600,12482000000.0,,,
1996-02-15,GUJFLUORO,EQ,77.6,77.6,81.0,78.75,,80.65,80.22,2600,20856500000.0,,,
1996-02-16,GUJFLUORO,EQ,80.65,78.5,79.0,77.25,,77.75,77.86,2000,15572000000.0,,,
1996-02-19,GUJFLUORO,EQ,77.75,78.0,79.0,77.5,,78.0,77.95,2000,15590000000.0,,,
1996-02-20,GUJFLUORO,EQ,78.0,77.0,78.8,77.0,,77.15,77.47,3500,27115000000.0,,,
1996-02-22,GUJFLUORO,EQ,77.15,77.15,78.8,76.65,,77.0,78.01,500,3900500000.0,,,
1996-02-23,GUJFLUORO,EQ,77.0,77.0,77.0,76.0,,76.45,76.28,1200,9153500000.0,,,
1996-02-26,GUJFLUORO,EQ,76.45,76.5,77.0,76.0,,76.75,76.69,2000,15337000000.0,,,
1996-02-27,GUJFLUORO,EQ,76.75,76.75,79.0,77.05,,78.6,77.72,1700,13212000000.0,,,
1996-02-28,GUJFLUORO,EQ,78.6,79.5,81.0,79.0,,79.5,79.88,3200,25560000000.0,,,
1996-02-29,GUJFLUORO,EQ,79.5,76.0,77.0,75.0,,75.0,75.64,2800,21179000000.0,,,
1996-03-01,GUJFLUORO,EQ,75.0,68.0,74.0,68.0,,70.5,71.08,1000,7108000000.0,,,
1996-03-04,GUJFLUORO,EQ,70.5,73.5,75.0,70.0,,72.5,72.64,4700,34140500000.0,,,
1996-03-06,GUJFLUORO,EQ,72.5,72.5,74.0,70.5,,72.0,71.48,2300,16440000000.0,,,
1996-03-07,GUJFLUORO,EQ,72.0,72.0,72.85,71.25,,71.25,72.13,1600,11541000000.0,,,
1996-03-08,GUJFLUORO,EQ,71.25,71.25,70.0,67.0,,69.5,69.31,900,6237500000.0,,,
1996-03-11,GUJFLUORO,EQ,69.5,67.05,69.0,67.0,,67.0,67.61,1000,6761000000.0,,,
1996-03-12,GUJFLUORO,EQ,67.0,67.0,67.2,65.0,,65.2,66.3,1500,9945500000.0,,,
1996-03-13,GUJFLUORO,EQ,65.2,65.0,65.5,65.0,,65.5,65.25,200,1305000000.0,,,
