Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,INDSHAVING,EQ,198.95,198.95,205.0,200.0,,204.95,203.07,800,16245500000.0,,,
1996-01-02,INDSHAVING,EQ,204.95,204.95,205.0,202.0,,205.0,204.69,3300,67546500000.0,,,
1996-01-03,INDSHAVING,EQ,205.0,202.25,202.25,202.25,,202.25,202.25,200,4045000000.0,,,
1996-01-04,INDSHAVING,EQ,202.25,202.25,202.0,198.25,,198.65,200.3,400,8012000000.0,,,
1996-01-05,INDSHAVING,EQ,198.65,195.0,195.0,195.0,,195.0,195.0,100,1950000000.0,,,
1996-01-08,INDSHAVING,EQ,195.0,197.0,197.0,194.05,,196.0,195.81,500,9790500000.0,,,
1996-01-09,INDSHAVING,EQ,196.0,196.0,196.0,194.0,,196.0,194.86,700,13640000000.0,,,
1996-01-10,INDSHAVING,EQ,196.0,194.0,195.0,194.0,,195.0,194.49,400,7779500000.0,,,
1996-01-11,INDSHAVING,EQ,195.0,194.5,198.0,194.0,,198.0,195.5,500,9775000000.0,,,
1996-01-12,INDSHAVING,EQ,198.0,198.0,198.0,196.05,,198.0,197.03,200,3940500000.0,,,
1996-01-15,INDSHAVING,EQ,198.0,200.95,200.95,200.95,,200.95,200.95,100,2009500000.0,,,
1996-01-16,INDSHAVING,EQ,200.95,198.0,198.0,190.0,,195.0,193.11,700,13517500000.0,,,
1996-01-17,INDSHAVING,EQ,195.0,195.0,199.0,197.0,,198.5,198.0,600,11880000000.0,,,
1996-01-18,INDSHAVING,EQ,198.5,198.0,198.0,195.25,,195.25,196.04,600,11762500000.0,,,
1996-01-22,INDSHAVING,EQ,195.25,190.0,197.75,190.0,,194.65,194.25,400,7770000000.0,,,
1996-01-23,INDSHAVING,EQ,194.65,194.5,194.5,188.05,,188.05,191.36,1300,24877000000.0,,,
1996-01-24,INDSHAVING,EQ,188.05,188.05,190.0,187.0,,188.0,188.0,400,7520000000.0,,,
1996-01-25,INDSHAVING,EQ,188.0,187.0,187.0,186.0,,186.0,186.67,300,5600000000.0,,,
1996-01-29,INDSHAVING,EQ,186.0,185.0,185.0,185.0,,185.0,185.0,400,7400000000.0,,,
1996-01-30,INDSHAVING,EQ,185.0,175.0,186.0,175.0,,185.0,182.81,400,7312500000.0,,,
1996-02-01,INDSHAVING,EQ,185.0,189.0,189.0,186.0,,186.0,188.0,300,5640000000.0,,,
1996-02-02,INDSHAVING,EQ,186.0,188.0,190.0,186.1,,188.05,188.03,300,5641000000.0,,,
1996-02-05,INDSHAVING,EQ,188.05,195.0,199.0,192.05,,195.0,195.51,600,11730500000.0,,,
1996-02-06,INDSHAVING,EQ,195.0,195.0,196.0,190.0,,190.0,193.67,300,5810000000.0,,,
1996-02-07,INDSHAVING,EQ,190.0,190.0,188.0,186.0,,188.0,186.67,300,5600000000.0,,,
1996-02-08,INDSHAVING,EQ,188.0,188.0,191.0,191.0,,191.0,191.0,100,1910000000.0,,,
1996-02-09,INDSHAVING,EQ,191.0,190.0,195.0,190.0,,195.0,191.1,1000,19109500000.0,,,
1996-02-12,INDSHAVING,EQ,195.0,195.0,200.0,200.0,,200.0,200.0,300,6000000000.0,,,
1996-02-13,INDSHAVING,EQ,200.0,204.0,204.0,200.0,,200.0,201.0,900,18090000000.0,,,
