Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,GIPCL,EQ,50.95,51.0,51.0,49.6,,49.6,50.45,800,4036000000.0,,,
1996-01-02,GIPCL,EQ,49.6,49.75,49.8,48.5,,49.75,49.17,1500,7375000000.0,,,
1996-01-03,GIPCL,EQ,49.75,49.25,49.25,47.6,,47.6,48.47,1500,7271000000.0,,,
1996-01-04,GIPCL,EQ,47.6,47.6,49.0,47.5,,49.0,48.54,2300,11165000000.0,,,
1996-01-05,GIPCL,EQ,49.0,48.0,48.0,47.5,,47.55,47.69,900,4292500000.0,,,
1996-01-08,GIPCL,EQ,47.55,47.55,48.5,47.0,,47.1,47.22,1300,6139000000.0,,,
1996-01-09,GIPCL,EQ,47.1,46.5,46.95,42.5,,44.0,45.3,4000,18121500000.0,,,
1996-01-10,GIPCL,EQ,44.0,44.85,47.0,44.85,,45.5,45.63,1400,6388500000.0,,,
1996-01-11,GIPCL,EQ,45.5,45.5,45.0,44.3,,44.5,44.63,3800,16958500000.0,,,
1996-01-12,GIPCL,EQ,44.5,44.0,45.5,44.0,,45.0,44.84,700,3138500000.0,,,
1996-01-15,GIPCL,EQ,45.0,46.0,46.0,44.0,,44.9,44.91,400,1796500000.0,,,
1996-01-16,GIPCL,EQ,44.9,45.0,45.5,44.0,,44.0,44.6,2700,12042500000.0,,,
1996-01-17,GIPCL,EQ,44.0,45.95,45.95,41.0,,43.0,43.76,1300,5689000000.0,,,
1996-01-18,GIPCL,EQ,43.0,43.0,42.0,38.8,,39.0,39.47,3500,13815500000.0,,,
1996-01-19,GIPCL,EQ,39.0,39.0,39.0,38.0,,38.0,38.25,4700,17978500000.0,,,
1996-01-22,GIPCL,EQ,38.0,37.5,37.5,36.0,,36.25,36.78,1500,5517500000.0,,,
1996-01-23,GIPCL,EQ,36.25,36.25,37.5,35.3,,35.6,36.32,6300,22884500000.0,,,
1996-01-24,GIPCL,EQ,35.6,35.6,36.0,34.65,,34.8,34.97,3000,10491500000.0,,,
1996-01-25,GIPCL,EQ,34.8,35.0,35.25,34.8,,35.05,35.02,1600,5602500000.0,,,
1996-01-29,GIPCL,EQ,35.05,36.25,36.6,34.7,,35.0,35.4,4100,14515000000.0,,,
1996-01-30,GIPCL,EQ,35.0,35.0,38.5,35.2,,35.3,35.82,4900,17550000000.0,,,
1996-01-31,GIPCL,EQ,35.3,35.3,38.7,37.05,,38.7,38.3,1900,7276500000.0,,,
1996-02-01,GIPCL,EQ,38.7,38.7,42.0,38.6,,40.35,39.97,2500,9993500000.0,,,
1996-02-02,GIPCL,EQ,40.35,40.35,43.9,41.95,,43.75,43.18,4200,18134000000.0,,,
1996-02-05,GIPCL,EQ,43.75,43.75,45.5,44.0,,44.5,44.76,3500,15666500000.0,,,
1996-02-06,GIPCL,EQ,44.5,44.5,46.5,43.1,,45.15,45.37,3700,16787500000.0,,,
1996-02-07,GIPCL,EQ,45.15,45.15,44.0,41.0,,43.0,42.94,1800,7729500000.0,,,
1996-02-08,GIPCL,EQ,43.0,43.0,46.0,44.25,,45.4,44.85,4600,20629000000.0,,,
1996-02-09,GIPCL,EQ,45.4,45.4,49.95,46.0,,49.95,47.99,2700,12956000000.0,,,
1996-02-12,GIPCL,EQ,49.95,49.95,52.5,49.0,,51.05,50.94,4700,23942500000.0,,,
1996-02-13,GIPCL,EQ,51.05,51.05,51.0,47.0,,48.65,49.72,7200,35800500000.0,,,
1996-02-14,GIPCL,EQ,48.65,48.65,53.55,51.5,,53.0,53.0,4500,23850000000.0,,,
1996-02-15,GIPCL,EQ,53.0,53.0,57.0,53.0,,55.95,55.52,14100,78285500000.0,,,
1996-02-16,GIPCL,EQ,55.95,55.95,54.5,51.5,,51.95,52.87,8100,42824000000.0,,,
1996-02-19,GIPCL,EQ,51.95,51.95,54.95,51.95,,53.75,53.46,6700,35816500000.0,,,
1996-02-20,GIPCL,EQ,53.75,53.75,54.0,52.5,,52.8,53.13,5300,28160500000.0,,,
1996-02-22,GIPCL,EQ,52.8,52.8,54.0,52.75,,53.0,53.17,4200,22331000000.0,,,
1996-02-23,GIPCL,EQ,53.0,53.0,53.5,50.5,,51.4,51.93,4000,20772500000.0,,,
1996-02-26,GIPCL,EQ,51.4,51.4,52.5,51.55,,52.0,51.99,2300,11957500000.0,,,
1996-02-27,GIPCL,EQ,52.0,52.0,51.0,49.0,,49.0,49.85,3700,18445500000.0,,,
1996-02-28,GIPCL,EQ,49.0,49.0,51.5,47.1,,49.15,50.36,3200,16116000000.0,,,
1996-02-29,GIPCL,EQ,49.15,49.15,48.95,45.0,,48.0,47.55,2600,12363000000.0,,,
1996-03-01,GIPCL,EQ,48.0,46.5,47.75,45.5,,45.8,46.43,2300,10678000000.0,,,
1996-03-04,GIPCL,EQ,45.8,45.8,46.4,45.2,,45.9,45.72,3300,15088500000.0,,,
1996-03-06,GIPCL,EQ,45.9,45.9,47.4,46.0,,46.25,46.48,3500,16267500000.0,,,
1996-03-07,GIPCL,EQ,46.25,45.0,47.25,45.0,,46.75,46.02,2500,11505000000.0,,,
1996-03-08,GIPCL,EQ,46.75,46.75,46.75,45.55,,45.8,46.16,2900,13385500000.0,,,
1996-03-11,GIPCL,EQ,45.8,45.5,45.5,41.6,,42.0,43.59,2000,8717000000.0,,,
1996-03-12,GIPCL,EQ,42.0,42.0,44.0,42.5,,42.55,43.11,3600,15518000000.0,,,
