Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-05,GODREJPROP,EQ,490.0,511.0,586.8,502.15,536.05,537.25,551.56,8707481,480272539010000.06,,1386577,0.1592
2010-01-06,GODREJPROP,EQ,537.25,537.0,546.6,524.55,525.5,527.2,535.0,1170320,62612549040000.0,,181303,0.1549
2010-01-07,GODREJPROP,EQ,527.2,529.0,543.9,526.0,535.6,536.9,537.02,823422,44219460575000.0,,224930,0.2732
2010-01-08,GODREJPROP,EQ,536.9,533.0,538.25,517.15,518.0,520.3,528.41,235521,12445058380000.0,,74092,0.3146
2010-01-11,GODREJPROP,EQ,520.3,526.85,529.45,510.0,520.9,520.3,522.11,270664,14131686344999.998,,79985,0.29550000000000004
2010-01-12,GODREJPROP,EQ,520.3,520.5,524.45,509.2,511.0,511.05,516.51,177605,9173510630000.0,,89008,0.5012
2010-01-13,GODREJPROP,EQ,511.05,511.05,524.45,502.5,517.0,517.65,516.16,214107,11051312890000.0,,64665,0.302
2010-01-14,GODREJPROP,EQ,517.65,522.0,523.7,510.0,512.0,513.7,517.22,71557,3701103110000.0,,27729,0.3875
2010-01-15,GODREJPROP,EQ,513.7,512.0,517.0,509.7,510.4,510.2,512.12,75754,3879521745000.0005,,30559,0.40340000000000004
2010-01-18,GODREJPROP,EQ,510.2,510.2,515.8,506.0,509.0,510.3,511.17,54124,2766674025000.0,,29373,0.5427000000000001
2010-01-19,GODREJPROP,EQ,510.3,505.0,528.4,505.0,513.25,512.45,517.7,120417,6233978035000.0,,41045,0.34090000000000004
2010-01-20,GODREJPROP,EQ,512.45,514.45,522.0,510.0,512.0,511.95,513.34,74275,3812843340000.0,,49725,0.6695000000000001
2010-01-21,GODREJPROP,EQ,511.95,510.0,514.95,499.5,502.0,500.9,506.01,86478,4375847925000.0,,61770,0.7143
2010-01-22,GODREJPROP,EQ,500.9,490.0,521.95,490.0,494.0,493.95,498.67,119658,5967004165000.0,,33462,0.2796
2010-01-25,GODREJPROP,EQ,493.95,495.0,505.0,488.0,490.0,489.5,491.01,130522,6408794120000.0,,104541,0.8009000000000001
2010-01-27,GODREJPROP,EQ,489.5,487.35,498.0,450.35,474.8,480.95,485.07,66130,3207779965000.0,,42042,0.6357
2010-01-28,GODREJPROP,EQ,480.95,485.0,492.0,481.95,484.05,484.4,485.53,68171,3309903055000.0,,42789,0.6277
2010-01-29,GODREJPROP,EQ,484.4,484.4,484.4,461.4,479.5,475.95,472.87,31178,1474328185000.0,,11225,0.36
2010-02-01,GODREJPROP,EQ,475.95,478.0,489.0,475.95,487.0,485.45,484.39,28266,1369180635000.0,,16276,0.5758
2010-02-02,GODREJPROP,EQ,485.45,490.0,495.0,480.0,480.0,480.1,485.51,17124,831380635000.0,,8223,0.4802
