Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-03-06,MITTALLAMI,EQ,0.0,90.0,89.0,86.0,,88.75,87.59,10600,92841000000.0,,,
1996-03-07,MITTALLAMI,EQ,88.75,88.0,88.0,80.0,,80.0,84.31,19800,166924000000.0,,,
1996-03-08,MITTALLAMI,EQ,80.0,80.0,82.5,76.0,,79.75,78.63,35000,275208000000.0,,,
1996-03-11,MITTALLAMI,EQ,79.75,79.75,78.95,76.0,,78.0,77.04,26100,201064000000.0,,,
1996-03-12,MITTALLAMI,EQ,78.0,78.0,76.75,72.1,,73.1,74.38,19900,148014000000.0,,,
1996-03-13,MITTALLAMI,EQ,73.1,73.1,74.0,70.05,,73.5,72.73,4100,29820500000.0,,,
1996-03-14,MITTALLAMI,EQ,73.5,73.5,74.0,73.0,,74.0,73.21,3300,24160500000.0,,,
1996-03-15,MITTALLAMI,EQ,74.0,74.0,73.5,72.0,,73.5,73.2,2200,16105000000.0,,,
1996-03-18,MITTALLAMI,EQ,73.5,73.5,75.0,73.0,,74.4,74.08,13700,101484000000.0,,,
1996-03-19,MITTALLAMI,EQ,74.4,74.4,82.2,73.5,,81.75,79.51,24600,195603000000.0,,,
1996-03-21,MITTALLAMI,EQ,81.75,81.75,88.0,83.0,,83.5,85.59,13100,112128000000.0,,,
1996-03-22,MITTALLAMI,EQ,83.5,83.5,84.05,78.55,,80.0,81.7,7400,60458500000.0,,,
1996-03-25,MITTALLAMI,EQ,80.0,80.0,80.0,78.25,,78.85,79.36,10000,79357500000.0,,,
1996-03-26,MITTALLAMI,EQ,78.85,78.85,79.0,76.5,,78.6,77.28,4200,32456500000.0,,,
1996-03-27,MITTALLAMI,EQ,78.6,78.6,85.0,75.0,,78.05,84.37,13900,117272500000.0,,,
1996-03-28,MITTALLAMI,EQ,78.05,78.05,78.65,78.2,,78.2,78.44,3000,23531000000.0,,,
1996-03-29,MITTALLAMI,EQ,78.2,78.2,79.1,77.0,,77.5,78.65,6200,48761000000.0,,,
1996-04-01,MITTALLAMI,EQ,77.5,77.5,77.55,77.0,,77.25,77.24,1500,11585500000.0,,,
1996-04-02,MITTALLAMI,EQ,77.25,77.25,77.05,69.3,,73.05,73.29,13700,100405000000.0,,,
1996-04-03,MITTALLAMI,EQ,73.05,73.05,78.0,70.0,,72.0,73.17,7400,54143500000.0,,,
1996-04-04,MITTALLAMI,EQ,72.0,72.0,70.0,65.0,,69.65,69.08,1300,8980000000.0,,,
1996-04-08,MITTALLAMI,EQ,69.65,69.65,71.3,67.5,,70.75,69.31,7700,53369500000.0,,,
1996-04-09,MITTALLAMI,EQ,70.75,70.75,71.0,68.05,,68.65,69.08,10700,73918500000.0,,,
1996-04-10,MITTALLAMI,EQ,68.65,68.65,75.5,70.5,,74.5,73.12,5600,40944500000.0,,,
1996-04-11,MITTALLAMI,EQ,74.5,74.5,76.95,74.5,,75.25,75.53,4800,36255500000.0,,,
1996-04-12,MITTALLAMI,EQ,75.25,75.25,77.75,74.75,,74.8,76.47,5700,43586000000.0,,,
1996-04-15,MITTALLAMI,EQ,74.8,74.8,74.5,69.0,,69.15,70.93,6700,47523000000.0,,,
1996-04-16,MITTALLAMI,EQ,69.15,70.0,70.0,61.9,,61.9,64.86,10000,64858000000.0,,,
1996-04-17,MITTALLAMI,EQ,61.9,60.0,63.25,60.0,,62.0,61.96,6900,42755000000.0,,,
1996-04-18,MITTALLAMI,EQ,62.0,62.0,68.4,61.0,,66.85,64.32,14600,93912000000.0,,,
1996-04-19,MITTALLAMI,EQ,66.85,66.0,73.25,66.0,,71.2,69.83,22900,159915000000.0,,,
1996-04-22,MITTALLAMI,EQ,71.2,71.2,78.5,74.0,,77.85,76.79,47500,364748500000.0,,,
1996-04-23,MITTALLAMI,EQ,77.85,77.85,81.75,73.0,,73.75,77.78,84800,659566000000.0,,,
1996-04-24,MITTALLAMI,EQ,73.75,73.75,76.5,75.0,,75.95,75.88,2100,15934500000.0,,,
1996-04-25,MITTALLAMI,EQ,75.95,75.95,73.6,73.25,,73.25,73.34,700,5134000000.0,,,
1996-04-26,MITTALLAMI,EQ,73.25,73.25,72.0,65.75,,69.3,69.19,19500,134911500000.0,,,
1996-04-29,MITTALLAMI,EQ,69.3,67.0,68.0,67.0,,68.0,67.46,2400,16190000000.0,,,
1996-04-30,MITTALLAMI,EQ,68.0,65.05,69.0,61.0,,62.9,64.11,22000,141044500000.0,,,
1996-05-01,MITTALLAMI,EQ,62.9,62.9,69.5,63.0,,67.45,66.86,29900,199901000000.0,,,
1996-05-02,MITTALLAMI,EQ,67.45,67.45,73.5,68.05,,69.9,71.12,37900,269534000000.0,,,
1996-05-03,MITTALLAMI,EQ,69.9,69.9,71.0,66.0,,66.35,68.27,15900,108552000000.0,,,
1996-05-06,MITTALLAMI,EQ,66.35,67.3,67.3,60.0,,60.0,61.62,11500,70864000000.0,,,
1996-05-07,MITTALLAMI,EQ,60.0,60.0,60.5,54.5,,55.7,56.9,12600,71699000000.0,,,
1996-05-08,MITTALLAMI,EQ,55.7,55.7,57.75,50.0,,50.8,51.86,18700,96972500000.0,,,
1996-05-09,MITTALLAMI,EQ,50.8,50.8,52.45,46.0,,46.35,46.95,13000,61039000000.0,,,
1996-05-10,MITTALLAMI,EQ,46.35,46.35,47.0,43.0,,44.25,44.93,10400,46725500000.0,,,
1996-05-13,MITTALLAMI,EQ,44.25,44.15,44.15,43.0,,43.6,43.57,17400,75810000000.0,,,
1996-05-14,MITTALLAMI,EQ,43.6,43.6,43.0,41.8,,41.8,42.16,3600,15177000000.0,,,
1996-05-15,MITTALLAMI,EQ,41.8,41.8,41.0,37.5,,37.5,39.59,5700,22563500000.0,,,
1996-05-16,MITTALLAMI,EQ,37.5,37.5,40.0,33.6,,36.85,37.47,9100,34100500000.0,,,
1996-05-17,MITTALLAMI,EQ,36.85,36.85,39.5,36.0,,36.95,37.4,9700,36277500000.0,,,
1996-05-20,MITTALLAMI,EQ,36.95,36.95,35.5,35.0,,35.05,35.31,2800,9885500000.0,,,
1996-05-21,MITTALLAMI,EQ,35.05,35.05,35.5,34.0,,35.05,34.71,5000,17355500000.0,,,
1996-05-22,MITTALLAMI,EQ,35.05,35.05,35.0,35.0,,35.0,35.0,1300,4550000000.0,,,
1996-05-23,MITTALLAMI,EQ,35.0,35.0,34.6,33.0,,34.6,34.27,1400,4798000000.0,,,
1996-05-24,MITTALLAMI,EQ,34.6,34.6,33.0,32.8,,33.0,32.92,1200,3950000000.0,,,
1996-05-27,MITTALLAMI,EQ,33.0,33.0,30.25,30.25,,30.25,30.25,1200,3630000000.0,,,
1996-05-28,MITTALLAMI,EQ,30.25,30.25,29.9,27.6,,29.2,29.1,900,2619000000.0,,,
1996-05-29,MITTALLAMI,EQ,29.2,29.2,29.25,29.0,,29.0,29.02,1100,3192500000.0,,,
1996-05-30,MITTALLAMI,EQ,29.0,29.0,29.0,29.0,,29.0,29.0,100,290000000.0,,,
1996-05-31,MITTALLAMI,EQ,29.0,29.0,28.25,28.25,,28.25,28.25,100,282500000.0,,,
1996-06-03,MITTALLAMI,EQ,28.25,28.25,30.0,28.1,,28.1,29.26,2000,5852000000.0,,,
1996-06-04,MITTALLAMI,EQ,28.1,28.1,28.25,27.75,,28.0,28.0,1800,5040000000.0,,,
1996-06-05,MITTALLAMI,EQ,28.0,27.2,27.45,27.0,,27.45,27.09,900,2438500000.0,,,
1996-06-06,MITTALLAMI,EQ,27.45,25.15,25.15,24.75,,24.95,24.99,1300,3248500000.0,,,
1996-06-07,MITTALLAMI,EQ,24.95,22.75,23.0,22.5,,22.55,22.61,17700,40027000000.0,,,
1996-06-10,MITTALLAMI,EQ,22.55,23.5,24.95,23.5,,24.95,23.99,3800,9115000000.0,,,
1996-06-11,MITTALLAMI,EQ,24.95,27.4,27.5,25.5,,26.0,26.78,6000,16070000000.0,,,
1996-06-12,MITTALLAMI,EQ,26.0,27.5,28.4,27.05,,27.2,27.89,7500,20920000000.0,,,
1996-06-13,MITTALLAMI,EQ,27.2,27.5,27.75,27.5,,27.55,27.54,3200,8812500000.0,,,
1996-06-14,MITTALLAMI,EQ,27.55,27.25,28.0,27.25,,28.0,27.63,5500,15197500000.0,,,
1996-06-17,MITTALLAMI,EQ,28.0,25.75,27.0,25.75,,26.25,26.91,2200,5920000000.0,,,
1996-06-18,MITTALLAMI,EQ,26.25,26.95,27.2,26.5,,26.55,26.78,14100,37758000000.0,,,
1996-06-19,MITTALLAMI,EQ,26.55,26.25,27.0,26.25,,27.0,26.95,5000,13476500000.0,,,
1996-06-20,MITTALLAMI,EQ,27.0,27.1,27.1,27.0,,27.1,27.07,1500,4061000000.0,,,
1996-06-21,MITTALLAMI,EQ,27.1,27.0,27.25,26.75,,27.0,27.05,2000,5410000000.0,,,
1996-06-24,MITTALLAMI,EQ,27.0,25.6,26.0,24.5,,24.5,25.88,1900,4917000000.0,,,
1996-06-25,MITTALLAMI,EQ,24.5,24.25,26.0,24.25,,26.0,25.61,2600,6657500000.0,,,
1996-06-26,MITTALLAMI,EQ,26.0,26.25,26.5,25.9,,26.0,26.05,5400,14065000000.0,,,
1996-06-27,MITTALLAMI,EQ,26.0,26.4,26.55,26.25,,26.25,26.47,5100,13498000000.0,,,
1996-06-28,MITTALLAMI,EQ,26.25,27.5,27.5,25.5,,27.0,26.82,2400,6437500000.0,,,
1996-07-01,MITTALLAMI,EQ,27.0,25.6,26.0,25.6,,25.65,25.64,5900,15125000000.0,,,
1996-07-02,MITTALLAMI,EQ,25.65,25.5,25.75,25.5,,25.6,25.61,3600,9218500000.0,,,
1996-07-03,MITTALLAMI,EQ,25.6,23.5,25.5,23.5,,24.25,24.9,8600,21417500000.0,,,
1996-07-04,MITTALLAMI,EQ,24.25,23.5,25.0,23.5,,25.0,24.82,5300,13155000000.0,,,
1996-07-08,MITTALLAMI,EQ,90.0,24.0,24.0,24.0,,24.0,24.0,1000,2400000000.0,,,
1996-07-09,MITTALLAMI,EQ,24.0,24.0,24.5,24.0,,24.5,24.16,7700,18605500000.0,,,
1996-07-10,MITTALLAMI,EQ,24.5,23.0,23.0,23.0,,23.0,23.0,600,1380000000.0,,,
1996-07-11,MITTALLAMI,EQ,23.0,23.15,23.4,23.15,,23.2,23.27,1300,3025500000.0,,,
1996-07-12,MITTALLAMI,EQ,23.2,25.5,25.55,23.0,,23.75,24.05,8000,19240000000.0,,,
1996-07-15,MITTALLAMI,EQ,23.75,23.0,23.0,23.0,,23.0,23.0,5000,11500000000.0,,,
1996-07-16,MITTALLAMI,EQ,23.0,21.0,23.0,21.0,,22.5,22.73,7900,17957000000.0,,,
1996-07-17,MITTALLAMI,EQ,22.5,22.35,22.35,22.0,,22.0,22.09,7000,15460000000.0,,,
1996-07-18,MITTALLAMI,EQ,22.0,22.0,22.5,22.0,,22.5,22.23,1500,3335000000.0,,,
1996-07-22,MITTALLAMI,EQ,22.5,22.5,22.5,22.5,,22.5,22.5,300,675000000.0,,,
1996-07-23,MITTALLAMI,EQ,22.5,22.75,24.0,22.75,,23.95,23.55,2100,4944500000.0,,,
1996-07-24,MITTALLAMI,EQ,23.95,24.5,25.0,24.5,,24.8,24.8,800,1984000000.0,,,
1996-07-25,MITTALLAMI,EQ,24.8,24.7,24.7,24.7,,24.7,24.7,100,247000000.0,,,
1996-07-26,MITTALLAMI,EQ,24.7,22.5,24.75,22.5,,24.75,24.46,800,1956500000.0,,,
1996-07-29,MITTALLAMI,EQ,24.75,22.3,22.3,22.3,,22.3,22.3,100,223000000.0,,,
1996-08-01,MITTALLAMI,EQ,22.3,22.0,23.5,22.0,,23.5,23.36,1100,2570000000.0,,,
1996-08-06,MITTALLAMI,EQ,23.5,22.0,23.0,22.0,,23.0,22.48,2100,4720000000.0,,,
1996-08-07,MITTALLAMI,EQ,23.0,24.0,24.0,22.05,,22.05,23.35,300,700500000.0,,,
1996-08-09,MITTALLAMI,EQ,22.05,22.0,22.0,22.0,,22.0,22.0,500,1100000000.0,,,
1996-08-12,MITTALLAMI,EQ,22.0,22.5,22.5,22.5,,22.5,22.5,100,225000000.0,,,
1996-08-13,MITTALLAMI,EQ,22.5,22.75,22.75,22.75,,22.75,22.75,200,455000000.0,,,
1996-08-14,MITTALLAMI,EQ,22.75,23.75,23.75,23.75,,23.75,23.75,100,237500000.0,,,
1996-08-16,MITTALLAMI,EQ,23.75,23.75,23.75,23.75,,23.75,23.75,300,712500000.0,,,
1996-08-20,MITTALLAMI,EQ,23.75,25.0,25.5,24.3,,25.5,25.05,1100,2755500000.0,,,
1996-08-21,MITTALLAMI,EQ,25.5,26.95,26.95,26.95,,26.95,26.95,200,539000000.0,,,
1996-08-22,MITTALLAMI,EQ,26.95,26.5,26.5,26.5,,26.5,26.5,100,265000000.0,,,
1996-08-23,MITTALLAMI,EQ,26.5,28.95,29.25,28.3,,28.3,28.97,2200,6372500000.0,,,
1996-08-26,MITTALLAMI,EQ,28.3,27.55,27.55,27.5,,27.5,27.51,500,1375500000.0,,,
1996-08-27,MITTALLAMI,EQ,27.5,25.0,27.0,24.75,,27.0,25.07,1100,2757500000.0,,,
1996-08-30,MITTALLAMI,EQ,27.0,29.6,29.7,29.6,,29.65,29.65,400,1186000000.0,,,
1996-09-02,MITTALLAMI,EQ,29.65,27.0,32.65,27.0,,32.65,32.33,2200,7113000000.0,,,
1996-09-03,MITTALLAMI,EQ,32.65,32.05,32.05,32.0,,32.0,32.03,400,1281000000.0,,,
1996-09-04,MITTALLAMI,EQ,32.0,32.5,32.5,32.5,,32.5,32.5,100,325000000.0,,,
1996-09-05,MITTALLAMI,EQ,32.5,32.5,32.5,32.0,,32.0,32.08,600,1925000000.0,,,
1996-09-10,MITTALLAMI,EQ,32.0,34.5,34.5,30.0,,30.0,31.13,400,1245000000.0,,,
1996-09-16,MITTALLAMI,EQ,30.0,28.0,28.0,28.0,,28.0,28.0,100,280000000.0,,,
1996-09-18,MITTALLAMI,EQ,28.0,28.0,28.0,26.0,,26.0,26.7,1000,2670000000.0,,,
1996-09-19,MITTALLAMI,EQ,26.0,27.8,27.8,27.8,,27.8,27.8,500,1390000000.0,,,
1996-09-20,MITTALLAMI,EQ,27.8,26.5,27.0,26.0,,27.0,26.55,1000,2655000000.0,,,
1996-09-23,MITTALLAMI,EQ,27.0,26.0,26.25,26.0,,26.25,26.08,1500,3912500000.0,,,
1996-09-24,MITTALLAMI,EQ,26.25,26.0,26.0,25.5,,25.5,25.86,700,1810000000.0,,,
1996-09-25,MITTALLAMI,EQ,25.5,25.5,26.0,25.0,,26.0,25.17,2100,5286000000.0,,,
1996-09-26,MITTALLAMI,EQ,26.0,25.0,25.0,25.0,,25.0,25.0,500,1250000000.0,,,
1996-09-27,MITTALLAMI,EQ,25.0,24.0,24.0,24.0,,24.0,24.0,500,1200000000.0,,,
1996-09-30,MITTALLAMI,EQ,24.0,22.5,22.5,22.5,,22.5,22.5,500,1125000000.0,,,
1996-10-03,MITTALLAMI,EQ,22.5,21.0,21.0,21.0,,21.0,21.0,1000,2100000000.0,,,
1996-10-08,MITTALLAMI,EQ,21.0,20.0,20.0,20.0,,20.0,20.0,500,1000000000.0,,,
1996-10-09,MITTALLAMI,EQ,20.0,19.0,19.0,19.0,,19.0,19.0,200,380000000.0,,,
1996-10-10,MITTALLAMI,EQ,19.0,20.0,20.0,20.0,,20.0,20.0,200,400000000.0,,,
1996-10-14,MITTALLAMI,EQ,20.0,20.25,20.25,20.25,,20.25,20.25,1000,2025000000.0,,,
1996-10-15,MITTALLAMI,EQ,20.25,21.5,21.5,21.5,,21.5,21.5,500,1075000000.0,,,
1996-10-16,MITTALLAMI,EQ,21.5,21.0,21.0,21.0,,21.0,21.0,100,210000000.0,,,
1996-10-17,MITTALLAMI,EQ,21.0,20.0,20.0,20.0,,20.0,20.0,200,400000000.0,,,
1996-10-18,MITTALLAMI,EQ,20.0,19.5,19.5,19.5,,19.5,19.5,800,1560000000.0,,,
1996-10-22,MITTALLAMI,EQ,19.5,19.5,19.5,19.5,,19.5,19.5,100,195000000.0,,,
1996-10-29,MITTALLAMI,EQ,19.5,18.05,18.05,18.05,,18.05,18.05,200,361000000.0,,,
1996-11-05,MITTALLAMI,EQ,18.05,18.55,18.65,18.5,,18.6,18.59,1100,2044500000.0,,,
1996-11-11,MITTALLAMI,EQ,18.6,18.0,18.0,18.0,,18.0,18.0,500,900000000.0,,,
1996-11-13,MITTALLAMI,EQ,18.0,19.5,19.5,19.5,,19.5,19.5,100,195000000.0,,,
1996-11-19,MITTALLAMI,EQ,19.5,18.5,18.5,18.5,,18.5,18.5,200,370000000.0,,,
1996-11-21,MITTALLAMI,EQ,18.5,17.0,17.0,17.0,,17.0,17.0,400,680000000.0,,,
1996-12-02,MITTALLAMI,EQ,17.0,17.5,17.5,17.5,,17.5,17.5,100,175000000.0,,,
1996-12-03,MITTALLAMI,EQ,17.5,18.0,18.0,17.5,,17.5,17.8,500,890000000.0,,,
1996-12-06,MITTALLAMI,EQ,17.5,16.0,16.0,16.0,,16.0,16.0,100,160000000.0,,,
1996-12-09,MITTALLAMI,EQ,16.0,17.15,17.25,16.0,,16.0,16.83,1200,2020000000.0,,,
1996-12-17,MITTALLAMI,EQ,16.0,15.5,15.5,15.5,,15.5,15.5,500,775000000.0,,,
1996-12-18,MITTALLAMI,EQ,15.5,14.0,14.0,14.0,,14.0,14.0,600,840000000.0,,,
1996-12-19,MITTALLAMI,EQ,14.0,14.0,14.75,14.0,,14.75,14.13,600,847500000.0,,,
1996-12-24,MITTALLAMI,EQ,14.75,16.0,16.0,16.0,,16.0,16.0,200,320000000.0,,,
1996-12-31,MITTALLAMI,EQ,16.0,17.0,17.0,17.0,,17.0,17.0,300,510000000.0,,,
1997-01-01,MITTALLAMI,EQ,17.0,18.5,18.5,18.5,,18.5,18.5,200,370000000.0,,,
1997-01-02,MITTALLAMI,EQ,18.5,18.0,18.0,18.0,,18.0,18.0,100,180000000.0,,,
1997-01-03,MITTALLAMI,EQ,18.0,19.0,19.0,19.0,,19.0,19.0,400,760000000.0,,,
1997-01-06,MITTALLAMI,EQ,19.0,17.7,17.7,17.5,,17.5,17.53,600,1052000000.0,,,
1997-01-07,MITTALLAMI,EQ,17.5,17.5,17.5,16.75,,16.75,17.04,1100,1874500000.0,,,
1997-01-08,MITTALLAMI,EQ,16.75,16.5,16.5,16.5,,16.5,16.5,100,165000000.0,,,
1997-01-09,MITTALLAMI,EQ,16.5,16.5,18.0,16.5,,17.5,17.37,700,1216000000.0,,,
1997-01-10,MITTALLAMI,EQ,17.5,18.0,18.5,18.0,,18.5,18.25,400,730000000.0,,,
1997-01-13,MITTALLAMI,EQ,18.5,18.5,18.5,18.5,,18.5,18.5,500,925000000.0,,,
1997-01-14,MITTALLAMI,EQ,18.5,19.1,19.1,19.1,,19.1,19.1,100,191000000.0,,,
1997-01-15,MITTALLAMI,EQ,19.1,21.0,21.0,20.5,,20.5,20.7,500,1035000000.0,,,
1997-01-16,MITTALLAMI,EQ,20.5,21.0,21.0,21.0,,21.0,21.0,500,1050000000.0,,,
1997-01-17,MITTALLAMI,EQ,21.0,20.7,20.7,20.5,,20.6,20.58,600,1235000000.0,,,
1997-01-20,MITTALLAMI,EQ,20.6,20.7,20.75,18.8,,18.8,19.83,1000,1983000000.0,,,
1997-01-27,MITTALLAMI,EQ,18.8,17.5,17.5,17.0,,17.0,17.07,700,1195000000.0,,,
1997-01-28,MITTALLAMI,EQ,17.0,17.75,17.75,16.0,,16.0,17.17,300,515000000.0,,,
1997-01-31,MITTALLAMI,EQ,16.0,17.0,17.0,17.0,,17.0,17.0,100,170000000.0,,,
1997-02-03,MITTALLAMI,EQ,17.0,17.25,17.25,17.25,,17.25,17.25,200,345000000.0,,,
1997-02-04,MITTALLAMI,EQ,17.25,16.5,16.5,16.5,,16.5,16.5,300,495000000.0,,,
1997-02-10,MITTALLAMI,EQ,16.5,18.0,18.0,18.0,,18.0,18.0,100,180000000.0,,,
1997-02-11,MITTALLAMI,EQ,18.0,17.5,17.5,17.5,,17.5,17.5,100,175000000.0,,,
1997-02-18,MITTALLAMI,EQ,17.5,17.0,17.0,17.0,,17.0,17.0,200,340000000.0,,,
1997-02-19,MITTALLAMI,EQ,17.0,16.0,16.0,16.0,,16.0,16.0,200,320000000.0,,,
