Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-11-22,GROBTEA,EQ,245.0,232.8,244.85,232.8,244.85,244.85,233.66,14,327125000.0,4,13,0.9286
2016-11-23,GROBTEA,EQ,244.85,232.65,247.95,232.65,233.15,233.15,234.2,194,4543480000.0,9,170,0.8763
2016-11-24,GROBTEA,EQ,233.15,221.55,234.85,221.55,228.0,228.0,226.66,303,6867725000.0,19,179,0.5908
2016-11-25,GROBTEA,EQ,228.0,231.95,231.95,231.95,231.95,231.95,231.95,1,23195000.0,1,1,1.0
2016-11-28,GROBTEA,EQ,231.95,222.55,239.9,222.55,237.95,237.95,236.55,476,11259705000.0,21,471,0.9895
2016-11-29,GROBTEA,EQ,237.95,245.3,245.7,245.3,245.7,245.7,245.62,50,1228100000.0,2,50,1.0
2016-12-01,GROBTEA,EQ,245.7,256.1,256.5,256.1,256.5,256.3,256.3,20,512600000.0,2,20,1.0
2016-12-02,GROBTEA,EQ,256.3,248.1,248.1,243.5,243.5,243.5,245.8,10,245800000.0,2,10,1.0
2016-12-05,GROBTEA,EQ,243.5,250.0,254.95,240.0,240.0,240.0,251.48,340,8550245000.0,8,340,1.0
2016-12-08,GROBTEA,EQ,240.0,228.2,251.6,228.2,242.0,242.0,234.04,612,14323435000.0,38,378,0.6176
2016-12-09,GROBTEA,EQ,242.0,239.9,248.2,239.9,248.2,248.2,244.05,2,48810000.0,2,1,0.5
2016-12-13,GROBTEA,EQ,248.2,237.0,251.0,235.9,245.7,244.0,242.7,450,10921430000.0,17,325,0.7222
2016-12-14,GROBTEA,EQ,244.0,243.0,245.0,232.2,245.0,245.0,241.39,170,4103580000.0000005,18,140,0.8235
2016-12-15,GROBTEA,EQ,245.0,232.75,256.0,232.75,249.6,249.6,244.68,43,1052110000.0,5,42,0.9767
2016-12-16,GROBTEA,EQ,249.6,237.15,256.8,237.15,249.0,249.0,245.15,25,612865000.0,7,9,0.36
2016-12-20,GROBTEA,EQ,249.0,236.75,254.0,236.75,254.0,253.85,252.01,388,9777995000.0,21,383,0.9871
2016-12-21,GROBTEA,EQ,253.85,260.0,265.0,259.9,265.0,265.0,260.56,170,4429500000.0,5,170,1.0
2016-12-22,GROBTEA,EQ,265.0,251.75,270.0,251.75,260.0,260.0,256.64,160,4106250000.0,5,90,0.5625
2016-12-27,GROBTEA,EQ,260.0,255.0,255.0,254.1,255.0,254.75,254.78,40,1019100000.0,5,40,1.0
2016-12-28,GROBTEA,EQ,254.75,243.1,246.1,243.1,246.1,246.1,243.85,4,97540000.0,2,3,0.75
2016-12-30,GROBTEA,EQ,246.1,246.1,246.1,246.1,246.1,246.1,246.1,51,1255110000.0,2,51,1.0
2017-01-04,GROBTEA,EQ,246.1,255.0,255.0,250.0,250.0,250.0,254.9,102,2600000000.0,2,100,0.9804
2017-01-06,GROBTEA,EQ,250.0,262.5,262.5,262.5,262.5,262.5,262.5,7,183750000.0,1,7,1.0
2017-01-09,GROBTEA,EQ,262.5,262.5,262.5,262.5,262.5,262.5,262.5,42,1102500000.0,2,42,1.0
2017-01-10,GROBTEA,EQ,262.5,275.6,275.6,260.0,265.6,274.7,268.96,461,12398885000.0,18,319,0.6920000000000001
2017-01-11,GROBTEA,EQ,274.7,287.95,288.3,266.1,288.3,270.55,285.94,87,2487670000.0,8,77,0.8851000000000001
2017-01-16,GROBTEA,EQ,270.55,270.55,270.55,270.55,270.55,270.55,270.55,20,541100000.0,2,20,1.0
2017-01-17,GROBTEA,EQ,270.55,270.0,270.0,270.0,270.0,270.0,270.0,50,1350000000.0,1,50,1.0
2017-01-18,GROBTEA,EQ,270.0,270.0,270.0,270.0,270.0,270.0,270.0,400,10800000000.0,1,400,1.0
2017-01-19,GROBTEA,EQ,270.0,282.5,283.5,282.5,283.5,283.25,283.25,100,2832500000.0,5,100,1.0
2017-01-20,GROBTEA,EQ,283.25,270.0,270.0,270.0,270.0,270.0,270.0,2,54000000.0,1,2,1.0
2017-01-23,GROBTEA,EQ,270.0,275.1,283.5,275.1,283.5,283.5,279.25,42,1172850000.0,4,42,1.0
2017-01-24,GROBTEA,EQ,283.5,297.65,297.65,270.0,285.0,285.0,275.4,646,17790980000.0,21,510,0.7895000000000001
2017-01-27,GROBTEA,EQ,285.0,299.0,299.0,270.75,277.3,277.3,284.3,1305,37101255000.0,30,190,0.1456
2017-01-30,GROBTEA,EQ,277.3,277.3,277.3,277.3,277.3,277.3,277.3,50,1386500000.0,2,50,1.0
2017-01-31,GROBTEA,EQ,277.3,267.4,267.4,266.0,266.0,266.0,266.95,105,2803000000.0,4,105,1.0
2017-02-03,GROBTEA,EQ,266.0,279.3,279.3,276.0,276.0,276.0,277.98,25,694950000.0,2,25,1.0
2017-02-06,GROBTEA,EQ,276.0,280.0,280.0,262.2,262.2,262.2,270.77,107,2897200000.0,6,107,1.0
2017-02-07,GROBTEA,EQ,262.2,260.1,260.1,260.1,260.1,260.1,260.1,13,338130000.0,1,13,1.0
2017-02-08,GROBTEA,EQ,260.1,260.55,267.0,260.1,267.0,267.0,262.44,300,7873125000.0,3,300,1.0
2017-02-09,GROBTEA,EQ,267.0,279.9,280.35,271.5,280.35,280.3,278.01,477,13261140000.0,21,428,0.8973000000000001
2017-02-10,GROBTEA,EQ,280.3,280.35,294.0,267.0,275.1,275.1,286.3,435,12454265000.0,17,423,0.9723999999999999
2017-02-13,GROBTEA,EQ,275.1,284.0,288.85,284.0,288.75,288.75,287.09,320,9186750000.0,10,320,1.0
2017-02-14,GROBTEA,EQ,288.75,275.35,303.0,275.0,299.95,299.95,285.46,149,4253419999.9999995,8,119,0.7987000000000001
2017-02-15,GROBTEA,EQ,299.95,299.0,299.0,285.0,295.0,294.65,292.67,386,11297020000.0,14,346,0.8964
