Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-07-04,GTPL,EQ,170.0,170.0,175.0,162.0,171.95,171.65,170.71,14138363,241360711385000.0,96461,5217073,0.369
2017-07-05,GTPL,EQ,171.65,170.2,172.3,167.3,170.5,169.9,170.04,779615,13256258115000.0,10014,213447,0.2738
2017-07-06,GTPL,EQ,169.9,171.0,176.0,168.35,170.0,171.75,173.33,1181250,20474148145000.0,11767,514139,0.43520000000000003
2017-07-07,GTPL,EQ,171.75,172.0,183.25,168.0,178.05,179.2,177.35,3137606,55645386810000.0,27238,890057,0.2837
2017-07-10,GTPL,EQ,179.2,180.0,198.1,175.0,183.15,183.2,182.47,607766,11090113040000.0,5464,348074,0.5727000000000001
2017-07-11,GTPL,EQ,183.2,183.5,190.45,176.3,177.45,177.35,185.09,1780195,32949476170000.0,20735,613956,0.34490000000000004
2017-07-12,GTPL,EQ,177.35,179.15,183.9,178.0,180.7,180.75,180.49,838264,15130114825000.0,17335,326905,0.39
2017-07-13,GTPL,EQ,180.75,182.4,185.5,178.5,179.3,180.1,181.37,907601,16461182350000.0,13067,367671,0.4051
2017-07-14,GTPL,EQ,180.1,181.0,184.9,164.05,170.05,170.8,174.23,1203937,20976102480000.0,13790,417716,0.34700000000000003
2017-07-17,GTPL,EQ,170.8,171.1,174.0,169.1,169.85,170.0,171.48,302605,5188939840000.0,4090,107097,0.3539
2017-07-18,GTPL,EQ,170.0,169.1,171.95,166.2,168.0,167.15,169.05,188357,3184243810000.0,2782,79616,0.4227
2017-07-19,GTPL,EQ,167.15,168.15,170.0,167.2,167.95,168.05,168.83,114062,1925721105000.0,1698,61769,0.5415
2017-07-20,GTPL,EQ,168.05,169.4,169.8,165.05,165.4,166.6,167.55,194347,3256336360000.0,3715,67353,0.34659999999999996
2017-07-21,GTPL,EQ,166.6,165.2,168.95,163.0,163.0,163.4,164.89,298067,4914770025000.0,4215,131506,0.4412
2017-07-24,GTPL,EQ,163.4,163.3,164.45,155.65,156.5,156.8,158.81,203695,3234939990000.0,3607,109748,0.5388000000000001
2017-07-25,GTPL,EQ,156.8,155.65,161.0,150.0,154.5,155.0,155.21,422546,6558329535000.0,6950,163813,0.38770000000000004
2017-07-26,GTPL,EQ,155.0,155.7,158.0,155.7,156.7,156.4,156.6,197420,3091568210000.0,2708,131792,0.6676000000000001
2017-07-27,GTPL,EQ,156.4,156.9,161.8,155.6,157.5,156.8,157.59,173457,2733484215000.0,2724,100833,0.5813
2017-07-28,GTPL,EQ,156.8,154.15,159.4,154.15,156.0,156.6,157.23,129568,2037170980000.0,2568,55033,0.4247
2017-07-31,GTPL,EQ,156.6,156.0,158.95,156.0,157.3,157.55,157.45,130338,2052108080000.0,1951,87917,0.6745
2017-08-01,GTPL,EQ,157.55,157.55,157.65,147.75,150.45,151.75,153.41,97587,1497113750000.0,1792,65007,0.6661
2017-08-02,GTPL,EQ,151.75,152.0,155.0,150.2,150.2,151.8,152.92,110713,1693054889999.9998,2352,36818,0.3326
2017-08-03,GTPL,EQ,151.8,151.1,153.0,145.0,147.0,147.35,149.27,96801,1444927460000.0,1848,47076,0.4863
2017-08-04,GTPL,EQ,147.35,148.65,148.65,141.25,142.2,142.45,142.79,266775,3809370204999.9995,4374,202186,0.7579000000000001
2017-08-07,GTPL,EQ,142.45,142.2,148.5,142.2,146.6,146.15,146.27,205690,3008537880000.0,2227,147256,0.7159000000000001
2017-08-08,GTPL,EQ,146.15,148.2,150.0,142.6,143.4,143.85,146.22,109122,1595532195000.0,3219,35291,0.3234
2017-08-09,GTPL,EQ,143.85,147.0,150.0,141.1,143.85,144.2,146.65,490616,7194700395000.0,5452,293480,0.5982000000000001
2017-08-10,GTPL,EQ,144.2,144.75,149.3,142.6,145.0,147.45,145.57,160537,2336915500000.0,2017,92851,0.5784
2017-08-11,GTPL,EQ,147.45,144.0,146.0,141.0,141.0,141.95,143.56,69578,998858930000.0001,1494,30909,0.44420000000000004
