Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,HEG,EQ,31.75,31.0,31.95,31.0,,31.0,31.38,4350,13650500000.0,,,
1996-01-02,HEG,EQ,31.0,31.0,31.6,31.0,,31.5,31.38,4500,14120250000.0,,,
1996-01-03,HEG,EQ,31.5,31.55,31.65,31.5,,31.65,31.52,900,2836500000.0,,,
1996-01-04,HEG,EQ,31.65,31.65,31.75,30.5,,30.5,31.28,3500,10947500000.0,,,
1996-01-05,HEG,EQ,30.5,30.75,30.95,30.5,,30.5,30.75,2400,7379500000.0,,,
1996-01-08,HEG,EQ,30.5,30.5,30.5,28.2,,28.3,29.56,4200,12413500000.0,,,
1996-01-09,HEG,EQ,28.3,28.3,29.5,27.25,,29.5,28.3,1900,5377500000.0,,,
1996-01-10,HEG,EQ,29.5,28.0,29.85,28.0,,29.05,28.75,1950,5606500000.0,,,
1996-01-11,HEG,EQ,29.05,29.05,29.6,29.5,,29.6,29.53,400,1181000000.0,,,
1996-01-12,HEG,EQ,29.6,29.6,30.0,28.5,,29.7,29.37,1050,3084250000.0,,,
1996-01-15,HEG,EQ,29.7,29.7,30.0,28.5,,29.55,29.63,850,2518250000.0,,,
1996-01-16,HEG,EQ,29.55,29.55,29.5,29.0,,29.25,29.27,1600,4682750000.0,,,
1996-01-17,HEG,EQ,29.25,29.25,29.0,27.5,,28.75,28.44,1150,3270750000.0,,,
1996-01-18,HEG,EQ,28.75,27.0,29.0,26.5,,29.0,27.99,1100,3079000000.0,,,
1996-01-19,HEG,EQ,29.0,29.0,28.7,28.0,,28.7,28.16,400,1126500000.0,,,
1996-01-22,HEG,EQ,28.7,28.7,28.75,28.05,,28.75,28.35,1650,4677500000.0,,,
1996-01-23,HEG,EQ,28.75,28.75,29.0,27.55,,28.1,28.2,750,2115000000.0,,,
1996-01-24,HEG,EQ,28.1,27.9,27.9,26.6,,26.6,27.07,650,1759500000.0,,,
1996-01-25,HEG,EQ,26.6,26.6,27.0,26.3,,26.5,26.72,1750,4676000000.0,,,
1996-01-29,HEG,EQ,26.5,26.5,27.95,25.3,,27.95,26.41,1150,3036750000.0,,,
1996-01-30,HEG,EQ,27.95,27.0,27.0,25.85,,25.9,26.44,1400,3701750000.0,,,
1996-01-31,HEG,EQ,25.9,26.5,27.95,26.5,,27.0,27.27,800,2181750000.0,,,
1996-02-01,HEG,EQ,27.0,27.0,27.5,27.0,,27.5,27.33,1800,4920000000.0,,,
1996-02-02,HEG,EQ,27.5,27.5,30.0,29.5,,30.0,29.79,1900,5659500000.0,,,
1996-02-05,HEG,EQ,30.0,30.0,33.0,31.0,,33.0,32.43,950,3081000000.0,,,
1996-02-06,HEG,EQ,33.0,34.0,34.0,30.5,,31.5,32.29,2400,7750250000.0,,,
1996-02-07,HEG,EQ,31.5,30.0,32.0,30.0,,32.0,30.89,700,2162500000.0,,,
1996-02-08,HEG,EQ,32.0,31.5,31.75,31.0,,31.75,31.29,2850,8917000000.0,,,
1996-02-09,HEG,EQ,31.75,32.0,35.0,31.8,,34.0,32.78,3150,10324750000.0,,,
1996-02-12,HEG,EQ,34.0,34.0,37.2,34.0,,37.2,36.04,2600,9371250000.0,,,
1996-02-13,HEG,EQ,37.2,37.2,37.25,36.0,,36.5,36.76,4050,14886500000.0,,,
1996-02-14,HEG,EQ,36.5,36.5,39.0,36.0,,38.8,37.89,7800,29555000000.0,,,
1996-02-15,HEG,EQ,38.8,38.8,40.0,35.15,,37.55,37.43,6300,23582750000.0,,,
