Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-06-19,HTMTGLOBAL,EQ,800.0,790.0,790.0,482.3,586.1,583.15,565.23,3954227,223503913080000.03,,595885,0.1507
2007-06-20,HTMTGLOBAL,EQ,583.15,590.0,632.0,575.0,593.2,595.9,610.5,1430557,87335805345000.0,,160286,0.11199999999999999
2007-06-21,HTMTGLOBAL,EQ,595.9,595.0,612.9,581.6,588.0,590.35,595.34,515941,30716202110000.004,,69346,0.1344
2007-06-22,HTMTGLOBAL,EQ,590.35,590.0,594.85,555.3,558.1,560.05,572.82,246078,14095898565000.0,,78679,0.3197
2007-06-25,HTMTGLOBAL,EQ,560.05,558.85,569.4,541.65,543.25,543.65,550.76,207090,11405666645000.0,,60544,0.2924
2007-06-26,HTMTGLOBAL,EQ,543.65,545.0,572.0,532.0,542.0,542.2,549.11,345826,18989531130000.0,,85277,0.2466
2007-06-27,HTMTGLOBAL,EQ,542.2,544.6,552.0,535.0,538.0,537.2,542.34,140599,7625191055000.0,,54291,0.3861
2007-06-28,HTMTGLOBAL,EQ,537.2,547.0,554.9,530.1,547.0,548.9,544.65,411916,22434917915000.0,,125173,0.3039
2007-06-29,HTMTGLOBAL,EQ,548.9,554.0,560.5,541.0,550.45,552.7,552.6,317515,17545859925000.0,,132566,0.4175
2007-07-02,HTMTGLOBAL,EQ,552.7,556.75,556.75,537.25,537.25,539.85,545.31,85870,4682615905000.0,,31983,0.3725
2007-07-03,HTMTGLOBAL,EQ,539.85,549.7,549.7,534.0,535.0,535.75,540.79,74546,4031391140000.0,,35784,0.48
2007-07-04,HTMTGLOBAL,EQ,535.75,543.9,543.9,526.1,531.0,529.05,532.01,45457,2418375855000.0,,18912,0.41600000000000004
2007-07-05,HTMTGLOBAL,EQ,529.05,576.7,576.7,500.2,507.0,505.1,509.93,109011,5558813345000.0,,36362,0.3336
2007-07-06,HTMTGLOBAL,EQ,505.1,509.9,521.0,503.1,504.0,504.45,510.49,64451,3290128170000.0,,16668,0.2586
2007-07-09,HTMTGLOBAL,EQ,504.45,510.0,526.0,504.45,513.0,512.6,517.81,123794,6410190290000.0,,60091,0.4854
2007-07-10,HTMTGLOBAL,EQ,512.6,513.2,518.8,503.1,506.9,505.85,511.92,78565,4021931029999.9995,,21554,0.2743
