Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,HYDRBADIND,EQ,171.0,167.0,167.0,167.0,,167.0,167.0,100,1670000000.0,,,
1996-01-02,HYDRBADIND,EQ,167.0,165.0,165.0,164.5,,164.5,164.88,400,6595000000.0,,,
1996-01-03,HYDRBADIND,EQ,164.5,163.75,163.75,163.75,,163.75,163.75,500,8187500000.0,,,
1996-01-04,HYDRBADIND,EQ,163.75,165.0,165.0,159.05,,159.05,162.02,300,4860500000.0,,,
1996-01-05,HYDRBADIND,EQ,159.05,160.0,160.0,158.0,,159.0,159.0,300,4770000000.0,,,
1996-01-08,HYDRBADIND,EQ,159.0,161.95,161.95,161.95,,161.95,161.95,100,1619500000.0,,,
1996-01-09,HYDRBADIND,EQ,161.95,161.95,161.0,161.0,,161.0,161.0,1100,17710000000.0,,,
1996-01-10,HYDRBADIND,EQ,161.0,160.0,160.0,160.0,,160.0,160.0,100,1600000000.0,,,
1996-01-11,HYDRBADIND,EQ,160.0,160.0,160.0,160.0,,160.0,160.0,100,1600000000.0,,,
1996-01-12,HYDRBADIND,EQ,160.0,157.5,157.5,157.5,,157.5,157.5,100,1575000000.0,,,
1996-01-19,HYDRBADIND,EQ,157.5,147.0,148.0,146.5,,148.0,147.17,300,4415000000.0,,,
1996-01-22,HYDRBADIND,EQ,148.0,150.0,150.0,150.0,,150.0,150.0,100,1500000000.0,,,
1996-01-23,HYDRBADIND,EQ,150.0,147.0,148.0,147.0,,148.0,147.5,200,2950000000.0,,,
1996-01-24,HYDRBADIND,EQ,148.0,145.05,145.05,145.0,,145.0,145.03,200,2900500000.0,,,
1996-01-25,HYDRBADIND,EQ,145.0,138.0,138.0,138.0,,138.0,138.0,100,1380000000.0,,,
1996-01-29,HYDRBADIND,EQ,138.0,138.0,138.0,138.0,,138.0,138.0,100,1380000000.0,,,
1996-01-30,HYDRBADIND,EQ,138.0,146.0,146.0,144.0,,144.0,145.0,200,2900000000.0,,,
1996-01-31,HYDRBADIND,EQ,144.0,148.0,148.0,146.5,,146.5,147.25,200,2945000000.0,,,
1996-02-01,HYDRBADIND,EQ,146.5,145.0,147.0,145.0,,147.0,146.2,500,7310000000.0,,,
1996-02-02,HYDRBADIND,EQ,147.0,152.0,155.0,152.0,,155.0,154.0,400,6160000000.0,,,
1996-02-05,HYDRBADIND,EQ,155.0,160.0,160.0,158.0,,158.0,159.4,500,7970000000.0,,,
1996-02-06,HYDRBADIND,EQ,158.0,158.0,159.0,157.0,,157.0,157.8,500,7890000000.0,,,
1996-02-08,HYDRBADIND,EQ,157.0,150.0,150.0,150.0,,150.0,150.0,100,1500000000.0,,,
1996-02-09,HYDRBADIND,EQ,150.0,155.0,155.0,155.0,,155.0,155.0,100,1550000000.0,,,
