Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2007-12-20,HITECHPLAS,EQ,104.0,121.8,122.05,106.05,109.0,109.35,118.25,21702,256628350000.0,,5872,0.2706
2007-12-24,HITECHPLAS,EQ,109.35,109.1,113.75,109.0,109.25,110.5,110.2,1904,20981335000.0,,1078,0.5662
2007-12-26,HITECHPLAS,EQ,110.5,110.0,110.0,106.15,106.15,106.35,106.38,107,1138240000.0,,107,1.0
2007-12-27,HITECHPLAS,EQ,106.35,108.9,110.0,108.9,108.95,108.95,109.38,995,10883775000.0,,945,0.9497
2007-12-28,HITECHPLAS,EQ,108.95,103.5,115.0,100.0,108.15,107.7,105.81,328,3470600000.0,,189,0.5761999999999999
2007-12-31,HITECHPLAS,EQ,107.7,107.9,118.4,107.9,113.0,111.45,113.51,4092,46448245000.0,,3222,0.7874
2008-01-01,HITECHPLAS,EQ,111.45,115.0,117.0,110.25,117.0,117.0,114.01,200,2280125000.0,,175,0.875
2008-01-02,HITECHPLAS,EQ,117.0,123.0,123.0,110.25,114.0,114.0,115.59,698,8068095000.0,,676,0.9684999999999999
2008-01-03,HITECHPLAS,EQ,114.0,114.0,119.0,110.15,118.85,118.85,113.81,1601,18221025000.0,,1201,0.7502
2008-01-04,HITECHPLAS,EQ,118.85,116.0,118.0,107.0,108.65,108.65,114.63,540,6190035000.0,,281,0.5204
2008-01-07,HITECHPLAS,EQ,108.65,104.6,117.4,104.55,114.5,114.5,105.25,754,7936185000.000001,,653,0.866
2008-01-08,HITECHPLAS,EQ,114.5,108.5,123.8,103.1,107.0,108.65,114.65,849,9733695000.0,,588,0.6926000000000001
2008-01-09,HITECHPLAS,EQ,108.65,107.2,110.0,102.3,103.7,103.7,105.72,83,877440000.0,,50,0.6024
2008-01-10,HITECHPLAS,EQ,103.7,102.1,109.9,100.35,100.4,101.1,102.62,338,3468555000.0000005,,315,0.932
2008-01-11,HITECHPLAS,EQ,101.1,85.2,110.85,85.1,98.15,98.15,96.26,252,2425715000.0,,147,0.5833
2008-01-14,HITECHPLAS,EQ,98.15,93.0,97.9,93.0,97.9,96.35,93.63,712,6666550000.0,,682,0.9579000000000001
2008-01-15,HITECHPLAS,EQ,96.35,112.9,115.0,92.0,92.0,96.5,105.96,2421,25652735000.0,,1267,0.5233
2008-01-16,HITECHPLAS,EQ,96.5,80.1,111.35,80.1,90.0,90.0,96.37,1302,12547990000.0,,216,0.1659
2008-01-17,HITECHPLAS,EQ,90.0,86.3,106.45,86.05,101.0,101.05,100.6,1240,12474720000.0,,661,0.5331
2008-01-18,HITECHPLAS,EQ,101.05,101.0,102.0,93.45,98.9,98.9,98.04,301,2951150000.0,,41,0.1362
2008-01-21,HITECHPLAS,EQ,98.9,99.0,99.0,91.0,91.0,91.0,94.9,120,1138800000.0,,70,0.5833
2008-01-22,HITECHPLAS,EQ,91.0,90.0,92.4,82.5,82.5,82.5,89.48,515,4608140000.0,,329,0.6388
