Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,SHRMHONDA,EQ,151.0,151.0,151.0,151.0,,151.0,151.0,100,1510000000.0,,,
1996-01-02,SHRMHONDA,EQ,151.0,151.0,150.05,150.05,,150.05,150.05,400,6002000000.0,,,
1996-01-03,SHRMHONDA,EQ,150.05,150.05,152.0,150.0,,150.0,151.0,400,6040000000.0,,,
1996-01-04,SHRMHONDA,EQ,150.0,148.5,150.0,148.5,,150.0,149.25,200,2985000000.0,,,
1996-01-05,SHRMHONDA,EQ,150.0,150.0,148.5,148.5,,148.5,148.5,300,4455000000.0,,,
1996-01-08,SHRMHONDA,EQ,148.5,147.35,147.95,147.0,,147.35,147.31,500,7365500000.0,,,
1996-01-09,SHRMHONDA,EQ,147.35,147.55,147.55,142.25,,142.25,146.21,400,5848500000.0,,,
1996-01-11,SHRMHONDA,EQ,142.25,141.0,141.0,141.0,,141.0,141.0,100,1410000000.0,,,
1996-01-12,SHRMHONDA,EQ,141.0,139.25,139.25,139.05,,139.15,139.15,200,2783000000.0,,,
1996-01-15,SHRMHONDA,EQ,139.15,137.5,137.5,137.5,,137.5,137.5,500,6875000000.0,,,
1996-01-16,SHRMHONDA,EQ,137.5,137.55,137.55,137.55,,137.55,137.55,700,9628500000.0,,,
1996-01-17,SHRMHONDA,EQ,137.55,137.55,140.0,140.0,,140.0,140.0,100,1400000000.0,,,
1996-01-18,SHRMHONDA,EQ,140.0,140.0,141.0,140.0,,141.0,140.38,800,11230000000.0,,,
1996-01-19,SHRMHONDA,EQ,141.0,141.0,142.0,141.3,,142.0,141.65,200,2833000000.0,,,
1996-01-22,SHRMHONDA,EQ,142.0,142.0,143.75,143.5,,143.75,143.63,200,2872500000.0,,,
1996-01-24,SHRMHONDA,EQ,143.75,148.0,148.0,148.0,,148.0,148.0,300,4440000000.0,,,
1996-01-25,SHRMHONDA,EQ,148.0,148.0,148.0,148.0,,148.0,148.0,200,2960000000.0,,,
1996-01-31,SHRMHONDA,EQ,148.0,142.0,143.0,142.0,,143.0,142.75,400,5710000000.0,,,
1996-02-01,SHRMHONDA,EQ,143.0,141.95,143.0,141.95,,143.0,142.32,300,4269500000.0,,,
1996-02-02,SHRMHONDA,EQ,143.0,145.0,145.0,145.0,,145.0,145.0,100,1450000000.0,,,
1996-02-05,SHRMHONDA,EQ,145.0,144.0,144.0,144.0,,144.0,144.0,100,1440000000.0,,,
1996-02-06,SHRMHONDA,EQ,144.0,148.0,153.0,147.5,,151.1,150.15,1700,25525000000.0,,,
1996-02-07,SHRMHONDA,EQ,151.1,149.0,152.0,149.0,,152.0,150.73,900,13565500000.0,,,
1996-02-08,SHRMHONDA,EQ,152.0,152.0,152.0,151.05,,151.05,151.37,300,4541000000.0,,,
1996-02-09,SHRMHONDA,EQ,151.05,155.0,155.0,155.0,,155.0,155.0,200,3100000000.0,,,
1996-02-12,SHRMHONDA,EQ,155.0,152.0,155.0,152.0,,155.0,153.33,300,4600000000.0,,,
1996-02-13,SHRMHONDA,EQ,155.0,155.05,155.05,155.05,,155.05,155.05,1200,18606000000.0,,,
1996-02-14,SHRMHONDA,EQ,155.05,163.75,165.0,158.05,,158.05,161.22,600,9673000000.0,,,
1996-02-15,SHRMHONDA,EQ,158.05,158.0,158.0,156.5,,156.5,156.6,1500,23490000000.0,,,
1996-02-16,SHRMHONDA,EQ,156.5,156.5,163.9,156.5,,160.0,159.64,1400,22349000000.0,,,
1996-02-19,SHRMHONDA,EQ,160.0,160.0,165.0,165.0,,165.0,165.0,100,1650000000.0,,,
1996-02-20,SHRMHONDA,EQ,165.0,169.0,170.0,164.0,,164.0,166.05,1100,18265000000.0,,,
1996-02-22,SHRMHONDA,EQ,164.0,164.0,167.5,164.0,,165.05,165.52,500,8276000000.0,,,
1996-02-23,SHRMHONDA,EQ,165.05,167.0,167.0,164.0,,164.0,165.5,200,3310000000.0,,,
1996-02-26,SHRMHONDA,EQ,164.0,164.0,164.0,164.0,,164.0,164.0,300,4920000000.0,,,
1996-02-27,SHRMHONDA,EQ,164.0,163.0,164.0,162.0,,164.0,163.2,500,8160000000.0,,,
1996-02-28,SHRMHONDA,EQ,164.0,164.0,161.0,160.5,,160.5,160.75,200,3215000000.0,,,
1996-02-29,SHRMHONDA,EQ,160.5,156.5,156.5,152.0,,152.0,154.38,1200,18525500000.0,,,
1996-03-01,SHRMHONDA,EQ,152.0,154.0,156.0,154.0,,156.0,155.16,900,13964500000.0,,,
1996-03-04,SHRMHONDA,EQ,156.0,156.0,155.0,154.3,,154.3,154.77,300,4643000000.0,,,
1996-03-06,SHRMHONDA,EQ,154.3,154.3,155.0,153.0,,153.25,153.75,500,7687500000.0,,,
1996-03-07,SHRMHONDA,EQ,153.25,153.25,154.75,151.95,,151.95,153.15,700,10720500000.0,,,
1996-03-08,SHRMHONDA,EQ,151.95,151.95,150.0,148.0,,150.0,149.5,400,5980000000.0,,,
1996-03-11,SHRMHONDA,EQ,150.0,148.0,148.0,148.0,,148.0,148.0,100,1480000000.0,,,
1996-03-12,SHRMHONDA,EQ,148.0,148.0,145.0,145.0,,145.0,145.0,100,1450000000.0,,,
1996-03-13,SHRMHONDA,EQ,145.0,145.0,145.0,143.0,,143.0,143.75,500,7187500000.0,,,
1996-03-14,SHRMHONDA,EQ,143.0,144.0,146.0,142.15,,146.0,144.52,800,11561500000.0,,,
1996-03-15,SHRMHONDA,EQ,146.0,144.0,144.0,144.0,,144.0,144.0,100,1440000000.0,,,
1996-03-19,SHRMHONDA,EQ,144.0,142.0,142.0,142.0,,142.0,142.0,300,4260000000.0,,,
1996-03-25,SHRMHONDA,EQ,142.0,140.75,145.0,140.75,,144.9,144.88,8800,127497500000.0,,,
1996-03-26,SHRMHONDA,EQ,144.9,144.9,140.0,140.0,,140.0,140.0,200,2800000000.0,,,
1996-03-27,SHRMHONDA,EQ,140.0,142.5,142.5,142.5,,142.5,142.5,100,1425000000.0,,,
1996-03-29,SHRMHONDA,EQ,142.5,142.5,142.5,142.5,,142.5,142.5,100,1425000000.0,,,
1996-04-03,SHRMHONDA,EQ,142.5,142.5,146.0,146.0,,146.0,146.0,100,1460000000.0,,,
1996-04-08,SHRMHONDA,EQ,146.0,149.75,149.75,149.75,,149.75,149.75,100,1497500000.0,,,
1996-04-09,SHRMHONDA,EQ,149.75,149.75,145.0,142.0,,144.0,143.56,600,8613500000.0,,,
1996-04-11,SHRMHONDA,EQ,144.0,144.0,144.0,144.0,,144.0,144.0,700,10080000000.0,,,
1996-04-12,SHRMHONDA,EQ,144.0,144.0,144.0,144.0,,144.0,144.0,100,1440000000.0,,,
1996-04-15,SHRMHONDA,EQ,144.0,148.0,148.0,145.55,,145.55,146.78,200,2935500000.0,,,
1996-04-16,SHRMHONDA,EQ,145.55,145.55,155.0,148.5,,155.0,151.19,400,6047500000.0,,,
1996-04-17,SHRMHONDA,EQ,155.0,161.5,162.0,161.5,,161.75,161.75,200,3235000000.0,,,
1996-04-18,SHRMHONDA,EQ,161.75,167.5,167.5,165.0,,165.0,166.25,200,3325000000.0,,,
1996-04-19,SHRMHONDA,EQ,165.0,165.0,164.0,163.0,,163.0,163.59,800,13087500000.0,,,
1996-04-22,SHRMHONDA,EQ,163.0,161.0,161.0,155.0,,155.0,158.67,300,4760000000.0,,,
1996-04-25,SHRMHONDA,EQ,155.0,150.0,150.0,150.0,,150.0,150.0,100,1500000000.0,,,
1996-04-30,SHRMHONDA,EQ,150.0,145.0,145.0,145.0,,145.0,145.0,100,1450000000.0,,,
1996-05-01,SHRMHONDA,EQ,145.0,147.0,147.0,147.0,,147.0,147.0,100,1470000000.0,,,
1996-05-02,SHRMHONDA,EQ,147.0,148.0,148.0,145.0,,145.5,145.92,600,8755000000.0,,,
1996-05-06,SHRMHONDA,EQ,145.5,145.25,145.25,145.0,,145.0,145.13,200,2902500000.0,,,
1996-05-07,SHRMHONDA,EQ,145.0,145.0,145.5,145.0,,145.0,145.2,500,7260000000.0,,,
1996-05-08,SHRMHONDA,EQ,145.0,145.2,145.2,145.2,,145.2,145.2,100,1452000000.0,,,
1996-05-09,SHRMHONDA,EQ,145.2,147.95,148.95,145.5,,148.95,147.37,900,13263500000.0,,,
1996-05-10,SHRMHONDA,EQ,148.95,145.0,148.0,145.0,,148.0,145.75,400,5830000000.0,,,
1996-05-15,SHRMHONDA,EQ,148.0,148.0,145.2,145.2,,145.2,145.2,100,1452000000.0,,,
1996-05-16,SHRMHONDA,EQ,145.2,145.2,149.75,145.0,,145.0,146.56,400,5862500000.0,,,
1996-05-21,SHRMHONDA,EQ,145.0,145.0,140.0,140.0,,140.0,140.0,100,1400000000.0,,,
1996-05-22,SHRMHONDA,EQ,140.0,140.0,140.0,140.0,,140.0,140.0,100,1400000000.0,,,
1996-05-23,SHRMHONDA,EQ,140.0,140.0,140.0,140.0,,140.0,140.0,200,2800000000.0,,,
1996-05-24,SHRMHONDA,EQ,140.0,135.0,135.0,135.0,,135.0,135.0,500,6750000000.0,,,
1996-05-27,SHRMHONDA,EQ,135.0,135.0,132.0,124.0,,125.0,127.6,500,6380000000.0,,,
1996-05-28,SHRMHONDA,EQ,125.0,125.0,118.15,118.0,,118.15,118.08,200,2361500000.0,,,
1996-05-29,SHRMHONDA,EQ,118.15,129.7,130.0,129.0,,130.0,129.89,1700,22082000000.0,,,
1996-05-30,SHRMHONDA,EQ,130.0,130.0,135.35,132.0,,135.35,134.74,1200,16168500000.0,,,
1996-06-03,SHRMHONDA,EQ,135.35,135.35,139.5,139.5,,139.5,139.5,100,1395000000.0,,,
1996-06-04,SHRMHONDA,EQ,139.5,139.5,142.5,138.0,,138.0,140.17,300,4205000000.0,,,
1996-06-05,SHRMHONDA,EQ,138.0,138.0,138.55,138.0,,138.55,138.28,200,2765500000.0,,,
1996-06-06,SHRMHONDA,EQ,138.55,143.0,143.0,143.0,,143.0,143.0,200,2860000000.0,,,
1996-06-07,SHRMHONDA,EQ,143.0,142.0,146.0,142.0,,146.0,144.75,500,7237500000.0,,,
1996-06-10,SHRMHONDA,EQ,146.0,147.0,150.0,147.0,,150.0,149.35,700,10454500000.0,,,
1996-06-11,SHRMHONDA,EQ,150.0,153.0,162.5,152.0,,162.5,155.71,800,12456500000.0,,,
1996-06-12,SHRMHONDA,EQ,162.5,161.0,163.0,161.0,,163.0,162.0,200,3240000000.0,,,
1996-06-13,SHRMHONDA,EQ,163.0,163.0,163.75,163.0,,163.75,163.38,200,3267500000.0,,,
1996-06-14,SHRMHONDA,EQ,163.75,162.5,162.5,161.0,,161.0,161.75,200,3235000000.0,,,
1996-06-17,SHRMHONDA,EQ,161.0,157.0,157.0,154.0,,156.9,155.45,1100,17099000000.0,,,
1996-06-18,SHRMHONDA,EQ,156.9,142.0,150.0,142.0,,150.0,146.88,400,5875000000.0,,,
1996-06-19,SHRMHONDA,EQ,150.0,150.0,150.0,150.0,,150.0,150.0,300,4500000000.0,,,
1996-06-20,SHRMHONDA,EQ,150.0,149.0,149.0,149.0,,149.0,149.0,100,1490000000.0,,,
1996-06-21,SHRMHONDA,EQ,149.0,152.0,152.0,152.0,,152.0,152.0,100,1520000000.0,,,
1996-06-24,SHRMHONDA,EQ,152.0,150.0,151.0,150.0,,151.0,150.5,200,3010000000.0,,,
1996-06-25,SHRMHONDA,EQ,151.0,153.0,159.0,152.0,,159.0,154.73,2600,40230000000.0,,,
1996-06-26,SHRMHONDA,EQ,159.0,160.0,163.0,160.0,,163.0,161.25,600,9675000000.0,,,
1996-06-27,SHRMHONDA,EQ,163.0,160.0,160.0,155.0,,158.0,157.95,700,11056500000.0,,,
1996-06-28,SHRMHONDA,EQ,158.0,160.05,161.0,160.0,,160.55,160.21,600,9612500000.0,,,
1996-07-01,SHRMHONDA,EQ,160.55,160.7,161.0,160.0,,160.0,160.49,700,11234500000.0,,,
1996-07-02,SHRMHONDA,EQ,160.0,155.0,155.0,152.25,,152.65,154.05,500,7702500000.0,,,
1996-07-03,SHRMHONDA,EQ,152.65,152.0,152.0,150.0,,150.0,151.82,1100,16700000000.0,,,
1996-07-04,SHRMHONDA,EQ,150.0,147.75,147.75,147.75,,147.75,147.75,100,1477500000.0,,,
1996-07-05,SHRMHONDA,EQ,147.75,155.0,155.0,148.0,,148.25,150.42,300,4512500000.0,,,
1996-07-08,SHRMHONDA,EQ,0.0,154.5,155.0,154.5,,155.0,154.75,200,3095000000.0,,,
1996-07-09,SHRMHONDA,EQ,155.0,150.0,156.0,150.0,,155.0,154.29,700,10800000000.0,,,
1996-07-10,SHRMHONDA,EQ,155.0,153.0,155.0,153.0,,155.0,153.88,800,12310000000.0,,,
1996-07-11,SHRMHONDA,EQ,155.0,152.05,160.0,152.05,,160.0,155.61,500,7780500000.0,,,
1996-07-12,SHRMHONDA,EQ,160.0,158.0,158.5,154.1,,156.05,156.83,1300,20388000000.0,,,
1996-07-15,SHRMHONDA,EQ,156.05,155.3,158.0,155.3,,157.25,157.14,3200,50286000000.0,,,
1996-07-16,SHRMHONDA,EQ,157.25,155.05,157.5,155.05,,155.05,155.73,500,7786500000.0,,,
1996-07-17,SHRMHONDA,EQ,155.05,155.0,165.0,155.0,,159.05,160.52,1200,19262000000.0,,,
1996-07-18,SHRMHONDA,EQ,159.05,160.0,162.0,160.0,,161.45,161.25,800,12900000000.0,,,
1996-07-19,SHRMHONDA,EQ,161.45,160.0,160.1,160.0,,160.0,160.03,300,4801000000.0,,,
