Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-09-27,HOVS,EQ,200.0,204.0,234.0,177.25,178.2,180.3,188.28,2853848,53733438600000.0,,533012,0.1868
2006-09-28,HOVS,EQ,180.3,181.0,182.4,172.8,175.0,175.9,178.22,963164,17165053660000.0,,95290,0.0989
2006-09-29,HOVS,EQ,175.9,176.85,182.6,175.1,176.0,176.25,178.61,308933,5517773380000.0,,47298,0.1531
2006-10-03,HOVS,EQ,176.25,177.0,177.3,169.05,173.3,173.4,173.64,171356,2975454060000.0,,39715,0.2318
2006-10-04,HOVS,EQ,173.4,174.0,177.4,163.15,163.55,165.3,171.58,148549,2548769030000.0,,60742,0.40890000000000004
2006-10-05,HOVS,EQ,165.3,166.7,171.0,164.5,165.0,165.4,167.71,162739,2729227100000.0,,47493,0.2918
2006-10-06,HOVS,EQ,165.4,166.5,171.0,165.1,166.15,167.0,167.92,135303,2271944090000.0,,34956,0.2584
2006-10-09,HOVS,EQ,167.0,166.5,199.95,164.05,198.2,196.75,190.39,1851034,35242577070000.0,,293413,0.1585
2006-10-10,HOVS,EQ,196.75,198.0,203.4,187.0,189.0,188.9,196.48,1103786,21687649920000.0,,136711,0.12390000000000001
2006-10-11,HOVS,EQ,188.9,191.25,195.0,185.1,186.2,186.55,190.72,523097,9976638190000.0,,63791,0.1219
2006-10-12,HOVS,EQ,186.55,187.0,197.7,185.55,197.25,196.25,193.24,595270,11503079725000.0,,89006,0.1495
2006-10-13,HOVS,EQ,196.25,195.25,211.0,195.25,203.45,204.05,205.09,2241282,45965354020000.0,,279333,0.12460000000000002
2006-10-16,HOVS,EQ,204.05,205.0,206.35,191.0,192.25,192.35,198.29,422678,8381075470000.0,,109808,0.25980000000000003
2006-10-17,HOVS,EQ,192.35,193.7,193.7,185.3,189.85,188.75,189.99,432035,8208216965000.001,,66174,0.1532
2006-10-18,HOVS,EQ,188.75,187.0,193.05,184.6,186.75,186.95,189.85,148197,2813483985000.0,,31560,0.21300000000000002
