Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-02,HINDSANIT,EQ,167.0,167.0,170.0,169.75,,170.0,169.88,200,3397500000.0,,,
1996-01-03,HINDSANIT,EQ,170.0,170.0,170.0,170.0,,170.0,170.0,100,1700000000.0,,,
1996-01-04,HINDSANIT,EQ,170.0,170.0,170.0,170.0,,170.0,170.0,300,5100000000.0,,,
1996-01-05,HINDSANIT,EQ,170.0,169.0,170.0,168.9,,170.0,169.4,700,11858000000.0,,,
1996-01-08,HINDSANIT,EQ,170.0,170.0,166.0,166.0,,166.0,166.0,100,1660000000.0,,,
1996-01-09,HINDSANIT,EQ,166.0,156.0,156.0,156.0,,156.0,156.0,100,1560000000.0,,,
1996-01-10,HINDSANIT,EQ,156.0,156.1,160.0,156.1,,160.0,158.68,300,4760500000.0,,,
1996-01-11,HINDSANIT,EQ,160.0,158.0,159.0,158.0,,159.0,158.5,200,3170000000.0,,,
1996-01-12,HINDSANIT,EQ,159.0,158.0,160.0,158.0,,160.0,159.25,400,6370000000.0,,,
1996-01-15,HINDSANIT,EQ,160.0,158.0,162.0,158.0,,160.0,160.0,200,3200000000.0,,,
1996-01-16,HINDSANIT,EQ,160.0,153.0,160.0,153.0,,160.0,159.52,2100,33500000000.0,,,
1996-01-17,HINDSANIT,EQ,160.0,160.0,154.3,154.3,,154.3,154.3,100,1543000000.0,,,
1996-01-19,HINDSANIT,EQ,154.3,154.3,162.0,160.05,,160.05,161.03,200,3220500000.0,,,
1996-01-22,HINDSANIT,EQ,160.05,160.05,166.0,166.0,,166.0,166.0,100,1660000000.0,,,
1996-01-23,HINDSANIT,EQ,166.0,166.0,165.0,158.0,,160.05,161.02,300,4830500000.0,,,
1996-01-24,HINDSANIT,EQ,160.05,160.0,160.0,155.5,,160.0,158.31,800,12665000000.0,,,
1996-01-25,HINDSANIT,EQ,160.0,159.0,160.0,159.0,,160.0,159.67,300,4790000000.0,,,
1996-01-29,HINDSANIT,EQ,160.0,160.0,160.0,158.0,,158.0,159.48,400,6379000000.0,,,
1996-01-30,HINDSANIT,EQ,158.0,160.0,162.0,160.0,,162.0,160.25,1600,25640000000.0,,,
1996-01-31,HINDSANIT,EQ,162.0,160.0,163.0,160.0,,161.75,161.19,800,12895000000.0,,,
1996-02-02,HINDSANIT,EQ,161.75,161.75,165.0,164.95,,165.0,164.99,700,11549500000.0,,,
1996-02-05,HINDSANIT,EQ,165.0,162.0,165.0,162.0,,163.5,163.5,600,9810000000.0,,,
1996-02-06,HINDSANIT,EQ,163.5,163.5,165.0,163.0,,165.0,164.17,700,11492000000.0,,,
1996-02-07,HINDSANIT,EQ,165.0,165.0,165.0,158.0,,165.0,163.57,600,9814000000.0,,,
1996-02-08,HINDSANIT,EQ,165.0,165.0,165.0,164.2,,164.2,164.6,200,3292000000.0,,,
1996-02-09,HINDSANIT,EQ,164.2,164.2,170.0,164.0,,170.0,166.5,400,6660000000.0,,,
1996-02-12,HINDSANIT,EQ,170.0,170.0,180.0,171.0,,179.0,176.67,300,5300000000.0,,,
1996-02-14,HINDSANIT,EQ,179.0,179.0,176.0,174.0,,176.0,175.0,300,5250000000.0,,,
1996-02-15,HINDSANIT,EQ,176.0,176.0,183.0,169.0,,180.0,175.37,800,14029500000.0,,,
