Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-11-02,PAPERPROD,EQ,275.15,281.55,282.0,277.95,282.0,281.0,279.58,104948,2934090020000.0,4009,69665,0.6638
2020-11-03,PAPERPROD,EQ,281.0,282.0,287.85,275.0,278.0,276.45,278.19,72000,2002984655000.0,2353,33384,0.4637
2020-11-04,PAPERPROD,EQ,276.45,278.5,283.85,277.05,280.15,281.7,280.77,115227,3235201865000.0,1531,73296,0.6361
2020-11-05,PAPERPROD,EQ,281.7,284.0,284.4,281.0,283.95,283.45,282.98,29379,831365330000.0,1128,15629,0.532
2020-11-06,PAPERPROD,EQ,283.45,284.65,287.1,280.25,284.05,285.85,285.34,50756,1448259175000.0,1422,33669,0.6634000000000001
2020-11-09,PAPERPROD,EQ,285.85,287.2,287.2,283.55,284.7,284.5,285.41,49401,1409959785000.0,1458,24077,0.48740000000000006
2020-11-10,PAPERPROD,EQ,284.5,285.9,285.95,277.0,280.6,280.15,280.04,52207,1461989815000.0,1920,29105,0.5575
2020-11-11,PAPERPROD,EQ,280.15,281.6,284.3,270.25,272.4,272.1,275.23,504637,13889186810000.0,3127,397297,0.7873000000000001
2020-11-12,PAPERPROD,EQ,272.1,273.55,288.05,272.9,286.95,285.5,276.29,407226,11251186290000.0,2800,355208,0.8723000000000001
2020-11-13,PAPERPROD,EQ,285.5,282.75,290.85,280.5,286.0,283.7,285.8,94379,2697375315000.0,2423,50839,0.5387
2020-11-14,PAPERPROD,EQ,283.7,285.75,289.7,283.15,286.85,285.3,286.48,15223,436103990000.00006,623,11845,0.7781
2020-11-17,PAPERPROD,EQ,285.3,288.8,289.0,280.0,286.1,286.1,283.48,58090,1646763690000.0,1555,29434,0.5067
2020-11-18,PAPERPROD,EQ,286.1,287.4,306.0,285.0,300.1,301.8,299.86,389499,11679369530000.0,6699,141275,0.3627
2020-11-19,PAPERPROD,EQ,301.8,299.1,304.1,293.0,296.15,295.85,298.12,113072,3370939929999.9995,3240,59174,0.5233
