Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,IGPETRO,EQ,52.45,52.45,54.5,51.1,,51.7,52.12,18300,95383500000.0,,,
1996-01-02,IGPETRO,EQ,51.7,51.7,52.0,51.0,,51.1,51.29,25100,128734500000.0,,,
1996-01-03,IGPETRO,EQ,51.1,51.1,52.5,51.3,,51.35,51.73,12500,64657500000.0,,,
1996-01-04,IGPETRO,EQ,51.35,51.35,51.35,50.7,,50.85,50.98,8800,44862000000.0,,,
1996-01-05,IGPETRO,EQ,50.85,50.85,50.7,49.4,,49.95,49.94,20200,100882500000.0,,,
1996-01-08,IGPETRO,EQ,49.95,49.95,50.0,47.3,,47.8,48.86,26800,130951000000.0,,,
1996-01-09,IGPETRO,EQ,47.8,47.8,47.0,43.25,,45.5,44.53,28900,128696000000.0,,,
1996-01-10,IGPETRO,EQ,45.5,45.5,47.95,46.0,,46.8,46.79,19800,92640500000.0,,,
1996-01-11,IGPETRO,EQ,46.8,46.8,46.05,45.0,,45.6,45.55,33200,151212000000.0,,,
1996-01-12,IGPETRO,EQ,45.6,45.6,47.05,46.0,,46.6,46.83,17800,83362000000.0,,,
1996-01-15,IGPETRO,EQ,46.6,46.6,46.5,45.3,,45.8,45.76,6300,28827000000.0,,,
1996-01-16,IGPETRO,EQ,45.8,45.8,45.85,44.8,,45.05,45.24,25500,115350500000.0,,,
1996-01-17,IGPETRO,EQ,45.05,45.05,45.0,43.05,,43.75,44.6,12800,57083500000.0,,,
1996-01-18,IGPETRO,EQ,43.75,43.75,44.2,43.3,,43.75,43.81,8800,38549000000.0,,,
1996-01-19,IGPETRO,EQ,43.75,43.75,43.25,41.25,,41.45,42.0,13200,55446500000.0,,,
1996-01-22,IGPETRO,EQ,41.45,41.45,42.85,41.85,,42.45,42.27,11400,48191500000.0,,,
1996-01-23,IGPETRO,EQ,42.45,42.45,42.5,41.5,,41.7,42.12,21100,88874000000.0,,,
1996-01-24,IGPETRO,EQ,41.7,41.7,41.5,40.75,,41.15,41.15,12400,51030000000.0,,,
1996-01-25,IGPETRO,EQ,41.15,41.15,40.7,39.1,,40.3,40.16,14100,56623500000.0,,,
1996-01-29,IGPETRO,EQ,40.3,40.3,41.4,39.75,,41.05,40.76,21400,87218500000.0,,,
1996-01-30,IGPETRO,EQ,41.05,41.05,43.75,41.55,,42.15,42.34,24100,102036500000.0,,,
1996-01-31,IGPETRO,EQ,42.15,42.15,45.0,42.75,,43.95,44.29,27500,121801000000.0,,,
1996-02-01,IGPETRO,EQ,43.95,43.95,48.25,44.85,,47.0,46.01,33200,152759000000.0,,,
1996-02-02,IGPETRO,EQ,47.0,47.0,51.55,48.25,,49.9,49.93,113000,564228500000.0,,,
1996-02-05,IGPETRO,EQ,49.9,49.9,52.65,52.0,,52.65,52.55,41400,217552000000.0,,,
1996-02-06,IGPETRO,EQ,52.65,55.55,55.55,55.0,,55.25,55.43,98700,547137500000.0,,,
1996-02-07,IGPETRO,EQ,55.25,56.0,57.1,52.25,,54.25,54.63,112700,615677500000.0,,,
1996-02-08,IGPETRO,EQ,54.25,54.25,57.0,54.5,,56.85,56.14,143300,804429500000.0,,,
1996-02-09,IGPETRO,EQ,56.85,56.85,61.0,57.25,,59.8,59.07,84700,500342000000.0,,,
1996-02-12,IGPETRO,EQ,59.8,59.8,60.0,57.3,,58.25,58.96,105600,622636500000.0,,,
1996-02-13,IGPETRO,EQ,58.25,58.25,58.95,56.0,,57.8,57.52,205300,1180798500000.0,,,
1996-02-14,IGPETRO,EQ,57.8,63.75,63.9,63.25,,63.9,63.82,22900,146137500000.0,,,
1996-02-15,IGPETRO,EQ,63.9,63.9,70.65,65.55,,69.5,68.79,312400,2148998500000.0,,,
1996-02-16,IGPETRO,EQ,69.5,69.5,71.95,67.25,,68.85,69.56,242800,1688940500000.0,,,
1996-02-19,IGPETRO,EQ,68.85,68.85,70.5,67.3,,68.2,69.34,112600,780800500000.0,,,
1996-02-20,IGPETRO,EQ,68.2,68.2,68.0,65.5,,66.15,66.71,155300,1036083500000.0,,,
1996-02-22,IGPETRO,EQ,66.15,67.0,67.0,62.6,,65.7,64.81,253200,1641045500000.0,,,
1996-02-23,IGPETRO,EQ,65.7,65.7,65.95,63.55,,64.55,64.52,78700,507763500000.0,,,
1996-02-26,IGPETRO,EQ,64.55,64.55,65.7,64.1,,64.35,64.77,57900,375008000000.0,,,
1996-02-27,IGPETRO,EQ,64.35,63.1,63.95,63.1,,63.6,63.5,57500,365131500000.0,,,
1996-02-28,IGPETRO,EQ,63.6,63.6,63.5,57.35,,58.1,59.66,299800,1788572000000.0,,,
1996-02-29,IGPETRO,EQ,58.1,58.1,58.5,54.25,,54.8,55.54,255200,1417309500000.0,,,
1996-03-01,IGPETRO,EQ,54.8,56.25,60.3,55.0,,59.3,57.73,282100,1628601000000.0,,,
1996-03-04,IGPETRO,EQ,59.3,59.3,61.45,56.5,,57.4,57.8,177100,1023572000000.0,,,
1996-03-06,IGPETRO,EQ,57.4,56.1,57.0,55.5,,56.35,56.21,149100,838088000000.0,,,
1996-03-07,IGPETRO,EQ,56.35,56.35,57.85,55.05,,55.7,56.64,109900,622470000000.0,,,
1996-03-08,IGPETRO,EQ,55.7,55.7,55.5,53.6,,55.15,54.37,129800,705716500000.0,,,
1996-03-11,IGPETRO,EQ,55.15,55.0,55.0,53.5,,54.0,53.98,102900,555452000000.0,,,
1996-03-12,IGPETRO,EQ,54.0,54.0,56.05,50.0,,52.75,53.89,254200,1369785000000.0,,,
1996-03-13,IGPETRO,EQ,52.75,52.75,55.9,53.25,,54.9,54.6,65200,355975500000.0,,,
1996-03-14,IGPETRO,EQ,54.9,54.9,57.5,55.65,,56.15,56.58,71200,402829000000.0,,,
1996-03-15,IGPETRO,EQ,56.15,56.15,56.9,54.3,,54.7,55.28,85300,471553500000.0,,,
1996-03-18,IGPETRO,EQ,54.7,54.7,55.0,51.75,,51.95,52.91,68400,361890500000.0,,,
1996-03-19,IGPETRO,EQ,51.95,51.95,57.0,50.0,,51.55,51.11,129200,660325000000.0,,,
1996-03-21,IGPETRO,EQ,51.55,51.55,53.5,52.0,,52.6,52.82,20400,107751500000.0,,,
1996-03-22,IGPETRO,EQ,52.6,52.6,52.4,51.3,,51.85,51.77,29600,153246000000.0,,,
1996-03-25,IGPETRO,EQ,51.85,51.85,51.9,51.3,,51.65,51.6,13100,67594000000.0,,,
1996-03-26,IGPETRO,EQ,51.65,51.65,52.0,50.5,,51.7,51.14,25600,130917000000.0,,,
1996-03-27,IGPETRO,EQ,51.7,51.7,52.95,51.85,,52.0,52.46,16800,88137500000.0,,,
1996-03-28,IGPETRO,EQ,52.0,52.0,53.25,52.35,,53.05,52.76,21600,113967500000.0,,,
