Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-08-17,IITL,EQ,178.5,186.4,187.45,186.0,186.05,186.85,187.05,4744,88734860000.0,,3612,0.7614000000000001
2010-08-18,IITL,EQ,186.85,196.0,196.2,189.25,192.5,192.5,193.06,1941,37472065000.0,,1537,0.7919
2010-08-19,IITL,EQ,192.5,201.9,201.9,182.9,195.0,195.4,190.38,1698,32326690000.000004,,1431,0.8428
2010-08-20,IITL,EQ,195.4,195.0,199.7,195.0,198.0,198.0,196.09,1373,26923500000.0,,1267,0.9228000000000001
2010-08-23,IITL,EQ,198.0,189.0,207.9,189.0,207.9,207.9,201.92,3907,78891830000.0,,3794,0.9711
2011-03-07,IITL,EQ,165.9,158.0,174.1,157.6,157.6,157.6,157.84,101,1594185000.0,,36,0.3564
2011-03-09,IITL,EQ,157.6,161.0,161.0,161.0,161.0,161.0,161.0,34900,561890000000.0,,34900,1.0
2011-03-10,IITL,EQ,161.0,161.0,161.0,160.0,160.0,160.0,161.0,40876,658103500000.0,,40876,1.0
2011-03-17,IITL,EQ,160.0,155.0,155.0,155.0,155.0,155.0,155.0,20,310000000.0,,20,1.0
2011-03-18,IITL,EQ,155.0,150.0,159.95,150.0,159.95,150.6,150.62,16,240994999.99999997,,15,0.9375
2011-03-23,IITL,EQ,150.6,143.1,143.1,143.1,143.1,143.1,143.1,25,357750000.0,,25,1.0
2011-03-24,IITL,EQ,143.1,143.1,143.1,143.1,143.1,143.1,143.1,1,14310000.0,,1,1.0
2011-03-25,IITL,EQ,143.1,142.0,142.0,136.0,136.0,136.0,138.0,15,207000000.0,,15,1.0
2011-03-30,IITL,EQ,136.0,129.2,129.2,129.2,129.2,129.2,129.2,4,51679999.99999999,,4,1.0
2011-04-04,IITL,EQ,129.2,135.7,135.7,135.7,135.7,135.7,135.7,40,542800000.0,,40,1.0
2011-04-11,IITL,EQ,135.7,142.5,142.5,142.5,142.5,142.5,142.5,100,1425000000.0,,100,1.0
2011-04-19,IITL,EQ,142.5,140.0,140.0,135.4,135.4,135.4,135.44,252,3413000000.0,,252,1.0
2011-04-25,IITL,EQ,135.4,142.1,142.1,142.1,142.1,142.1,142.1,5,71050000.0,,5,1.0
2011-04-27,IITL,EQ,142.1,135.0,135.0,135.0,135.0,135.0,135.0,30,405000000.0,,30,1.0
2011-04-28,IITL,EQ,135.0,139.95,139.95,139.95,139.95,139.95,139.95,150,2099250000.0,,150,1.0
2011-05-03,IITL,EQ,139.95,132.95,132.95,132.95,132.95,132.95,132.95,100,1329500000.0,,100,1.0
2011-05-04,IITL,EQ,132.95,130.05,130.05,130.0,130.0,130.0,130.03,10,130025000.0,,10,1.0
2011-05-06,IITL,EQ,130.0,125.0,134.9,125.0,134.9,134.9,129.95,30,389850000.0,,0,0.0
2011-05-06,IITL,EQ,130.0,125.0,134.9,125.0,134.9,134.9,129.95,30,389850000.0,,0,0.0
2011-05-09,IITL,EQ,134.9,128.5,128.5,128.5,128.5,128.5,128.5,5,64250000.0,,5,1.0
2011-05-10,IITL,EQ,128.5,122.65,123.0,122.65,123.0,123.0,122.74,68,834650000.0,,68,1.0
2011-05-12,IITL,EQ,123.0,118.0,118.0,118.0,118.0,118.0,118.0,7,82600000.0,,7,1.0
2011-05-18,IITL,EQ,118.0,115.05,123.9,115.05,123.9,119.5,115.73,118,1365620000.0,,100,0.8475
2011-05-19,IITL,EQ,119.5,113.65,115.3,113.65,115.3,115.3,115.14,13,149685000.0,,11,0.8462000000000001
2011-05-20,IITL,EQ,115.3,109.65,110.9,109.6,110.6,110.6,109.76,220,2414675000.0,,175,0.7955
2011-05-23,IITL,EQ,110.6,116.1,116.1,116.1,116.1,116.1,116.1,1,11610000.0,,0,0.0
2011-05-31,IITL,EQ,116.1,121.95,121.95,121.95,121.95,121.95,121.95,10,121950000.0,,10,1.0
2011-06-01,IITL,EQ,121.95,127.0,127.35,117.0,127.35,127.35,122.25,210,2567350000.0,3.0,10,0.047599999999999996
2011-06-02,IITL,EQ,127.35,133.75,133.75,133.75,133.75,133.75,133.75,210,2808750000.0,4.0,210,1.0
2011-06-03,IITL,EQ,133.75,127.25,140.45,127.25,135.0,135.0,139.81,362,5061235000.0,12.0,360,0.9945
2011-06-06,IITL,EQ,135.0,141.7,141.75,141.7,141.75,141.75,141.71,130,1842200000.0,2.0,130,1.0
2011-06-07,IITL,EQ,141.75,148.8,148.85,148.8,148.85,148.85,148.84,173,2574980000.0,8.0,173,1.0
2011-06-08,IITL,EQ,148.85,150.0,156.2,150.0,150.0,150.05,150.06,545,8178339999.999999,8.0,545,1.0
2011-06-09,IITL,EQ,150.05,155.1,156.3,150.0,150.85,153.55,151.55,339,5137540000.0,11.0,200,0.59
2011-09-08,IITL,EQ,126.0,130.75,130.75,130.75,130.75,130.75,130.75,10,130750000.0,1.0,10,1.0
2011-09-12,IITL,EQ,130.75,125.0,125.0,125.0,125.0,125.0,125.0,3,37500000.0,1.0,3,1.0
2011-09-16,IITL,EQ,125.0,131.25,131.25,131.25,131.25,131.25,131.25,10,131250000.0,1.0,10,1.0
2011-09-21,IITL,EQ,131.25,127.3,127.3,127.3,127.3,127.3,127.3,8,101840000.0,1.0,8,1.0
2011-09-22,IITL,EQ,127.3,120.95,120.95,120.95,120.95,120.95,120.95,1,12095000.0,1.0,1,1.0
2011-10-10,IITL,EQ,120.95,149.6,165.35,149.6,152.5,154.6,159.3,522,8315325000.0,39.0,224,0.4291
2011-10-11,IITL,EQ,154.6,160.0,162.3,149.25,160.9,159.25,156.54,63,986179999.9999999,13.0,25,0.3968
2011-10-13,IITL,EQ,159.25,151.55,151.55,151.55,151.55,151.55,151.55,113,1712515000.0000002,8.0,113,1.0
2011-10-14,IITL,EQ,151.55,144.0,144.05,144.0,144.05,144.05,144.0,105,1512025000.0,3.0,105,1.0
2011-10-17,IITL,EQ,144.05,136.85,136.85,136.85,136.85,136.85,136.85,50,684250000.0,1.0,50,1.0
