Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-07-23,IMFA,EQ,714.1,729.8,749.9,701.25,708.0,708.4,725.55,31287,2270030895000.0,,3285,0.105
2010-07-26,IMFA,EQ,708.4,715.0,716.8,701.0,701.15,703.4,707.1,1650,116672170000.0,,1247,0.7558
2010-07-27,IMFA,EQ,703.4,700.0,709.0,690.0,703.0,701.05,697.22,897,62540755000.00001,,559,0.6232
2010-07-28,IMFA,EQ,701.05,724.9,724.9,692.1,692.1,694.1,697.25,278,19383645000.0,,254,0.9137000000000001
2010-07-29,IMFA,EQ,694.1,635.5,698.0,635.5,698.0,698.0,690.89,567,39173465000.0,,526,0.9277
2010-07-30,IMFA,EQ,698.0,690.0,697.0,686.1,692.1,692.6,693.63,695,48207470000.0,,428,0.6158
2010-08-02,IMFA,EQ,692.6,691.0,708.0,686.0,691.1,691.25,693.12,1435,99462870000.0,,1147,0.7993000000000001
2010-08-03,IMFA,EQ,691.25,697.0,700.0,691.15,691.5,692.6,694.72,2230,154921985000.0,,1111,0.49820000000000003
2010-08-04,IMFA,EQ,692.6,691.0,699.8,672.05,672.05,681.7,688.27,1233,84863655000.0,,840,0.6813
2010-08-05,IMFA,EQ,681.7,681.0,685.0,665.0,665.0,674.6,677.74,660,44731155000.0,,463,0.7015000000000001
2010-08-06,IMFA,EQ,674.6,675.0,683.9,660.5,662.0,665.4,672.84,1316,88545770000.0,,952,0.7234
2010-08-09,IMFA,EQ,665.4,670.0,735.0,670.0,718.0,725.15,708.12,3939,278929670000.0,,2525,0.6409999999999999
2010-08-10,IMFA,EQ,725.15,725.15,725.15,703.15,707.0,710.05,713.35,2694,192175785000.0,,1761,0.6537000000000001
2010-08-11,IMFA,EQ,710.05,691.0,711.0,691.0,691.05,692.65,704.01,609,42873940000.0,,196,0.32180000000000003
2010-08-12,IMFA,EQ,692.65,690.05,699.0,687.0,691.0,690.55,693.97,572,39695275000.0,,407,0.7115
2010-08-13,IMFA,EQ,690.55,670.0,697.8,670.0,685.0,682.0,679.99,960,65279390000.0,,503,0.524
2010-08-16,IMFA,EQ,682.0,690.0,720.5,685.15,701.6,703.15,703.88,9078,638984935000.0,,6778,0.7465999999999999
2010-08-17,IMFA,EQ,703.15,701.0,705.0,690.4,700.0,700.0,699.86,1201,84053155000.0,,856,0.7127
2010-08-18,IMFA,EQ,700.0,692.1,720.0,692.1,701.0,702.8,715.38,3091,221124304999.99997,,1652,0.5345000000000001
2010-08-19,IMFA,EQ,702.8,714.0,715.0,690.55,693.5,693.7,702.03,1335,93720480000.0,,1018,0.7625000000000001
2010-08-20,IMFA,EQ,693.7,690.1,699.8,685.0,689.9,687.7,690.28,651,44937065000.0,,537,0.8249
2010-08-23,IMFA,EQ,687.7,685.0,699.0,680.0,680.0,683.0,687.82,800,55025450000.0,,528,0.66
2010-08-24,IMFA,EQ,683.0,676.0,689.95,670.0,673.0,675.25,674.68,1327,89530385000.0,,620,0.4672
2010-08-25,IMFA,EQ,675.25,695.0,695.0,660.0,660.0,662.85,666.39,1535,102291095000.0,,1078,0.7023
2010-08-26,IMFA,EQ,662.85,674.9,674.9,654.0,655.3,660.3,664.11,647,42968120000.0,,523,0.8083
2010-08-27,IMFA,EQ,660.3,638.0,675.0,638.0,650.15,651.0,662.31,1248,82655735000.0,,664,0.5321
2010-08-30,IMFA,EQ,651.0,669.5,675.0,648.2,660.95,652.95,659.94,1601,105655964999.99998,,1012,0.6321
2010-08-31,IMFA,EQ,652.95,649.0,654.75,630.1,630.1,635.65,643.69,2424,156029540000.0,,1692,0.698
2010-09-01,IMFA,EQ,635.65,658.45,670.0,640.05,669.0,665.5,649.89,1245,80911660000.0,,767,0.6161
2010-09-02,IMFA,EQ,665.5,688.0,688.0,655.05,663.0,664.05,674.38,1510,101831685000.0,,1165,0.7715000000000001
2010-09-03,IMFA,EQ,664.05,652.35,664.9,650.0,664.9,660.2,656.83,1242,81578355000.0,,795,0.6401000000000001
2010-09-06,IMFA,EQ,660.2,661.0,710.0,661.0,690.0,688.8,682.59,8544,583207790000.0,,5481,0.6415000000000001
2010-09-07,IMFA,EQ,688.8,690.0,699.0,680.05,688.2,689.1,690.32,1373,94780725000.0,,837,0.6096
2010-09-08,IMFA,EQ,689.1,680.1,767.0,680.1,728.0,724.1,744.06,89246,6640474845000.0,,10273,0.1151
2010-09-09,IMFA,EQ,724.1,750.0,760.0,706.15,738.15,739.95,745.45,11057,824247780000.0,,6448,0.5832
