Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-10-08,INDIANCARD,EQ,70.0,64.95,64.95,64.95,,64.95,64.95,100,649500000.0,,,
1996-10-14,INDIANCARD,EQ,64.95,68.95,68.95,68.05,,68.05,68.5,300,2055000000.0,,,
1996-10-15,INDIANCARD,EQ,68.05,65.5,65.5,65.5,,65.5,65.5,100,655000000.0,,,
1996-10-16,INDIANCARD,EQ,65.5,68.0,68.0,68.0,,68.0,68.0,50,340000000.0,,,
1996-10-24,INDIANCARD,EQ,68.0,68.0,70.0,68.0,,70.0,68.57,700,4800000000.0,,,
1996-10-25,INDIANCARD,EQ,70.0,69.5,69.5,69.5,,69.5,69.5,300,2085000000.0,,,
1996-11-05,INDIANCARD,EQ,69.5,67.0,70.0,67.0,,70.0,67.6,250,1690000000.0,,,
1996-11-06,INDIANCARD,EQ,70.0,67.0,67.0,66.95,,66.95,66.98,400,2679000000.0,,,
1996-11-07,INDIANCARD,EQ,66.95,65.5,65.5,65.0,,65.0,65.17,300,1955000000.0,,,
1996-11-08,INDIANCARD,EQ,65.0,65.5,65.5,64.25,,64.25,64.67,300,1940000000.0,,,
1996-11-14,INDIANCARD,EQ,64.25,62.05,62.05,62.05,,62.05,62.05,50,310250000.0,,,
1996-11-15,INDIANCARD,EQ,62.05,64.7,64.7,64.7,,64.7,64.7,50,323500000.0,,,
1996-11-18,INDIANCARD,EQ,64.7,66.0,66.0,66.0,,66.0,66.0,300,1980000000.0,,,
1996-11-19,INDIANCARD,EQ,66.0,62.5,66.0,62.5,,66.0,64.25,200,1285000000.0,,,
1996-11-20,INDIANCARD,EQ,66.0,64.75,64.75,63.0,,63.0,64.32,300,1929500000.0,,,
1996-11-21,INDIANCARD,EQ,63.0,62.0,62.0,62.0,,62.0,62.0,100,620000000.0,,,
1996-11-25,INDIANCARD,EQ,62.0,59.0,59.0,59.0,,59.0,59.0,50,295000000.0,,,
1996-11-29,INDIANCARD,EQ,59.0,57.0,57.0,57.0,,57.0,57.0,200,1140000000.0,,,
1996-12-03,INDIANCARD,EQ,57.0,54.0,54.0,54.0,,54.0,54.0,50,270000000.0,,,
1996-12-04,INDIANCARD,EQ,54.0,50.05,50.05,50.05,,50.05,50.05,50,250250000.0,,,
1996-12-10,INDIANCARD,EQ,50.05,47.5,47.5,47.5,,47.5,47.5,50,237500000.0,,,
1996-12-11,INDIANCARD,EQ,47.5,50.0,52.0,50.0,,52.0,51.0,100,510000000.0,,,
1996-12-13,INDIANCARD,EQ,52.0,50.0,50.0,50.0,,50.0,50.0,50,250000000.0,,,
1996-12-16,INDIANCARD,EQ,50.0,51.95,52.0,50.25,,50.25,51.54,200,1030750000.0,,,
1996-12-17,INDIANCARD,EQ,50.25,51.0,52.0,51.0,,52.0,51.5,200,1030000000.0,,,
1996-12-18,INDIANCARD,EQ,52.0,52.25,53.0,52.1,,52.75,52.19,1950,10176500000.0,,,
1996-12-19,INDIANCARD,EQ,52.75,56.3,56.3,55.0,,56.0,55.76,700,3903000000.0,,,
1996-12-20,INDIANCARD,EQ,56.0,56.0,56.0,55.0,,55.0,55.81,400,2232250000.0,,,
1996-12-23,INDIANCARD,EQ,55.0,55.5,58.0,55.5,,58.0,57.25,200,1145000000.0,,,
1996-12-24,INDIANCARD,EQ,58.0,56.5,58.0,56.5,,57.8,57.2,350,2002000000.0,,,
1996-12-26,INDIANCARD,EQ,57.8,60.0,63.0,60.0,,63.0,61.99,350,2169750000.0,,,
1996-12-31,INDIANCARD,EQ,63.0,63.55,64.0,62.05,,64.0,63.26,750,4744500000.0,,,
1997-01-01,INDIANCARD,EQ,64.0,69.5,70.0,69.5,,70.0,69.75,100,697500000.0,,,
1997-01-02,INDIANCARD,EQ,70.0,68.75,70.0,66.0,,66.0,68.03,450,3061250000.0,,,
1997-01-03,INDIANCARD,EQ,66.0,64.0,64.0,64.0,,64.0,64.0,450,2880000000.0,,,
1997-01-06,INDIANCARD,EQ,64.0,65.0,65.0,64.0,,65.0,64.6,250,1615000000.0,,,
1997-01-07,INDIANCARD,EQ,65.0,66.05,67.0,66.05,,66.5,66.64,550,3665250000.0,,,
1997-01-08,INDIANCARD,EQ,66.5,69.95,70.0,68.5,,68.55,69.36,350,2427500000.0,,,
1997-01-09,INDIANCARD,EQ,68.55,67.0,67.45,65.0,,67.45,66.33,650,4311750000.0,,,
1997-01-10,INDIANCARD,EQ,67.45,67.75,67.75,67.75,,67.75,67.75,100,677500000.0,,,
1997-01-13,INDIANCARD,EQ,67.75,70.5,70.5,67.25,,67.25,69.22,550,3807250000.0,,,
1997-01-14,INDIANCARD,EQ,67.25,70.5,71.5,69.5,,69.5,70.55,500,3527500000.0,,,
1997-01-15,INDIANCARD,EQ,69.5,74.0,74.0,71.8,,74.0,73.45,200,1469000000.0,,,
1997-01-16,INDIANCARD,EQ,74.0,80.0,81.25,72.05,,72.1,76.62,1500,11492250000.0,,,
1997-01-17,INDIANCARD,EQ,72.1,70.0,70.0,70.0,,70.0,70.0,150,1050000000.0,,,
1997-01-20,INDIANCARD,EQ,70.0,66.5,66.5,64.25,,64.25,65.38,200,1307500000.0,,,
1997-01-21,INDIANCARD,EQ,64.25,63.0,63.5,60.0,,60.5,62.05,500,3102500000.0,,,
1997-01-22,INDIANCARD,EQ,60.5,64.5,64.5,64.5,,64.5,64.5,50,322500000.0,,,
1997-01-24,INDIANCARD,EQ,64.5,67.9,67.9,67.9,,67.9,67.9,50,339500000.0,,,
1997-01-27,INDIANCARD,EQ,67.9,63.0,66.15,63.0,,66.15,65.35,350,2287250000.0,,,
1997-01-29,INDIANCARD,EQ,66.15,66.5,66.5,66.5,,66.5,66.5,50,332500000.0,,,
1997-01-30,INDIANCARD,EQ,66.5,66.5,66.55,65.0,,65.0,66.26,300,1987750000.0,,,
1997-01-31,INDIANCARD,EQ,65.0,63.0,63.0,60.0,,60.0,60.13,3800,22850500000.0,,,
1997-02-03,INDIANCARD,EQ,60.0,60.0,60.0,60.0,,60.0,60.0,100,600000000.0,,,
1997-02-04,INDIANCARD,EQ,60.0,60.0,60.0,60.0,,60.0,60.0,250,1500000000.0,,,
1997-02-05,INDIANCARD,EQ,60.0,60.0,60.0,60.0,,60.0,60.0,200,1200000000.0,,,
1997-02-06,INDIANCARD,EQ,60.0,60.0,60.0,60.0,,60.0,60.0,100,600000000.0,,,
1997-02-07,INDIANCARD,EQ,60.0,59.15,61.0,59.15,,61.0,60.08,100,600750000.0,,,
1997-02-10,INDIANCARD,EQ,61.0,61.0,61.0,61.0,,61.0,61.0,150,915000000.0,,,
1997-02-11,INDIANCARD,EQ,61.0,60.0,60.0,60.0,,60.0,60.0,200,1200000000.0,,,
1997-02-12,INDIANCARD,EQ,60.0,66.0,66.0,62.0,,62.0,62.57,350,2190000000.0,,,
1997-02-13,INDIANCARD,EQ,62.0,61.0,61.0,61.0,,61.0,61.0,200,1220000000.0,,,
1997-02-14,INDIANCARD,EQ,61.0,59.0,60.0,59.0,,60.0,59.84,650,3889750000.0,,,
1997-02-20,INDIANCARD,EQ,60.0,58.1,58.1,58.1,,58.1,58.1,50,290500000.0,,,
1997-02-21,INDIANCARD,EQ,58.1,58.2,58.2,57.25,,57.25,57.73,100,577250000.0,,,
1997-02-25,INDIANCARD,EQ,57.25,56.0,57.0,56.0,,57.0,56.5,200,1130000000.0,,,
1997-02-26,INDIANCARD,EQ,57.0,57.0,57.0,55.5,,55.5,56.39,400,2255500000.0,,,
1997-02-28,INDIANCARD,EQ,55.5,55.0,55.0,55.0,,55.0,55.0,400,2200000000.0,,,
1997-03-01,INDIANCARD,EQ,55.0,55.0,55.0,52.0,,52.0,53.33,900,4800000000.0,,,
1997-03-04,INDIANCARD,EQ,52.0,57.2,57.2,57.2,,57.2,57.2,50,286000000.0,,,
1997-03-05,INDIANCARD,EQ,57.2,62.85,62.85,62.85,,62.85,62.85,150,942750000.0,,,
1997-03-06,INDIANCARD,EQ,62.85,63.0,66.25,61.0,,64.55,63.75,600,3825250000.0,,,
1997-03-10,INDIANCARD,EQ,64.55,60.0,60.0,58.45,,58.5,58.94,850,5009500000.0,,,
1997-03-11,INDIANCARD,EQ,58.5,57.55,57.55,57.0,,57.0,57.35,300,1720500000.0,,,
1997-03-17,INDIANCARD,EQ,57.0,58.0,58.05,58.0,,58.0,58.01,350,2030250000.0,,,
1997-03-18,INDIANCARD,EQ,58.0,56.25,56.25,54.0,,55.0,54.99,650,3574500000.0,,,
1997-03-19,INDIANCARD,EQ,55.0,56.0,56.0,56.0,,56.0,56.0,100,560000000.0,,,
