Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-17,INDLMETER,EQ,0.0,80.0,80.0,80.0,,80.0,80.0,100,800000000.0,,,
1996-01-18,INDLMETER,EQ,80.0,80.0,81.0,81.0,,81.0,81.0,100,810000000.0,,,
1996-01-19,INDLMETER,EQ,81.0,80.0,80.0,80.0,,80.0,80.0,100,800000000.0,,,
1996-01-23,INDLMETER,EQ,80.0,80.0,82.5,72.5,,82.5,77.58,3100,24050000000.0,,,
1996-02-09,INDLMETER,EQ,82.5,75.0,75.0,75.0,,75.0,75.0,100,750000000.0,,,
1996-02-13,INDLMETER,EQ,75.0,75.0,75.0,75.0,,75.0,75.0,100,750000000.0,,,
1996-02-14,INDLMETER,EQ,75.0,67.5,67.5,67.5,,67.5,67.5,100,675000000.0,,,
1996-02-15,INDLMETER,EQ,67.5,62.15,62.15,62.15,,62.15,62.15,100,621500000.0,,,
1996-02-16,INDLMETER,EQ,62.15,59.5,59.5,59.5,,59.5,59.5,200,1190000000.0,,,
1996-03-01,INDLMETER,EQ,59.5,55.0,55.0,55.0,,55.0,55.0,100,550000000.0,,,
1996-03-04,INDLMETER,EQ,55.0,50.25,54.5,50.25,,54.5,52.38,4000,20950000000.0,,,
1996-03-06,INDLMETER,EQ,54.5,54.5,58.0,58.0,,58.0,58.0,200,1160000000.0,,,
1996-03-12,INDLMETER,EQ,58.0,60.0,63.5,60.0,,63.5,61.75,200,1235000000.0,,,
1996-03-13,INDLMETER,EQ,63.5,61.0,61.0,61.0,,61.0,61.0,100,610000000.0,,,
1996-03-15,INDLMETER,EQ,61.0,57.0,57.0,57.0,,57.0,57.0,100,570000000.0,,,
1996-04-01,INDLMETER,EQ,57.0,57.0,62.0,62.0,,62.0,62.0,100,620000000.0,,,
1996-04-03,INDLMETER,EQ,62.0,68.0,68.0,62.5,,62.5,65.25,200,1305000000.0,,,
1996-04-04,INDLMETER,EQ,62.5,68.0,68.0,62.5,,62.5,65.17,300,1955000000.0,,,
1996-04-15,INDLMETER,EQ,62.5,62.5,62.5,62.05,,62.05,62.41,800,4993000000.0,,,
1996-04-16,INDLMETER,EQ,62.05,62.75,62.75,62.75,,62.75,62.75,100,627500000.0,,,
1996-05-13,INDLMETER,EQ,62.75,67.0,69.0,65.0,,69.0,66.38,800,5310000000.0,,,
1996-05-14,INDLMETER,EQ,69.0,68.3,75.9,68.3,,75.9,70.95,1000,7095000000.0,,,
1996-05-15,INDLMETER,EQ,75.9,73.0,77.5,72.5,,76.25,73.63,800,5890500000.0,,,
1996-05-16,INDLMETER,EQ,76.25,79.0,79.0,79.0,,79.0,79.0,100,790000000.0,,,
1996-05-20,INDLMETER,EQ,79.0,79.0,72.0,72.0,,72.0,72.0,600,4320000000.0,,,
1996-05-21,INDLMETER,EQ,72.0,72.75,72.75,72.0,,72.0,72.13,1000,7212500000.0,,,
1996-05-22,INDLMETER,EQ,72.0,72.0,79.0,72.0,,79.0,74.33,300,2230000000.0,,,
1996-05-28,INDLMETER,EQ,79.0,71.0,71.0,71.0,,71.0,71.0,200,1420000000.0,,,
1996-05-30,INDLMETER,EQ,71.0,75.0,75.45,75.0,,75.25,75.23,600,4513500000.0,,,
1996-05-31,INDLMETER,EQ,75.25,77.5,77.5,77.5,,77.5,77.5,100,775000000.0,,,
1996-06-03,INDLMETER,EQ,77.5,77.5,80.0,77.5,,80.0,78.75,200,1575000000.0,,,
1996-06-05,INDLMETER,EQ,80.0,80.0,80.0,80.0,,80.0,80.0,100,800000000.0,,,
1996-06-10,INDLMETER,EQ,80.0,79.85,79.85,79.85,,79.85,79.85,100,798500000.0,,,
1996-06-12,INDLMETER,EQ,79.85,85.0,85.0,84.5,,84.5,84.92,600,5095000000.0,,,
1996-06-13,INDLMETER,EQ,84.5,80.6,82.0,80.5,,82.0,81.03,300,2431000000.0,,,
1996-06-14,INDLMETER,EQ,82.0,82.0,85.0,82.0,,84.05,83.23,900,7490500000.0,,,
1996-06-17,INDLMETER,EQ,84.05,82.0,85.0,82.0,,83.0,82.88,800,6630000000.0,,,
1996-06-18,INDLMETER,EQ,83.0,82.3,84.5,82.3,,83.0,82.78,900,7450000000.0,,,
1996-06-19,INDLMETER,EQ,83.0,90.9,90.9,80.25,,83.75,83.26,900,7493500000.0,,,
1996-06-24,INDLMETER,EQ,83.75,76.0,76.0,76.0,,76.0,76.0,500,3800000000.0,,,
1996-06-25,INDLMETER,EQ,76.0,82.0,84.0,81.0,,81.0,82.75,800,6620000000.0,,,
1996-06-26,INDLMETER,EQ,81.0,82.0,82.5,82.0,,82.5,82.43,700,5770000000.0,,,
1996-06-27,INDLMETER,EQ,82.5,82.0,82.0,82.0,,82.0,82.0,300,2460000000.0,,,
1996-06-28,INDLMETER,EQ,82.0,84.0,84.0,80.0,,80.0,81.71,700,5720000000.0,,,
1996-07-02,INDLMETER,EQ,80.0,81.9,81.9,81.9,,81.9,81.9,400,3276000000.0,,,
1996-07-03,INDLMETER,EQ,81.9,80.0,80.9,80.0,,80.9,80.75,600,4845000000.0,,,
1996-07-04,INDLMETER,EQ,80.9,80.0,80.7,80.0,,80.7,80.39,900,7235000000.0,,,
1996-07-05,INDLMETER,EQ,80.7,80.0,80.0,80.0,,80.0,80.0,100,800000000.0,,,
1996-07-09,INDLMETER,EQ,80.0,83.0,83.0,80.05,,80.05,82.01,500,4100500000.0,,,
1996-07-11,INDLMETER,EQ,80.05,78.0,78.0,78.0,,78.0,78.0,200,1560000000.0,,,
1996-07-12,INDLMETER,EQ,78.0,78.0,80.75,78.0,,78.1,78.95,300,2368500000.0,,,
1996-07-15,INDLMETER,EQ,78.1,78.0,79.0,78.0,,79.0,78.5,200,1570000000.0,,,
1996-07-16,INDLMETER,EQ,79.0,80.5,80.5,78.0,,78.0,79.25,200,1585000000.0,,,
1996-07-17,INDLMETER,EQ,78.0,78.0,78.0,78.0,,78.0,78.0,400,3120000000.0,,,
1996-07-18,INDLMETER,EQ,78.0,78.0,78.0,77.0,,77.0,77.71,700,5440000000.0,,,
1996-07-19,INDLMETER,EQ,77.0,78.0,78.0,78.0,,78.0,78.0,400,3120000000.0,,,
1996-07-23,INDLMETER,EQ,78.0,77.0,77.0,77.0,,77.0,77.0,100,770000000.0,,,
1996-07-25,INDLMETER,EQ,77.0,78.0,78.0,78.0,,78.0,78.0,400,3120000000.0,,,
1996-07-26,INDLMETER,EQ,78.0,78.25,78.25,78.25,,78.25,78.25,400,3130000000.0,,,
1996-07-29,INDLMETER,EQ,78.25,79.0,79.0,78.25,,78.25,78.85,500,3942500000.0,,,
1996-07-30,INDLMETER,EQ,78.25,78.25,78.25,78.0,,78.0,78.11,900,7030000000.0,,,
1996-08-01,INDLMETER,EQ,78.0,71.0,78.0,71.0,,78.0,75.67,300,2270000000.0,,,
