Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1997-05-07,INDRAMEDCO,EQ,0.0,9.4,9.9,8.8,,9.15,9.43,24300,22905000000.0,,,
1997-05-08,INDRAMEDCO,EQ,9.15,9.65,9.65,8.95,,9.15,9.05,11800,10681500000.0,,,
1997-05-09,INDRAMEDCO,EQ,9.15,9.3,9.3,9.0,,9.05,9.13,9700,8857000000.0,,,
1997-05-12,INDRAMEDCO,EQ,9.05,9.05,9.2,8.9,,9.05,9.04,5000,4521500000.0,,,
1997-05-13,INDRAMEDCO,EQ,9.05,9.0,9.25,9.0,,9.05,9.07,3700,3354500000.0,,,
1997-05-14,INDRAMEDCO,EQ,9.05,9.0,9.0,8.9,,8.9,8.98,500,449000000.0,,,
1997-05-15,INDRAMEDCO,EQ,8.9,9.0,9.05,9.0,,9.05,9.04,500,452000000.0,,,
1997-05-16,INDRAMEDCO,EQ,9.05,8.6,8.9,8.5,,8.5,8.64,4000,3455000000.0,,,
1997-05-19,INDRAMEDCO,EQ,8.5,9.0,9.0,8.3,,8.3,8.39,9600,8052000000.0,,,
1997-05-20,INDRAMEDCO,EQ,8.3,9.0,9.0,8.25,,8.4,8.41,15300,12869500000.0,,,
1997-05-21,INDRAMEDCO,EQ,8.4,8.15,8.45,8.1,,8.15,8.3,2400,1991000000.0,,,
1997-05-22,INDRAMEDCO,EQ,8.15,8.25,8.4,7.55,,7.6,7.79,10700,8339500000.0,,,
1997-05-23,INDRAMEDCO,EQ,7.6,8.0,8.0,6.7,,6.7,7.17,8100,5806500000.0,,,
1997-05-26,INDRAMEDCO,EQ,6.7,7.0,7.0,6.2,,6.55,6.62,5600,3708000000.0,,,
1997-05-27,INDRAMEDCO,EQ,6.55,7.0,7.0,6.6,,6.75,6.74,3000,2020500000.0,,,
1997-05-28,INDRAMEDCO,EQ,6.75,6.85,6.85,6.7,,6.85,6.78,3500,2372500000.0,,,
1997-05-29,INDRAMEDCO,EQ,6.85,7.0,7.25,6.7,,7.1,6.98,3300,2302500000.0,,,
1997-05-30,INDRAMEDCO,EQ,7.1,7.0,7.05,7.0,,7.05,7.03,1000,702500000.0,,,
1997-06-02,INDRAMEDCO,EQ,7.05,7.0,7.2,7.0,,7.15,7.14,700,499500000.0,,,
1997-06-03,INDRAMEDCO,EQ,7.15,7.25,7.35,7.05,,7.35,7.19,3600,2587500000.0,,,
1997-06-04,INDRAMEDCO,EQ,7.35,6.9,7.25,6.85,,7.25,7.0,800,560000000.0,,,
1997-06-05,INDRAMEDCO,EQ,7.25,7.1,7.25,7.05,,7.25,7.16,1900,1360500000.0,,,
1997-06-06,INDRAMEDCO,EQ,7.25,7.0,7.45,7.0,,7.35,7.17,4500,3225500000.0,,,
1997-06-09,INDRAMEDCO,EQ,7.35,7.15,7.5,7.1,,7.5,7.32,2400,1756000000.0,,,
1997-06-10,INDRAMEDCO,EQ,7.5,7.15,7.95,7.15,,7.55,7.64,3000,2292000000.0,,,
1997-06-11,INDRAMEDCO,EQ,7.55,7.9,7.9,7.75,,7.75,7.83,1600,1252000000.0,,,
1997-06-12,INDRAMEDCO,EQ,7.75,7.65,7.95,7.65,,7.9,7.87,2800,2203500000.0,,,
1997-06-13,INDRAMEDCO,EQ,7.9,7.9,8.0,7.5,,7.65,7.81,2600,2030500000.0,,,
1997-06-16,INDRAMEDCO,EQ,7.65,8.2,8.3,7.6,,7.6,7.98,1800,1437000000.0,,,
1997-06-17,INDRAMEDCO,EQ,7.6,7.85,8.0,7.65,,7.65,7.95,2200,1748000000.0,,,
1997-06-18,INDRAMEDCO,EQ,7.65,8.1,8.1,7.6,,7.9,7.84,1900,1489000000.0,,,
1997-06-19,INDRAMEDCO,EQ,7.9,7.75,7.9,7.6,,7.8,7.77,2800,2176500000.0,,,
1997-06-20,INDRAMEDCO,EQ,7.8,7.6,7.85,7.6,,7.7,7.76,2200,1708000000.0,,,
1997-06-23,INDRAMEDCO,EQ,7.7,7.75,7.8,7.5,,7.8,7.67,1100,844000000.0,,,
1997-06-24,INDRAMEDCO,EQ,7.8,7.55,7.7,7.55,,7.6,7.64,2200,1681500000.0,,,
1997-06-25,INDRAMEDCO,EQ,7.6,8.0,8.5,8.0,,8.0,8.19,6900,5648000000.0,,,
1997-06-26,INDRAMEDCO,EQ,8.0,8.05,8.1,8.05,,8.1,8.08,200,161500000.0,,,
1997-06-27,INDRAMEDCO,EQ,8.1,8.0,8.5,8.0,,8.0,8.03,3400,2731000000.0,,,
1997-06-30,INDRAMEDCO,EQ,8.0,7.75,8.0,7.55,,7.75,7.72,3300,2547500000.0,,,
1997-07-01,INDRAMEDCO,EQ,7.75,8.0,8.25,7.9,,8.15,8.12,8200,6656000000.0,,,
1997-07-02,INDRAMEDCO,EQ,8.15,8.25,8.7,8.2,,8.3,8.37,10800,9036000000.0,,,
1997-07-03,INDRAMEDCO,EQ,8.3,8.25,9.35,8.1,,9.25,8.81,8000,7048500000.0,,,
1997-07-04,INDRAMEDCO,EQ,9.25,9.25,9.75,9.15,,9.5,9.33,12900,12038000000.0,,,
1997-07-07,INDRAMEDCO,EQ,9.5,9.25,9.6,9.25,,9.55,9.42,7200,6781500000.0,,,
1997-07-08,INDRAMEDCO,EQ,9.55,9.7,9.7,9.15,,9.25,9.25,9400,8692000000.0,,,
1997-07-09,INDRAMEDCO,EQ,9.25,9.7,9.8,9.4,,9.4,9.62,9800,9430000000.0,,,
1997-07-10,INDRAMEDCO,EQ,9.4,9.5,9.9,9.4,,9.4,9.57,6500,6222000000.0,,,
1997-07-11,INDRAMEDCO,EQ,9.4,9.55,9.75,9.55,,9.55,9.56,3400,3249500000.0,,,
1997-07-14,INDRAMEDCO,EQ,9.55,9.35,9.45,9.2,,9.35,9.32,3000,2796000000.0,,,
1997-07-15,INDRAMEDCO,EQ,9.35,9.2,9.2,8.95,,8.95,9.06,3100,2809000000.0,,,
1997-07-16,INDRAMEDCO,EQ,8.95,9.15,9.5,9.15,,9.4,9.46,4500,4258500000.0,,,
1997-07-17,INDRAMEDCO,EQ,9.4,9.1,9.25,9.1,,9.25,9.22,5500,5068500000.0,,,
1997-07-21,INDRAMEDCO,EQ,9.25,8.35,8.5,8.25,,8.5,8.33,1700,1416000000.0,,,
1997-07-22,INDRAMEDCO,EQ,8.5,8.45,9.1,8.45,,8.8,8.73,2000,1746000000.0,,,
1997-07-23,INDRAMEDCO,EQ,8.8,9.0,9.0,8.8,,8.95,8.93,1800,1608000000.0,,,
1997-07-24,INDRAMEDCO,EQ,8.95,9.0,9.0,8.55,,8.95,8.9,2100,1868000000.0,,,
1997-07-25,INDRAMEDCO,EQ,8.95,9.0,9.0,8.9,,9.0,8.98,3100,2784500000.0,,,
1997-07-28,INDRAMEDCO,EQ,9.0,9.05,9.05,9.05,,9.05,9.05,500,452500000.0,,,
1997-07-29,INDRAMEDCO,EQ,9.05,9.05,9.2,9.05,,9.05,9.09,4300,3909500000.0,,,
1997-07-30,INDRAMEDCO,EQ,9.05,9.75,9.75,9.3,,9.3,9.53,5800,5528000000.0,,,
1997-07-31,INDRAMEDCO,EQ,9.3,9.4,9.45,9.1,,9.25,9.28,8500,7889000000.0,,,
1997-08-01,INDRAMEDCO,EQ,9.25,9.75,9.9,9.55,,9.55,9.77,3200,3125000000.0,,,
1997-08-04,INDRAMEDCO,EQ,9.55,9.9,9.9,9.5,,9.85,9.7,5500,5333000000.0,,,
1997-08-05,INDRAMEDCO,EQ,9.85,9.9,9.9,9.55,,9.8,9.72,7100,6900500000.0,,,
1997-08-06,INDRAMEDCO,EQ,9.8,9.65,10.15,9.65,,9.8,9.82,15000,14731000000.0,,,
1997-08-07,INDRAMEDCO,EQ,9.8,9.5,9.5,9.3,,9.5,9.45,1000,944500000.0,,,
1997-08-08,INDRAMEDCO,EQ,9.5,9.0,9.3,8.95,,9.25,9.16,3100,2839000000.0,,,
1997-08-11,INDRAMEDCO,EQ,9.25,9.0,9.0,9.0,,9.0,9.0,100,90000000.0,,,
