Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1997-07-16,INDSWFTLAB,EQ,0.0,17.95,17.95,17.95,,17.95,17.95,100,179500000.0,,,
1997-07-17,INDSWFTLAB,EQ,17.95,16.95,16.95,16.95,,16.95,16.95,100,169500000.0,,,
1997-07-21,INDSWFTLAB,EQ,16.95,15.5,15.7,15.5,,15.7,15.6,200,312000000.0,,,
1997-07-22,INDSWFTLAB,EQ,15.7,14.25,15.3,14.25,,14.25,15.02,1500,2252500000.0,,,
1997-07-23,INDSWFTLAB,EQ,14.25,14.25,15.7,14.25,,15.7,15.42,11600,17889000000.0,,,
1997-07-24,INDSWFTLAB,EQ,15.7,15.75,17.25,15.1,,15.15,16.18,6900,11165000000.0,,,
1997-07-25,INDSWFTLAB,EQ,15.15,15.45,15.65,14.95,,14.95,15.29,3400,5200000000.0,,,
1997-07-28,INDSWFTLAB,EQ,14.95,15.3,15.5,15.0,,15.0,15.27,7700,11757500000.0,,,
1997-07-29,INDSWFTLAB,EQ,15.0,15.0,15.0,14.75,,14.85,14.85,3000,4455000000.0,,,
1997-07-30,INDSWFTLAB,EQ,14.85,16.0,16.35,13.4,,14.5,15.32,9400,14404500000.0,,,
1997-07-31,INDSWFTLAB,EQ,14.5,15.0,15.0,14.4,,15.0,14.87,2300,3420000000.0,,,
1997-08-01,INDSWFTLAB,EQ,15.0,15.2,15.25,15.0,,15.1,15.1,3300,4984000000.0,,,
1997-08-04,INDSWFTLAB,EQ,15.1,15.25,15.5,15.0,,15.25,15.27,10200,15572500000.0,,,
1997-08-05,INDSWFTLAB,EQ,15.25,15.25,15.25,14.75,,14.75,15.07,3700,5577500000.0,,,
1997-08-06,INDSWFTLAB,EQ,14.75,14.75,14.95,14.5,,14.8,14.84,1900,2819000000.0,,,
1997-08-07,INDSWFTLAB,EQ,14.8,14.95,14.95,14.35,,14.8,14.7,2100,3087000000.0,,,
1997-08-08,INDSWFTLAB,EQ,14.8,13.9,14.7,13.75,,14.35,14.05,1700,2388000000.0,,,
1997-08-11,INDSWFTLAB,EQ,14.35,14.65,14.65,14.0,,14.0,14.39,500,719500000.0,,,
1997-08-12,INDSWFTLAB,EQ,14.0,14.05,15.25,14.05,,15.2,15.01,8600,12905500000.0,,,
1997-08-13,INDSWFTLAB,EQ,15.2,15.15,15.15,15.0,,15.15,15.11,700,1057500000.0,,,
1997-08-14,INDSWFTLAB,EQ,15.15,15.0,15.0,14.75,,14.75,14.85,1200,1782500000.0,,,
1997-08-18,INDSWFTLAB,EQ,14.75,14.25,14.25,14.15,,14.15,14.17,700,992000000.0,,,
1997-08-19,INDSWFTLAB,EQ,14.15,14.15,14.35,14.1,,14.35,14.16,600,849500000.0,,,
1997-08-20,INDSWFTLAB,EQ,14.35,14.25,14.25,14.25,,14.25,14.25,500,712500000.0,,,
1997-08-21,INDSWFTLAB,EQ,14.25,14.25,14.4,14.25,,14.3,14.31,700,1001500000.0,,,
1997-08-22,INDSWFTLAB,EQ,14.3,14.5,14.5,14.0,,14.0,14.06,1600,2249500000.0,,,
1997-08-25,INDSWFTLAB,EQ,14.0,13.7,13.7,13.0,,13.05,13.14,1000,1314000000.0,,,
1997-08-26,INDSWFTLAB,EQ,13.05,13.25,13.5,13.1,,13.1,13.36,1400,1870000000.0,,,
1997-08-27,INDSWFTLAB,EQ,13.1,13.95,13.95,13.4,,13.4,13.55,3400,4607000000.0,,,
1997-08-28,INDSWFTLAB,EQ,13.4,13.65,13.7,13.0,,13.4,13.33,1900,2532000000.0,,,
1997-08-29,INDSWFTLAB,EQ,13.4,13.25,13.25,13.0,,13.0,13.02,1100,1432500000.0,,,
1997-09-01,INDSWFTLAB,EQ,13.0,12.9,12.9,12.9,,12.9,12.9,200,258000000.0,,,
1997-09-02,INDSWFTLAB,EQ,12.9,12.4,12.6,12.4,,12.4,12.44,500,622000000.0,,,
1997-09-03,INDSWFTLAB,EQ,12.4,12.5,12.5,12.35,,12.35,12.46,700,872000000.0,,,
1997-09-04,INDSWFTLAB,EQ,12.35,12.5,12.5,11.25,,11.25,11.51,1700,1957000000.0,,,
1997-09-05,INDSWFTLAB,EQ,11.25,11.45,11.6,11.05,,11.05,11.35,2600,2952000000.0,,,
1997-09-08,INDSWFTLAB,EQ,11.05,11.25,11.5,11.0,,11.0,11.37,2000,2274500000.0,,,
1997-09-09,INDSWFTLAB,EQ,11.0,10.5,10.5,9.9,,9.9,10.1,5100,5153000000.0,,,
1997-09-10,INDSWFTLAB,EQ,9.9,10.15,10.15,10.15,,10.15,10.15,200,203000000.0,,,
1997-09-11,INDSWFTLAB,EQ,10.15,10.25,10.25,10.0,,10.05,10.21,1300,1327000000.0,,,
1997-09-12,INDSWFTLAB,EQ,10.05,10.25,10.25,10.05,,10.05,10.15,600,609000000.0,,,
1997-09-15,INDSWFTLAB,EQ,10.05,10.0,10.0,10.0,,10.0,10.0,100,100000000.0,,,
1997-09-16,INDSWFTLAB,EQ,10.0,10.15,10.15,10.0,,10.0,10.1,300,303000000.0,,,
1997-09-17,INDSWFTLAB,EQ,10.0,10.0,10.0,10.0,,10.0,10.0,400,400000000.0,,,
1997-09-18,INDSWFTLAB,EQ,10.0,9.9,9.9,9.55,,9.55,9.78,300,293500000.0,,,
1997-09-19,INDSWFTLAB,EQ,9.55,10.0,10.0,9.55,,9.55,9.78,400,391000000.0,,,
1997-09-22,INDSWFTLAB,EQ,9.55,9.05,9.05,9.0,,9.0,9.03,200,180500000.0,,,
1997-09-23,INDSWFTLAB,EQ,9.0,9.0,9.0,9.0,,9.0,9.0,100,90000000.0,,,
1997-09-25,INDSWFTLAB,EQ,9.0,9.0,9.0,9.0,,9.0,9.0,100,90000000.0,,,
1997-09-26,INDSWFTLAB,EQ,9.0,8.25,8.9,8.25,,8.3,8.48,300,254500000.0,,,
1997-09-29,INDSWFTLAB,EQ,8.3,8.5,9.25,8.5,,9.25,8.63,600,517500000.0,,,
1997-09-30,INDSWFTLAB,EQ,9.25,9.0,9.0,9.0,,9.0,9.0,1000,900000000.0,,,
1997-10-01,INDSWFTLAB,EQ,9.0,9.25,9.25,9.1,,9.1,9.23,1400,1292000000.0,,,
1997-10-09,INDSWFTLAB,EQ,9.1,9.0,9.0,9.0,,9.0,9.0,200,180000000.0,,,
1997-10-10,INDSWFTLAB,EQ,9.0,9.0,9.0,9.0,,9.0,9.0,700,630000000.0,,,
