Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-02,INFOMEDIA,EQ,3.15,3.0,3.0,3.0,3.0,3.0,3.0,8963,2688900000.0,15,8963,1.0
2021-02-03,INFOMEDIA,EQ,3.0,2.9,3.15,2.85,3.1,3.0,2.99,26552,7931070000.0,75,22795,0.8584999999999999
2021-02-04,INFOMEDIA,EQ,3.0,3.15,3.15,2.9,3.1,2.95,3.02,12280,3712990000.0,36,11680,0.9511000000000001
2021-02-05,INFOMEDIA,EQ,2.95,2.95,3.05,2.85,2.85,2.85,2.87,13742,3941519999.9999995,31,12271,0.893
2021-02-08,INFOMEDIA,EQ,2.85,2.95,2.95,2.85,2.95,2.95,2.9,7858,2281235000.0,18,6532,0.8312999999999999
2021-02-09,INFOMEDIA,EQ,2.95,3.05,3.05,2.85,2.85,2.85,2.97,123542,36638640000.0,56,123292,0.998
2021-02-10,INFOMEDIA,EQ,2.85,2.85,2.85,2.75,2.75,2.75,2.82,23199,6530940000.0,33,23199,1.0
2021-02-11,INFOMEDIA,EQ,2.75,2.65,2.85,2.65,2.8,2.85,2.81,38710,10869215000.0,91,32613,0.8425
2021-02-12,INFOMEDIA,EQ,2.85,2.85,2.95,2.85,2.95,2.95,2.9,62131,18024555000.0,34,57828,0.9307
2021-02-15,INFOMEDIA,EQ,2.95,3.05,3.05,3.05,3.05,3.05,3.05,28782,8778510000.0,16,28191,0.9795
2021-02-16,INFOMEDIA,EQ,3.05,3.0,3.2,2.9,3.1,3.1,3.13,9246,2889400000.0,32,9245,0.9999
2021-02-17,INFOMEDIA,EQ,3.1,3.1,3.25,3.1,3.25,3.25,3.25,11986,3894700000.0,28,11986,1.0
2021-02-18,INFOMEDIA,EQ,3.25,3.4,3.4,3.4,3.4,3.4,3.4,13822,4699480000.0,17,13622,0.9855
2021-02-19,INFOMEDIA,EQ,3.4,3.55,3.55,3.3,3.55,3.55,3.46,14312,4947190000.0,45,14302,0.9993000000000001
2021-02-22,INFOMEDIA,EQ,3.55,3.7,3.7,3.4,3.7,3.65,3.67,61517,22588150000.0,153,54165,0.8805
2021-02-23,INFOMEDIA,EQ,3.65,3.8,3.8,3.6,3.8,3.8,3.78,26983,10199080000.0,48,25702,0.9525
2021-02-24,INFOMEDIA,EQ,3.8,3.95,3.95,3.95,3.95,3.95,3.95,5583,2205285000.0,16,5455,0.9771
2021-04-27,INFOMEDIA,EQ,3.55,3.4,3.7,3.4,3.65,3.55,3.57,10016,3571515000.0,27,6516,0.6506000000000001
2021-04-28,INFOMEDIA,EQ,3.55,3.7,3.7,3.5,3.5,3.5,3.62,3767,1365165000.0,17,2566,0.6812
2021-04-29,INFOMEDIA,EQ,3.5,3.65,3.65,3.4,3.65,3.65,3.6,9130,3291305000.0000005,186,7802,0.8545
2021-04-30,INFOMEDIA,EQ,3.65,3.8,3.8,3.65,3.8,3.8,3.77,17560,6627355000.0,76,12896,0.7343999999999999
